 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,O30,H31,C32,O33,O34,H35
N1,0.0,1.9130851044053379,1.701153415143149,2.9525958746490093,0.09065004454109826,0.2242631067832785,0.028681601889107178,0.007746416045936844,0.0908890813521898,0.18881538010005605,0.18426573365858218,0.0777418614052697,0.02694399181882022,0.002225304875238643,0.006108471023373571,0.0006186284923005436,0.0005476063428565964,1.891395285136266e-05,0.00013525773589972978,9.204974352616802e-05,3.6925871529702725e-05,2.3147433725334565e-06,5.1032282856189326e-05,7.6047717609828425e-06,9.800901337314594e-06,9.563460412476132e-08,1.2423026448049601e-05,3.34259423695471e-07,7.439050621241283e-06,1.7034407023691633e-06,3.371224355230851e-08,0.0008994994816031165,0.0001711817607259053,0.00026025919729476266,6.592151771300792e-05
H2,0.0,0.0,0.03150995884860075,0.10502070176131373,0.012151796138135662,0.006660489981682005,8.178091318744585e-05,0.0007940587112296171,0.0031760892960105425,0.0009997778530237422,0.02194062399104446,0.0033736296285959977,0.0029046426956153004,0.0001322934474110582,0.0007934407232891294,4.2398703611779e-05,0.00010974380135453377,1.6586667157536539e-06,3.468452960553314e-05,9.221675470905133e-06,5.201072785010474e-06,1.5768800487592216e-07,5.827456740048476e-06,6.118080908557033e-08,8.761369101328853e-07,2.374420171591396e-08,1.507231520481156e-06,4.816753862435519e-08,2.378823605986291e-06,6.109438200896378e-07,1.5558037080865006e-09,7.376644277667932e-05,8.841031344131167e-06,2.2192308377078085e-05,5.214229361172329e-06
H3,0.0,0.0,0.0,0.1005435261430121,0.006994825647180569,0.022491756674708374,0.0014421830731554675,0.0002458300414991399,0.0016567928266422172,0.0015552010985302456,0.04531260440419804,0.11414582820387653,0.007683556251456114,0.0001343528390624904,0.0009241629637813942,7.998900446803958e-05,9.307296072480487e-05,2.1612876205390208e-05,1.594931757820106e-05,2.1969933134413644e-05,1.2224130128357658e-05,1.173262662579333e-06,6.398565935428202e-06,1.1421650869536393e-07,3.6801865721525218e-06,8.7500346968028e-08,9.572295304183243e-07,3.825781136335138e-08,7.780064045226354e-07,1.6863439056269414e-07,6.250292949872005e-09,0.00010672864611527277,6.3089625939039e-05,1.6081896969000198e-05,3.3840975097731985e-06
C4,0.0,0.0,0.0,0.0,1.6603861186253088,2.5601760406690572,0.08106624776505544,0.0936955428898536,0.22383593122861623,0.030883210060919875,2.6787096323740984,0.2855958553678661,0.21528467793443767,0.011161381509909751,0.03534677478751516,0.0057697986847071725,0.0033365724385919365,0.0001247788111700121,0.0009450214987529737,0.0005278272739277223,0.00025282533585962996,2.103598485070357e-05,0.00022414653359978387,1.762816180050919e-05,6.0491761084663365e-05,2.7832630689061943e-07,6.721157275857426e-05,1.3045618947327142e-06,1.8243363863829076e-05,4.073477000987591e-06,9.430867131676735e-08,0.0038004454424134526,0.0005240883475044894,0.0010781703104101314,0.00022520432570527493
H5,0.0,0.0,0.0,0.0,0.0,0.08980088829920807,0.0021728651557222367,0.005994836144902926,0.028297349841680974,0.004449429297200158,0.10567986737536605,0.029512441958082558,0.011938478910087591,0.0008972025639504277,0.0015705295975256828,0.00017961714764780368,0.0004276377148613175,1.367238066096732e-05,1.7435406737043024e-05,0.00017300991484070494,2.9485835772113944e-05,2.776591108588633e-06,0.0004160678194098377,5.6547868581668936e-05,4.6249603154135954e-05,8.455143496455264e-08,0.00010660737244605478,4.651974689906524e-07,1.1239273623120383e-05,9.450228735108368e-07,3.713773999436398e-08,0.00030908147679920006,3.1868797655265624e-05,7.352963963591641e-05,2.4730840228359696e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9193464205325805,2.1342553778224183,2.7144775138497312,0.11555662682411849,0.16508260688555007,0.0372414037308048,0.03324150377376059,0.021792583894961526,0.00389442306575169,0.000507986355113843,0.0010834658685601184,2.9696612479979123e-05,0.0001480325289551221,0.00013434360409211865,2.1557454197351777e-05,2.0654473351644498e-06,4.4047713957384715e-05,3.855213132508695e-06,1.8005272706927977e-05,2.1322234200482626e-08,1.4084304350431287e-05,2.1412613682159076e-07,3.172037705140296e-06,4.0730706886427104e-07,1.894937073920744e-08,0.0007819389734539106,0.000806323410123988,0.0002039708092422543,3.3529367199691684e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024262965943661285,0.09671774638916997,0.03611603043503964,0.008893209222910814,0.0014918707936056874,0.011120550448421085,0.022984599414305196,0.0012377959777878367,0.00016427111512951065,0.0002924503477150786,8.770998822127396e-06,4.309267627133906e-05,1.9009090125088335e-05,5.145238348047698e-06,7.331475277982946e-07,4.84798673161535e-06,5.477091991057392e-07,2.848449811798659e-06,1.5116883300692052e-09,1.3271921723845281e-06,7.58648193155409e-08,4.616132673884721e-07,6.496836246761006e-08,2.717009062180864e-09,0.00032521040614308383,0.0011801375882293241,0.00014585289039836802,1.0059650537908027e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12255698119741965,0.0072398192685063645,0.029829178936501277,0.004823087824697092,0.004264629096385031,0.0018476048047746385,0.000455056365119777,0.00017347589031424526,0.00012515664417778183,7.523267051556815e-07,6.067320571734314e-06,8.007996230574577e-06,8.313805731630097e-06,1.1509929369601934e-06,3.39083113054528e-06,5.058998613360899e-07,4.928179328400617e-06,2.678007371414992e-09,3.221825208621354e-06,5.914265321926848e-08,4.6609687132104227e-07,2.6569852762392543e-08,6.494579762872377e-09,0.00020599332201798326,1.7638603892367044e-05,4.725423779339266e-05,1.0052385045700163e-05
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7228449205750467,0.02763530249935331,0.004385258727153979,0.004226694376049792,0.00218448884850031,0.0005850699508040264,6.040802420659297e-05,0.00010238293906708607,5.590264062993455e-06,1.4485747131032234e-05,3.3106785933545435e-05,4.862352441459272e-06,7.370799164352348e-07,4.3568956383063795e-05,8.969565605809748e-06,2.984534407515782e-06,6.925207629571162e-09,5.161953725310586e-06,5.0628770287275415e-08,1.0094283044437269e-06,1.7438230363875373e-07,4.221884286614852e-09,9.039004689842534e-05,6.173351773235136e-05,1.9546353111923875e-05,4.49640280786312e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002188397488950611,0.000624273237150641,0.0005080565396081704,0.0007355798015022952,0.000132249174623289,1.0934212549607025e-05,7.377553249421354e-06,1.0347971943769352e-06,1.621977100851879e-06,1.906822844177647e-06,1.0643056722603461e-06,8.56698634255082e-08,2.4410012450237772e-06,1.3943452970011094e-07,3.184986659965361e-07,3.858597441563916e-09,4.83176920140771e-07,1.1687842249585856e-08,4.335117299580915e-07,9.44478374398372e-08,1.1088210349896599e-09,8.572076275026319e-06,1.9919731280015895e-05,3.86998801205074e-06,8.242280427062099e-07
