,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41H,42C,43O,44O,45H
1N,0.0,1.01979777646178,1.0208127333087216,1.4580979908881049,2.075597514986921,2.4720907391848677,3.4094041115135436,2.648275272023503,3.0657848988823386,4.193793019335011,4.604979829751221,3.235017195909754,2.8956319388436316,5.164434187314291,6.1041655217946875,4.414833842272534,4.957752106177301,5.257989850185535,6.485058426257544,7.057591948966651,2.497601262856589,2.771439085682043,3.7338181912047244,4.038549331777704,4.953764166194199,4.906158985356208,5.766712019122116,6.666219456725465,5.3137224982283735,6.381004637675291,6.0030332621259594,5.147757193427402,7.652806331683679,8.172996980687973,6.982055588898349,7.02770651135468,8.453837401470617,9.465246709409358,8.159026677097213,9.177608201146553,9.94014066188581,5.993007590023125,6.052685341997159,7.1574562224349565,7.807826091416382
2H,0.0,0.0,1.6086245526752119,2.026915269957351,2.3373749222526734,3.354606973443603,4.174131243040929,3.5574275352709943,4.010406860391809,5.029323940438931,5.350218273499841,4.195293170201484,3.8423135552902736,5.981801828398805,6.867352501259155,5.293252000035448,5.784056177749372,6.096504296638476,7.276158858488082,7.826959147350476,2.6759041851145833,2.694356035372913,3.930474828360462,4.377853723921585,5.044438567486215,4.979960723130652,5.6044245351088655,6.496921997882313,4.9817073787513335,6.22527891467916,5.770830674659733,4.815844148177698,7.569015092643439,8.130645727275501,6.7784538143405895,6.780749167378624,8.3745562927858,9.42276805430133,8.029668336157426,9.056953118091931,9.855635990405792,6.26336781106154,6.479210597732255,7.360851573652463,8.095878450813721
3H,0.0,0.0,0.0,2.018233656636861,2.9113300011606107,2.749731736132892,3.7437655133719123,3.094503450087435,2.8067429001343944,3.8204643926908783,4.3844185162763525,2.752270495275409,2.5693145406909914,4.575750282834393,5.515897907140503,3.72347521089083,4.231280130111147,4.536931590988797,5.684308206388753,6.271035606885333,2.624763266628016,2.5733375702113506,3.940647760420982,4.367938286536881,4.986131011124439,4.725238673704628,5.923848782964229,6.712219336246943,5.481191552388554,6.741667130599938,6.554688643329035,5.747992300891029,7.992406066326733,8.393904313863716,7.6382100767282335,7.789327080118273,8.912981944356162,9.897835056772806,8.757603636736762,9.849233753814412,10.567246375770315,5.998425548171319,6.123918619160507,7.073673725972416,7.726542576015197
4C,0.0,0.0,0.0,0.0,1.0996641963066982,1.5552804335202186,2.1812744515705664,2.136358760959931,2.588523785798423,3.496875423413248,3.6046948691963347,3.375833421694267,3.3784873768100225,4.715557752009154,5.541354986518904,4.624523163493637,5.411114209289095,5.181732667700773,6.506690051828611,6.926080379819517,1.547933456236833,2.4322715736899485,2.4757991610719694,2.6139261941442236,3.8376830591893487,4.024016361751299,4.749731917413039,5.703938479999605,4.514258988405928,5.226857343628954,4.9074291638236405,4.203325004909739,6.413626343305822,6.939992067211527,5.858934319581597,6.008156217479746,7.177902004950563,8.156117578844064,6.937242879979621,7.96781089172415,8.681289976908646,4.737360876510864,4.697629007417503,5.982445396570824,6.57587246640175
5H,0.0,0.0,0.0,0.0,0.0,2.146434553364927,2.4384970665928,2.409114131787014,3.490854081257928,4.3833867136314115,4.331282694115717,4.305118224917574,4.17496750994941,5.68001094436992,6.469451434453219,5.617690824291605,6.381243182828116,6.203354547130257,7.546531617408173,7.9562981748453785,2.146661846870501,3.1156740006698596,2.6998964731537853,2.638954585642623,4.114280290490792,4.5307483897620795,4.764524167729591,5.809963984061917,4.519352326973205,4.939574360881092,4.349320832671312,3.600167623572281,6.12628408743589,6.800455052180415,5.133348567113894,5.137069563779383,6.716645490881358,7.722138162827961,6.286372556186846,7.2169859582667,7.989055045026645,5.012602720968769,4.925146974850433,6.2888776620428235,6.872991698346564
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973000342138033,1.0956606109372435,1.5151819227331311,2.5416163533579264,2.7475369529394382,2.5414835793742987,2.7355144311601802,3.8294705261420003,4.698675756323969,3.8292299677915107,4.705788330099237,4.336303131893728,5.704179380468017,6.116448347396194,2.5808715061952996,3.5357169448410626,3.0624238609512178,2.797461548967798,4.370960802460036,4.596250725776511,5.568898553539944,6.4626479308992755,5.591458827682123,5.9635032457660015,5.7623385048438625,5.264540163268311,6.946421812175704,7.390133412534162,6.5721164238173815,6.757417870471623,7.640112878819249,8.515147031560423,7.472719784954659,8.426519407772394,9.059317238319798,4.809829457571997,4.414800543355404,6.102060881449567,6.494505524100067
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7594362756088797,2.146136028441489,2.6610918522339135,2.4516364322902593,3.395302780782834,3.726926507163971,4.038973241896667,4.729849366004441,4.559203785590176,5.513510171418646,4.817939326480369,6.1703484893827465,6.4454080403242475,2.8322138210561447,3.95418870675815,2.7877811144439995,2.1947258995503427,4.037248181987451,4.47304524340753,5.238506494855268,6.1270873683090326,5.454826513668278,5.444635596791497,5.290974570083166,4.978872658616185,6.27473070546216,6.71693385950081,5.986039831335902,6.234005498988459,6.878151655253148,7.691521940480265,6.747952596148702,7.659841719746476,8.234164730308793,4.20730471088507,3.6186354325405437,5.5333364716799345,5.822975357799611
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1512781070586153,3.3640913713847977,3.6829768977132558,2.708589745101985,2.526602735844789,4.536126765085679,5.472524113987504,4.070722108272175,4.787319058063001,4.821295483730022,6.156122901475526,6.673668025065008,3.488581833071084,4.406296809110764,4.023873810024139,3.6728637696899975,5.392487659251757,5.659518495930863,6.499610982197693,7.442685816268994,6.467881461862208,6.765752091441712,6.386296683394722,5.831198807060343,7.752132976616546,8.277437804952452,7.056073332868112,7.087181203217959,8.32217698472056,9.203622233652569,8.005803286187328,8.843023044079995,9.519288620233086,5.827814329558935,5.3496202218327955,7.141430360366711,7.502047084929969
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40122998695187,2.1577974486257414,1.405228165255111,2.1548648004256976,2.4370263037553563,3.4205311475888163,2.441225240651307,3.429459508487984,2.8211510146806686,4.18921210015199,4.619582716292218,3.139803042223939,3.739162391740852,3.7087954506418086,3.6348088162208203,4.71645260014079,4.644199683267577,6.116521644118227,6.843815651796042,6.178288580974881,6.775800050775951,6.829741643198099,6.381973312118636,7.699265025850676,7.957078999425465,7.762013207185057,8.068971043394026,8.544292973579156,9.35980728695167,8.573478867615671,9.606009506027789,10.166998850776737,5.006756623278564,4.64742348253058,6.150653983720045,6.486852396318045
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878410506261604,2.4037900993978805,3.3901221873925094,1.3956978343810167,2.1579247123815053,2.7885635162510485,3.8743398442896,2.419624339479067,3.6903110325897144,3.837851141869732,3.4787778091523784,3.9851747724947675,3.682201985820155,3.6231465120902464,4.316525809995452,4.160783387113769,5.84594501751529,6.40358467826229,6.097602371772924,6.596488927009265,6.924210800171356,6.657832596663279,7.348002565616002,7.42555694476999,7.895952833191119,8.370751351974748,8.274754602262934,8.987887271455504,8.524882573367966,9.611253287430698,10.059625218744717,4.277201549008441,3.8940371029981713,5.266056743357078,5.490099091176225
