,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31H,32C,33O,34O,35H
1N,0.0,1.0229758294451563,1.0193966997476644,1.462469823506701,2.090990791924643,2.459884411093198,2.669510931153553,3.4076007866033624,2.9701118310300574,3.45801094633538,2.5094753518831006,4.304424505795715,4.347743252576446,4.9644041662348,5.226124304363084,5.60309307487435,5.035457712968724,6.574992694092077,6.608297098400041,7.017839855198013,7.291964669318996,2.4952096094332776,2.816188970281525,3.6658276457059467,3.9088498111779666,4.939279040015275,4.9224857327751135,6.005766854225268,6.9368035219651665,5.847351573589995,6.314708418435099,5.689048473626241,5.548125842612097,6.879481243817289,7.422864817484956
2H,0.0,0.0,1.6236270514536044,2.011011252091746,2.892236476257397,2.8190006921862674,2.6311152643740305,3.739371282298147,3.5627501532403163,4.237101068066324,3.130707899383636,4.693390437461365,4.502448212135337,5.341236557567836,5.721448220644711,6.242835921449669,5.515466865874927,6.944140349572492,6.832337142992116,7.388105508594071,7.709824458187557,2.4877512101863077,2.332598378259786,3.8187767494273737,4.287627044474602,4.8902701164421964,4.653189019723568,6.050458028862093,6.883036203264498,5.886836379356779,6.521509639420938,5.645517791228936,5.623067370536273,6.720738258224038,7.283292395904309
3H,0.0,0.0,0.0,2.0441950212573796,2.2820153543745425,3.334947091366588,3.6514509797414205,4.182422023100929,3.780041748301994,4.0639492511733515,3.2638543566040807,5.198445325349043,5.320375562874234,5.852270361675725,6.010423591161659,6.282106370196706,5.758331162170679,7.420224943385117,7.506357888500101,7.885456218831044,8.079177338062646,2.8487064943411657,3.187466434805064,3.8565116500590104,4.1018672271885865,5.14205496195133,5.129613242484726,5.996438891032615,6.963913106793976,5.663773023814035,6.297118235819045,6.105029730592839,6.091701370358784,7.27973604273125,7.911107122541101
4C,0.0,0.0,0.0,0.0,1.0984745058425474,1.5483429519521306,2.1475474024834917,2.180954233037805,2.55422690959513,2.866966255933705,2.674013658639345,3.920975482497687,4.143582687789613,4.281148359612009,5.065945193156161,5.317781678145303,5.183232206029563,6.390018189374825,6.5302502081780665,6.626811296823897,7.194482551313728,1.5416039283079637,2.405857539843718,2.467668407950368,2.5547917272328933,3.8150932449394457,4.034792566065777,4.926112753978025,5.874337084169762,4.963329403218514,5.1189375503424905,4.415845691852207,4.180400275183018,5.681840616777926,6.179126719506751
5H,0.0,0.0,0.0,0.0,0.0,2.1714559454643068,3.056495820512775,2.5432047978012067,2.7737261390802224,2.646626527062601,2.948331171334494,4.250442207151271,4.716674446365606,4.542108838423564,5.21936304347647,5.245752358972388,5.371860681746716,6.632916527637825,6.930723178507107,6.838075520026306,7.362610800903282,2.17968483022259,3.2557319147344894,2.5803091277037207,2.3056679115115055,4.0299511703690305,4.473638550693139,4.876893497062615,5.9108677684101805,4.86989839589882,4.860926269304608,4.683992540329638,4.40659214234172,5.999943683178169,6.503486983997807
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0989466016455343,1.0978879085443398,1.5328413211192378,2.1691947747915736,2.140474548435171,2.549262729205232,2.7644472940180225,2.801343731285638,3.8920989459360475,4.258766137793571,4.217011334102335,5.064739252689989,5.181275922069409,5.208670380626932,5.949120284803252,2.4851437696583454,3.1606145522260034,3.242926384762679,3.163273869922905,4.367938727106841,4.637729265578897,5.665893179775209,6.510491768471135,5.959557106766545,5.782843722190314,4.438627417928662,3.8409065964704143,5.684287080574758,5.949837462370548
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7619992150697248,2.1671294661877827,3.074286118938368,2.542560174717769,2.72261670048722,2.4811773583567187,3.0401276864576428,4.142737988633306,4.744380387615851,4.392643330459185,5.115394082359945,5.011938964679759,5.296318250518095,6.051095006169368,2.6916672437310267,2.930235783617096,3.6680130479575808,3.842110755762009,4.577929685621389,4.614537869905012,6.011562743579145,6.749272039063298,6.316270735096726,6.293881207764688,4.577709176873449,4.068567681112673,5.687206628910234,5.926057385198344
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1841339299588802,2.4912296350295717,3.0631048084197947,2.870291922524518,3.2071369014010602,2.6830740548216236,4.267704038836267,4.501665188826408,4.820339474545701,5.302081803531843,5.494221982099056,5.231810746834895,6.222717426020634,2.655453893025081,3.458066362681263,2.9684524117893494,2.7200590408657392,3.9141781311073185,4.36060869584605,5.188870465196494,5.975766474123013,5.661103439531055,5.197718977246625,3.692091242668014,2.909724015747965,4.94226442483547,5.108175483568448
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994382983850486,1.0963886339974287,1.5391963504102666,2.1656888449673075,2.1766789564991815,2.520772818995128,2.8279010521193864,2.798603950308364,3.884765151412514,4.1628722614539555,4.17889352491191,4.656392517950292,3.8738471575128886,4.564859487318598,4.58384215167333,4.304580241758779,5.80361438204643,6.141666074599601,7.002069522376661,7.899768357679643,7.256537531415973,6.984680975826207,5.832860391760295,5.0896774800798585,7.097282810930217,7.284202298641973
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7682170782126265,2.1681149672003137,3.0723787776525104,2.5171797229480224,2.7555488305060662,2.615722121861144,3.132962366533173,4.1863150327260525,4.692955682125812,4.387613410308271,4.838005556735518,4.220926345506106,5.1193952694140625,4.670580458953712,4.172146599429802,5.949939383648964,6.453792466409326,6.977205861929413,7.926129610482516,7.2287212289520095,6.796461992177676,5.9972259536891395,5.208629090815469,7.307241353603851,7.493038903608784
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1759185473706735,2.5208453086757148,3.0846038618805376,2.7520441541144955,3.1587835883058926,2.5804534366322356,4.171387480093154,4.35317581153006,4.693076182493545,4.821850752035885,4.117656057280962,4.669599042896188,5.028035381154738,4.86600953665656,6.319772827347118,6.541310051173536,7.498653594272233,8.430001783225885,7.610513726770254,7.559550269596112,6.551862062723858,5.93954408507213,7.814751437830317,8.086939811448284
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099572663061994,1.0997052338382336,1.5226900595210449,2.1904095649058046,2.186913878228952,2.516324427999429,2.741706781375204,2.740420739168228,3.4229711931634568,5.030482703717956,5.5701911011597245,5.70768143021486,5.43571359053405,6.745790385156581,7.0540705298987225,8.03963528940445,8.840835918454099,8.429843575911686,8.017812291288363,6.4683023902945145,5.562490653772013,7.623669621507047,7.629213047437258
