 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,H31,C32,O33,O34,H35
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571813811418505,0.004608077725602788,0.03288529969150633,0.010662803855667424,0.0001543893404110097,0.0041497216810557624,0.0009447712687736809,2.653069968627797e-05,0.0007267090151201749,5.274888081707729e-05,0.0031667750271584527,0.00034011810962397693,0.0005032914990441562,0.00011051817417340182,0.00010786025870856975,3.7016937068923284e-06,2.326247508599444e-05,6.9415493895164104e-06,6.103262941703491e-07,5.302752810187883e-07,4.1425755506363515e-05,0.00014487039376609445,1.1362696567873698e-05,2.056322061738669e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.862118946165654,1.7597600601046266,2.874123645465242,0.0813931426130271,0.08570415791981689,0.16505419709484648,0.013195926495875976,0.012956339157214392,0.02327866997632888,0.005692763180874777,0.0018589097015236714,0.0010737888641976223,2.443147141761859e-05,0.0001865251051777067,2.0473916293561878e-05,1.2959202040307982e-05,1.7548343244078168e-06,1.1669171809947088e-06,7.131120243197842e-07,6.628377359341187e-05,2.7050875282555453e-05,1.993918108215975e-05,6.002184962605739e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02258669583313999,0.09250732258305971,0.03475370754110729,0.005183814601600778,0.008501931027581566,0.00739305861680517,0.00017665002494493542,0.0006477671107008032,9.992582814244422e-05,8.59821416400175e-05,4.599438620656038e-05,6.513882546688166e-07,5.404070041015174e-06,1.4439752216155455e-07,7.519512474907231e-07,7.023730175248488e-08,5.275362680023932e-08,6.136075425544618e-09,2.5852071492415973e-06,1.1120075351644942e-06,6.16007216902581e-07,2.4012189370203885e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09473199441828073,0.005540663317424421,0.03497420774298776,0.007763769052583358,0.00016472821045909747,0.007042103040750147,0.0005174866942851963,0.0001272975482706773,3.0999373804130315e-05,3.9382810709920335e-05,2.325628074117958e-06,6.183382566637974e-06,3.408654445369308e-07,5.409690411184442e-07,1.024426545814805e-07,8.821952612869666e-08,2.2801938115435405e-08,5.478234895939238e-06,1.2109954033556747e-05,1.904404486108291e-06,5.095779631592023e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8636143026585423,1.8319750690268957,2.6899713853279654,0.0749788735202912,0.07463917710977463,0.07455323502692857,0.0018109438965049074,0.0006281384036249116,0.000399177731880071,8.742303253983508e-06,7.230594144541636e-05,6.956294340776381e-06,5.221051552151135e-06,7.341189380838387e-07,6.448664713332164e-07,1.7266071217214574e-07,2.961547051127944e-05,7.7081636709192e-06,9.568142556398707e-06,2.8848771425060704e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026953754236563432,0.08977571730694767,0.027417472971842383,0.004657629668030516,0.004674495607922768,2.7017686082153602e-05,1.5831336532268203e-05,3.063766933597556e-06,1.0047806808799464e-07,6.475875646838603e-07,9.955981972176176e-08,7.825109871184566e-08,3.729924813455909e-08,6.8419736543035015e-09,6.594054413611161e-09,1.8856163985780938e-07,4.1565673580823415e-07,7.611587626854543e-08,1.269141458593026e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09266842154131694,0.004763435256722515,0.027435657986665474,0.004572388476514977,2.5282881457977524e-05,9.235848046351691e-06,8.132477020361684e-06,6.671662144963619e-07,1.099667850890107e-06,1.627720200847449e-07,1.8734705919953853e-07,1.0377332548827667e-08,1.6986929418649765e-08,3.982542962077673e-09,1.2324137592667483e-06,2.992938290535818e-06,5.125351358881147e-07,1.0261226757179998e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7510248709845602,1.629641429987802,1.8794759972830377,0.0005812179627927294,0.00023991404148291512,0.00012594349083470957,2.2411912391495648e-06,2.369795403413255e-05,2.620788431495491e-06,1.7469651140966658e-06,2.975463833099212e-07,1.7900378490587343e-07,8.424730280065518e-08,9.125312843777378e-06,1.5219560123846954e-06,3.1521129606054687e-06,9.089127067651859e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029141795257891623,0.029990346450603944,1.5030192957232735e-05,8.449694373413585e-06,2.388978064482572e-06,5.455287599431813e-08,5.131610858466473e-07,1.1841861646821883e-07,5.3244269104801845e-08,2.0044455650847226e-08,2.0354544716383316e-09,6.461405188673552e-09,1.4537449999352248e-07,7.579990379813495e-08,4.672316789022801e-08,1.3757861516694447e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029943121787739058,9.583080174624392e-06,8.682556218664317e-06,1.8251613516095944e-06,3.79483178214457e-08,4.100661916695003e-07,7.214860420212688e-08,2.917836783300487e-08,7.656624889662567e-09,6.532550056448372e-10,5.245886391946897e-09,1.1624475515503718e-07,1.6684094794605642e-07,4.069377845805633e-08,1.020409934326949e-08
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.392378710981752e-05,4.490303379867111e-05,1.9017825221401274e-05,2.623064270235176e-07,4.11996885929522e-06,5.13934717449871e-07,2.441798346852764e-07,7.489808062643988e-08,2.4733062486959057e-08,2.3680971850126298e-08,1.347615620206355e-06,4.315178525615693e-08,3.977011809874753e-07,1.3547632282673305e-07
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.798890639989664,3.5579004354559283,0.14216484495783122,0.2694532808165702,0.02500300826629831,0.034438712241740416,0.004266140551076436,0.000928175092867134,0.000913309308044008,0.033847637190196816,0.00642442938796739,0.006489290936086356,0.0012667174368239387
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382942538465316,0.02665255833603608,0.06650952671153743,0.04985930277606754,0.007757175466927585,0.0012836604565723553,0.0004352017795844487,0.0011764856463588602,0.011695402754469147,0.0022835279635746303,0.0021872094995468716,0.0005497474015502268
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8241778729353046,2.9047777249083904,0.09855834189670043,0.18515511105953608,0.028622902224025193,0.008651349892083937,0.007042725998587462,0.200374779526318,0.04105440920342179,0.029993017394722918,0.005150040108122589
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09685757792005323,0.03424981199643673,0.0073878307905725915,0.00019526516261247906,9.725739193977567e-05,0.0037742514797325377,0.011169944676610255,0.021498176835584304,0.001644974911234054,7.956960086907827e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8951071045716246,2.657498122012678,0.09690360515421048,0.09670194673859855,0.08789419970093815,2.5992010895594184,0.2739850126081177,0.21723574051328587,0.054405896142699195
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08575284063406752,0.004270328810728197,0.005738784522840934,0.03181417920781748,0.11123774317606738,0.029568875315082455,0.010410181466360191,0.00036624055378919884
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159263760244234,1.8847208325867626,1.9827274775413641,0.18803451617614148,0.04170722114786524,0.0312718925280884,0.0021842702518761747
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027134535563732243,0.02485272092625257,0.007546133782823983,0.0012958425393475581,0.012333193717363966,0.00031239332344279447
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243998021490901,0.029921381154183413,0.005142821153326982,0.00469929498479793,0.0002872088554317642
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009176193982010306,0.0013413847942835844,0.0007740251757688554,0.0001969329262130337
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2242180070771,3.6053896600703377,0.171294187585313
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110858393518852,0.06236721513692722
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6476222520799193
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
