 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,H31,C32,O33,O34,H35
N1,0.0,1.6562766873246644,2.043897844364997,2.9011209840944074,0.08523028368931218,0.1963710008454113,0.009213996304581973,0.02738281386827457,0.04546109970075936,0.0006983920848026015,0.05101707983841741,0.005140539296119032,0.00023285732212785515,0.000978417277340271,0.0008191575968064663,2.1798903494629762e-05,0.00013506057103873648,0.00016278077089647291,3.6636743836471197e-06,6.127520809451337e-05,1.4463441443735015e-05,0.21473875665293393,0.05503731875226577,0.033679071551002845,0.0029007967149429215,0.006569909005473787,0.0004988750666135022,0.0015442860448650342,0.00033248790625473035,4.639658866223417e-05,3.36597872981903e-05,0.00034428959354543265,0.00019895785264749388,7.66856235930452e-05,1.715240571698029e-05
H2,0.0,0.0,0.02851750736367742,0.11084478937908326,0.033161015406269145,0.006743908553591971,0.003648274782422911,0.00012196078366977225,0.0006971878831922851,9.52860073588635e-05,0.00031017154293078164,0.00010175039299342714,1.169194386374528e-05,3.854848889983664e-05,8.885968317495774e-06,1.259789752960927e-06,3.6481630620865957e-06,2.0567458899334312e-06,5.605015265253144e-07,1.0839557551545198e-06,2.381362749215299e-07,0.028416299017730906,0.07021877588558656,0.004891859404069221,0.0007359598421223801,0.0006854913727072365,0.00011135494515923661,9.788963325041422e-05,1.4675052329993221e-05,3.0652774731798615e-06,2.4147498701054815e-05,3.339207303376668e-05,1.462689757969482e-05,7.519771239583584e-06,4.0740458784327416e-07
H3,0.0,0.0,0.0,0.10978825790970981,0.009337698264040295,0.030705970151206685,0.0010301921875490727,0.0019760932129708753,0.0015735199910899,4.3714676988937384e-05,0.0004329406181537987,0.00023469106757589842,8.08790097650558e-06,7.563469461113748e-05,6.191407668487692e-05,1.044907444347487e-06,1.6473942827666122e-06,1.0925123750005206e-05,2.8840302412902474e-07,1.5610607917437846e-06,1.5083613000843599e-06,0.005315292102829106,0.0015550591893415122,0.00036507723100809297,3.66461960759068e-05,0.0001442162873322994,4.646493219739867e-06,2.041831873444977e-05,3.6876324116530412e-06,7.189368129711937e-07,8.318391087058785e-07,2.1429030395703208e-05,1.9782961437897484e-05,5.847471208242361e-06,1.0537859012060835e-06
C4,0.0,0.0,0.0,0.0,1.7861665538134952,2.729725932123819,0.08406343996215049,0.08410184552783084,0.1669493694118755,0.006466312099969285,0.014625916487858825,0.032727817520029234,0.0009885246095253652,0.0007781253696299562,0.006598832480460892,7.724694249566788e-05,6.390229630370836e-05,0.0019115817077392377,4.785457829836748e-05,5.0363086211646646e-05,0.0003250184047822735,2.631270101101132,0.2844736039924119,0.2278600084273506,0.017736884586926016,0.034739332703388,0.005941750506330279,0.00465004886785314,0.0013843846222356682,0.0001298040306745296,0.00013270148584410002,0.002338013840686215,0.0009008964287743892,0.0006794739475186051,0.00015906067016646652
H5,0.0,0.0,0.0,0.0,0.0,0.07985081695358343,0.035078568865372084,0.003222335206868765,0.010117217696716252,0.0033807681495492403,0.0002888151847415532,0.0009864064319546895,0.0003645706191484077,4.436950491082392e-05,0.0001470941655594693,1.765773227346834e-05,1.1223366474633067e-05,4.331906001320274e-05,8.317705184834878e-06,7.30727043096735e-07,4.158836713452629e-06,0.08814686302610508,0.023353058505341195,0.011148750022502707,0.008403260828555359,0.0019926293316898658,0.00027961153330435806,5.368085996915184e-05,6.489544283949655e-06,8.924163810153374e-06,1.4000917097467536e-05,0.00021337808409849224,4.499994273043928e-05,7.208696139837656e-05,1.8384180066943756e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8221271770648244,1.8522838529771526,2.7830035225578422,0.07842147877983419,0.08627581665411121,0.18068712010462587,0.010992192415816171,0.008683904876575999,0.03672567971146522,0.0008111785012654416,0.0009467472272006727,0.007484887986271699,0.00014520912105031591,0.00016163952680403604,0.000947675832572048,0.20178845052332361,0.04274416475403844,0.030824362893985782,0.0016644887291176191,0.003307850500317344,0.0003048357504726873,0.000628664507196397,6.187225814513475e-05,3.5294944494945746e-05,1.293913055289142e-05,0.002418500717836003,0.006179852576799552,0.0008233743524875686,0.0001371964088161537
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023965377175922953,0.0809372885450026,0.033279089613994506,0.003559053166579007,0.013010866250563469,0.005799812259739134,0.00021684711708247484,0.00131054033638911,0.0003742652880807107,4.0198771338095796e-05,0.00013330524549437506,2.4787051931429716e-05,1.9200119842910368e-05,3.739219874265842e-05,0.011380217579755936,0.0071092408776708416,0.0014166545738329983,4.5497341924161105e-05,0.0001102981957064042,9.209289132172671e-06,2.2912582624101674e-05,5.808355101999396e-06,1.4486614448028234e-06,1.713644530276781e-06,2.3789741041779777e-05,8.137431606025647e-05,4.115790800174324e-06,8.644816820169154e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497187655145932,0.006165421178641051,0.032227738819881946,0.005980819775771584,0.00016115730189736333,0.0028187429345520876,0.0008366800974086708,2.5936257277203723e-05,0.00032244497136546535,9.607141814205189e-05,1.416905179807415e-05,1.562034433466586e-05,7.088243678232686e-06,0.011576808884128376,0.002050123923035163,0.0053393816255646875,0.0016090056015063414,0.0006007141663757487,3.69422067745262e-05,0.0002578785285070051,1.5342654297256786e-05,4.595393612527587e-06,2.974576800207629e-06,0.0031950854491988867,0.019474836992295463,0.0013619107155830035,5.90618776086238e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8684165171370242,1.7675301147425135,2.806670042824254,0.07897521406620023,0.07938403488687962,0.20446467889882414,0.007766990932285056,0.009383611184876739,0.0412378387447431,0.0016673617986451283,0.0017706382397310039,0.0038505535929235224,0.02953821543560392,0.009429341876322925,0.004755412417523308,0.00032435873743019705,0.0007158066685337416,0.00010040330137150999,7.990298804376461e-05,9.049295611296415e-06,6.141064471054669e-06,2.10407824341452e-06,0.0004010106983568795,0.000562679138987332,0.00013179066417202956,3.0452215021292695e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024228247197242148,0.0837035464287148,0.03398586799293968,0.004935448298755363,0.00938328745243866,0.003674147272455519,0.00016138799910314638,0.0008128505164830546,0.000722150062817617,2.8514103255661283e-05,7.753086079209659e-05,0.0008280945623746483,0.0005155926993481996,0.00011209620466279269,1.008835788618434e-05,1.2947459245626902e-05,6.317941357636414e-06,2.6595680449048587e-06,4.1127229577497815e-07,1.3591885439367957e-07,1.0206181833005701e-07,1.3299125332766337e-05,1.6931838730194215e-05,4.1113770685718976e-06,9.578663335840787e-07
