 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,1.9142512748021867,2.0134910006832656,2.8518268705457936,0.08996487074699944,0.20849291366172984,0.017808370276857555,0.008504303611835073,0.035549124573028404,0.002058808251112154,0.0008954215525742715,0.0051242624944370235,0.0009137145524201751,0.00023718217390045204,0.0006637620159002239,0.00019844337740004825,1.9800318507123826e-05,0.00013984696556819387,1.293818593128826e-05,6.133180609457778e-05,1.7808215837522567e-06,0.2510041664333502,0.05131081086009258,0.04163151995982388,0.0019772256578184377,0.004545691718470524,0.000917162803937277,0.0018972327716821613,0.00014780782518453162,0.0005310919069988068,2.2950522544529228e-05,0.0009485217822609027,1.749442718557148e-05,0.00033575064077663586,2.106246160260561e-05,6.547179956784e-05,9.032347361825899e-06,0.0004045116550836503,6.978939373696036e-05,0.00014049008764406568,1.5440942296107707e-05
H2,0.0,0.0,0.027299852049172513,0.10560387277685268,0.006823158784732719,0.03221535581443247,0.0009414335373558735,0.0006842769192028086,0.004667114894308044,9.552617235342176e-05,0.00018968279199893523,0.0009179293753791562,0.00018421035829141452,7.24177235251755e-05,3.653215082355388e-05,1.156118154277408e-05,1.9113216342958594e-06,1.200814222124258e-05,1.3334336683712422e-06,1.1080677818187112e-05,1.2354660183788724e-08,0.007351390886526921,0.0005276427646195847,0.006930995440490251,0.00025808349095024496,0.0006650930374539898,0.00030083283811510597,0.000383291355352422,1.810193254625503e-05,0.0008336340452403945,9.488016359182616e-05,0.001086428204671419,6.87005478932079e-05,9.366288821632818e-05,1.1280401410296292e-05,4.040818128103751e-06,7.155973122063841e-06,8.09023787353702e-05,1.4930419709791032e-05,3.4707932122457485e-05,7.948659024537008e-06
H3,0.0,0.0,0.0,0.09993658744333433,0.03625370650499393,0.00935804888927394,0.0002471629069213943,0.00534486859562322,0.0010651981539723243,0.0003251715408185696,0.00016820069524969838,0.00010240167980624104,3.822305518319524e-06,2.025015887729964e-05,3.1702365312580305e-05,1.1189024512692214e-05,3.838556054791553e-06,4.21782091597489e-06,4.7218194065834496e-07,5.644017690986658e-07,1.1702244762101799e-06,0.013516011347977308,0.009598409872825009,0.0009251935472309736,0.00015064278328358327,0.00011338915935366067,1.0859795102957648e-05,3.658421644003873e-05,4.447858829270679e-05,9.798897262047745e-06,2.315810062603063e-06,1.321083512628718e-05,8.381538805224409e-07,5.7535473556580286e-06,1.1409720057642403e-07,5.626614338893887e-07,3.4869803611226047e-06,2.056019321383662e-05,6.323481685277521e-06,3.6087500855375154e-06,4.315536201726644e-07
C4,0.0,0.0,0.0,0.0,1.9863022521261042,2.7533307197330044,0.09807451349281626,0.08674388164508917,0.16282350404089546,0.02110450902786809,0.004870769102141459,0.02360304107193764,0.0027701144625829066,0.0013595714654843771,0.0019134368421753756,0.0012236610803688652,8.925724252095701e-05,0.00028165857863542143,3.5271980791118374e-05,0.00010891328870776817,3.2481251402982636e-05,2.3082457638186065,0.25526370020936595,0.2339508851395321,0.017543074204757536,0.03783581248714632,0.0033323996912344445,0.0030653898164010596,0.0008072141278461231,0.00031608733966566327,2.4499512837117265e-05,0.0001588900699804885,1.3179759311698902e-05,0.0007821548608153983,1.7295637261272034e-05,0.00011710828382982541,1.7159010836875765e-05,0.004429501614160614,0.0005068391947054135,0.0013394773646052682,0.00028131258696406647
H5,0.0,0.0,0.0,0.0,0.0,0.07911836158567409,0.004332198965884881,0.035515054902686805,0.007383370665212552,0.0012464872176463082,0.0003397499609099075,0.0009688732690118496,9.176596047066887e-05,0.0003076348355861569,0.00028202350533379494,0.00015090206767687242,2.3970331654910026e-05,3.257180589311126e-05,3.887959630688442e-06,7.684687610698404e-07,1.1219392763273106e-05,0.09322205797244898,0.021229210840240653,0.011831785294896036,0.01019851530131688,0.001663267041724037,0.0001259124473869111,0.00031165402974631107,1.6419513717780276e-05,1.8047814391852768e-05,3.0621357058890908e-06,8.017384183212073e-06,2.6619638231473175e-06,9.325304264962142e-05,3.841676621707535e-06,2.044847153359619e-05,7.659936582804505e-07,7.834634479286784e-05,7.81779933900495e-05,1.3304056856289215e-05,3.1436333207679468e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.653573287150175,2.033515725835043,2.528443603185038,0.07441620464032117,0.08375866891821704,0.17153836166519032,0.02567622784903123,0.015878390670907683,0.017751369832438246,0.007808788580983217,0.00099704253229993,0.0020797198291637453,0.00015837730919032733,0.0005549766669766809,0.00025639711661962217,0.17175854219598286,0.04214669417297437,0.02803363249536553,0.0018885338238975313,0.00566081941024732,0.0003081881134315845,0.00039628582179546123,0.00016530813637949393,8.940770186367797e-05,2.665236257248793e-06,9.650078520762051e-05,8.501735051957837e-06,6.126853163343493e-05,2.2953067888575873e-06,1.0212489760741406e-05,6.414003053789585e-06,0.0008791735500260078,0.0001048789605012923,0.0003083917051004831,9.503030955382297e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02483964135149974,0.0847433378339344,0.018246359028848635,0.01335619142084754,0.005152018248659629,0.00015124451550940776,0.0007432347726066268,0.0016720094288315002,0.0002937871653361235,0.00026254716774354314,0.0002467643809553888,6.280613008780023e-06,3.244300467564187e-05,2.1613505874595873e-05,0.028621384355781876,0.00435215085061702,0.003663778279351382,0.00011467477832538542,0.0010561293786435222,2.2570119257991905e-05,4.717761555483868e-05,6.617199509006966e-06,5.437892645954179e-06,1.6336318009457784e-07,9.685847246476698e-07,6.683335409540803e-07,1.2086075100836702e-05,5.5260820808200606e-08,2.3872454169016066e-06,1.8917039708021832e-06,0.00017179518846677233,8.332793559051588e-06,5.726987197274269e-05,1.6694077727308354e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07476399725036909,0.004023137817042777,0.016684629062015732,0.02385422401611481,0.0020770154477234293,0.004232655638976901,0.0063970222643259245,0.0084029613549097,0.00017722395182606654,0.0007611916305043653,6.21859998282126e-05,5.9517138246700796e-05,0.00018778798073659786,0.012941084237317435,0.019800685809831076,0.001739693438794765,0.0008404068312664048,0.0002048369886105128,1.942374326757701e-05,1.050636293475904e-05,5.046529961250101e-06,1.5151736929563953e-06,3.573507829646161e-07,4.245464637619989e-07,6.064854893850224e-07,1.3153557174572228e-06,4.2556710710961454e-07,2.571827399933113e-07,1.6536260627475485e-07,5.282938879291876e-05,1.7663184642913166e-05,6.890613812426949e-06,1.1978150351588113e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0495029615913727,2.0491825911456116,2.6646961516752143,0.08152236420935721,0.07731188700718006,0.19523356944112275,0.011001412317228176,0.004861035215926179,0.039864120173917744,0.0036113643561952458,0.0016181027682775628,0.0015437096082586699,0.019944489181049824,0.008740661997137522,0.0035105017654663145,0.00011216682287096269,0.00036460675368280016,3.634877562641581e-05,0.00011952539295725928,3.561049826039664e-05,2.1666492105387736e-05,2.6242930983855217e-07,2.1301602765699812e-05,2.0851300592816813e-06,1.7621512177240506e-05,6.278575632734373e-07,1.9777731878889426e-06,2.8930146704908566e-06,4.84845368993736e-05,6.939403789568699e-06,2.0309880175345407e-05,4.576275375089978e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025349257905092015,0.0824521457357732,0.0016861819849822712,0.03228146682874966,0.01782650985094625,0.0006059194868119899,0.002596970616888683,0.0016805694216823763,8.431529357433298e-05,0.00015977110909259906,0.0007246662786317692,0.01282434979061442,0.0026587399317452576,0.0015077946797056319,5.741391625413428e-05,0.0001508406300594345,1.7855612005401866e-05,7.43708311083946e-05,2.1250651735638115e-05,7.473653683143233e-06,8.9510214573707e-08,7.191311164334024e-07,1.151694986045726e-07,1.2468056090897406e-05,1.7226815840487575e-07,5.82294435780284e-07,3.4926667511481213e-06,2.2034261942582845e-05,3.483120913361226e-06,8.602967130899586e-06,2.8570507277780877e-06
