,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
1N,0.0,1.0184704258736499,1.019894618397153,1.4678982904324496,2.0769025804873906,2.4385194738967875,2.5749054214806475,2.6649937533518653,3.8529206459002343,4.067983775743635,4.365348677912078,4.941293018286533,5.908406569462224,5.0018128225741085,5.1708256484249135,4.405564726966872,5.728211276265088,6.328128353583044,6.752354414181698,7.124994715104972,6.18705357915481,2.4854911094610364,3.200530971825714,3.2277816202748135,3.306787589715898,4.522397558873436,5.011811499291705,4.798456422615839,4.239639963370954,4.8729244079621745,5.344194027646079,4.037834903521097,5.699867481735555,6.261980782075659,6.536277040194092,6.647215681089689,6.967618536744775,5.514859472946103,5.452208131583755,6.761833407846505,7.387449340023608
2H,0.0,0.0,1.6371888015651337,2.066391566611858,2.3433921550149956,3.340006894926578,3.496998129181325,3.6270696842530223,4.633480373374375,4.6701303782202315,5.11410636395944,5.806179006955123,6.7427326147105076,5.957323165534536,5.9499757810114575,5.142905074735448,6.394765195279996,7.157490874379816,7.5090285446097385,7.972307399007179,7.077798432532466,2.7535084400555405,3.6191976677454574,3.072740307672278,2.981076904559946,4.2842654580900925,4.969475400628713,4.414158841518388,3.993954202253957,4.1994458140404145,4.652986184511303,3.257010146010484,4.975807203866861,5.924383839533241,6.360668832439809,6.270236230792854,6.549791178616496,5.139710185741114,4.985212796201044,6.411272284273544,6.977216580269052
3H,0.0,0.0,0.0,2.053036986447099,2.93107323822228,2.717735130350389,2.970387912998013,2.512459128630468,4.18124114930489,4.457134938637096,4.84943421718832,5.001360506246082,6.047947819020215,4.960886957631791,5.0216867971945875,4.136355694166229,5.665728618849862,6.005464758121901,6.339821129991675,6.881450375540668,5.774983046257552,2.6340163776388894,2.962798575659929,3.5408947086769933,3.8652645644329806,4.64461625424058,5.029432643931982,4.684513130549149,3.9290884996023796,4.883215099183623,5.197959148595476,4.182078745922253,5.832062465098347,6.0484379217008115,6.263590927294989,6.313913518565367,6.872586663837147,5.835443509959216,5.962546609383527,6.992138241770679,7.709003728161234
4C,0.0,0.0,0.0,0.0,1.0980495358839069,1.5332514565442117,2.134119212880424,2.129758644911407,2.5986195399701097,2.631761237300576,3.1966831586242086,3.826564050844381,4.713647451259122,4.143474580206428,4.088619130357367,3.469151969736615,4.502067159401512,5.428060475214639,5.898462134009376,6.139982264029172,5.480554355426985,1.5438703174840143,2.4393089184570322,2.45090661195795,2.595758650312252,3.8438466999550336,4.155125410338808,4.563835236416876,4.14264120904211,4.958634358874039,5.653588346381339,4.264009034992382,5.668945690692782,5.966726439085701,6.080464766213815,6.56291684248815,6.600459436521341,4.771909096378194,4.744110293426331,5.988016966516354,6.607768264182184
5H,0.0,0.0,0.0,0.0,0.0,2.1633488689589395,2.4980363924635194,3.0453824946339125,2.8292268768412927,2.6861555779973574,3.1156482938582712,4.284721606081395,5.000132175964953,4.706490143207679,4.736638177024146,4.280627355818384,5.000520613729359,6.170223458891891,6.689378808622293,6.778667150604215,6.3064492262978975,2.172614701704764,3.2796295164429665,2.558924620439867,2.2822629732003157,4.010581409800849,4.444327760404943,4.917972231212126,4.720422609557924,5.137895483307856,5.945469251153975,4.359649532953269,5.674807633631847,6.353727213787178,6.547295816406632,7.033547133786706,6.8345779478113275,4.601178399865587,4.3098439612696655,5.87849368596462,6.357762583245846
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0938581765770963,1.0981994122519152,1.547606470145201,2.1956996322673485,2.1807406749673413,2.57631197043311,3.5050777801018858,2.6906796436095903,3.2045739192634364,2.8414714734504134,3.8606719201178183,4.4238261579827185,5.089416567378958,5.0374037087032875,4.363477709449966,2.5315978937840855,2.864422513553643,3.696513441977801,3.9578723251899133,4.965236195474659,4.992169329487164,5.755651437020479,5.2113206241254,6.355930916611644,7.009517805142874,5.738345370541088,7.099222579442507,7.027198019509983,6.944195642670673,7.626222832641713,7.727031981098956,5.949630823559112,5.999146350713143,7.063322279395113,7.714062455289161
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7552811559299242,2.184725044266147,3.002055262052083,2.3304320855340928,3.172254934164737,3.9824639142788865,3.0056039136940096,4.0824583836782855,3.818257385697654,4.80512969228055,5.1633804800231005,5.916525961240422,5.697132026210585,4.959726592162331,3.4589707839653556,3.891218453366217,4.528918120193036,4.622534980408971,5.8828211456860044,6.009449163405024,6.618391090623561,6.066442608471013,7.049695307642178,7.664745678441989,6.314373487248696,7.791126621426124,7.959473230757904,7.947107935345423,8.515140951660381,8.652323056773266,6.791056678723224,6.701169221659863,7.969089438897705,8.568206354600184
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185294706921994,2.847613630186487,2.9934320117481845,2.578251907838011,3.6489948765600633,2.45402663589633,2.863810289946216,2.3103150859591857,3.715701478995436,3.8329095611161574,4.4301304620354784,4.576766231675661,3.6119538585206143,2.7204022842404703,2.599183798847368,4.0445497864147315,4.518123080452643,5.148029747703297,5.0654741342130905,5.727937213696149,5.012348480771126,6.443666851721707,6.97181638106769,5.922817503914439,7.294683210482309,6.898735590700709,6.736648312497147,7.393661188485286,7.712967257657399,6.333395296644019,6.5601200687616705,7.36633335926671,8.111151971759801
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986759583502481,1.094640753618426,1.5445783245260998,2.1874337838105933,2.1642695925437407,2.5192823657859917,2.680222880922473,2.9350383890768668,3.867497758875382,4.631530824558299,4.233942923394218,4.078854531862823,3.114816070065131,3.3300650761940864,4.088893534594085,4.339511859508985,5.195689603445598,4.998579053718494,6.285361135948872,5.892903652045508,7.073949527530508,7.853927915026976,6.5749597829814155,7.685088661167395,7.407731267505343,7.170182960957134,8.154714799556402,8.003289325451602,5.991592715792868,6.057336293112538,6.968231046088191,7.562651503019793
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7483071559282795,2.1638123583915263,2.604726015327859,3.058047539607477,2.6437874722369568,2.759931338247205,2.656118728787354,4.144777848974679,4.749398546911502,4.514408648598164,4.574917235071526,2.722931807311672,3.0485529251831083,3.4297360649912574,3.6725853260793806,4.414915782669857,4.180013811781196,5.665138731514301,5.433293020960803,6.506193143799767,7.370924376467579,6.0933289170217435,7.010943030458282,6.7254772718695275,6.4817837985481415,7.563129410303207,7.221025652463532,5.070783366450004,5.1571460023664235,5.990407117670665,6.551265132533456
