,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22O,23H,24C,25H,26H,27H,28C,29O,30O,31H
1N,0.0,1.0182132930248375,1.0220357047048054,1.4691592873750778,2.094167130183986,2.43661482979067,2.7264430082243725,2.6804881659933035,2.0471637823235094,3.8174321196989105,4.084505692546711,4.573329479111373,4.259660492761257,2.4778803310152613,2.79533196828859,3.657719406850499,3.9630030344803626,4.914983199009107,4.952688429309374,5.669415183991986,6.657917715370495,6.102943262815597,5.428171847724581,5.295841085704223,6.18637393079317,5.348659187009845,4.418741903313922,5.973523467238767,6.027758493250895,7.139070637634572,7.808704780052603
2H,0.0,0.0,1.632804241628159,2.059006228803968,2.286777813984388,3.3123767824999373,3.707759740887935,3.487391812308141,2.806090680807462,4.561853185082246,4.65092863776883,5.399995721731848,4.96213970010887,2.8575575147209427,3.191777583585581,3.863762883597467,4.185931255508345,5.117058427685705,5.275250091395023,5.610488589055173,6.648553980859841,5.910612439145056,5.155544120483712,5.08330959985531,5.849861333582768,5.258281435030877,4.089192012724563,6.2638218820182265,6.355514953417824,7.432906949574168,8.13369242720925
3H,0.0,0.0,0.0,2.0243459137548077,2.8993677590841966,2.830494223740484,2.715724977035822,3.2739485558130674,2.6696232077256825,4.250510275136442,4.719331376053574,4.953172875965304,4.532976158061283,2.4756990535220025,2.313275285139563,3.8099539903613673,4.327224077420318,4.8569824290522545,4.68154788338849,5.596096281984401,6.507866106525165,6.248619904204475,5.684223232042656,5.076031182859732,5.986481138941068,4.926983093014494,4.287480753160258,6.033370436233135,6.262403238711365,7.080324277393072,7.818773335501508
4C,0.0,0.0,0.0,0.0,1.0969261327396556,1.561449884245517,2.1582746571340774,2.4089191309541462,2.3335002889192467,2.589744637007879,2.831468987167556,3.5221432513795783,2.9031502424898084,1.534185280696158,2.4077344482644474,2.4732050999748094,2.600718268547367,3.829693859204656,4.013163617575898,4.802959118330182,5.7701017407058535,5.165237020887954,4.544690494423902,4.813744848962897,5.786316796415855,4.981652306288072,4.081878352402514,4.6794908433226,4.611718410574701,5.909885015210415,6.4992125099474825
5H,0.0,0.0,0.0,0.0,0.0,2.161689334232842,3.050094281900909,2.6955533338869726,2.6953756421762414,2.7517027400682723,2.5461063672855846,3.741140028578542,3.148425557794103,2.180038875799631,3.258056494881493,2.595521319150835,2.391063674890988,4.052936121887784,4.502007638987485,4.882920319874366,5.903741898866823,4.933621277915136,4.1899644869623875,5.015238637557469,5.8932119908273,5.403478159770767,4.2247724302642835,4.749533633476025,4.497578765274174,6.059969452776855,6.570623168058716
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1058192332979748,1.412254420208956,1.903845721135692,1.5240389513909705,2.166118564591781,2.1498004016419374,2.1892031382038857,2.5612617740452612,3.251566611214475,3.3533539925449065,3.2570770817186516,4.54153223580158,4.575915711127053,5.810068511191007,6.654103258861691,6.234250691100713,5.7204611979743545,6.037844624212946,7.073811675727753,6.084304210265825,5.4540480158733775,5.04208116146749,4.776283614736783,6.225331734356296,6.672269620179506
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0775407058544224,2.394587937442459,2.15904655163369,3.0748584510087875,2.5074784635883085,2.500274739147721,2.694351874599461,2.9742462169495116,3.6669962397219917,3.805105925439209,4.620767204090432,4.389478287065647,5.945217290890564,6.694741237956264,6.599111622914808,6.196401081142376,6.087255689433346,7.160163671083686,5.934866860525649,5.603642858049932,5.196860732274452,5.116174859345706,6.236216113822466,6.736404747219468
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799973299102327,2.3747748259806674,2.654221159262498,2.5889698263446426,3.344598585549891,3.767873847935117,4.4166285988904,4.595767999197322,4.398919437603794,5.8800981916727615,5.961633671803288,7.065759528328416,7.965869567173786,7.370781196372593,6.748715686829096,7.196965901030708,8.189203720336925,7.282000581769162,6.488002223724307,6.36661297389815,5.984688504994242,7.586167678711826,7.990088389507215
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.180615135254145,3.4286318015100155,3.523619187506778,4.046685184256237,3.7586198811392157,4.272452826029584,4.760952034252948,4.711073691207646,6.081089000531274,6.1312766818275355,7.131184336857045,8.079001111079098,7.467241019960763,6.792980411590011,7.056384355123459,8.009083074337543,7.1169594628226855,6.25716008259614,6.772692679706082,6.514594997188106,7.993972066424414,8.48821255440127
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969958184965112,1.0946178824301356,1.0948392294677738,3.185162250471993,4.06642909218473,3.387713838357327,2.933072556009775,4.407463181594539,4.596162595758555,5.803174625206186,6.540529690854305,6.074794557053447,5.661056254701814,6.400807317628815,7.425327157755604,6.552983805446146,5.978522968589579,4.428518932780779,3.8665187448715788,5.601111058539832,5.846952434853368
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768412591722003,1.7829126549499674,3.582385598071401,4.649600835967313,3.545904337676295,2.8394972541208254,4.675877970115294,5.094509222263302,5.92974531650357,6.723881079030267,5.941189741872283,5.435003229249548,6.593624972873313,7.546066434340991,6.916320465784569,6.106691532110855,4.598809251283778,3.843892180157279,5.851369140023888,6.025625013832138
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7733650520683326,4.165184718125336,4.911223771882634,4.4248919352294624,3.978954733962392,5.328977773008376,5.412810981967266,6.784351104916099,7.454049437916483,7.094166144074573,6.722207698474161,7.409730517937706,8.451259582453437,7.490496653137195,7.021978484091805,5.208923086219987,4.587889360400805,6.275202174733386,6.423210699193084
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.934088075448207,3.753148823181812,2.854192351343812,2.4543880382399696,3.5944152774070464,3.75343907745532,5.072392124090475,5.697090177179114,5.4344936641760615,5.173986647778857,5.8259195065003695,6.854728906000093,5.947491859029515,5.575100321670107,3.4546951106706913,2.958308164781803,4.55976875318912,4.798500228949557
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2279991278757658,1.3722839318060356,2.055019750903313,2.4624665307220726,2.537287240886855,3.446674098859389,4.351506966184216,4.090125419447518,3.671793177543803,3.4832098027461886,4.529859141338915,3.5625151812168756,2.9604271281856973,3.573665062250312,3.8587340408781277,4.678268975654416,5.395592381742291
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2815905601800686,3.154270127431422,2.80372935765833,2.4190516626561185,3.624086399775987,4.387350359467184,4.589241870982341,4.320794108573949,3.3127176080533087,4.364465872355717,3.0227199449274695,2.9190043573318243,4.099511620675561,4.647445548011251,4.958375750212896,5.781125252636152
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0156745765803603,1.4581320523517516,2.0863007781241727,2.5048802331698745,3.4131901413882226,2.9345730671302226,2.6079988203881412,3.0740397110095508,4.061124076851518,3.4434076881426248,2.7869385873226062,2.405567738196986,2.685461147438744,3.6095693743943262,4.279703844104085
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0901364079501703,2.8671571821875084,3.118925270811272,3.974402300643458,3.157511202156066,2.7486165355060805,3.9076988103816923,4.806004078818845,4.395487090336987,3.5960832879424482,2.4119004099577133,2.2073982094856435,3.7469237488138214,4.216759666289545
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962308200061408,1.5554583862868767,2.1509888644305226,2.438052501616079,2.6334361824281323,2.567875977283677,3.505938778645612,2.822165849851046,2.8412159671688824,1.5234574882941314,2.4288810338606948,2.3796234932914087,3.2144358188325604
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1727901445162963,2.494825030728964,3.371070958057944,3.6117400579674714,2.7739146917571986,3.7692939571697974,2.5817314087058563,3.1443203073722215,2.1511299449201164,3.135492388850977,2.63280075462551,3.530294181280336
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944009369653298,1.4232907071999363,1.9419492687211126,1.5272956697923763,2.152155110685164,2.181824341755226,2.175356796937327,2.5223642023007318,3.4677627316230057,2.9224583858810975,3.779093685074804
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007264826021344,2.8106843863930546,2.1574867997110703,2.4766924139522812,2.5244266862917266,3.0744729155980077,2.6835633698069437,3.7724507496821245,2.537642198323082,3.3883740820684496
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972267573956379,2.4461649203553106,2.6774163583912087,3.3948358296319077,2.750491011500891,2.8940690920548766,3.4608749731759034,3.430738550532945,4.0434841217856965
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.585219461900958,2.9149454320331656,3.5941550573066534,2.476773469643978,3.259676277793053,3.6115778690381766,4.078341592669765,4.675431583292124
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09478359915938,1.0947075247757414,1.0960836213158254,3.895558103933084,4.814938567938731,4.310633873454067,5.225113959812546
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7840473963992898,1.7775597989989902,4.670357593195252,5.589657079049294,4.926691053871745,5.798331793616126
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765810647220843,4.204426673320547,5.228310982250856,4.4765158317838765,5.444093958131177
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253579974121144,4.97821526210069,4.943945726551857,5.823018947666964
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133759799250785,1.345945864844552,1.8761489164992973
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2539007464719463,2.2950830297256637
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765994154192185
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
