 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,O22,H23,C24,H25,H26,H27,C28,O29,O30,H31
N1,0.0,2.0447730350551634,1.8256097964875173,2.7921250660797075,0.0832666475777224,0.20185188026882023,0.006749428715467909,0.10193758564059446,0.20531944960228476,0.030770434574766845,0.0008981746911347344,0.004031219821464482,0.0009771196278209882,0.22021933919223657,0.058461538777105165,0.033866319865166486,0.002575862117811356,0.006553602523817759,0.0005561690885969028,0.0012051801057946787,0.00022936619729252428,0.00011358365883749888,6.73934056193426e-05,0.0001458926216132972,1.720556673601159e-05,2.1624137578779568e-05,7.034255643811882e-05,0.0005686308562573295,0.00012466390958421059,0.00019469625528284462,4.688997974200415e-05
H2,0.0,0.0,0.028942022611155416,0.10319935450194528,0.009524669525710738,0.028640472383294147,0.0005331893983566705,0.0036356219673762125,0.0013225792057889318,0.0032750516280228847,1.637354609740349e-05,0.0009765188579635709,9.671614679440665e-05,0.005544447829215815,0.0014666017838054213,0.00040205522620861966,3.24599512167012e-05,0.00015473795228582166,1.7535596137374654e-05,3.2305148038092035e-05,1.3229596866892734e-05,6.238854504903024e-06,2.428507453355877e-06,3.349363199156574e-05,4.48241170669661e-06,1.6192930183400733e-06,6.333825718662922e-05,1.2539720493975892e-05,2.7422353856554338e-06,3.91017926204551e-06,7.407522251146048e-07
H3,0.0,0.0,0.0,0.10503727349879066,0.031796593602827494,0.005790638215775412,0.0028009953048382386,0.0017439030412025325,0.0016598538139831476,0.0007588349662590588,0.0003616533050565529,0.00020715103958690584,1.4268973548281494e-05,0.028414363963490286,0.07139547571129135,0.004813758762818421,0.0005118026100705553,0.0006385222266027668,8.388122508029561e-05,6.112869375940466e-05,4.195799878869977e-06,1.57338979783761e-05,1.0565175596388698e-05,3.939932090957221e-05,9.224216802161678e-06,1.0066910328454526e-05,1.0123754638602378e-05,7.762358715590612e-05,4.8245669434288097e-05,9.6319500516584e-06,2.163811972044627e-06
C4,0.0,0.0,0.0,0.0,1.6878026280323726,2.6761729953541895,0.08495728979894412,0.21858078495863814,0.03491048184395118,0.15686594824605823,0.011057248801310537,0.03163126689693252,0.004034584356775728,2.6641847160567966,0.2826257726739441,0.22360547742937828,0.014287265715561825,0.03568716234626479,0.005008369478369024,0.0036149114425371165,0.0008215576625922871,0.00045796064564182504,0.0002169117958737976,0.0010848350519161026,0.00012823096958025637,0.0003731657777072961,0.00038832075622874385,0.003436867648263092,0.0005146437471635068,0.0010748564309132486,0.00022004113954299243
H5,0.0,0.0,0.0,0.0,0.0,0.07754228094475679,0.035571699448106564,0.009141081341004442,0.0014381550057147585,0.011376448322751087,0.0060273736222384855,0.0006252003946487505,5.182453429997125e-05,0.09504347260698376,0.024179946026013144,0.011182029595667053,0.006374463592986324,0.0018611974461320013,0.00033651868078266034,6.388767114939853e-05,1.025742933635776e-05,1.451443331279556e-05,1.574549893512689e-05,9.936309122970943e-05,2.1010669260190795e-05,2.8167644964272043e-05,3.583219519809333e-05,0.00012492111823569907,9.112317273207715e-05,4.548811452853574e-05,1.3550073791224193e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7603938217333168,3.0477218058183024,0.11685575293780859,2.8184359493309383,0.08857603787493784,0.10066781804116309,0.09526455925021438,0.17638981738589116,0.03766309279901402,0.025506651063221447,0.0009306439565329727,0.00324413447751562,0.00024122164069972918,0.000707402916558797,4.651596013394155e-05,0.00011004620550825184,6.348228931452038e-05,0.00026165816947029685,1.0479112050987283e-05,1.4269590208781935e-05,0.000209757056263582,0.0008098225353361244,0.00039473241798677894,0.00022944552297946008,6.479584229579505e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11408886898237103,0.007028229660999807,0.08682531735969556,0.036866177805343625,0.0049624846252864785,0.00395364239211804,0.01150177371510952,0.006514601791507424,0.0013628299356902573,0.00020812551021065495,0.00013216585408959425,1.484995101064257e-05,3.314205316251595e-05,5.868976983514074e-06,3.998163073726246e-06,6.856904078533788e-06,1.5868292328136135e-05,7.126773909904571e-06,2.68429268124315e-06,7.791369242671209e-06,8.32823286667228e-06,1.2339602643574032e-05,1.606554157707052e-06,1.3279407728994386e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179135705034455,0.20256412258804302,0.009513265212387045,0.011037801721522245,0.03017020328623954,0.03987871303123129,0.009762958948008521,0.005847501200417354,0.00037361288969317563,0.0010325464860432843,9.772688508202787e-05,0.00013099213536217624,7.473515248546114e-06,2.6163591819436394e-05,6.378605166168505e-06,4.5715469513540885e-05,3.3292274406182543e-06,5.662167952391606e-06,3.292020270440066e-05,0.0003517050742964656,0.00016474708032349072,9.393982701848269e-05,2.1550098979417065e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032802063785935864,0.0007246146348804938,0.000707539893400666,0.0025293504271670653,0.005613595800270432,0.001198147811325767,0.0008214447887880949,3.180173846861756e-05,0.0001770968527766703,6.098487540295849e-06,9.96590399482411e-06,2.9252782800526234e-06,1.2432404221662807e-06,4.561203477138065e-07,3.3090761317744466e-06,7.493021425553081e-08,7.631857745771242e-08,8.411254317497452e-07,4.016221487501692e-05,2.335672286091217e-05,1.2691533098019292e-05,4.064573329021215e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761653680781442,2.024366924709545,2.045357590886601,0.013079457064822081,0.0029287270599455822,0.013367510542944341,0.009446964526372281,0.0010802395336861337,6.764064300335271e-05,0.0005356500438888356,4.9751286741561707e-05,5.754609966328317e-05,6.464811787354474e-05,8.407016239438125e-05,4.368865985426851e-06,5.905851965248843e-06,3.942418826463623e-05,0.0016255207815364936,0.004496408664689894,0.0004626784144618479,3.83832785366689e-05
