 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,S32,C33,H34,H35,H36,C37,O38,O39,H40
N1,0.0,1.9997028305506652,1.9835003291271351,3.0657344138894924,0.09100031407618625,0.19230135264562,0.03303211677592488,0.0033787352031691142,0.029394496881970877,0.004173519469842096,0.0003287323869455294,0.005973579482359631,0.00021714954958029775,0.000694429234575536,4.080296676489681e-05,0.001213545942101532,0.00011818244601735639,0.001375106329547529,5.580192431686726e-06,0.23052143255889262,0.05046287777710988,0.0331641721654827,0.00219110496180952,0.00741744104052558,0.0001769670991322858,0.0013940031494879823,5.709010301735429e-05,1.926729573609176e-05,0.0004223670231248422,4.117616381527078e-06,1.2400302050852297e-05,0.00015939484049833086,3.55577464783291e-05,8.739601392471208e-06,7.517261945144682e-07,5.453718036063648e-07,0.0006421212253049091,0.00012028277161324485,8.449853201050739e-05,1.2660205776948708e-05
H2,0.0,0.0,0.02676793011976053,0.11031756361363898,0.007536670177942684,0.033291991421877665,0.002023131362027808,0.00019776711840235883,0.004264555902090406,0.0006459603020070315,3.5695883248143545e-05,0.0010421459846914338,4.635905834682319e-05,8.964020826618402e-05,1.5041391890457945e-05,0.00021690386437944742,4.03400171733459e-05,0.00023531671062504422,7.294350947706363e-07,0.008402057188305334,0.007588606574735812,0.0008439799428792139,1.8282551238035794e-05,0.0001983398616021148,9.127730150382263e-06,1.7451639885313064e-05,1.954236484191796e-06,7.355154669763664e-07,4.10829743924257e-06,4.68116987173417e-07,4.569924927366742e-08,2.025274637218466e-06,4.875579464602708e-07,9.25117786820806e-08,1.1512455211359907e-08,4.781707696466242e-09,3.9092492802872414e-05,3.46324154184563e-05,6.371135273686157e-06,1.2650343108600026e-06
H3,0.0,0.0,0.0,0.10670166425221062,0.036761893670514745,0.007066285523268601,0.0005246081833139016,0.0023189211513241492,0.000909461071458284,0.000442512271362383,5.4235515239531296e-05,0.00015325808469346391,8.957778886209411e-06,0.00012842266318668916,1.157170198928803e-05,4.918915241947097e-05,4.903023306024323e-06,1.7104826214531244e-05,3.7443518041690993e-07,0.018567099846106938,0.044976852182911364,0.0031610975581074507,0.0003444245606942786,0.0004241398515432149,2.0752890098174603e-05,8.926362437111646e-05,3.217424406898317e-06,9.37111895149556e-06,1.1922710665190905e-05,9.981035575812314e-08,8.324249181068666e-07,4.637975910992687e-06,1.2545231345972851e-06,2.2676314981318058e-07,3.062467612835462e-08,2.023509515503008e-08,6.813475358224963e-05,1.934520508750648e-05,1.3211636250787251e-05,1.2345648707778878e-06
C4,0.0,0.0,0.0,0.0,2.0669823241437317,2.7481898400962947,0.09295744951471274,0.08036681843980031,0.1687660086266224,0.03551071144497461,0.0016763612928605287,0.034081032422039026,0.0005855741792077929,0.004336792688912877,0.00011748140340550606,0.0047257782509375346,0.00020214811640140162,0.01289030758394663,4.594161687632159e-05,2.729937155266576,0.27498484717241994,0.207999358515566,0.01148430239124898,0.034682253775514565,0.0019396468526903243,0.004249193389744554,0.00019378631657440692,8.828355700574164e-05,0.0014556566852187147,2.8206254042428824e-05,2.8174924454393846e-05,0.00033554683653642947,7.809781899620338e-05,2.1731114222101056e-05,1.9377200592973765e-06,1.488458312604024e-06,0.0054238402911867545,0.0014244351296291008,0.0009051179609008281,7.568214429309883e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07762803319523393,0.002403518662357884,0.031181701566304953,0.014967848134538775,0.007792683298733616,0.002129127005857656,0.0013798588375164567,0.00015976317599419865,0.0008347889749116266,5.901024574717084e-05,0.0007103732516897665,2.6141204805263385e-05,0.0006188735495635811,1.3264631508302926e-05,0.09787931069718803,0.0265748664580594,0.009794099996278782,0.0024043506206379295,0.0012821522724415502,6.566844085198476e-05,4.332709735233031e-05,1.4353786965903836e-05,5.487254376213002e-06,7.758920419931314e-06,1.451022797693824e-06,1.068732252029747e-06,1.7752276812998957e-06,4.597996334787524e-07,3.553759420071856e-08,2.6986614720669877e-08,1.734042731627028e-08,0.0006299235105409196,5.991058497167856e-05,8.694445488610647e-05,2.315933078800292e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9301617873232255,1.9514627539499716,2.782142587250884,0.2374725973600844,0.014106962371666976,0.23763065922306392,0.014143470764603316,0.0358919561475628,0.0026281113412918167,0.034965065321039795,0.002573008547487543,0.02123356744134927,0.0005161523854473327,0.183460289511817,0.0395072156203963,0.024080955586382166,0.002401786581744836,0.0024814841749677685,0.0005857393892336749,0.0002907374175854516,3.0255443148607952e-05,2.2743355735377335e-05,5.448138258198898e-05,5.810769184710907e-06,5.8018324584629966e-06,1.3639909559853836e-05,2.97186737463484e-06,6.354546036035913e-07,1.1292250645666968e-07,1.0741859401974807e-07,0.001352702625986163,0.0010902643495708242,0.0002734510259540246,3.407542323408119e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025686078241156096,0.10149911093807229,0.01862318679603181,0.003961086354480781,0.028710693249159647,0.0004562735804349849,0.001951981901968436,4.6438155825834215e-05,0.0030028796482155506,0.0005092935948014521,0.005690474308509552,1.8559743355073266e-05,0.0283666397940312,0.004214391403214113,0.004477723304042058,0.00044688667875214527,0.0005002626661387843,0.00013073454636036708,6.341364706430319e-05,7.094563316156766e-06,1.1518346742622754e-05,1.7753964928202137e-05,2.360136533763324e-06,1.4499719243055154e-06,2.455586872285309e-06,4.958159468548828e-07,1.635536082122968e-07,4.3617912171001194e-08,2.3140249938435886e-08,0.0003486797420120258,5.686653738679048e-05,8.246744749107471e-05,8.084435218602692e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09700380108182727,0.024212092303038224,0.0007949344035536043,0.016834158940855826,0.006363149062475593,0.002884398671139543,0.0007572533760604738,0.0014881004347824245,6.692819943721062e-05,0.001454366961828324,3.6409396372283354e-05,0.01582845968399549,0.0037072048839678073,0.0012039349923417264,7.083567196097817e-05,0.00013582604373230112,8.331257211224852e-06,2.8427768780092677e-05,1.813278804441154e-06,1.8350691672885944e-06,7.306846077526075e-06,3.1933313993093293e-07,1.550264276950486e-07,2.472591469793173e-06,5.304370762626576e-07,1.419429529470051e-07,1.3150182720522707e-08,1.4525278313470835e-08,0.00034785950893301276,0.001380014455066303,0.00013509564487290682,3.272261618114669e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.711236049707549,0.12562130518081172,3.694784230377131,0.12591976188989884,0.3279506945364875,0.02645205274041662,0.326909575227682,0.026369849599849893,0.3003520761692496,0.004014494614403397,0.009934370072229387,0.0031369892880812322,0.015101012242161344,0.03785319961725775,0.0016296706620138879,0.0004836257364010388,0.0003061144181383535,6.127410567602354e-06,0.00015145254453607926,4.4794998871028335e-05,1.1305085323431996e-06,3.1924450605069765e-05,7.232273214405338e-06,8.159406610086517e-07,1.4159112149414455e-07,3.374366919217664e-08,1.0155631491315376e-07,0.0005447895858780027,0.00216278764700073,0.0001746593381895395,2.383299825658991e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9836597174806603,0.325297401562319,0.02769314698162617,3.838569304845617,0.13144938721844035,0.31808077741147567,0.0035810348437823603,0.3314786755131285,0.027201207809112837,0.0028069980784925785,0.0016797094903875515,0.0031649946963388104,0.004038676893697857,0.0005861496822770484,0.00011462618474689101,0.00021599198593372226,3.5893093486283334e-06,0.00046243732774065016,1.9828795038423497e-05,5.636530804320472e-07,7.400813801350381e-06,4.616688794562007e-06,2.2648832223581827e-07,1.3096397966094742e-08,2.5548229753979967e-08,1.844639627712752e-07,0.00011765349731093777,0.0003985463400122957,3.953697685234181e-05,1.1276530712200916e-05
