,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32S,33C,34H,35H,36H,37C,38O,39O,40H
1N,0.0,1.0204704687013506,1.0218502539589367,1.461793511703384,2.0802983885206427,2.464928932824335,2.465208499375604,2.861503834847031,3.806350708907145,4.404441365231916,4.0779835882169095,4.862800684631527,4.915947024750601,5.759177883778419,6.4057981554268135,6.118657172215666,6.97446503787376,6.501352985762805,7.56499426874496,2.488749692493394,2.768714354961557,3.7197658469341293,4.024344451389727,4.923142597629746,5.044177654358017,6.155404555300264,6.136940665852201,6.355005331270186,7.465212440178931,7.765947251039649,7.534886062557968,8.880151939632082,10.241810018130376,11.151469716367098,10.389686264673687,10.233975472423019,5.322816920259709,5.306663892137868,6.2147925937045345,6.642656516154371
2H,0.0,0.0,1.6073959671265938,2.0304659456917244,2.3206798389323153,3.34973964798696,3.4158952593445457,3.783969763247993,4.557883400341112,5.0429279230785,4.654766897725479,5.5903609830552385,5.653462718601089,6.342375777232067,6.919683003218218,6.787664853021567,7.635507227515154,7.115678722591574,8.148696745955126,2.709258995389902,2.8346329340430207,3.889098011315988,4.316499788108457,5.010885572213587,4.929878670901839,6.2373895937184605,6.105787276424508,6.593038962546469,7.481409648270485,7.872934431909312,7.414291852033334,8.895643066829052,10.21005185487861,11.11961586840495,10.431421002189351,10.102892301104438,5.596938339489077,5.7886458045529645,6.369785820424513,6.895862430857797
3H,0.0,0.0,0.0,2.018026392196116,2.9076405264330067,2.76062429476894,2.844434894049124,2.751781483629093,4.2218531468292655,5.050476864832573,4.854809861110546,5.093666651702631,4.932819960345568,6.400515391842578,7.139338722513974,6.436547015865967,7.196567334614842,7.000748396502917,8.079844633510703,2.5661459206870805,2.4382442156673068,3.916572744012176,4.368566729496345,4.92043850979297,4.996664213618097,6.293357634493964,6.4329487414521935,6.514291660562395,7.4971772790879285,7.670524108223008,7.541480885209522,9.039568335806388,10.283460571460415,11.243894815809941,10.337490885637333,10.256247541800272,5.055847532524756,4.999263461429218,5.821974502712077,6.143463234042119
4C,0.0,0.0,0.0,0.0,1.097457481512986,1.5595666902567347,2.127112975881141,2.180697936777667,2.5970921867585472,3.3160827718183876,3.2694588502550683,3.562774544128191,3.6955373505512603,4.5845204436187235,5.333185418470267,4.767120053942861,5.611048276710083,5.190744190914256,6.243788790703799,1.54427629956463,2.4263315742616824,2.483740494213014,2.6087039966445005,3.832489733237518,4.184684357590133,4.907408729006107,4.894615481306317,4.99598503306382,6.307952271997941,6.638592506138298,6.5170891405212945,7.617659097986857,9.07060908377415,9.938578538366505,9.230754546370889,9.161594865563398,4.349873663498958,4.300998929152453,5.4298731766907,5.916064848749914
5H,0.0,0.0,0.0,0.0,0.0,2.165890143610207,2.577536741202821,3.056047751111637,2.6890477885895625,2.954090756798018,2.7559316134040164,3.7704217634646926,4.158390587796356,4.13186538586198,4.73023850670256,4.750798129666392,5.672192604513575,4.90435824480056,5.8987228916831285,2.164584247873716,3.1895316918902896,2.6652280598465445,2.5626786192218813,4.098227499323848,4.435113974960387,4.918198743621953,4.670001228206755,5.014025912636731,6.377959317556602,6.866928314730232,6.58308023007951,7.498498734544316,9.053847916742798,9.850680020934965,9.33401810674144,9.14603573909144,4.918913196614447,4.973764100638864,6.030648497775147,6.621150612575945
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0955945066540949,1.0971720203805808,1.516295553757213,2.530080035579038,2.719614686580816,2.5506161319216942,2.756005909369082,3.820835174764951,4.682748527927815,3.8351201082491646,4.703375609118425,4.336306480557084,5.423311444920564,2.557445108249894,3.4105286848354512,3.1665229978278613,2.9366918691614194,4.427678159253219,5.064046840177739,5.346225256112168,5.499953729572401,5.116759405349693,6.7723084565227225,6.949534161919177,7.197211362059338,7.9847057335398235,9.48481487189262,10.31624648551884,9.533872609552564,9.73783067064386,4.587100396229531,4.120577418610622,5.801280314282356,6.097020278056625
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635165175356702,2.1492999015434298,2.713050551104998,2.545741755656477,3.349422714356579,3.662119930851102,4.068772830812401,4.773983810517029,4.519162267810531,5.448554566465414,4.810956742034979,5.876143818724119,3.43587388968703,4.174760455586853,4.182264903194297,3.9457438554536544,5.484276380703862,6.056141657500577,6.41099236855771,6.49935444862912,6.179821460661763,7.851757632664052,8.043955157903756,8.252287270454346,9.039301417264458,10.563821073547624,11.384278422206672,10.62666658365305,10.808180761610915,5.643630211140393,5.147069024082762,6.82043359803713,7.08123319482047
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1573668135017234,3.4104835170453587,3.740956688800961,2.668717058867566,2.44806292145048,4.576077199807445,5.522468788849868,4.054192927397111,4.739815794203486,4.836727339155768,5.904414533726711,2.6725625670683124,3.2257231891429363,3.3550249548443865,3.30136135696368,4.362614482907921,5.013711671136027,5.408326019538381,5.767729287227822,5.162466856219711,6.712674589721782,6.720515570853059,7.1514934629672675,8.04937066973082,9.422982541264714,10.302708250400775,9.350122974817783,9.685233890697257,4.154042451920214,3.516445663190735,5.2922663631364575,5.435859016218704
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4048284337186794,2.157534031896011,1.403984287531337,2.157048294461978,2.4373531055733997,3.418251339583847,2.4355788958699844,3.415934055196902,2.8201467251381893,3.907164545388307,3.294962606703545,4.366060149429235,3.2716606948011413,2.595554915216328,4.468528495665001,5.312133169778037,4.961156654785597,5.060484649428942,4.478096179665544,6.429590313425388,6.652073624729482,7.0333712227028755,7.353149931528229,8.972440630483085,9.69588209933309,9.056003791829763,9.364838808128985,4.739168891864441,4.1973236040508555,6.071654146406585,6.395138460948538
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885193044068031,2.4120931613670775,3.3989281731771905,1.395196995186155,2.1531857631662406,2.7850493799598266,3.8723866415809907,2.419880787481845,3.4057808941000407,4.25834030159342,5.414757954970365,4.143468214789709,3.3340772269750207,5.41643732543922,6.211642528812213,5.6840951347105815,5.544062700796206,5.187823680701149,7.189280450037481,7.55781356309516,7.791576438134452,7.872132158495818,9.601089949316151,10.226176386835256,9.803909367667147,10.012349548106833,5.933687061707864,5.496209905434595,7.271308676408401,7.673930936827756
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3993409913251624,4.299696442114303,2.1529338891481613,2.474316180936354,3.873517484125878,4.960843007601299,3.403974731136807,4.301859654934505,4.491690132207608,5.604340421794658,4.607734219118212,3.9264364654297395,5.9901104389610875,6.657230320363233,6.380604816752843,6.137280415980862,6.017566740660088,7.909123668671132,8.34082755874738,8.408493950316997,8.64344868486937,10.377112652381811,11.017004995275942,10.632803452506982,10.712445913469546,6.600203587476103,6.242720219439426,7.9028693979409335,8.343211074593473
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868533070166728,2.791068254379325,3.878307082323152,1.3988995931316304,2.1542456758599475,2.4244517423594365,3.4104297169692956,3.7194806644020457,4.694940522525971,3.3246606661051605,2.593042684970195,4.143261339135766,5.149400969985688,4.402072744884277,4.7181395657047815,3.689393683641268,5.742491069759998,5.818948803687754,6.502804162739586,6.576252679220217,8.135637695938286,8.831843211107472,8.11490315520196,8.644052365219867,4.163715648224842,3.452625325763527,5.497770181793136,5.726750878648435
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.877827996758795,4.965084271247625,2.1569693699437957,2.4769249115448306,3.406978604201587,4.30528560922179,3.5220765765106328,4.280734995219457,3.1913339430482157,2.730916252714558,3.741519565057553,4.751895540886745,4.175409846346554,4.722032165803934,3.5088222069292754,5.3779613058488005,5.2778701212697605,6.127266643964788,6.403311814703317,7.808005321039052,8.578215199941356,7.66523809022342,8.296307003508861,3.4015730532584976,2.5103049391293886,4.681817411255022,4.792204705864742
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872718802792245,2.4134807988919444,3.4013079480754027,1.3977360016858384,2.159627788387029,5.311669628299706,6.503509050171476,4.890205077373574,3.9354343531341103,5.987738392987729,6.8648310919977495,5.902576057230634,5.709443363152039,5.241144449298737,7.3320643525115985,7.72575429229761,8.049215851776665,7.699846390820472,9.47510548307029,9.972537385014935,9.710394631153187,9.998899321133024,6.539339927588701,6.087669973056943,7.881611893376686,8.285667171708877
