,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32S,33C,34H,35H,36H,37C,38O,39O,40H
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401067420593677,4.303250726268969,2.1588702503329853,2.4900780617361384,6.16590090605447,7.374407178967053,5.7578730604056405,4.80980499985567,6.883411911361875,7.707367328934966,6.7186632600641545,6.395623117934219,6.09463715965321,8.133583273121092,8.605037753076807,8.823607514759564,8.358705541418125,10.164725094339817,10.591621047416595,10.474830035172788,10.685071216669547,7.543860690656009,7.147315831026695,8.876617890423091,9.320164300431122
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873681664870316,1.395936811959048,2.158809032843988,4.89102624403646,5.9187552598627775,4.218578156729689,3.32978007610863,4.865684487865528,5.920822726813607,4.678854305490299,4.909650021533034,3.760890733293316,5.918354072936071,6.033483615271416,6.808111616496014,6.366226998435458,7.984127389522512,8.534146181976721,7.99918103337014,8.626548292512801,4.988332279645727,4.331587386616321,6.282325667165993,6.523223278528787
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157111060103483,2.4892264438072758,5.510107164373304,6.436169686093184,4.71595972160069,3.9095800793196123,5.065750852685751,6.154317190659976,4.6954295629877265,5.074886763684928,3.658057373677233,5.722636352217172,5.703003242666089,6.705956726371026,6.034416685716167,7.543169892062072,8.044305387082181,7.461957160159999,8.281679139669944,5.002569991784043,4.296188336431752,6.196706170477285,6.3501072555408475
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087020830092074,5.582461776121077,6.724325292957311,4.926257297192657,3.9376103635094037,5.7492838035381135,6.738214907498328,5.44490922190928,5.412878483178719,4.592500333995075,6.740718592395184,7.023740333905578,7.591278354137197,6.968106302279166,8.691480035075555,9.14054560916534,8.843413099535127,9.330302266818963,6.134402250506373,5.600303165821472,7.446511603134572,7.779134246503741
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576641330719371,7.717512531923711,5.810393277804338,4.811042748995377,6.50901010852765,7.503404103543847,5.988286145974152,5.915850038819019,5.075256411785033,7.162027022252077,7.45431879872509,8.065688019346872,7.121171428028427,8.82707223185001,9.154713683500276,9.001327259643668,9.544560924762541,6.909554460779789,6.396714789451698,8.178133957437083,8.505295915667434
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2277231168906118,1.370121014286712,2.050129229163246,2.438391852116791,2.701773652396022,3.7361609062550265,3.891351265195619,4.024833596059407,4.9972419616684185,5.279184036302717,5.125101347023493,6.480991649667117,7.785731920230286,8.716105901486515,7.903096186610092,7.814520212215935,2.982061503113578,3.229461485042785,3.9623390947305923,4.539686908095721
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2673440204979105,3.1405690969646622,2.7389616227973175,2.645325773725697,4.244416342793632,4.536179026675404,4.692089924661613,5.24039302816172,5.392690961372634,5.191830304234537,6.906504266595031,7.986221739523354,8.987779690900743,8.024281870604142,7.899478083577685,2.941082735282365,3.3395090306107686,3.5584758189337586,4.075596554316972
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136297638995415,1.4534187629094508,2.0780201157235463,2.4423881953558566,2.5844708930806077,2.7155671501514145,3.825864667137278,4.221488945975449,4.097400675196424,5.179868446842348,6.588124070548629,7.470141176651452,6.763066679323142,6.7006841920205975,2.459841148484428,2.867407167473294,3.576247754133088,4.278115364506009
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.121818994460113,2.935481553258021,2.553150407879578,2.574685635158795,2.464524521158328,4.06852388625432,4.501006604853227,4.53667827703854,5.141170087987417,6.716309902796039,7.506176076928086,6.9215759447339344,6.963617102619068,3.023814006265473,3.154364530339277,4.26628399716778,4.898190121331692
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093955118700883,1.5443417940858488,2.1418544810939855,2.166135339292814,2.5794270051621817,2.875158090277114,2.807151094769579,4.188688835986428,5.371737920960752,6.331253100895926,5.467257362429463,5.440301286248218,1.5347155561552934,2.4463250001270875,2.388108245961194,3.2226568304502203
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1765195309511443,2.5213042040038736,3.072917653029845,2.7865743264243967,3.167025967670821,2.5678729534467726,4.473363961706078,5.437540317377467,6.436833742566164,5.5984092479233745,5.284097110888646,2.133649614722873,3.2379321346864804,2.4348762256342082,3.3801693017669106
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968376396984632,1.097916150405518,1.531701285325234,2.1804620681717126,2.1710901450309277,2.7553238086896807,4.187383120418319,5.0395238484494085,4.42313521868669,4.428562904025173,2.538969128663865,3.2657460079269622,3.2277412832087684,4.015073156157966
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667853993997877,2.1592657403749422,3.0769467363859877,2.523014038226759,2.891788701755054,4.474047109424888,5.207673139626904,4.94384225791404,4.629959543232529,3.4626812289992834,4.186919134730656,4.161852346580085,5.012441685786424
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167510193189675,2.5149120962245837,3.0778237013544576,2.9452664407487656,4.4985254100242456,5.244151793928757,4.6259506600975016,4.971081989922408,2.752569438201867,3.0742134113629493,3.6623510924941995,4.26524870131019
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947412648562544,1.0965836483385585,1.8372606099032693,2.7942839858083084,3.761877902277542,2.988620078011923,2.9857839829705832,3.116549000563187,3.9824867825773014,3.1953591270324417,3.9327413429119273
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7705786592066193,2.4254765658306985,2.919780797191369,3.9352201200183474,2.6949917359596824,3.2200702424331062,2.830378378080591,3.5827500727714225,2.677028761327525,3.2148131628016916
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4291111258706515,2.9461592516647435,3.956004764679379,3.259280667712595,2.718718203654009,3.471051669111665,4.529755332733783,3.2630287694117155,4.096859972518575
32S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.826546366875267,2.3868249895492495,2.4469110270211667,2.446788641571356,4.805881153937156,5.477551435983542,4.968990924432228,5.607309995760885
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093461243420448,1.0948059334201101,1.094781643003446,5.7133206085549135,6.462700819881602,5.45067322953662,5.965806575295955
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7788904361349804,1.7788359397690807,6.721233169245278,7.410829001829369,6.5202416291869385,7.013716675931472
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7900403539587155,5.506922969425897,6.161058649633787,5.122888651456427,5.477477442454228
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8701078618093065,6.76914266044179,5.450933700498261,6.037284560700607
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2111658786794497,1.3516894966657398,1.8771756241733961
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251949654718615,2.2852643893663003
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769010522460545
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
