,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23C,24H,25C,26H,27H,28C,29H,30H,31C,32H,33H,34C,35O,36O,37H
1N,0.0,1.0165214508016203,1.0184034670202189,1.4651260481443782,2.0658128831531326,2.486548387727701,2.670118377225556,3.403838942160059,3.1262305435020856,3.2751014686543076,2.8770401532780197,4.280313602763205,4.678392251969445,4.482865821814439,4.99462629114692,5.265102682956389,6.207798699911686,5.3529690673777335,6.339775847089171,2.5597301835188566,3.4834166905216573,3.1720647371329926,4.508222050284544,5.041429302022645,5.384451000323421,6.249206392479297,5.901150709154886,4.748140705702802,5.178516971734139,5.289975971135369,3.200191148839545,2.9188667594151525,3.0496616780983823,4.814331136778791,4.353158927308277,6.099384546933482,6.449869369479294
2H,0.0,0.0,1.6362539501303617,2.0693596533368357,2.93494422143131,2.773112864530448,2.540885914138958,3.6773090316902524,3.5938331711032583,3.6190749537377553,2.9738831493332754,4.880437903321051,5.292428351222694,4.899827255798166,5.3129577733351185,5.896386918101828,6.884723032696437,5.908428865054849,6.90249801136987,2.8265177840218434,3.9263830386650813,2.9726635511095,4.309030503256943,5.014189710546329,4.930304189963991,5.771160721317588,5.498487155340104,4.059196872295084,4.400470660281487,4.551616770441908,2.5517944115141455,2.1551958499578006,2.3501611349219877,4.651247156751455,4.157094812115865,5.992198922738007,6.354767150503958
3H,0.0,0.0,0.0,2.054295908060138,2.338884286022027,3.3763190748999286,3.642816803851896,4.186565935156893,3.9916702982861407,4.132517876985467,3.753020869671171,5.015879372246809,5.347227685361998,5.224350910631887,5.681586340235104,5.950242749161904,6.836881051647418,6.043403465608095,6.980400943739189,2.7672860989548083,3.4598471803423974,3.4324230432797598,4.574896411089873,5.120211543920619,5.596431744445422,6.344490247017666,6.239847666092582,5.0729548587007365,5.368580585964227,5.772362892278306,3.591017665451128,3.0963319177866486,3.7137628757539782,4.556445747488887,3.9192850788344566,5.793197259945086,6.005316075309663
4C,0.0,0.0,0.0,0.0,1.0940778884669535,1.551880719951121,2.1782081142387426,2.1619787834395914,2.563585781771023,3.3339269958576994,3.330107252083659,3.4705034192860436,3.5779821185578746,4.580668450836965,5.351512605731972,4.683060016232026,5.506277625094059,5.143178235839457,6.1949439987050345,1.5462196686572607,2.403838373428927,2.54116640495261,3.8645844250146317,4.128637453892922,4.873324229988034,5.828758432815562,5.185507950909508,4.573408765831424,5.259294753388189,5.068149149159883,3.112016348973551,3.295086323215999,2.9629592537853613,4.4849822128832235,4.387192675604375,5.65748669887846,6.172048938637423
5H,0.0,0.0,0.0,0.0,0.0,2.148882192903824,3.050340357530582,2.56997794036421,2.6667767940095493,3.5162672262429675,3.7575842110590143,3.202225173133004,3.2303798995285065,4.5448664314563265,5.375444115981721,4.3078244651147335,5.0150071735451025,4.87939474050292,5.87457311734847,2.076516978169865,2.3878245255117867,3.35283438945176,4.499297007682972,4.572038085100517,5.68497888982073,6.600176378289409,5.968037349703645,5.559304866380553,6.238970406489041,6.096621514619463,4.135859450138163,4.264415134808888,4.051835471077814,4.983896019090021,4.8865457067225035,6.035846952632359,6.496324838177595
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0979821535810397,1.0967750396248508,1.5151806144206896,2.5446929290432663,2.7452002257011157,2.5290888534818188,2.7214567545580874,3.828020318480186,4.696013954920016,3.8201129412368737,4.6826871120914335,4.332001613911879,5.4191732896936795,2.5700443518550284,3.4336302818974604,3.1908585201022532,4.544505028460127,4.725653098467996,5.2227774126008315,6.285651858922375,5.262791028738506,4.808875317678742,5.6478380573462275,4.97316864248687,3.49688493625775,3.9753397859613857,2.8959050711343113,5.522409858492468,5.597944671718148,6.665333673379523,7.310055881627016
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7595910206355672,2.150622862813914,2.738599886753546,2.5899835934046136,3.33734345992922,3.630940948035655,4.0933084380823175,4.807501127918685,4.5189035234139805,5.442808455953385,4.8241928030924015,5.891375936248464,2.9813114210017186,4.049891932121832,3.1361675752009637,4.517218747459374,4.881423494805245,4.892553552184729,5.957336960946217,4.9392515204538485,4.213368924767899,5.020834567454217,4.222506035423564,2.986251856132338,3.5104984048932786,2.1319465341622705,5.555805413024307,5.601244267729648,6.758367460435039,7.415357096720691
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14410209136849,3.4070652795317016,3.7559047007584843,2.6248076540993166,2.3861202878971723,4.558406004636877,5.511849408496034,4.008990068110223,4.686678364171694,4.802899522957553,5.86866065844029,2.61221451300954,3.239331549780622,3.193792303861957,4.340882157771009,4.297453254196861,5.001817421115834,6.0752839327709385,4.845217820226293,4.862719525841547,5.823954428105488,4.967818074562282,3.773536247257911,4.468055796857593,3.270941138345121,5.49891495430357,5.804243579991869,6.500228701931629,7.239689172252249
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4021549153770496,2.153266658989352,1.4017514398475046,2.155484343421584,2.4322381011406677,3.4133240535556406,2.435337837488538,3.416010791283379,2.8169337740978526,3.9041058358530845,3.888465718325139,4.577777134277228,4.670948954794206,6.029435921760398,6.161030318452243,6.735626036314074,7.798569662551185,6.750182453484034,6.250895768675849,7.04299438534673,6.348344104201708,4.901003010305807,5.238706301158493,4.2018540300954115,6.925783321834118,6.900783767375697,8.069681777888297,8.667423119628715
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0859975044845,2.408647177227945,3.3962664946557246,1.3955371059159756,2.1525917307927736,2.7883286210913707,3.875626559257849,2.421632064509962,3.4073695137738422,4.807459453744443,5.623469028750977,5.47260701056066,6.90693977039964,7.203007271762702,7.5209872673728615,8.558538456391753,7.640655625235633,6.786851094622615,7.440593149996656,6.848342587676623,5.392374786001418,5.523890283855691,4.60508175176272,7.6796403242992035,7.467201525517289,8.914451419858691,9.434993620515685
