,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
1N,0.0,1.0217058653192863,1.019668408706476,1.4536167792814596,2.0781092845608873,2.4518540961923567,3.4052158659207623,2.5938118316155494,3.2852256772404367,3.8404013640239443,2.501288359311768,2.7758495497503275,3.749512944192077,4.029152081007164,4.95086453619308,4.934826613408995,6.176700400429317,6.342086036636165,7.074045954128227,6.4382858949057935,5.764454579284181,7.4003713135609965,6.846666124006307,7.055476978641836,7.415731300240396,7.369751828092283,7.834131355206421,5.5127323547385005,5.3399022624055,6.6510504271709845,7.117993651976823
2H,0.0,0.0,1.6172292064400502,2.0163132686506353,2.9165837398787264,2.6001988243820757,3.6492246889169895,2.810791089664892,2.79256166937441,3.4117744615920746,2.7687084325640368,2.865815739230703,4.028563444501166,4.323312927200435,5.099181461101394,5.086813982011472,6.458801377537642,6.635700492255557,7.262405846468412,6.91575856198433,6.362319855887261,7.908478689753199,7.310031220961823,7.631702691707935,7.719286806915695,7.558796797095916,8.125257086848421,5.381865017553973,5.061735791298045,6.483526634411911,6.826265331663601
3H,0.0,0.0,0.0,2.0200891667684155,2.442219900101489,3.328434823017428,4.185117414237709,3.572057776407897,4.119139802285634,4.467598309147029,2.5601213654994592,2.4491839948229863,3.8917067214221066,4.383535043979512,4.934743200813599,4.699760202657882,6.166957061848401,6.495004606646978,7.0351848334632,6.273533879112376,5.6186710728184925,7.279436882469998,6.458812891138547,6.558678370858207,6.998120423320766,7.040627715514056,7.304322193797379,5.62028632030794,5.639771882022791,6.631826473803355,7.167134460027046
4C,0.0,0.0,0.0,0.0,1.1023650586380436,1.5413226074543014,2.2005987399477087,2.14166568442771,2.8657407939880577,3.109553440329619,1.5494847284699051,2.4282126798709665,2.489888554342355,2.6179136822075058,3.842040371648777,4.060206101916212,4.932176226759702,4.9773601897905655,5.880843505201017,5.265870324008315,4.595050414293445,6.169301619989332,5.90840119641151,6.2471405202951855,6.553565994175215,6.464620078689886,7.1197209716205485,4.516192808307829,4.383946760026823,5.750647060217327,6.27816024827699
5H,0.0,0.0,0.0,0.0,0.0,2.130533539929165,2.4310283690565324,2.462569519005295,3.792734364086732,4.027493172277159,2.134219843026931,3.0474483254406164,2.7461678819612345,2.7653678234670434,4.139768477246187,4.366587544196018,4.952529981760291,4.9445335328832805,5.991043770049438,5.00562751254168,4.16210683046502,5.820761766726961,5.694100475399972,5.881124203396262,6.543134904437389,6.593822771082272,7.123429461853276,5.085706079706696,5.098484274648951,6.299312187456879,6.927502741008353
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0949940125372153,1.0932955066660783,1.843827716038727,2.415808378700885,2.586592680342503,3.5937304544483517,3.0235153307976415,2.6658547800089627,4.356867939001736,4.880171329034027,5.346353711024355,5.105053733413375,6.2437218638779965,5.956814440207103,5.358790582586544,6.738861576968,6.86374810011402,7.355172620860241,7.467267553253511,7.232130855965308,8.149288713716315,4.681387063102284,4.18948803237631,6.0175489256929655,6.380772507743759
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7593471501389573,2.4375314716345904,2.6370851511254765,2.9067424701118925,4.0702187616682615,2.825999302110082,2.135291566758318,4.120437094053141,4.837660987500298,4.842791392939842,4.410044532017212,5.7504360472632925,5.489093384477485,4.912149100151601,6.143674620160613,6.588094423033654,7.143573514091863,7.252958952337578,7.001101047218693,8.030291370566799,4.49180510010293,4.028270781212653,5.843607088258177,6.233153719443256
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3716747623766716,3.3094763599277903,3.5025875253314105,4.435188165907477,4.03766220160471,3.6453622572472195,5.413372436713005,5.900152513651084,6.345560231971428,6.056757465528198,7.277970517473903,6.84575457988392,6.148098459668286,7.588831944834332,7.752163498935007,8.142360674416512,8.436872612010433,8.257587245804611,9.097917292522181,5.773894669842036,5.245896634969553,7.109356876712178,7.457175943147155
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3521389998353317,3.3506994789702866,4.007618769245786,3.806797303304039,3.5749712143320775,4.770761585242721,5.283717678415262,5.966592936863347,5.771755321348784,6.643424128000889,6.908723497550833,6.545525582520065,7.734202086995964,7.7415355547828595,8.404278461471716,8.055829054029324,7.621063363550626,8.707931643458881,4.498770483385334,3.643346689023934,5.735281904922275,5.823759592259858
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9446680598916735,3.5546929906183538,3.064424169975495,2.911543743864444,3.7232120990137902,4.312397120837402,4.926382840123423,4.7807867417702266,5.479872945102884,6.040512136987977,5.862306264588834,6.8575925788765195,6.869484776707655,7.66814470769948,7.04339118905845,6.508490165057388,7.7282719434138505,3.216653476515458,2.295224708684625,4.42955061405385,4.491940097682569
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2227832191190025,1.3800187699826938,2.060644968620318,2.45255636185507,2.534925844106187,3.7264703704515427,4.020577098763252,4.580798690910944,4.172865093563598,3.7356897367267026,5.1787340886478175,4.675895399664127,5.174671851370014,5.141085508121879,4.984152942921133,5.70339000474944,3.2162463110282156,3.3830257320782446,4.341972730123545,4.956450447206727
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274585394019121,3.1502000528684024,2.769484300562892,2.3703371772103856,4.168884799369711,4.717509207348899,4.858367994848293,4.540437542274278,4.2482547753781805,5.6219714623489265,4.655331300810783,5.0972102937027115,4.899573472491016,4.762070225157137,5.274570930222532,3.4003903053601032,3.7277947583609623,4.253855985270234,4.859860169922319
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011676546446621,1.4469932693541898,2.0464259691107927,2.4769818710311813,2.647217531512641,3.3941372430418095,3.1367666107344023,2.840991270577183,4.056632643434655,3.9727473554333437,4.6819089130751435,4.4766030527055305,4.235031135963814,5.226666707501079,2.459196161671028,2.807425268344927,3.6360390536439082,4.332731151721106
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105147119921261,2.9478592820309486,2.722695856465094,2.462253434178992,3.660920767149513,3.4706250707428445,3.1081777037963345,4.200642663989568,4.585009038528625,5.303596334822824,5.177027140462744,4.904210826910976,6.008228487258468,2.843027611050678,2.9074189357139155,4.105532560284323,4.704537694268236
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944638487952518,1.546805901665702,2.164229379047021,2.1699359084538674,2.5789616015540546,2.8190848780013966,3.5093475437865185,3.23762619093465,4.213439716440445,3.379869420763065,2.9347400111032416,4.178298851632114,1.5308676465119622,2.4506891728007774,2.377099116158293,3.2182004763165835
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1802353148757234,3.066651763075859,2.622322184679103,2.7372386854991992,2.999086318700646,3.7775400273778317,2.8384069374289704,3.7159673019508506,2.8143382948921403,2.4866207251365045,3.4306302061046883,2.1178438832702278,3.131086427478282,2.5568439824183273,3.452210997419293
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989991676709978,1.0957574162257353,1.534016497610265,2.17684139427379,2.156135051095178,2.629357447351498,3.7232520772079374,2.9377761851551702,2.5798276304953167,3.9207466091002408,2.5333268777077005,3.4665136721007177,2.953664523595419,3.8202784219148156
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.745266960108617,2.159051742282994,2.5292061385055784,2.4285082578199186,3.5406156519361605,4.53853797562212,3.9817621524568625,3.6222193128546625,4.979891260833424,2.879029795617588,3.4988883092586542,3.5100959292213494,4.223009037927738
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1767437506299543,3.085577869564037,2.5173445335046734,2.8971026855032616,4.099680555065373,2.7411574666848257,2.121983377566923,3.7101326316520424,2.618359974234663,3.6400981474322633,2.5275863741454594,3.3438872640042914
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938660298475193,1.0983647199643758,1.5340529129262404,2.400577738558307,2.4814746741136298,2.691158246661785,3.392209307217242,3.9002253707454195,4.868402993104815,4.236955497252277,5.173097054717049
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7551498072555318,2.113988389629808,2.5330224160686536,3.2980514992408656,3.6053731893561642,4.0899048916364,4.2885112843261,5.107767385770763,4.889228295929455,5.8133335141451346
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123146198300371,2.8090983093863207,3.001995815535801,3.244201081587682,3.8912658521067516,4.679916971523043,5.608920225379226,4.9164447918131895,5.803882272523642
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.221005693575278,1.3726158732439357,2.101001969486658,2.0344615038844567,4.501669192135189,5.616546743986334,4.531738088597659,5.501317558879645
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2691003926842783,3.178232294203118,2.47518926197013,5.572329591553381,6.64703373386245,5.672117135266049,6.644370112958722
25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0092450310027754,1.011566202954524,4.272377612885188,5.473479889755939,3.9060824124477387,4.8192969663174
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.725490473335397,3.5255557614460016,4.7350865376003055,2.979124374726315,3.8609079697925597
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.006026058601394,6.204374117790915,4.533584432907566,5.394327571926735
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2107410672629377,1.3544292846752495,1.8860012390479857
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2538830600286754,2.2965715940065308
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976806100987596
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
