 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,N37,H38,H39,H40,C41,O42,O43,H44
N1,0.0,1.6693498505301652,1.8088718624682383,2.938201385021723,0.08986040490401392,0.18224830487567534,0.010441158179177346,0.041170767663249314,0.0008966158853398465,0.04699744986653309,0.031690348344800445,0.000560413313726249,0.0009444109789424893,0.003411547441373286,0.004291596519699903,0.0002052366126872318,0.0010055444910002098,0.00027514684051421767,0.23724119984002304,0.05212747188917412,0.035208530407058805,0.00250578074957708,0.00624322669875392,0.0005960319014982618,0.0014111267122481619,3.7542730022099846e-05,0.0002703550542381139,0.00029510297569393384,5.5551438326473246e-05,0.00017954002380793366,6.0767236479117304e-05,1.6719184333657822e-06,7.480699626194465e-06,9.451845670291337e-06,2.4629164663281244e-07,8.423011086389209e-07,7.514481319276234e-07,8.547259755520287e-08,3.4205279342280903e-07,5.755386860428757e-07,0.00057284000743138,9.907587203822343e-05,0.00018069866975713167,4.328337664072368e-05
H2,0.0,0.0,0.027447135002896417,0.1041184454952977,0.03561992499491273,0.008768905296731244,0.005881149762032578,0.0007833064941404899,9.599527796444463e-05,0.0003423649799318973,0.0006696463372931616,2.7952949811727024e-05,0.00044444853063474454,7.269255899844396e-05,9.201670195291278e-05,1.4944792198878787e-05,4.490194210915455e-05,3.1896186558633133e-07,0.01904300504241596,0.0412027867748882,0.003246669356539944,0.000788828321266255,0.00047635758897202063,5.9054791449630883e-05,2.4687042316284824e-05,3.6300213901441225e-06,7.620762998428177e-07,5.830091800262949e-05,1.7791490276808375e-05,1.1453691301399616e-05,1.608882743353579e-05,1.6438830050535813e-06,6.468403488391061e-07,1.525315601935695e-06,2.3882758215520994e-07,2.4404605714067884e-07,1.9866939759971558e-07,6.451503598015051e-08,1.4575867468558101e-07,1.0425851870721203e-07,6.921735594556111e-05,3.942773345566586e-05,7.848869271964709e-06,2.4552825965695746e-06
H3,0.0,0.0,0.0,0.10465999898296108,0.007344048601096276,0.0313300410912305,0.0010725061164147398,0.0016417674312144692,5.4743648154165214e-05,0.0003338536735439934,0.004188141727524797,8.90511453333076e-05,4.8612898984945474e-05,0.0010372102668607663,0.00013759454647577218,9.380037333084346e-06,7.838289414685562e-05,1.856377925890662e-05,0.007555844957834346,0.0016376291227913065,0.0006385323033979429,4.7774580406390044e-05,0.00017051835791315195,2.8551387686315266e-05,4.6749595674522304e-05,1.3105757716846966e-06,1.61814466850263e-05,5.245176285462172e-05,5.132193880319491e-06,0.00014941259390277573,9.522867877476138e-06,3.261822705269424e-07,2.529443265508746e-06,3.559437868894122e-07,4.437498812848162e-09,3.559796848406904e-07,1.8058282125199554e-07,8.20295498193957e-09,4.914522122589915e-10,1.0870168098975341e-08,1.3669257620696484e-05,2.500079322342863e-06,5.12992717538463e-06,1.3645314567156674e-06
C4,0.0,0.0,0.0,0.0,1.7747950799328311,2.462787592384838,0.08742763400053222,0.16767852314887816,0.006075325228797945,0.01748066213873778,0.16127908147656206,0.006067448681925436,0.00969787742619932,0.02994248347728834,0.03232524726574176,0.0008003213154224031,0.000623411353745329,0.00330814975793281,2.701053716476702,0.268912420349604,0.22741783781892624,0.017401427598870756,0.03555207225712581,0.004176326662810648,0.0034123043005663267,0.00016744598785423115,0.0008086876000494847,0.002078862249620894,0.0010113696027314045,0.0005777858492757026,0.00036093764640141024,1.1713733882201538e-05,2.363075636191425e-05,3.7994612531372374e-05,1.868803705118438e-06,2.157296771998496e-06,4.666236147310432e-06,1.127319919635994e-06,2.8472718137662056e-06,2.6876333211189873e-06,0.003447927458580108,0.00043823170344936546,0.0010358220512318023,0.00021217580380783474
H5,0.0,0.0,0.0,0.0,0.0,0.07940443634984162,0.03454657022945273,0.012551719907975434,0.004332222783969053,0.0005037611939000541,0.005620787054635867,4.533403475726061e-05,0.0031715013979787265,0.0001635698021429377,0.001317598605012793,0.0003878263835679352,5.8315130728514575e-05,2.189038879896188e-05,0.09885833992279847,0.022290585732179347,0.012990022530007361,0.010970926456407515,0.002004175535828656,0.0003090898162174671,8.982238290822231e-05,1.2947944969754488e-05,2.11433083194823e-05,0.0001629342427069691,7.450795413088684e-05,3.4752821302275194e-05,4.092194823668294e-05,4.024594484564048e-06,3.150500925475086e-06,3.6471040059105064e-06,5.457689586929604e-07,4.174635206410926e-07,9.101335556316315e-07,3.0424031693954134e-07,5.789189150284813e-07,3.8085581399727175e-07,9.507178812273587e-05,0.00013770427602410873,3.39242938077744e-05,1.0664246073766037e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8415871335523788,2.799678960664151,0.08184364357380325,0.08904601051167615,2.764222504174698,0.08418625040873295,0.08177317694446495,0.09097617631864052,0.16251380636079482,0.009598049789962593,0.00608017055031973,0.028835921461620284,0.1865734121726043,0.03461174493536609,0.028707227524680815,0.0011544644807565119,0.0042041235730790605,0.0004103011440841353,0.0007253662697766505,4.29547804441377e-05,5.583249813700952e-05,0.0003415371728855976,3.105244096412996e-05,0.00035275940023393737,4.4397830409242944e-05,1.4920243218696783e-06,9.316383381641202e-06,7.269794260633677e-06,1.729809526729298e-07,4.828158827185902e-07,8.91876344971676e-07,1.2090551593235688e-07,1.2493952616932091e-07,2.819373139395509e-07,0.0008209054894180723,0.00015161529483533054,0.0002470439665891999,7.675992063760351e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07781085107268182,0.034512377848159304,0.0025350954846639073,0.08132562380413,0.005236185300781182,0.03454980236537608,0.0036528993066380355,0.01252659775927567,0.005668989562660709,0.00011805686309473984,0.0007618463205893988,0.007773007446999047,0.006045831756526621,0.0015012618487892926,0.0007119585555734886,0.00015475198143488633,3.612224899685046e-05,1.8400135572527176e-05,1.5586077939389043e-06,3.6723420717699184e-06,2.3589598522111288e-05,5.496745715483087e-06,4.67551078697781e-06,7.384734850734986e-06,4.118414373976975e-07,5.862473537732171e-07,3.9392523598635876e-07,7.753249353648073e-08,7.483929143070611e-08,1.578257009526851e-07,4.5161501871504584e-08,4.8641727534715073e-08,3.933487224827559e-08,1.5787972315051135e-05,2.543890553496908e-05,3.893970081603193e-06,1.5344705062148023e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.928637832132459,2.0180558162893947,0.165122195521902,0.03148422706410603,0.00800314713481698,0.008695766501245261,2.8285633123495066,0.08251794247309552,0.082738002845125,0.09266627866026123,0.028914421716375843,0.007203885537903534,0.003963855495882282,0.00017384069679049485,0.0009052649577213079,0.00016802870736809528,7.75769234155621e-05,9.551002461138935e-06,1.255052542104007e-05,3.363856078655858e-05,9.742452849681449e-06,1.897913017734343e-05,5.76629771215087e-06,4.6809590026342107e-07,1.3882668015163802e-06,5.276348032379197e-07,3.9125927053795806e-08,5.595184338069714e-08,1.3175436203161084e-07,3.263906278583306e-08,3.1050883309013955e-08,1.8960543912704964e-08,0.00021894923954005052,2.000653157194221e-05,5.974898139853024e-05,1.4809279337724135e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024271429346777396,0.01298310774109046,0.000908884569005064,0.005058764011657724,0.0002639372948398666,0.08149777888460219,0.03436520351860861,0.004937623861103191,0.004033440621174167,0.0007553359406524685,0.00045163367437373036,4.7698243360372317e-05,1.0314775163555723e-05,8.33209714068417e-06,2.806205168459641e-06,8.652997947056207e-07,1.5299478106634012e-07,7.799741452707565e-08,6.069698670341239e-06,1.58666908278704e-06,1.1309306935380903e-06,1.3817114372649542e-06,4.840484191248606e-08,1.3941396259653516e-08,7.695740866786593e-08,8.973564114000965e-09,1.3821678246372926e-08,2.4192623682139924e-08,9.178001247889256e-09,1.2561403694988371e-08,1.0153653473565782e-08,2.903450547320219e-06,3.0151453375149018e-06,7.397457979507749e-07,4.0540578005732186e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571221207974173,0.002099111970077283,0.00031440309265806654,0.0011962663136566576,0.08936855358840967,0.004621582102953159,0.03266288146162677,0.005315570592520524,0.0031186110380179155,0.00041277561999353285,0.0003669023885726208,1.3040028933097858e-05,0.00010124619569373827,4.306357278327511e-06,6.69942774345067e-06,1.3489787331621983e-07,1.4952351878871895e-06,1.9182810273576933e-06,6.788478383867869e-07,5.142628887178091e-07,2.055049654892116e-07,8.658394889948795e-09,7.853570505034213e-08,1.4770513701023447e-08,2.111761654433053e-09,1.053126252870129e-09,1.3746784821577762e-09,2.766809004128845e-11,1.269224725319873e-09,7.833198534257235e-10,1.4374547050444164e-05,2.07717212008518e-06,3.7799412732075766e-06,1.1198674292334232e-06
