 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,N37,H38,H39,H40,C41,O42,O43,H44
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0941260039273177,1.9697682339804121,1.796656119112228,0.02117951129314173,0.0003986210973399018,0.008609020337079998,0.002173449458035881,0.03369908391017658,0.007684299961631613,0.013641423152059393,0.004140078090853372,0.0016637635351684638,0.0005002655098363951,0.0004802508541457001,3.0527095369436985e-05,3.995169790571573e-05,0.00011575093416531235,7.736193754270815e-06,0.00011712557123444434,2.271976964621225e-05,7.315926906503734e-07,5.218060268430413e-06,2.2127458033927017e-06,5.131525282475735e-08,3.821266612025198e-07,5.611846646963459e-07,1.077917317626742e-07,4.011424270533581e-08,1.7356872683560454e-07,0.0006823930927623567,0.0009156426221003655,0.00012320348488691069,1.07663711315098e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022708820550098485,0.025159227353564573,0.0014837028483237757,2.7341140224956817e-05,0.0005680114010233606,7.189044202138284e-05,0.017555577739805317,0.0023744161387770912,0.0038894725213713954,0.00022806579907053148,0.0007799505184937772,0.0005309453130475372,0.00013353541498828392,6.036535392439646e-05,2.3793369503533057e-05,5.210819655210308e-05,3.9201327117766027e-07,6.088313051133554e-05,1.2562552931916215e-05,3.478501560127967e-07,2.546142394921347e-06,9.417220323548747e-07,1.5788091056734288e-08,1.9632467851415925e-07,2.423203451229483e-07,5.077236653328043e-08,5.617329046359032e-09,7.777405164333118e-08,0.0003846916875760442,0.0002800824317533701,8.084710084355073e-05,1.0398391925292572e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02484997717004811,0.0004343574368163017,0.00022263467223293532,9.97069822312735e-05,5.153725295858891e-05,0.0014851155518473824,0.0005133430632933145,0.002267926525256092,0.003466157359135247,0.00023342136792581236,3.136370154210866e-05,0.0001222334876829212,1.8965344621424407e-06,9.956988068937633e-06,8.82792206535754e-06,7.91239932906862e-07,1.0871412008395254e-06,2.6227617879737153e-06,4.1073163759008935e-08,5.405435674621373e-07,7.925796978724975e-07,5.959507332065073e-09,1.52206032222324e-08,1.999813554753871e-07,3.9350827707451685e-08,7.792201994760717e-09,1.302814522929907e-09,0.0003083877614067365,0.0012425755304936725,0.00012007996926066689,5.112100724069535e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011458210610686193,6.159980011899435e-05,0.013412489020450558,0.0007775137402883381,0.002386107384440006,0.0003164959708550352,0.0016933777934594607,0.0005957239235176992,0.0001769585351703018,7.603968292668739e-05,5.613737888454651e-05,3.5568197354063358e-06,1.9077918468335398e-05,9.44922363022016e-06,9.794588464728804e-07,5.450128852002578e-06,1.9000971402949318e-06,4.787861640487279e-08,6.823374461006892e-07,3.013112510608096e-07,1.7916542027762716e-08,7.252220846076796e-08,4.535777664571583e-08,7.680645230934147e-09,7.047578298724488e-09,8.628146641598278e-09,5.8294793273683254e-05,5.727206256644912e-05,3.818826465051828e-06,8.721415563073265e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.960563516235329,2.056389954613362,2.1079555861552657,0.006678909628441657,0.0017487937876665832,0.0014090029536816956,5.971556862671701e-05,0.00025660886847055087,1.794645615826873e-05,2.8739071762262647e-05,2.4354475256505026e-06,1.2216998299674486e-06,9.398938797935963e-06,2.729917228161405e-06,1.0770831373907441e-05,1.6849837664451028e-06,2.587199675607721e-07,3.356466820036985e-07,1.9869200365563167e-07,2.0721597659978386e-08,2.27757931403616e-08,6.030342977747516e-08,1.600539678570101e-08,1.132685700788727e-08,3.6514946621934996e-09,6.382496200829646e-05,5.079787626802168e-06,2.261711767781449e-05,6.321004458298418e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02316262988496276,0.02363800191925125,0.00010847642498124088,5.224347278576236e-05,4.0856393681787395e-05,5.675515071912329e-06,7.025121306902804e-06,5.54584725920293e-07,8.044800430262455e-07,6.678979946883601e-08,3.023456529582802e-08,5.470025916665122e-07,9.972678549630132e-08,1.062234935567119e-07,9.471510131753291e-08,2.3878004018484944e-09,1.0218206281109588e-08,1.442937347384543e-08,6.645499706081637e-10,1.870609223075803e-09,2.0687964674692694e-09,4.4048276137687026e-10,9.523921651322098e-10,7.981924010636021e-10,1.3063865147433518e-06,1.343007984822009e-07,4.3692061124644965e-07,1.383311507563434e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023688595209085284,0.00014628244708525528,1.1244561378798146e-05,5.3390890967897064e-05,1.0880772996157972e-05,4.0547375879107506e-06,6.635390346065861e-07,1.4995328649902717e-06,4.947176535097242e-08,1.871444004208911e-07,5.637462072716204e-07,1.2047064235076732e-08,1.0184936758417251e-06,7.075541264001117e-08,1.3211725047312939e-09,3.311789731341719e-08,8.77960548706369e-09,1.472506561128739e-10,1.528296156294573e-09,1.112611558440335e-09,7.688338854450194e-11,1.1156009449564408e-10,2.8414692820888376e-10,1.150827791507325e-06,1.8487840561798308e-06,3.390632419275619e-07,9.298332814822174e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012718856559752467,0.0003245046921837025,0.00028220235378739744,1.0210648666575395e-05,6.646850352232114e-05,2.9533983065821445e-06,7.5555304817065405e-06,5.263527007581814e-07,1.2840213448050974e-07,2.91298972587839e-06,1.693955662407376e-07,3.4370088781709995e-06,3.752276898083551e-07,2.9340885498996272e-08,1.4717874741165815e-07,7.501862731018605e-08,7.549685321350807e-10,1.0214982193446076e-08,1.107444735914953e-08,1.4288930039185743e-09,5.148510506813864e-10,1.666921267684529e-09,1.587711932127256e-05,5.530930720087923e-07,5.38051372678261e-06,1.7188354302088982e-06
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.569892389984979,3.3805101566123206,0.13629031646978151,0.2746880572537078,0.028249143366648966,0.029067034480963067,0.0008972631061803238,0.0032112534440369433,0.013658607395734962,0.002487249608333686,0.011326566446814512,0.001812353076547396,6.314331534951201e-05,0.0003684973397202196,0.000255135031257292,9.60979053044042e-06,1.947235885446652e-05,3.951737125620913e-05,5.669907777172689e-06,6.880907534756453e-06,1.133942466713389e-05,0.028384489160863224,0.007049274447978329,0.00559127508671825,0.0012148669088837272
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202478318052218,0.026667761164330228,0.06911324753235368,0.03776672992554486,0.010885292508646727,0.000978375915759666,0.0013072627478972754,0.03686242896418131,0.018110536359027152,0.009811842534097392,0.005613232798084913,0.00024428259368258765,0.00018080344858406594,0.00038763938275405974,4.789206761524056e-05,3.012428516024901e-05,8.641829650552629e-05,2.7967555349062145e-05,3.777452134057224e-05,3.03567580445252e-05,0.009959831053692692,0.00457912249978925,0.0014292275829482712,0.0003389883751470091
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7279611719808083,2.833274675204747,0.09682037139375477,0.18160557197960236,0.008711789350642096,0.02628924953893108,0.01581102512870644,0.0009128471452455322,0.005020851038378016,0.0025087073739270688,8.995289959001784e-05,0.00045739201956829234,0.0004775144652487129,1.3856044569937609e-05,2.8054008816225107e-05,0.00013053111128957795,1.5116963277606033e-05,4.032967346745409e-06,8.150138373075322e-06,0.19163787793549802,0.060033245922436154,0.027348575815348303,0.005139955043308553
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09810954226364199,0.017550728829059725,0.008603732308528178,0.0006706665532372202,0.0003016965566224883,0.0006405522661004914,0.00013903276675097942,3.908823874398948e-05,0.00015821666944004775,1.3840828392286397e-06,4.1331777287823e-05,2.1907891194383744e-05,1.5722098327675127e-06,1.0628994071559816e-06,7.664972863086206e-06,1.3580896469633785e-06,1.2115742074048086e-06,1.2808768223848688e-07,0.037718288438468583,0.08726340795527054,0.006085101531038362,0.00019340489612806877
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8643103103781817,2.5358727725551007,0.08176735240122812,0.09226648319551467,0.16723786268356045,0.010670136979401557,0.005581216321756566,0.03161264449972109,0.0008994763432490505,0.000735662177181684,0.006293441465208605,6.109888213734482e-05,7.434243936565998e-05,0.0018162967665646401,0.0003031731365233936,5.336074891215681e-05,3.943684477203391e-05,2.763001516964931,0.28298529105282527,0.22133217357738522,0.05337607168662939
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08168783590836637,0.03239725739432475,0.003868404717926932,0.011061952645923467,0.005021334257894194,0.00018853110263372663,0.0008149205885183974,0.0003222600602532655,2.550373057763622e-05,0.0001316601478787982,1.5839183602039952e-05,7.750090001978904e-06,4.301614355095573e-05,4.38771661204207e-06,7.026143764132797e-06,6.417018938442709e-07,0.1086005965715724,0.030128214681206855,0.010584467218512139,0.0005563498330034555
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9416713987773726,1.9422575882362718,2.8749617993860475,0.08140695089378225,0.0843146074325063,0.18121242423140674,0.00911728433994985,0.00989798378108997,0.03670717789996408,0.0009237824353405255,0.0008316463812315655,0.007703499975999978,0.0009540170703036255,0.00016311594939666385,0.00015394780605404446,0.19503572236499842,0.04189990653735333,0.035329979253296964,0.0023525720716288667
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024148391445435458,0.0831943621143163,0.03301633184112074,0.005794940250009262,0.007245662445348522,0.0037226344241798603,0.00017694875388807318,0.0009151496046575502,0.0003502448948342618,2.770260979345629e-05,9.979773538781878e-05,1.1862054630107366e-05,1.8562123564880295e-05,1.4456762288617142e-05,0.009130983092398237,0.001366331229616602,0.0008198459884722897,0.0001698865069401645
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453300802879604,0.003664601011173607,0.03283284626762195,0.0114291282589285,0.0002158457758656418,0.004799579893313144,0.00116883596872297,3.619364624496413e-05,0.00036861164815915615,0.00012927931441264473,3.429041955871348e-05,1.8751908778646964e-05,2.579933300572712e-05,0.011220313549789918,0.0018139547384420363,0.01829153830940866,0.0003942373519647546
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9819750417553947,1.9697661745209682,2.664399545261094,0.08013611591934233,0.0803984597067664,0.20969102748380145,0.009171582492849772,0.008497419011945673,0.04115820609211293,0.003783094429938405,0.0017131407930716103,0.001677170479650103,0.029447154432575007,0.007462762729951,0.005669812192319823,0.00042495153124444407
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023910827482259256,0.08772626889916602,0.03363974185562357,0.004556005493238091,0.01108193068696628,0.004243884626558891,0.0001621851760520432,0.0009351094550470451,5.101250100247867e-05,0.0007047433651155011,2.4962684961327142e-05,0.001067636143778694,0.0003058661632524551,0.00012968893883724686,8.752782646226365e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0867645739032028,0.004584875673423916,0.033389976197061966,0.010467873497660651,0.0001690274910404188,0.0039162826025895825,0.0009123948926659242,6.694394019457484e-05,2.9599471974339764e-05,0.0007179115873607866,0.0006450918474480982,0.00015645188600621474,0.000452482408483168,0.00014104609313592142
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9990715926853628,1.9831103390648726,2.940454841087209,0.08250899337492068,0.08336931944210979,0.1664854134659536,0.023180856728903132,0.012392778318205067,0.0127696837411988,0.005505073156036433,0.0019186458389045258,0.0006154053166048806,0.00010102246462484477
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022641237894591937,0.09199996060000837,0.034678164380750776,0.005480045374349096,0.007411672515447276,0.0005214063059086893,0.006676303557209495,0.00016111811409813548,9.413682784553679e-05,5.4105128107218015e-05,1.5535370449626384e-05,3.886742341308036e-07
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939716032152833,0.005178791815144468,0.034559719682877965,0.008163989416954953,0.0005962741392817605,0.00016500379470074655,0.007070023206755538,9.553064059519834e-05,4.629166367198234e-05,8.18458051752291e-05,5.8461187533165315e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.979408893560671,1.9939208374011779,2.5906903481125574,0.07555544068401432,0.07606082702104655,0.07566956006354342,0.0016440123574016363,0.0006458049570745583,0.00026737658294526123,2.7340768362860146e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027154400582771965,0.0933936073729531,0.004674059065139069,0.027418111747729235,0.004709709057844735,2.3116584845661592e-05,8.197977769186515e-06,3.698577275446091e-06,9.621865519893191e-07
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09204930885413598,0.004656608523180061,0.004700318490875821,0.02743225700545371,2.2969257872818005e-05,7.714719242324364e-06,1.1476907567531391e-05,2.4485415872632643e-07
N37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9905884681545172,1.8778807546740612,1.8608723954329158,0.000540909238943843,0.00022423093847709352,8.537047314154111e-05,1.0493688302193327e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299446334154716,0.02996669939703067,8.84352769167096e-05,3.8760785979086165e-05,1.0702392138073336e-05,2.5107670300617e-06
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02914978630069065,1.5777071530997944e-05,5.980065940103252e-06,1.880661684383611e-06,6.009357171876673e-07
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057878368493359e-05,5.027827038484034e-06,1.674552684405306e-06,4.999532510208127e-07
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.004886040487268,3.4811999422965023,0.1723071591129307
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154307007423741,0.05938996669840213
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8285978878316531
