 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,S29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.9824532031509645,2.0187071851907263,3.079866164890714,0.09502620066003664,0.22467789482820244,0.013885590402892722,0.006798988121852867,0.03924597489424603,0.0008721916861076373,0.0007018235680019691,0.010140120916095174,0.0004794100873909343,5.717941462757281e-06,8.117679849506398e-05,0.00017206294096039354,0.20614555190244604,0.054333271472084554,0.029109809202452777,0.0024705636842831113,0.004763845823851573,0.000324136955017873,0.0009860630823292638,3.0432681391245886e-05,1.8075198549460936e-05,0.00025724858743317314,2.3694327208056976e-06,9.357050131719724e-06,0.00010704682503220181,5.758375053094289e-06,1.314290409282215e-06,1.0044372040773908e-06,3.459513442383155e-08,0.0007977566344866127,0.0001365698297945278,8.626596063970177e-05,6.3155666804037836e-06
H2,0.0,0.0,0.02802697345658056,0.10564505062822849,0.035463498341449906,0.0065587429982127965,8.987669955984323e-05,0.003367995190324491,0.0011795923620910864,5.1982873769951254e-05,0.00032962349639431565,0.00033338300372531826,4.076207431069623e-05,1.5357163554163833e-06,1.3002978235920892e-05,1.4325613032051265e-05,0.026952007444761672,0.051136126716916586,0.004311104055971349,0.0006491868591227412,0.00040646521325748974,3.167401981851725e-05,9.179818433768805e-05,6.9311589083742575e-06,8.313462365849844e-06,1.5644333814068823e-05,5.226825845472405e-07,4.6912416951094826e-07,3.472357192779718e-06,2.672327343855585e-07,1.6183620998866388e-07,2.6734243707693395e-08,5.057439800282282e-09,7.157022457049411e-05,4.1548044362182956e-05,8.047085277462784e-06,3.0300326936405497e-07
H3,0.0,0.0,0.0,0.10746034096964907,0.0026940569550377713,0.016779873646280308,0.009951154272288765,7.79882105685914e-05,0.001655062692772269,0.0005632002124056346,3.176634760992947e-05,0.0003370127501198805,1.6793300602335748e-05,1.0079512924310308e-06,2.9913321748509247e-06,9.854277502219233e-06,0.03458237770269079,0.005634020617626079,0.004359833674415614,0.00017126584267979084,0.001111535261693275,9.769942030501966e-06,0.0002010076296828922,5.231645963110765e-06,1.968254422557436e-06,7.072203515479103e-05,3.8810820091050857e-07,1.056786010256161e-06,3.171205126983878e-05,1.0818396776191008e-06,4.263755217781551e-07,3.439004445660032e-07,7.929512158000307e-09,7.178024320109166e-05,2.0586843895054052e-05,7.711248317998631e-06,6.018992624312602e-07
C4,0.0,0.0,0.0,0.0,2.118189075339772,2.7883198224834818,0.08919330086226052,0.08442386118279788,0.16017615586482892,0.007175149524746294,0.007065970039743297,0.046451678588671746,0.0022202481348498893,4.5614332939925006e-05,0.0004073720972441741,0.0010170785573473395,2.729222919585195,0.2789414962341816,0.22957263179310095,0.017674652108847,0.034911558923691244,0.0028629426406093783,0.004340938181302115,0.0001980012764299932,6.834432523250555e-05,0.001429592893979273,1.8589932771928552e-05,2.3582709792080436e-05,0.0004383325432489732,1.643132757672694e-05,5.435083818783326e-06,5.4178179114128255e-06,3.107352959386134e-07,0.004371868372509802,0.0011734418817003628,0.0007789793681121093,0.00010698096942418633
H5,0.0,0.0,0.0,0.0,0.0,0.07818617869566447,0.0033106223130530132,0.033972436510838255,0.00986084235240392,0.00017866786023179593,0.004504697530463231,0.0011437117639360173,0.0005980975473570682,8.444024862885868e-06,0.00010296834627299134,0.00024251802618846519,0.09315616618733324,0.01997523288833747,0.01298063552574602,0.01178531361062718,0.0021714235666756565,0.00014329645527366708,0.00010400913982722138,1.5334332704286524e-05,3.019525844250026e-06,2.935048614838287e-05,6.091620985415602e-07,1.6876146986533058e-06,1.951453723247898e-05,7.921405731359243e-07,5.058715055739071e-07,2.2678521416352737e-07,5.451633078301654e-08,0.000288631663747152,2.263712387717831e-05,7.32111068939556e-05,2.332101783553142e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1421234194180334,2.14464148627912,2.8889798796128012,0.08492210637309727,0.08401599503478474,0.1999308436889407,0.014831231244894605,0.0008462428980446912,0.0015748178590740958,0.00479857522191951,0.1874176816472456,0.041205048720724724,0.028853615906322586,0.001449814142547745,0.0036316994554019683,0.0003869005792508373,0.0004055984666628959,5.6387127834289785e-05,8.410079486487199e-06,8.160943361990025e-05,5.365977224891516e-06,2.4145579148315832e-06,2.6914655360456285e-05,2.3698402165789334e-06,4.043070939152571e-07,4.975223913961102e-07,4.864649594260584e-08,0.0014635422318199365,0.0012762184985546515,0.000291891440159342,6.607339701480974e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02395021808444442,0.08578056270037204,0.032205920657922826,0.006493884361203017,0.013782900018642574,0.0005954237553150721,0.000258783965856324,5.810502388547967e-05,0.0001694843110107147,0.028356553927357808,0.006073741611923977,0.003329685419477535,9.798239507130546e-05,0.0006653854600302544,4.540954245269013e-05,8.086664583406566e-05,5.271313047172654e-06,1.73723372376422e-06,2.70888908300293e-05,9.186444298592278e-07,7.257905765278849e-08,9.010897952466124e-06,3.7116102480361235e-07,1.3221124639528625e-07,1.4600170272771607e-07,9.663413846894287e-09,0.00020541699200182784,0.0003252623606934124,3.273002000736547e-05,5.157414566525631e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08118656098465693,0.0038085243338144004,0.032461686474863916,0.011701763532879772,0.005960619578317172,3.0716773630201644e-05,0.0006360967642331516,0.006846615388559574,0.015421237566434653,0.013153949255411801,0.002310173051471631,0.00047696690117637885,0.00016636763242794395,1.8975010650290614e-05,3.9208207913254967e-05,2.3089745309068377e-06,3.1953210326562953e-06,6.947022432535199e-06,1.043140074319382e-07,3.4416328675845875e-07,1.973619589645814e-06,7.038796234759559e-08,3.099533474326677e-08,2.3667885429290436e-08,4.832199751447774e-09,3.4153097615341466e-05,5.225409683062843e-05,6.482972288113231e-06,1.7166542229940518e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098368825132271,2.12934575703644,2.866461830742415,0.11885711495044171,0.011455980342961136,0.026692405522134255,0.005231676836638832,0.014912007050315673,0.003390733467234855,0.009164027320011162,0.002896086844638157,0.000855971733635566,0.0002570684213833996,0.00013238124708528365,2.5968122008057648e-05,1.295067287632179e-05,1.9483529106745223e-05,1.632888492753004e-06,2.4077800443444985e-06,8.080047407821311e-06,9.594431827630867e-07,2.9497979447956624e-07,7.464591889050354e-08,1.4338867537766475e-08,0.0032802779637865764,0.015777007174690237,0.0013789610096615612,0.0001548856577683333
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026285504973849516,0.08912307771012917,0.012586607543564776,0.005487914715043951,0.0006953739498567479,0.0005559605053262473,0.00772776657687313,0.0002718460310229265,0.009348076394636418,0.002223868844427157,0.0009154806148805594,0.0003338819009384153,0.00013902687666111913,2.1616851956229866e-05,2.583375653752995e-05,1.2045584411257693e-05,5.899228330275008e-07,1.7248868029451359e-06,3.90905116787188e-06,8.94135619211589e-07,3.023784569400334e-07,1.0680142970009854e-07,6.941871522059273e-09,0.007094886663464139,0.04855437477864688,0.0027276923425111343,9.588031787588491e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09097732380698342,0.024811000951320383,0.0006070970053839719,0.0013206342647287261,0.00017746114162364712,0.0007354282203004825,0.0003191622024163454,0.00019421298881328042,0.00037330885863751107,3.23042327337042e-05,9.178766048556497e-06,8.587915989899386e-06,1.4143283784129324e-06,5.333190662426546e-07,4.994258446799904e-07,1.7912197058933543e-08,5.9008219199796486e-08,3.344000255589563e-07,1.9620571389822317e-08,1.079253997282592e-08,3.018230110285458e-10,2.2170509872410094e-09,8.962597690764795e-05,0.0002655468248062842,1.9232296569637874e-05,3.906918975893348e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.864944618567181,0.09300078369657694,0.09386184005408127,0.09984358300133589,0.0038372022331461253,0.0008689317099976474,0.0018769565889440315,0.0012874753591696209,0.0002618210926813025,4.959957897110456e-05,2.997023571847668e-05,7.546390095591882e-06,2.188733078556382e-06,5.847741373916915e-06,3.650236003460705e-07,5.49147508022152e-07,2.3876492169817853e-06,2.0747665319120756e-07,5.7869095182461194e-08,2.4080308524965233e-08,4.755883908913461e-09,0.0007489171619435436,0.0021210311290190756,0.00016529931998653796,4.276416252513293e-05
