,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29S,30C,31H,32H,33H,34C,35O,36O,37H
1N,0.0,1.0201614255429985,1.0190518924992376,1.4645055812970373,2.086824455161333,2.539184920204745,2.706270518522655,2.824924958234944,3.895410595188577,4.232778856138149,4.180453107048416,5.3776725891497845,5.774317985529366,5.88913375512478,6.8106309212373795,5.286706144562709,2.399492192200664,2.807099014436515,3.495284226935945,3.780712727340365,4.738226982109397,4.7521460934226605,5.848461742941919,5.622622557091029,6.179700740139485,7.159311131963329,7.6256209726044215,7.146434675483643,8.561804883803692,8.386726450357845,7.611439056643301,9.354822922267767,8.408838135660904,5.438263786495266,5.531192290091643,6.395488752601135,6.955055519911207
2H,0.0,0.0,1.641846909183431,2.025258809102497,2.9163123254894634,2.816500569083004,3.0967865033157027,2.6937898686191906,4.246717391435248,4.4931945130422255,4.75009451097685,5.574661036543353,5.658252318241941,5.767132859546138,6.671679266520518,5.016747008675409,2.4738740214900843,2.3978760557794687,3.7501806913065368,4.256699646862446,4.7877917673756984,4.636267576398363,6.064104168473917,5.945006820854194,6.49661183292156,7.249579998705672,7.641858820605695,7.1308094786484295,8.781222270703111,8.663159193570515,7.978680623432726,9.677329739330135,8.580379231522839,5.346221614777722,5.50548579763367,6.143197502899509,6.664849582804604
3H,0.0,0.0,0.0,2.0475240868545446,2.4830887199974265,2.6515996698760373,2.387301200424795,3.00895486568982,4.062894013948456,4.632310379921426,4.253441457793648,5.356694848219796,5.9381034063861575,6.225436028841221,6.911434354261247,5.431616725969025,3.2923124523563003,3.707964666879548,4.367184736654066,4.515549950830171,5.67084765941306,5.748232511252259,6.748305279301633,6.509058508641253,6.991312034284651,8.105152115960344,8.557702917396808,8.136216504306512,9.468088598723423,9.286084954923217,8.467333787276402,10.226511063108463,9.348956926092063,6.292331234359087,6.252910259304803,7.292585012130675,7.793103457323013
4C,0.0,0.0,0.0,0.0,1.1001395391185569,1.5525212504778887,2.1644425521286994,2.156285731261615,2.58725992775654,2.8179190666315765,2.8850225079738423,4.255179317313031,4.744179068254006,4.741981865400094,5.8144230955932334,4.479658786985382,1.5335960688053631,2.4108558021075055,2.47388915492574,2.6026318968048927,3.825582098741144,4.140728697977422,4.90420061390637,4.836816017478384,5.050187923801431,6.3014745460919,6.67144887623766,6.479602098510045,7.691982197844136,7.76359023616138,7.020517987678793,8.729505020642609,7.9255873370443135,4.3769140349950675,4.291434403043362,5.500787109540468,5.998626118867693
5H,0.0,0.0,0.0,0.0,0.0,2.173706157540346,2.564102225660599,3.0590780061803464,2.748644213884276,3.001425795464772,2.613239442687979,4.517064632950802,5.319669548220328,5.2831478303939345,6.365965389761512,5.236536379037035,2.168531242059412,3.2796523801397544,2.5432834039213414,2.26465382566034,3.9941343281426342,4.459987689928177,4.760408720246707,4.544141674943361,4.775031605335047,6.250567079801783,6.715236911653892,6.537740292593326,7.435590446956437,7.424571677206442,6.589458081075253,8.316761266797297,7.705621814995114,4.723894745010642,4.6152051702801495,5.946280662345733,6.490455620553043
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0978473886846538,1.0966689797285827,1.5340327155480653,2.188642418809741,2.1728945691570254,2.8404808835697444,3.4310144881563804,3.6836066208730505,4.446624194912314,3.1937105323712824,2.5152448716713804,3.090746053033497,3.42541293808678,3.461790686820336,4.615163677419138,5.068660797682521,5.7623902832684095,5.9176426466432845,5.714319714409934,7.12525381120224,7.290797936047535,7.4133449427809595,8.564382345767484,8.893832059571302,8.212821077636486,9.858623571831625,9.11615065284774,4.677271543068034,4.211538469222983,5.81059177514702,6.071527481494536
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7652301728507598,2.158677586701122,3.080876405875334,2.469053875651981,3.0512987393873434,3.9483375160713297,4.431441727571011,4.8370497446217255,3.673431944409191,3.4501880008058716,4.009963461942443,4.374496721070076,4.307407660280025,5.644487377984984,6.073377383684281,6.731361155701407,6.792250733182328,6.653125815198566,8.137053198334423,8.345981198619517,8.423639994626354,9.516859880870452,9.757676152200752,9.010343584666021,10.69458076633541,9.998046426755081,5.771113861948724,5.277492464129442,6.906994750476921,7.158057969811524
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758740242393184,2.5838678729672955,3.081283154755874,3.012010839427853,3.0122870356498668,3.3104169646940584,4.015998946134944,2.4719588916659223,2.6583515460134364,2.772444317754058,3.764736141764555,4.052827571166734,4.733796596892397,5.04036452732812,6.061948295440225,6.3290036403010355,6.120418136823945,7.293023432529333,7.361769889732602,7.484877652364345,8.870853218505932,9.270091851074518,8.676290922034012,10.282744053049177,9.393999894274659,4.583194021609336,4.149058272534633,5.5423148892679,5.717776385893546
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953040743793645,1.0972654630332666,1.8377592284765965,2.8088807393937576,2.913309994497456,3.7676339936006453,3.0920553213709097,3.140942177550419,3.8711627103900805,3.520264265999451,3.2808699313906415,4.549157322265896,5.27729687489595,5.4725167731059186,5.783708656292903,5.148631375619713,6.824611426728177,6.862499630214056,7.321129963557954,8.135597113331373,8.709344568512533,8.079893914660039,9.617474560951914,9.080705787571581,4.3527530114201705,3.574570329111237,5.584773087502123,5.716890475580933
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7687592040624864,2.40721461778768,2.833349845746321,2.5134947059550052,3.823573645724276,3.2195585115048364,2.807298021002028,3.5040962720857323,2.895122301921683,2.7229261508966474,3.6858055080580887,4.497242766715104,4.585751853834149,5.0399766662317065,4.239682285001624,5.861298399682817,5.824440264567269,6.398246918319247,7.202231448103799,7.907567918002408,7.368477414602631,8.827126057572547,8.278660911038962,3.3372729333085824,2.505444983721422,4.58458882240656,4.709366592093566
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370755014698102,3.7371344360731418,3.8376047941092195,4.5883441155982325,4.124465701418579,3.6468349437702092,4.5894948790610455,3.7886444726461743,3.2653974378997086,4.925581338164535,5.738155629057358,5.597417428094147,5.77773122460012,5.149390663079155,7.029051931049364,7.160304831348936,7.608888751426605,8.148291856302386,8.642669144552345,7.933059905637518,9.47745516543597,9.115712792841084,4.9368321420261285,4.19670431420158,6.244606957017517,6.443848193608127
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8302661413899195,2.438265187709876,2.3886543767460418,2.4580218247611247,4.7786173453780645,5.244809803443941,5.219052649731131,5.026727826479324,6.041909241110079,6.767531957978765,6.978252214051386,7.434379577714965,6.5538783763868,8.203606725746017,8.050666399498215,8.746800981499586,9.51854725407243,10.292587427765236,9.73627913359432,11.18644863378419,10.68483905190436,5.469877151344491,4.451524241559131,6.544174525528226,6.412500693647268
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941823026566244,1.0936732369923727,1.094147452392074,4.796038771979406,4.852479393124757,5.333585702961956,5.450906099070293,5.813638585819765,6.388643962043795,6.943226090966493,7.581097785777217,6.668864038380698,7.941000523396289,7.615338591656282,8.372370887866547,9.438438918169831,10.35387336042077,9.949704453112657,11.312534594084086,10.615012966500808,4.893460867006109,3.8953091794604044,5.678546278921404,5.359418978412272
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7834254692332647,1.7890036848010182,4.475885670390582,4.517254564765816,4.802847868637966,4.962375496737489,5.061362426380298,5.675791770313042,6.131613742772897,6.866854798246919,5.847717656833259,7.023406353713211,6.623153750592216,7.483687403113003,8.514333122007073,9.528935275204999,9.20280839651882,10.48034762155685,9.791579374507105,3.9844610032315906,2.937403160223282,4.7181092942464495,4.347510440897676
