 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,H25,C26,O27,O28,H29
N1,0.0,2.054960662875229,1.9335829392310409,2.936580204677377,0.09890484720341497,0.19667013371032988,0.01847276662863062,0.009476253848187843,0.03255352800218554,0.0007564457595093943,0.003893274089436488,0.00048210539877202585,0.0011169221798759121,0.0001946008406674693,0.004844811312174457,0.0011150586066774881,8.460346690730702e-05,0.00010428365612735746,0.20443791898592745,0.04097551751734002,0.048630144592591185,0.06650691051991786,0.006247805034475473,0.0006437374695599241,0.0007417395033156859,0.001161116164730941,0.0005617602966258989,0.00024061259429696696,1.607105902989847e-05
H2,0.0,0.0,0.027373779972152068,0.09951039770376513,0.00392976081273777,0.032214183557478626,0.0013034920095682523,0.0005288429252341409,0.005113410681519603,7.335781439654632e-05,0.00024719378644322276,3.936056005282573e-05,5.1719826588580986e-05,1.0186203689421802e-05,0.0012201963312286068,0.0002758445050525804,3.1138338798086806e-05,3.469370589725962e-05,0.008301965781326581,0.0013104763013077614,0.00999670811101383,0.005005218507672549,0.000868470627614415,6.617521974106033e-05,0.0005471364496287823,6.899970012563816e-05,8.415181915899517e-05,1.7316973671133162e-05,5.882038502935671e-07
H3,0.0,0.0,0.0,0.10063095725944304,0.035729857346706195,0.017832415935983725,0.0006208827801799099,0.00874796378003051,0.00138256509573087,6.329292522866403e-05,0.001185978669064558,0.00016369458863008113,0.000337355055905153,1.3854980342564716e-05,0.00013460255124020382,3.192154196929309e-05,2.051125878210769e-05,2.147849109968014e-05,0.004775908418215624,0.0010407677297484819,0.006910978560776271,0.011650792159650925,0.0010400622194768339,0.0003544258502250486,3.354609794659069e-05,8.957537532872095e-05,3.9681957402670776e-05,2.772381749605035e-05,1.0419335225719806e-06
C4,0.0,0.0,0.0,0.0,1.8995527240171453,2.8049685976129184,0.09304196526505981,0.08554429794820106,0.14260959379661653,0.005639486703086005,0.020036878773060915,0.002479406984750243,0.007910150691945006,0.0008309916227660086,0.031886178219516115,0.004596283563474746,0.0006401875147390435,0.0010806994937799796,2.53264365367995,0.281256364060461,0.22100082466541884,0.01218084480597148,0.03871827459529592,0.0028223511701490622,0.0011550996162097427,0.004878915246788101,0.0003485409168484943,0.001499151411803304,0.00031047190780075784
H5,0.0,0.0,0.0,0.0,0.0,0.08254832845030058,0.005110682061200356,0.034383109485007335,0.00609584184221712,4.6566759780652944e-05,0.01139105915498162,0.0008070175186476458,0.010248800848551731,0.0002861553643078718,0.0010954750185230289,7.07376686901462e-05,1.9140787090199396e-05,0.00020446326486633914,0.11551884001409762,0.01768214915166566,0.02391385478236907,0.0022723543609681762,0.0030134783973581047,0.0002331961680015482,0.00028116952065060374,0.0007895808347355704,3.303845660262983e-05,0.00021478158527543645,6.713734577856734e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8666256719900691,1.952867246856037,2.579372125999923,0.08594424932261635,0.1579077536216246,0.03044383547470031,0.005120084637529443,0.010779851568235355,0.18636099530901018,0.030724086484628987,0.009546641491844365,0.0110275602061769,0.18171884809333816,0.037397222069877015,0.025340236263944105,0.0007889142347953237,0.003052305900290986,0.0006233144707610272,0.000576925278852114,0.00036499762123301527,3.4023325099621915e-05,0.0001420997277988001,2.3818616834092587e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021897201956029733,0.08448662261180484,0.035640287416131455,0.008507300750087321,0.00032091948646728596,0.00015390665572101447,0.004651692723659062,0.010483333333795586,0.0006324576785998737,0.004909922634233732,0.00024686641741622495,0.0306763197247808,0.004697097669315364,0.004343269369882385,7.049218725319051e-05,0.000787088848804629,0.00016852561799085564,9.201417298121406e-05,9.319370558946716e-05,3.989638035717391e-06,3.3062484737333975e-05,7.4973900148211925e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08293146628968184,0.004375408968762651,0.02988465392784534,0.0014848065544708078,0.00038864793673232256,0.0005708459595106241,0.012315654043689728,0.0007974675358144445,0.0002206527153738591,0.006035419564523359,0.00880013963563453,0.0009007746173783637,0.0033549759712607763,0.0001257781187682383,0.00031875984253515455,0.00011195334784175337,6.82173292934074e-05,5.360182897384824e-05,2.9966886618826294e-06,1.7917647165632822e-05,3.976196145893951e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8591324707497936,2.7678696456735987,0.08702729050021318,0.08653981077487494,0.08047379856256986,2.8609723569835377,0.08404315972301046,0.08104504985640748,0.08321439962694188,0.01936949619459824,0.022150775496271063,0.00346604729918612,0.0001274723187355553,0.00043012344218773535,0.00010124844445813519,8.169199779350933e-05,3.825908511892462e-05,1.4850109446323811e-05,7.195927905323529e-06,1.347507481708199e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08272071104062795,0.003434555184157473,0.0060754069077291195,0.03407873731662092,0.0823231783103554,0.00487965285089853,0.03458599064680801,0.004181483027071886,0.012365451357202017,0.023940628034053835,0.001416902551228505,1.506208393986519e-05,0.0001313154489415158,4.1136357076698715e-05,6.032808151301694e-05,7.549490796288083e-06,3.931029596393465e-06,2.1891527095529995e-06,3.66575890531351e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8120189066616128,2.078617635445304,1.9893583087327216,0.172433312087551,0.00952916793968539,0.00936096241620965,0.031711447599934384,0.00340531875788834,0.010487130511247188,0.001023360915596197,6.068682093274269e-05,0.00013496746207077026,1.8970605950463515e-05,5.646716224827486e-06,2.77630083562741e-05,1.3034695829028387e-05,5.081526782302337e-06,1.086712827946812e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025120294432503742,0.022777039604010785,0.012484891799541709,0.005013678699125057,0.00020857043401312225,0.0009951358773863106,0.00020865311562934252,0.00015146142929123307,9.04330385878005e-05,1.3628682353772348e-06,2.311991227887944e-05,1.0525316789244954e-06,8.097156856123888e-07,4.298477417119528e-06,2.7442382100062446e-07,1.4375163748248099e-06,3.789924396535582e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023463924407933767,0.030470435398644025,0.0005812282080264186,0.0005408374879662947,0.0027111526313308154,0.003241358636333791,0.018619057097135405,0.0012801327524940564,3.204862962857824e-05,9.219056881848431e-05,1.2511203772769264e-05,1.903696321248205e-06,1.892955039939359e-05,1.60481742537133e-05,1.604799402588064e-06,3.018844121349673e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071725841988203864,0.00012519828125467924,0.0036928721284263943,0.00031096075730041584,0.00031341134053830544,0.000301267331253241,4.6076372136161226e-05,4.746735214444797e-06,1.0252926550435859e-05,7.127328864875437e-07,1.1890292550553738e-06,1.803049172854898e-06,3.0511451565296e-07,4.5228894496318617e-07,1.6992726337150543e-07
