,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25H,26C,27O,28O,29H
1N,0.0,1.0174641068061465,1.0182735480880358,1.4650342506150262,2.073026770951402,2.438209879272541,2.5477659972985642,2.685527444991086,3.8689218260389193,4.227552300818993,4.425594086007313,5.501456185858058,4.230186095320554,4.44337833627227,4.937525888135912,5.913498661971605,5.05267456837692,5.04023053564172,2.5647106672806435,3.6736609544630947,2.8571581554118106,2.4589891155427304,4.274541694891237,4.717099522251903,4.92827344963608,4.868948828428295,4.530438240438455,6.194251987067754,6.659811015215497
2H,0.0,0.0,1.6517786461267392,2.076937960245305,2.439351945095129,3.3531994614525824,3.523843997293003,3.604897359637649,4.685078560897687,4.923616633918357,5.106158851457329,6.173978271294937,4.721516186803752,5.1587637615166555,5.864694634658622,6.798830765448424,6.022852267496565,5.983825061243363,2.761338777892672,3.837230049934994,2.8408103851389517,2.3580486537903442,4.119639792485427,4.440045294009468,4.952891716708215,4.54455612800139,4.139504985988081,5.844847474383617,6.2499395989248505
3H,0.0,0.0,0.0,2.075101116976642,2.9415971228101707,2.611162757017508,2.757958751886423,2.4247374442919725,4.11791626489184,4.421368509168396,4.963943956755388,6.0004683241959045,4.912511590222292,5.02792792415504,4.975253984733553,6.001317977166424,5.11721656710248,4.856639226573896,2.9142619462917714,4.1118793043678386,2.8391247021263974,2.217453017845477,4.219666271068505,4.873536642495129,4.784916560922362,4.6290235903286225,4.156872499751422,5.971314733333785,6.360952290387353
4C,0.0,0.0,0.0,0.0,1.095721511645715,1.5468328948138683,2.132256747933014,2.1565934190137948,2.64405529243858,2.8891243703311753,3.1577550315019494,4.191900060373642,2.900473848322767,3.4290504160076947,3.952917336560847,4.803030700607329,4.267538201882665,4.213176581125664,1.5418133865926937,2.4277599483503103,2.4690993800693346,2.62369504776573,3.8273347444130024,4.138626630486721,4.296971202319172,4.8372199005371135,4.861558308687428,6.062635046132711,6.71044040857852
5H,0.0,0.0,0.0,0.0,0.0,2.163363806612133,2.481348577655662,3.0581526302558935,2.8699649745778384,3.2159449372128663,2.80401675316531,3.847894724085678,2.303930335573825,2.955117028490451,4.275581644482017,5.012007320965697,4.488301738747504,4.775584516968003,2.105785967279428,2.5729095216543088,3.24358583169752,3.4918597807117746,4.473945557824999,4.540382649260697,4.995236955295027,5.553236645004467,5.638707664814433,6.721082089390459,7.400179570145746
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0985977097187865,1.101673420386628,1.5419828176166606,2.1554847836569144,2.5597357685873665,3.5080667322307466,2.872717384974509,2.790691761932186,2.511864831086833,3.477648627188554,2.7941149326938675,2.7447739089923653,2.5420272081743676,3.163837624474318,3.397438527031839,3.5624599205915657,4.678186791921955,5.148874439925443,4.831910440623271,5.735930484168524,5.779783366883288,6.924675473558201,7.590280228687099
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7617149593831436,2.1700252390524515,3.0637790368798394,2.823917637775509,3.7925391915478466,3.2761116895875757,2.6109968929245237,2.745923566420447,3.767400626237105,2.5746304292595465,3.072528711349423,3.4630019758811312,4.125969475938715,4.281387382039104,4.270214101225232,5.639413216849438,6.106056452768566,5.871145658986611,6.5932500346211755,6.491238354052562,7.837536659384053,8.44556402958403
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163901863850035,2.48889626773992,3.4976885943622014,4.322208182801442,3.8609407015748665,3.793487534762251,2.6909076842320734,3.6965170181034956,3.0772208277919924,2.4596431897827666,2.8020241322420723,3.5716355056696845,3.2441053284038204,3.2808557180009594,4.461793966108329,5.139614731568361,4.502483360910214,5.366451651897595,5.344070312555485,6.546346859950084,7.153116021986142
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971213004155518,1.5362647977585961,2.178593060870601,2.1847700692451055,2.188724754198472,1.537509147780855,2.1846424435017644,2.188036374695395,2.193374032721201,3.1202270310172513,3.1534736907584335,4.184709812581706,4.643071908870003,5.19847407894894,5.518086263217141,5.110721981329639,6.4788448468039626,6.767316242662598,7.510509349874462,8.290052272738214
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139161969753541,2.519138874853407,2.4431631411290162,3.066311921785599,2.149410272868288,2.48973819495899,3.0741148010044066,2.5134763197266903,2.779102582977921,2.5525615668819,3.7642819600102526,4.4057964665407665,4.533634351371792,4.816042846719373,4.292782925677548,5.897427078322529,6.355287202891337,6.804694395461776,7.637621962641835
