,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33H,34C,35O,36O,37H
1N,0.0,1.0205007503673955,1.0219045005090048,1.4617113632586485,2.080914099016661,2.4671063846015366,2.462286995058192,2.873586221013488,3.795461177060982,4.913323440287585,5.213463420324513,4.53063234835005,5.997359494975786,6.93483326227718,5.8415629307769725,4.605238485241532,3.9002569529888476,6.952885996442324,7.936654873051172,5.9228087829607485,6.318011454534499,6.964409702768631,7.9663673358368925,2.490904798012138,2.7737699080111407,3.7202001492647097,4.003685987521231,4.927867882669563,4.9746388578378795,6.151070150552285,6.1762511388799055,6.415871476465804,7.043714882211761,5.449219029925316,5.381183330369618,6.4704940621261855,6.941899537596568
2H,0.0,0.0,1.6066257351536444,2.030376663929397,2.329538322936135,3.3529054729277705,3.4229415553781153,3.787463216886419,4.553408491951904,5.642454978099506,5.941023956464484,5.17976982681658,6.669098861877093,7.596825137978384,6.466991756932676,5.144607657069365,4.40533876989474,7.51029949846816,8.492738307766347,6.37926965834141,6.688520568706116,7.450142083822691,8.409156003637534,2.7039752347975354,2.8224225723656478,3.8899434234531585,4.306986173415429,5.01817208302603,4.881278484974072,6.192505122728866,6.074488870756381,6.594250798821677,7.055226949165704,5.743094073286779,5.878050437634199,6.663802277377356,7.235463062880617
3H,0.0,0.0,0.0,2.0180667906378393,2.9096098566249142,2.7501191436042514,2.813031139151117,2.752223963294441,4.204243552531696,5.164897305825093,5.2695591319304365,5.16159772660247,6.381192524944369,7.2664598677724195,6.410761130761617,5.405058145587851,4.755463258236694,7.6143326106706395,8.558508737402269,6.76255380456352,7.214331426836446,7.743485910268759,8.77520677994029,2.57674702291309,2.4588928552181346,3.9261111093355807,4.350536415093942,4.936756677319528,4.9036678033309515,6.3090093826095694,6.4681968672064025,6.62859996757099,7.103804632826555,5.225167650545671,5.127075591960092,6.132573443547805,6.5150658715749366
4C,0.0,0.0,0.0,0.0,1.097142866532555,1.5603983833354391,2.131203456188851,2.1801850228755337,2.593226268130204,3.6151287242828642,3.9582419040073598,3.434527675712072,4.670183476303119,5.58324434754541,4.616560111239786,3.820545422275333,3.424260389002005,5.792221783048505,6.713974435965994,5.1489830225397055,5.7409734567658495,5.990386189692566,7.028189117295794,1.5427777394186093,2.426462643461035,2.476744712938746,2.5827694427934915,3.823753525948577,4.120778644941598,4.921012646112172,4.996943017389538,5.058854692646879,5.879133649072282,4.4095792960791975,4.30933545252689,5.5772393020373325,6.0832693998043705
5H,0.0,0.0,0.0,0.0,0.0,2.168405369234038,2.5969667822472684,3.054357780897091,2.6849186875909012,3.781637083245332,4.339858917727215,3.074151571281739,4.5657648905924395,5.50282012616005,4.25808213287443,3.2190112322758457,2.84265737501157,5.265928217488179,6.217182513834772,4.433312487316977,4.962512101116817,5.314327274471043,6.299853183572058,2.163328059647455,3.187699085264948,2.6569555060142966,2.5447368013979768,4.089102806854263,4.423557092024802,4.907935593710879,4.7755056157042155,4.99518005215285,5.942187387217783,4.944047693464434,4.936572069379874,6.138501435678721,6.73481076796035
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0965294571181008,1.0974256080533484,1.5033095366655105,2.5818445062080975,2.989806798205711,2.6322820560920204,3.721423519973724,4.641724647585766,3.7711941646816243,3.316975470562081,3.133454469199229,5.049929234245813,5.943292284851678,4.687603113851095,5.420801215643959,5.398513444561435,6.477537370373864,2.5480806692271694,3.406134419136811,3.1424559941167365,2.8818292759922586,4.391005864859446,4.957795471622211,5.411433302305958,5.701428080798108,5.266206127459197,6.356498132567738,4.557149031078573,4.039307142070787,5.825105196790749,6.1266217406166685
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7608522906843718,2.137764351298035,3.34872156631063,3.861729494503338,2.8436599172891697,4.325641257331258,5.275907369465442,4.126035764244887,3.144217712117589,2.7204621163987737,5.26722958832872,6.232247328328031,4.504742138006298,5.094188679095177,5.396978563122566,6.438009403748115,3.4269545563627117,4.163820016603677,4.1655721687073655,3.9029001091517843,5.4528561015326495,5.954883055010518,6.47618540851301,6.703907590459544,6.324688859720371,7.436908324858081,5.621874725375789,5.066015682374747,6.8636937533688895,7.131162595123443
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1437851705104136,2.737546314888675,2.7477206501234184,3.4867527365794455,4.05712244406738,4.8506105267418524,4.420541188315234,4.328524559955214,4.188069491952093,5.77212248493086,6.570378001539566,5.673819271928556,6.445967118443641,6.277162921634921,7.361493192446147,2.6497803209193638,3.212169602488185,3.3122444548354046,3.2264101004823273,4.301326328165795,4.845148649644054,5.4702070297040395,5.939621334281001,5.358058837160022,6.29663007728612,4.116282430270334,3.449661045976886,5.301144007841671,5.463366575264225
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3765248278708726,2.2218861475012024,1.4465195732188445,2.26020997788174,3.225515206654209,2.311362904105799,2.6247346481450657,2.9607087138450128,3.652319085357336,4.481956758960191,3.8221537690683873,4.748119232523605,4.218388388524627,5.303530567555601,3.2964789380752793,4.369926438232503,3.2617739360619065,2.5587898777599585,4.442637111167413,5.25537833040978,5.081474412307095,5.379540965555235,4.651792440172446,6.063132605061746,4.632905562491557,4.024648727300922,5.978926647487186,6.274547041570913
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081850357755086,2.259313278220448,1.3841123245575637,2.1296082109247614,2.256774603936217,3.6518127841858465,4.21299739440188,3.6302449592761628,4.1722340149038555,4.599667910592265,5.633034977028756,4.590345526286017,5.618720553005855,3.818189323928203,4.817436311791139,3.3989772419359086,2.611575417328689,4.212956398898259,5.189167771236934,4.641570155026617,5.142775268098235,4.0034435567132824,5.508545125875369,4.118436569036537,3.3508652777215806,5.425317835813795,5.610114811597999
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3218621532634174,2.152884214315559,2.5255729987359095,3.276941518838159,4.69643691669725,5.172229304362802,4.6067680691671695,5.019481844060738,5.680365276800868,6.70869755765189,5.643104990793431,6.6522102027221255,3.8100525112426027,4.616828244634998,3.3615885253445974,2.7860457331130566,3.8560802891564645,4.8396350476367695,4.377118472432302,5.078986758751429,3.7768770423408324,5.097730000733826,3.401967857329704,2.4612865794768393,4.633193853399181,4.693001055684074
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25550566692569,3.2308394844497452,1.4226765760357414,1.4067728726738398,2.1703247688191443,2.4718730361004297,3.459872310494945,2.4104290539647546,3.3977436606685467,2.801666737668823,3.888388847371323,4.348811084531074,5.509941443726995,4.1850267191918755,3.337696354983301,5.422296898733485,6.241538354980258,5.782383916396801,5.881067334106302,5.250291084354896,6.818283410503389,5.831699334131632,5.310403583339939,7.181495213768498,7.539988573193581
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0080725125818426,1.3814948219829608,3.578123290292022,4.4258058632027595,2.5265733965110337,2.8672291202359297,4.12826993094349,5.214055552309585,3.7225699889168977,4.646383825429786,4.946342199334362,6.029586941262324,4.3133368058295085,3.3677853783432057,5.060589311424328,6.095089430920327,5.104482207989445,5.496509330334113,4.259063248342855,5.958524257394496,5.0969588233046705,4.4118152898654275,6.355914007403337,6.558776782386109
