 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.885097770213513,1.7550400412074034,2.803083828846436,0.09191851995238176,0.19592942521979206,0.03340647015620757,0.0035012746163637365,0.02913150879976864,0.0073441411731121065,8.49043852010345e-05,0.0026760274516326454,0.002236421223332674,0.00012479352909688934,0.0006377844503986374,0.0006811467069118837,0.0004778059958596703,0.00013475141514708577,1.3880721744241598e-05,0.00021189199106413925,6.165497432597533e-06,0.00010982881655520471,1.78213621593315e-06,0.2251925032521605,0.04954396586130379,0.03400765044847455,0.002336731800830938,0.007403283614489359,0.0002435495219839101,0.0015429805157599202,4.745921162863098e-05,3.212150485221166e-05,0.0003254174656098785,0.0004896495218554009,9.605484695048017e-05,8.158295218237133e-05,1.811840716103852e-05
H2,0.0,0.0,0.026640429941906518,0.11045293055027006,0.007197636705420507,0.03346872667333611,0.001984588292198275,0.00017491992922047395,0.004043608495467255,0.0012811379992839766,1.8189064109996878e-05,0.00032717207082411104,0.00033083109195242155,4.002513182044254e-05,9.830541017263883e-05,3.856670897928183e-05,1.8859526545123018e-05,2.202771840942308e-05,3.3467383488972047e-06,3.675804838887409e-05,3.2676966710276645e-07,1.848216018807136e-05,1.0784626813808984e-07,0.008631141458206426,0.008145838283482032,0.0009162612338173837,1.6224743281334497e-05,0.0002046074784085583,1.0229716810528089e-05,1.531797379605848e-05,1.0545601019096296e-06,8.747408173359617e-07,1.7805801229009433e-06,3.455817443231979e-05,2.0097570393229347e-05,7.757858224599623e-06,1.4775218848406269e-06
H3,0.0,0.0,0.0,0.10706718627910361,0.037191597820150024,0.007429540818808311,0.0006249725402807105,0.0023447289403435434,0.0009797990202362605,0.00013632341993752295,6.021400971611968e-06,0.00033806189813812004,3.054589886575254e-05,3.799698172324284e-06,8.512916726977071e-05,0.00010650332144723773,9.38111627357685e-06,1.8153514270036197e-05,2.712299406182339e-06,1.944899889805285e-05,5.8962301929810224e-08,1.855479755308309e-05,2.556958336175086e-07,0.018118437388838338,0.04245483271524453,0.0030696880509549773,0.00034676763906782426,0.0004435199291783487,3.562532028289489e-05,8.529552791691764e-05,1.2514630063353849e-06,1.3260286619409811e-05,8.96874429412442e-06,3.335670234017041e-05,7.439590414604069e-06,4.1213879583557045e-06,1.4338791001211604e-06
C4,0.0,0.0,0.0,0.0,1.7676454183612738,2.5668139035303383,0.08886022337608712,0.07928528588546468,0.17097371948105464,0.047589086413909076,0.00026294965923900904,0.01884686674409211,0.013002599091877953,0.00022107710826779758,0.003898717031196375,0.0036221071911029246,0.0013098884130362531,0.0007447901087520026,3.9040355943598115e-05,0.0016893952025577585,5.450874868140332e-06,0.0008936659589511842,1.4593985421917921e-05,2.749648032181184,0.2815663802209189,0.21530065033839027,0.013037991129865256,0.03441103584493169,0.0030947906889485788,0.004244593848805017,0.00013565789960656716,0.00013831689242138623,0.0014748369114017112,0.004037246682334822,0.0010193055198852025,0.0007531248355800296,0.00011206306887445727
H5,0.0,0.0,0.0,0.0,0.0,0.07509842084638019,0.0020452146343414856,0.030186065306525123,0.013785242068697023,0.0014787823259614363,0.00010190622088424028,0.004612245887081423,0.0006392738029690204,1.5951507704503598e-05,0.0003155185424628115,0.003925143572071521,0.001255077339785915,0.0003271900652199733,7.082712329520291e-06,0.00024050989157431424,1.0896624031975222e-06,0.00037209412245142737,1.030304853122388e-05,0.0999296627355355,0.026968418549348616,0.010173990524197096,0.0023321103256690456,0.0013967634278682084,5.9109891432873596e-05,4.944427879960411e-05,1.2309764535034518e-05,7.316526797307432e-06,8.058069651539768e-07,0.0006122698937400806,5.472512892645831e-05,9.619862846399485e-05,2.6916377247498957e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9631578039815198,1.6665819489804772,2.8574979219414103,0.25535565533655497,0.0060665322774687835,0.1907767132543589,0.04951108569877137,0.0025607509182321575,0.03436324450904926,0.015404187943199213,0.002869248429624216,0.005135452124030035,0.001095661500324141,0.0038686592153895083,0.0001518121808208317,0.0024845919372912667,6.24818157848317e-05,0.18359393164844012,0.04028830578309622,0.025275145766654863,0.003852098182453134,0.0025679281824061984,0.0005454848669762535,0.00033125749138697425,2.3760491503876935e-05,1.7942864199316233e-05,3.545154597572875e-05,0.0014796601732020298,0.0013996926354323258,0.0003261781344759962,5.676818345190515e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025173150256005306,0.10727453605882542,0.03788886323341556,0.00015066979927680357,0.011774566803504305,0.0072826588465764175,0.0005763945442345264,0.001865900882769722,0.00356380851264837,0.002485644176626556,0.0005539889781012164,3.9970889785134744e-05,0.000981419528334193,3.5833065040069556e-05,0.0007271764234595413,1.8440841535571906e-05,0.027780860201880975,0.004387887203021745,0.004768364328242347,0.0008057347689178762,0.0005355713738797174,0.00012534640981676226,5.7176468208464115e-05,5.11420180870914e-06,7.831093606691653e-06,7.336077927577733e-06,0.00036536475605908336,6.207930344270807e-05,9.43639366782767e-05,1.67037206881826e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10605283352929407,0.01428906456782375,0.0024037075570104705,0.023250503009818457,0.0015078609583005775,9.53854307130797e-05,0.0031104614071670866,0.0014211495943476926,9.46613058641077e-05,0.0007101327577372363,0.00011532896330646025,0.00040054166516889644,1.885820213343159e-05,0.00019674149932202845,5.119496580441307e-06,0.017242691131778676,0.003890838966231547,0.001316902144140597,0.00012047887416022363,0.00015053548341570355,1.9279529393401162e-05,3.862090735839985e-05,3.1023563729082326e-06,3.2349683372068228e-06,4.772234491801086e-06,0.00046930452106597187,0.0020527083748015373,0.00018755794687286276,7.413503121833642e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13533619583994,0.11977422089444056,3.1345735956124323,0.49022759108559855,0.02576571438657793,0.3403233640898887,0.22647544805999018,0.008037216847314843,0.03847039848678249,0.0037433434947335975,0.07048895053598284,0.0028829052005012734,0.02499404044591272,0.00035500554223477643,0.011262264965559182,0.003869011126166541,0.0214271148624888,0.055512012819703305,0.002152771777392426,0.0006378826737596377,0.00024638871904589243,9.039486641659877e-06,9.189859551295143e-05,1.5077228658011421e-05,0.000664134583971715,0.0026241975184368993,0.00021341741573316364,2.573574874142892e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9201166522912083,0.3900381915717597,3.4290620288555527,0.1108139160043885,0.45184378559282734,0.10996074595054953,0.0007899786174121459,0.07381960849166508,0.0006742071796921323,0.0309887433429957,0.0009465367855157059,0.07723022604887309,0.0009105155941833143,0.0045193635652580055,0.0022631358793079315,0.02334208175687677,0.051789227746510735,0.0021288579040339706,0.0005658133885170225,0.000393105593971127,3.127514226686223e-05,0.0005972600333246092,2.8608966024190607e-05,0.004179465919555703,0.021960840157991518,0.0015341694485561663,0.0001321279551802501
