 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,O32,N33,H34,H35,C36,O37,O38,H39
N1,0.0,1.8938879482469595,1.6121491021299845,3.043598535991282,0.09355935725513254,0.21275930460537845,0.015353844133083494,0.009840009653938608,0.037237472862699794,0.0018156044604900057,0.0025448956465576877,0.0028535709733640696,6.932402341175425e-05,0.000577608275435626,0.0008224054397557856,3.649260876703586e-05,2.839826020351044e-05,0.0002295361250107264,2.4221769214127775e-05,9.715389027165067e-06,4.968120932313802e-06,0.2546553980947763,0.05235737701822592,0.03888996713988148,0.0018241383011913248,0.006334687510484369,0.0006953280492774105,0.000758805820160649,1.2478450564290533e-05,9.856251734530197e-05,0.00026465923741306185,7.651921048973387e-05,6.255753599326841e-05,1.2590829033820583e-06,1.2143192408831105e-05,0.001440322737590205,0.00022248140105247255,0.00013558599746751887,7.498303591368938e-06
H2,0.0,0.0,0.02772170836214438,0.1043942543088231,0.0066722623016022276,0.032786426559329396,0.0006808267447835359,0.0009450672308859431,0.0049055802475199695,8.078692882285132e-05,0.0007619513075260986,0.0003237931403871075,5.176378035987028e-06,0.00012988555574455773,0.00015175121635213618,3.6346105229956294e-06,1.0467117049550723e-05,4.16261062833323e-05,3.0362361840285956e-06,4.362431276216938e-07,4.951100343042469e-07,0.007571392686456013,0.0008696103671946842,0.001269691028520925,3.206638208141932e-05,0.0001589090334450649,3.427897786134615e-05,1.1749801756444356e-05,1.3761498671716055e-06,1.2223680569967144e-06,3.1918056639934633e-06,1.1017241415833823e-06,7.341485172007722e-07,2.120959430307323e-08,1.5392018681836817e-07,5.876560685880161e-05,2.9403123815052723e-05,8.243974892518935e-06,9.402645018141698e-07
H3,0.0,0.0,0.0,0.10797291840912049,0.03607601183281406,0.009625527789424604,0.00017982556770235192,0.005630830280911603,0.0007668132956862861,0.0006218357967793242,0.00012659628396716194,0.00012611495777414827,1.6133727363643047e-05,1.63372809116602e-05,1.4778915345181609e-05,8.343071495442445e-06,1.5785833777925973e-06,1.963783133884789e-06,2.5260700131646274e-07,1.069830770861202e-06,5.034279282334353e-08,0.014636508509460078,0.022801079033022975,0.0024121337876410465,0.0006029901566428908,0.0002723985036707788,1.6857947601867096e-05,3.850772379165868e-05,4.285683013138808e-06,1.023705378910833e-06,6.476159217227995e-06,4.9500301008142955e-06,1.2841253176354428e-06,1.4399665415609775e-07,4.0467022888179827e-07,0.00011535820971231292,9.886755606391961e-05,3.412042022410411e-05,3.645698593457425e-06
C4,0.0,0.0,0.0,0.0,1.675949246767803,2.716150991464099,0.10025495480424329,0.0871949352966066,0.15946538312142527,0.01914937538475492,0.021289238122052412,0.010016156883437155,0.0005379508966938396,0.001266687530854238,0.0016285056833644784,9.620000981880317e-05,0.00013565145246619004,0.00032878316078026326,2.4203309269221762e-05,2.139529494638026e-05,1.3550028457376406e-05,2.5673341854367027,0.25900380165613457,0.22764258115232694,0.01897017737991047,0.035386671588456486,0.0017511152147481335,0.00425613659308241,8.60242591389504e-05,0.0002045256117442218,0.0013023219171402478,0.00027513849612940955,0.00024459240803051396,6.4256175807964055e-06,7.087906466585192e-05,0.008238410475128799,0.0016436778739701702,0.0015420975376968932,9.618559644575253e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08212605140407692,0.006227082444763221,0.03319946911316407,0.007168383880158169,0.004773617235641403,0.0001793933719012042,0.0006925580229690809,0.00024291754729754977,7.628869046305553e-05,6.174567330474723e-05,1.3448872461463424e-05,5.602526390813267e-06,5.949928007842331e-06,8.51071171759088e-07,4.409463315591111e-06,1.7558195493094786e-06,0.09424222517675207,0.02055233862932282,0.012762818127554532,0.01376081180953137,0.0018172450931919215,9.839697349045551e-05,0.00013257789525999986,6.025477294224757e-06,5.0708794150367e-06,2.669041304281805e-05,2.0009120795916324e-05,8.834459829243357e-06,2.612667748813635e-07,1.6514319847171777e-06,0.0003618420549524881,6.697447161307934e-05,0.00011215297886724152,2.7100182317330024e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9406571064020928,1.7403051265874103,2.782064116646335,0.07966203523464332,0.08809926322237649,0.1744171650272095,0.0046561109200564665,0.013340562072996831,0.033571586514870216,0.0012597874916143725,0.0005319058907148344,0.0061683213314004115,0.0008194225049045212,0.00020637559689351548,7.626372881297527e-05,0.17996599432805074,0.03244650363511477,0.029449088736096835,0.0016982179943419995,0.004317614394973468,0.0004744417648127053,0.0007121164066525021,2.4488526396138077e-05,2.573167734232218e-05,0.0001910962727108556,3.799823696218341e-05,4.732553085699809e-05,1.641063281043742e-06,1.0782581713053574e-05,0.0009433151905373915,0.0004612498619105468,0.0001749467937584015,1.861991524465534e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02506060268396637,0.09058845701418139,0.0011146636253618336,0.01104616040774098,0.022574880506051276,0.0001154010115651527,0.0012948535493877422,0.0035142194186557063,0.0001451779841212808,7.490403027632375e-05,0.001051272532166081,0.0001738595858002956,2.913331131937369e-05,2.1493136378225586e-05,0.029629954807958603,0.004724420285339037,0.003165922385016451,6.684488859964866e-05,0.0007470202137800364,3.351601694356887e-05,0.0001466838650897584,2.635170898823702e-06,3.286185668693875e-06,4.912558773573217e-05,8.065163696557853e-06,1.1249939721680313e-05,2.8728885848039454e-07,3.223592303314149e-06,0.00011207572390281584,0.0001025067801352364,1.4167033716372401e-05,8.536677613690813e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0788870923350442,0.027758647064123343,0.0010899951502161276,0.020285579980574897,0.0026333632779051985,0.0016302770732949945,0.001948183931940628,0.0005273468472779541,7.37128635548423e-05,0.000234323495566513,7.561101051467567e-05,4.5135087440195676e-05,7.5017760614581874e-06,0.008131855024272827,0.008333319925815763,0.0013427995293540107,0.0009025793682220229,0.00015296787544127888,1.8195263487008617e-06,3.63164950032413e-05,2.7037815837349655e-06,1.0284643330304988e-06,4.041704036561455e-06,1.524841260258647e-06,8.869146268519756e-07,2.3796512760299038e-08,2.1670396654904778e-07,4.487337337666375e-05,9.332281410201482e-06,2.1062537050253738e-05,2.2426398496033784e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033084265683006,2.0893144488838136,2.8070829052727664,0.0809993056027245,0.08074812220096539,0.18303544481802198,0.014518197800525434,0.003320022102005993,0.03653007248555265,0.0038508014285324466,0.0016758810682493408,0.0009364170503052271,0.013863159807726538,0.003969628327610546,0.004669123085694324,0.00044163121136753247,0.0005343208744046923,0.0002275813314768227,5.803649006512479e-05,2.1153684648389515e-06,1.187543949932035e-05,1.3717573500660052e-05,1.1160394655762573e-05,3.3751055975861366e-06,2.5155018357203573e-07,6.021333306405197e-07,0.00046554763205977623,0.000944477671004959,8.56161865334798e-05,4.24977027368989e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023871112413680118,0.08076508439138652,0.030186185988452463,0.0020301854300446287,0.016763367711243538,0.00859295394848636,0.0001090495411784076,0.0012731850551758184,4.083608215599277e-05,0.0006961457935625859,3.6039976268886775e-05,0.002309590807703543,0.000581851010869161,0.004473406970411875,0.0005843931925806345,0.00032371848982393203,0.0002352035611337122,1.9014301648745402e-05,2.5188801775488656e-06,2.4551154994112423e-05,3.7370029473127175e-06,3.2847270081681756e-06,4.911741746660425e-07,5.7095155492348226e-08,1.0550933371433757e-07,9.381052175516658e-05,5.761486076683031e-05,1.7529754467338066e-05,1.0343615353125557e-06
