,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32O,33N,34H,35H,36C,37O,38O,39H
1N,0.0,1.0189103455054973,1.0201155040631822,1.4630425711621524,2.0774716257369272,2.439321767488519,2.6030843531729366,2.6368029666520307,3.855564968080833,4.073205301778528,4.566057870154561,4.660120166894618,5.068581494820514,4.269615472096196,5.96673887520996,5.960781422973597,6.690746646644986,6.798752212177939,7.729775196700169,7.018732327569186,6.437284508736948,2.4776595540465434,2.9944267395060646,3.4959800124603,3.642305616672801,4.712558788328813,4.738367642167057,5.8381533572189745,5.750964131464333,6.038998760172649,7.192653276190261,7.636819680442569,8.065320510391677,7.959197816654866,8.99429552158889,5.392214736011748,5.746673534267739,5.972615784407036,6.647837447500433
2H,0.0,0.0,1.6360821321161771,2.0619079268536873,2.345718427459721,3.342042819060155,3.503666818648522,3.6151996942243265,4.643023748457077,4.679480695075223,5.409297406363973,5.426928441052871,5.935808925795423,4.940444189744573,6.634241753566821,6.503626790923806,7.42225964171739,7.406742817104731,8.304981023258906,7.6990888745138415,6.937830627538727,2.745394825737422,3.337556408789071,3.4745874683348896,3.517463810487986,4.583844835687971,4.452653518146139,5.607152179332824,5.356823377620634,5.937669665614187,6.945853802649258,7.512901015920863,7.681318323988371,7.481513994805313,8.616746275184365,5.497589450447405,6.02432537555219,6.0234596806204985,6.800000708595844
3H,0.0,0.0,0.0,2.0397605376066967,2.9250024673778956,2.7221244515371454,3.0456345749071256,2.4940792341839666,4.153996251898337,4.560077615094336,4.887613683139708,4.675300881093248,4.928996214336043,4.162836552543044,6.072029359171883,6.2097680525348435,6.824781419204085,6.735942970769929,7.714832357411616,6.8255982718097625,6.3487194855999025,2.611377970780189,2.676301560643365,3.820505302499129,4.202027419297725,4.847955814693746,4.7567030759573665,6.147814390628768,6.173717028228519,6.4314163663400254,7.38380038427553,7.702571978854516,8.315161852655425,8.300517509217386,9.191737662172095,5.322073330898041,5.724821014095099,5.708689805974659,6.3219168348076415
4C,0.0,0.0,0.0,0.0,1.099082597959308,1.544108443600746,2.1238469779594866,2.1576930255110454,2.610237681496843,2.677544455387008,3.4715035895990205,3.4503506712491427,4.068525729432369,3.132060717172426,4.62337099061562,4.52832317242862,5.371871779861205,5.536416808159874,6.4184825871291284,5.876919424269142,5.2111176999849755,1.538478071600888,2.4284652476765847,2.4811564572535505,2.61516498722917,3.849785811460484,4.191691355779089,4.89043897862247,4.954323279152682,4.895981079294423,6.290620867524708,6.6824862243684136,7.267414493712053,7.236318501869448,8.201762131112146,4.431737796333818,4.581292016588923,5.254646468991674,5.877238315277829
5H,0.0,0.0,0.0,0.0,0.0,2.156778633567587,2.419453431997098,3.0528854619927417,2.8680532578747093,2.543170384951944,3.619189833079977,3.957600616953896,4.711339207588361,3.7922179463568364,4.893091123376469,4.581115962699862,5.581857152157392,5.941682960864611,6.723691380567922,6.425694487041663,5.638379989675547,2.168738623469436,3.2975653274727676,2.5350756893101876,2.226025518110098,3.9893155821176793,4.4303188759395,4.71406807434778,4.613848471175453,4.610819909718088,6.209239748466405,6.755070480000007,7.073307587514594,6.924349427082173,8.050603609540422,4.806490506647154,4.921755994424184,5.775142301395508,6.450606083972107
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.09400644871307,1.097829914060459,1.5445712235583167,2.174595919626031,2.172418396229911,2.5726778211116104,2.933709054301052,2.678423623165801,3.911081813034168,4.095572141353326,4.440367937959233,4.996640492243779,5.899193808454113,5.1920916183279635,4.956285605746325,2.5536127983271704,3.0576152953383073,3.567593727350656,3.760700524791026,4.857957251048247,5.352861474733324,5.900904568370021,6.1412185355426265,5.703336097883054,7.23908427687945,7.451610268063451,8.337817934906072,8.40750673570826,9.235793139510797,5.039962771387602,4.846356301353794,5.890265377640152,6.308296883797172
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7567065121204106,2.1803679886549623,2.7067209508908885,2.340415589090977,3.456139688193723,3.684308994871655,3.729333836720195,4.711932506079852,4.872898784845066,5.068231804653162,5.921274374105084,6.78291195732506,6.102995446182613,5.9694784310339335,3.4634868335175737,4.0464236995644915,4.406110361829146,4.416964182920805,5.778688212836285,6.242950795179784,6.731570981288323,6.852005345248257,6.503095475044335,8.135146801579673,8.429465535960787,9.16972903079415,9.154603235048052,10.09992401592824,6.0861598020004575,5.896559905961304,6.950951048948983,7.394875496336565
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178751798011967,3.0480929582995575,2.7127895894318246,2.6336009471183606,2.6408562887785103,2.591828833479106,4.139344577062097,4.5546484680788835,4.672190762428509,5.001918240644605,5.976573770060995,4.98805713772296,4.964630190579851,2.826969345747017,2.8736935443154343,4.058222035233891,4.467744452218461,5.178206545481245,5.551942466584796,6.4041214304735705,6.730683205126462,6.308181621900585,7.632880974149637,7.719386780205366,8.786915803283215,8.935705338004441,9.637995872710443,5.145600469091671,4.988458299986483,5.7942031541942445,6.12472500899098
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.100023053784094,1.0962098857622902,1.5432045356183848,2.1714215789304823,2.1651201592315243,2.553480319942357,2.7356526843481612,2.9749091806962555,3.8621456853934366,4.654397588545094,4.186728391601098,4.026326702975442,3.0918750951035885,3.6092698777898176,3.7100578096579744,3.858928296462727,4.859102244107473,5.611314775317439,5.68301929603003,6.092145351786379,5.229711332607341,6.938458189105885,7.037156663735933,8.1040318147975,8.263759061288916,8.957495264109632,4.794627266474238,4.247187363033291,5.818685758209373,6.093918374544043
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7532459403554823,2.1739520103595136,3.0634579405753533,2.632837534192017,2.661069163976972,2.384097470425537,3.1455293607637396,4.014116456147994,4.670977931781923,4.5756910043558365,4.077180666661085,3.062596070408058,3.856248069749065,3.2765306033009525,3.196396359929257,4.449635846031857,5.305297848620509,5.017484345074355,5.360661527560778,4.449476189140364,6.328251265100285,6.546630096265189,7.419686026757465,7.516208376525936,8.297917028344049,4.588976239589966,4.049962710143756,5.760206952487328,6.117758137068101
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1681005663136537,2.4188070270535915,3.0534121772176754,2.9162260931728623,3.210385411854979,2.9291187619474894,4.333777143183021,5.025762834975033,4.57379476793605,4.720177322836231,4.157970127806902,4.64827168645534,4.769454013496323,4.82289176742309,5.931724004588,6.7028907269544735,6.675927173347447,7.06441825907295,6.135679314739124,7.9275613490169485,8.011054566737984,9.081763458195189,9.22693593195353,9.931561090891236,5.831689264868514,5.184387720358673,6.8556064722169,7.068000804926653
