,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25O,26C,27O,28O,29H
1N,0.0,1.0219084350317449,1.0240189619814097,1.4705967025333169,2.092856485191347,2.4756731471078983,2.5080485877826915,2.899085913864899,3.7789805370008818,4.251073754552137,4.733921082885017,4.6377282618083875,5.423393132739851,2.483636261034453,2.745508957032836,3.6899321928186084,4.122537407466668,4.898433971814835,4.9994555769358096,6.13535075107008,7.021609242480617,6.1812097582873635,6.535293375122805,7.713050981175077,5.805615735305954,5.367985799381783,5.246075717371315,6.4318999841957485,6.878544039665452
2H,0.0,0.0,1.6053982040504324,2.026972959430772,2.290326572694326,3.3441996821591378,3.427384190056494,3.82841755662094,4.479897908940143,4.83003655349959,5.419327990767941,5.321760429458017,5.99114803910281,2.7439336950047246,2.950445700570521,3.8386863720121758,4.3224710946509735,5.0053861810106905,4.9454245047589165,6.175944523064884,7.057449523433022,6.05363275621868,6.729518734951006,7.946078576855488,6.049836575413291,5.706266796242581,5.785455552770792,6.694274898183434,7.251717991652221
3H,0.0,0.0,0.0,2.000536507561792,2.8874309669723917,2.810772623958239,2.966709290731042,2.8398368495518826,4.24299029178513,4.9266082021201,4.995838115907172,4.70171452270835,5.759251611099306,2.464291941485894,2.257617246275717,3.804548810719569,4.428113881825237,4.794507536851949,4.782151655090636,6.184118305220629,6.961556002032728,6.335826549476829,6.7179542496647136,7.852613490995245,6.140974482902971,5.063529773797131,4.947493484193901,5.998670081109682,6.382625648371381
4C,0.0,0.0,0.0,0.0,1.0956876507046365,1.5567259810438143,2.1419088598765046,2.189780872832972,2.5416056843171826,3.139491815995586,3.3930091886322202,3.341116750835579,3.9999733416532046,1.5472716029994662,2.413067891929864,2.4834955280659363,2.7359494406793474,3.82595843995469,4.189266796369107,4.928254231274383,5.8754574492106135,5.050733457379072,5.146237089655411,6.313334217737553,4.360395581717988,4.3405642950321575,4.179329036346905,5.549913244946193,6.016481668926814
5H,0.0,0.0,0.0,0.0,0.0,2.1536194634313595,2.576318105501642,3.0504235813005267,2.5743703149753703,2.7610652993983256,3.5575370753964553,3.7439367914071484,3.9397184142733273,2.1863742643983266,3.2371889847486366,2.656734044673756,2.59983181569878,4.10002898999942,4.513459604414284,4.922128958346984,5.956277675769838,4.8589405998939155,5.020317912861808,6.218301589262383,4.0906363895428335,4.880477404919141,4.813441888671907,6.12144228000406,6.671823758673721
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093258813125291,1.0974631032778357,1.5322807226958308,2.3957471216846202,2.4634442538150045,2.570833709947534,3.314859232394642,2.545269650805531,3.309472348778763,3.230936825799505,3.2128477461261786,4.4413633482196415,5.04837914809109,5.463727024892028,6.374342207118488,5.818283553457922,5.313259646482868,6.333907679024577,4.4323410713166425,4.521735062671987,3.94151662025059,5.803167644442952,6.0504998015544
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815233633710388,2.139337022103995,2.5801904654755075,3.277144564139446,3.539471706091479,4.114957540372899,3.438557715997707,4.0931803361459975,4.238880393647172,4.195998251124113,5.498701083118169,6.04733001433506,6.518678710378568,7.450000736858256,6.8102588440508285,6.334271923245699,7.350543252154479,5.374315003008249,5.591637625958393,4.975658378882251,6.85036502205289,7.066751857799644
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2008505531160596,3.281177230902794,2.604910585641391,2.351628777396564,3.5771432533382894,2.647432412649653,3.0750134961814823,3.4112671883484946,3.5857987281297956,4.354290227309545,4.929826968928934,5.518733415888483,6.301500725284348,6.0371666166433995,5.449490981228261,6.379912100583621,4.763343010125799,4.085410318782627,3.349533191746295,5.274367964958475,5.38334625778443
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2288076594701733,1.3663643951140891,2.0428987684691045,2.014252492702782,3.2589469523121046,4.281456927223951,3.3258363934319934,2.835575168196895,4.481753794032166,5.326766589554242,5.103909563344789,6.054422510721338,5.478816221867821,4.537661712665681,5.455236816845146,3.4805977885661417,4.617931398000824,3.9879446542801813,5.96734028207358,6.213058474620145
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2893163848021754,3.1540784033457387,2.522834476828614,4.0989723454317,5.2125879415114635,4.081605454488724,3.418866162140836,5.326527007666551,6.159729155995187,5.745659150437837,6.7586792943665035,5.950402388202993,5.048238293813226,5.950530178562121,3.835429141203444,5.671533739573145,5.132830770097564,7.027365949238591,7.333179879711517
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017606787300659,1.0215938076538187,3.5350061111074362,4.461898821716217,3.2479665695053765,2.7024817832318777,4.026416396959662,5.013496202848999,4.481103390091466,5.30410591798735,5.076193083195691,3.7127876852559303,4.445007049253463,2.8453249054487912,3.877407835974885,3.118438666845232,5.176947363232349,5.3190258012673235
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678931964437982,3.098697172813224,3.837393737670144,2.8357979234294772,2.5675520624435086,3.375007152496839,4.334029730694007,4.022129255654086,4.740419347625728,4.754652393928331,3.493964181435054,4.221169821594158,2.928166663209525,2.9699890898284176,2.118330730603257,4.243588672309948,4.34039592973063
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.019327917633259,5.033015078197977,3.3991684648589446,2.6170870329739864,4.052096667424499,5.108631806684203,4.13923686607096,4.962181163719497,4.690579830019482,3.0865075889218545,3.726172016243102,2.14001373689248,4.0695586980747205,3.486722629751884,5.322986909932642,5.5295785493333005
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2388648760864653,1.35186291030507,2.1302255643431187,2.424227000048881,2.681253523860567,3.735175370018437,4.567575238761013,3.9571488704548834,4.294199982105189,5.442594658494903,3.86199437645327,3.003234562189946,3.154014967939126,4.114809639574929,4.681602046170669
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737628110071992,3.224682430198594,2.7563696321706788,2.619773771246795,4.264568462606757,4.883488646402545,4.548616878015193,5.081575132011247,6.1453795698738105,4.874541079090875,3.0300545249769377,3.2893209554467795,3.8394788615558793,4.3595690273079875
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04045395879187,1.4498020848165,2.08859993365884,2.4611758094699963,3.3967932831905037,2.7078543958053896,2.992209592098169,4.172223662155409,2.6725835190714036,2.4545608900803777,2.841544179640006,3.622339781749851,4.304016967191187
