 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
N1,0.0,1.8413412212681224,1.8690806261895263,2.632644108838515,0.08735602180570678,0.19082276446127644,0.0301815443232758,0.0028394768919677293,0.030934195453527602,0.006632810818157184,0.005434270717488157,0.00017068318016755235,0.001043838965296362,0.21978525766620166,0.06587214573587567,0.03337201084756029,0.0019128512413224552,0.0073635075323836285,0.00029453340284713025,0.001370968541531764,0.0003236176937762014,3.107422021231265e-05,9.85261482686628e-05,4.9996159981899324e-05,0.00035304311815102796,0.000695621472879715,0.00012948360723727403,7.164757120395326e-05,1.1839813522040998e-05
H2,0.0,0.0,0.02671167932064833,0.10738298070676966,0.009022696059362678,0.031710722769378474,0.001978084523305945,0.00021237761374615083,0.004421236426381925,0.0010128364732249207,0.0009552128999312792,8.197199310444603e-06,0.0002405989585634316,0.007044212309324394,0.004365767211230054,0.00047822303805356015,2.043354379877016e-05,0.00017781320981458126,1.7822820412849438e-06,1.715885942188411e-05,3.4324051343403994e-06,8.297494729081478e-07,8.996952862494467e-06,6.049577962352615e-06,2.851753737953544e-05,3.6233464121515624e-05,3.0106604249513502e-05,7.260672675424296e-06,1.5459498501346758e-06
H3,0.0,0.0,0.0,0.10535156992152872,0.033979596205110596,0.005744753278196457,0.0003804173947346001,0.0017909510452847055,0.001360630072286817,0.0006255455225474549,0.00016039500312825528,8.672046364788244e-06,1.0940757797062162e-05,0.02896283256537502,0.08798364631447841,0.004770041057800434,0.0004595037406418534,0.0006115567027665803,4.2385570234282355e-05,0.00010907837869422732,1.3317507461252376e-05,2.2477135337428678e-06,3.319258960921001e-05,2.071361016386941e-05,7.191068375778098e-05,8.93222287803308e-05,3.343270798206177e-05,5.378590242743897e-06,9.271929328757977e-07
C4,0.0,0.0,0.0,0.0,2.014355242220137,2.6637479953934347,0.08900827226667651,0.07774704378570019,0.18350296423001508,0.04892811600989033,0.027217440269744944,0.0005998740226665911,0.0018675333600854938,2.5321762538845567,0.28102694232472725,0.2174332861377325,0.008141944698801695,0.03720431997696319,0.002427243202427487,0.003963988423341613,0.0015072949645509315,0.00011176012750935271,0.0004054607202564897,0.00014462931312152205,0.0011809449238344705,0.00473855335294357,0.001263866972816885,0.0007818049620449824,9.959782223079028e-05
H5,0.0,0.0,0.0,0.0,0.0,0.079923060030621,0.0023766949987991115,0.031768283732616975,0.02142227637606897,0.01632161733319737,0.003147737831996955,9.504082195022079e-05,3.632710936618544e-05,0.09170259045818008,0.023789444547573924,0.009254297960331948,0.0022821048030496893,0.001342622087859624,8.552117019067218e-05,5.651033240217096e-05,2.9058943544768567e-06,6.586181397372215e-06,2.9941916762643572e-05,2.2811836732361535e-05,5.224051810626129e-05,0.0004942722160388158,5.391755574746249e-05,7.940956798158094e-05,2.1117045791996247e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.085312175754215,2.010635610132323,2.626993232073735,0.303504560124118,0.22164082619134373,0.016611979207376892,0.03622471782529446,0.17831234694636192,0.03716416940457459,0.027278543546641346,0.0004740607216879855,0.002805816933475286,0.0005639095944902639,0.00031408442952812754,5.8420760122190885e-05,3.212178030387314e-05,0.0003549494210752513,0.00014873805944155133,0.0014670182366061518,0.001601964769236186,0.0015510072182906842,0.0003602450171111826,5.7295342528740356e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026395520745888357,0.10215411821848641,0.018938345811236545,0.025560028969407678,0.0015505888586835326,0.0006149442528846638,0.02595526993554631,0.003992947084062393,0.00477628843505451,5.7687059633382276e-05,0.0005719987271222138,0.00012893111205269925,3.53916448163627e-05,5.798670515089199e-06,5.9131248590915675e-06,1.6036290433785183e-05,1.3268465252846973e-05,9.670965545460763e-05,0.0003616949659839275,6.924977691935563e-05,9.382595304152641e-05,1.2855357456764693e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08785894358031232,0.025638726693856473,0.009464569613498619,0.006167707878502959,0.0014340413224758208,0.01734844764478316,0.005644692686430752,0.0016434467666837094,2.8325106425919344e-05,0.00016473381573978152,1.2243859695226789e-05,4.1202968882325663e-05,4.257777331151402e-06,2.7448798196605395e-06,2.225931370358758e-05,9.16360967662122e-06,6.899834230378321e-05,0.0004684598013668939,0.00222488230162754,0.00019108164405001737,6.777496817766959e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.728593575094236,3.6346403513013645,0.14671897605060702,0.15180486557463135,0.009128219855687736,0.0036293401831303806,0.006498267660533935,0.007753079818636044,0.0009933003720325184,0.0003306483732912202,0.00029562534815624764,3.154525794113461e-05,1.808948989179271e-05,0.0024130032407320146,0.0011104764472429224,0.00942610265493704,0.0009317782239043615,0.004470268404092981,0.0003181374537582493,5.7940766753472595e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510625852393038,0.02964886023744495,0.028425970966999725,0.004801126394543234,0.0017575618249530758,0.0009951241766107954,0.00023845495078822498,0.00027865038030502887,2.7933103325605835e-05,7.730903726776983e-05,8.629749015054422e-06,1.0468214645786844e-05,0.0007994762140194622,0.00034570358588447217,0.0022543226994915302,0.00040511049082893325,0.0016547999370659233,0.00013453997821008534,5.149318273944825e-05
