 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,H20,C21,O22,O23,H24
N1,0.0,1.8577892936112281,1.9054792395506501,2.9542034838474547,0.09578680017060948,0.2079950844398933,0.011162303848464505,0.03148825834780289,0.030377093134553904,0.001684254112873429,0.1813072221320629,0.03753596991766026,0.07168610632994868,0.10903207446010266,0.009328121166873829,0.0015268992216709298,0.0009239286359068316,0.00013293739828701412,0.0001412269909921715,7.836591392573755e-05,0.001338525161824644,0.0008821702602527307,0.0002450296196597618,2.1477064501396192e-05
H2,0.0,0.0,0.028324062172985887,0.100894271125468,0.037368156276918585,0.013468801089048243,0.007319115735164861,0.0007312910331813693,0.0008471836761005935,0.00017152179520341093,0.007005411730795941,0.0011384325448340338,0.007414932481632275,0.0026776197046665118,0.0005922551306551949,0.0003593529136531881,0.0001586102488164709,1.2792365706726372e-06,8.159397466123153e-06,3.85438048069453e-05,5.2286407667745394e-05,1.3018128303232679e-05,2.2512299003962788e-05,3.7956510556824696e-06
H3,0.0,0.0,0.0,0.11377180478743387,0.007374633232501315,0.008435686454463354,0.00036721945986251114,0.0009680525645821003,0.03641176277203739,0.00015882134247680035,0.03041347682804707,0.005290147500700448,0.005550501779675532,0.0012140293825322335,0.000624332242916692,0.0004850450925635297,5.043382110614392e-05,2.559222627596114e-06,4.276128672531243e-05,1.0023410795811927e-05,5.342326531132535e-05,4.956192826932604e-05,7.336660051926458e-06,1.6467497483407811e-06
C4,0.0,0.0,0.0,0.0,1.926790310493342,2.688521941966195,0.08437387818328879,0.09452619973480969,0.21712319650839107,0.009825603765103441,2.6260386710714987,0.28567645727496926,0.22787094248839962,0.018304432703253326,0.036643573573935606,0.0028311918376733303,0.0033694631322861296,0.0007577686698179154,0.0010193488765670722,9.15300647734707e-05,0.004684108006399651,0.00034136857953689925,0.0013344918903449854,0.0002623996860522393
H5,0.0,0.0,0.0,0.0,0.0,0.0836636196835634,0.03498917051001782,0.004765977378800912,0.011096668750500194,0.005659272936931803,0.10600378298722646,0.024773210217232777,0.018746977280121313,0.0002634824479994524,0.001598748359260993,0.0003079328460908748,0.0007585588124855436,8.945161717432981e-05,0.0001652758174885971,3.5226478988681365e-05,0.00024040892416854476,2.3383820494271568e-05,7.85398928876413e-05,2.6818237702119774e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.974857852948897,1.9910664041277648,2.9863973209071877,0.10796251327206297,0.18170389013980615,0.055673072174688934,0.026148113295514766,0.004695991331887139,0.004774010571679088,0.00043309893659693177,0.0007236469708071236,0.00016100864727364161,5.4860202069129116e-05,1.5462310667402335e-05,0.0007032241261505368,0.00010122671267828731,0.00019497699928799905,4.152898117348869e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028113183098644967,0.10005037228935143,0.034264546987843314,0.006836125317087438,0.0016892890080526524,0.00046854538769314225,5.8292275043392294e-05,7.966195663478004e-05,1.7083415675633873e-05,2.4548781466959824e-05,1.5905505328372982e-06,5.097316895019688e-06,2.7689752142290303e-06,1.4608449654396338e-05,2.536838824673815e-06,4.492320968108032e-06,9.313663260623883e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09899599024620753,0.010970063457551138,0.009891553306598189,0.02389484769741057,0.001911700912370251,4.074121442054768e-05,0.0001375243152641481,2.4144751755938998e-05,2.2570226906881707e-05,2.2817870670710505e-06,8.399358605748475e-06,2.7623560305833905e-07,2.197635326472991e-05,2.0934783612758245e-05,2.200345367242562e-06,4.4068970495025894e-07
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8221761645155183,0.03580268768019784,0.006902870610826374,0.007347375606089571,0.0007594366031601352,0.001804487699881202,7.616427826995231e-05,0.00017255915172485065,6.068058611796712e-05,2.0611338919063193e-05,4.663265991800003e-06,0.00024155668778871875,1.535222944563236e-05,7.601040529109371e-05,2.171353484703431e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010680118212967882,0.0002685767555047347,0.0004396398057971984,2.41455528935397e-05,9.997493782620825e-05,4.29355202702375e-06,6.439224259802145e-06,1.1815187044295072e-06,6.379493391328594e-07,8.653408847258959e-07,1.551333507165964e-05,6.015936818704049e-07,5.6889830961637244e-06,1.9535578559271016e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.742235512260149,3.5302011695124005,0.13768253732760638,0.2755933955316317,0.0258782854478119,0.03533703365551162,0.003907996802658298,0.006480100168273717,0.0008271090098421752,0.02898786565896877,0.005988171553821517,0.005687409607308541,0.001215897532518273
