 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,N27,C28,H29,C30,H31,N32,H33,C34,O35,O36,H37
N1,0.0,2.0065229372359994,1.9380107830722169,3.0203053779253777,0.08517132701890406,0.20518840052037757,0.019621197232666532,0.006615819601920037,0.03356010618738425,0.0009245847408502206,0.0008536730162750361,0.007298723331805784,0.0004083387965851254,0.00014823240565997597,6.238496968347107e-06,8.115934988528473e-05,0.23172438842567822,0.05020635718624196,0.036464280944309715,0.0022050660262707966,0.006672510709299362,0.0004056840751366364,0.0010594665598862019,4.2576108422953673e-05,0.00021350012467780122,7.72530874471461e-05,9.30139542615338e-06,2.2560624261105944e-05,8.849675051658679e-07,6.2993479628542515e-06,1.944197258740843e-08,4.698564589719623e-06,1.5247225271242115e-07,0.0010861004923325979,0.0002071185938387482,8.333397034181178e-05,6.5566841674913334e-06
H2,0.0,0.0,0.027025051268486644,0.11005631968206708,0.006575448830044461,0.032833636966015045,0.0011233667591437069,0.0005563573840043912,0.0046928548296079065,8.17887420789809e-05,1.8845041620974e-05,0.001899555550909593,6.0031116682290886e-05,3.5357912751665665e-05,6.789717152955177e-07,1.3744959303174653e-05,0.008499571301139541,0.0023615138864896412,0.0006245671060697289,4.266994922441647e-05,0.0001624818856909016,7.328105541937191e-06,1.0470131609929823e-05,7.59711135334129e-07,4.403197890967547e-06,1.4992200991770233e-06,3.4689617656180616e-07,6.187343349894903e-07,1.0686617146760113e-08,9.939578415885109e-08,1.0906962000234444e-09,2.0462499095152964e-07,1.498931045951224e-08,4.613740927505994e-05,4.120356950942927e-05,6.617919401930017e-06,1.5706277307625527e-06
H3,0.0,0.0,0.0,0.10551575679986158,0.03683620237570984,0.009492691990696911,0.0002399722398851445,0.004853068261155391,0.001053755298522141,5.2106687258524076e-05,0.00042057896842662146,0.00021800278554739982,4.4044174852042595e-05,1.7124964114767494e-05,1.4527531853048004e-06,1.1709247471181072e-05,0.018279609315500545,0.04319424683325224,0.0032531063303301577,0.0007902949988378705,0.0003754592970821591,1.7009977149040623e-05,6.188159582076747e-05,3.785245312304397e-06,6.427989168722448e-06,2.0144115252418437e-05,4.636268385094233e-06,9.897154445215328e-06,5.6559881667084255e-08,2.539610345686505e-06,3.0547488982790583e-09,2.3650582571255185e-06,6.932968421580199e-09,0.00011143297517823836,7.263606927065958e-05,1.129101542696187e-05,5.991622833434462e-07
C4,0.0,0.0,0.0,0.0,2.0255451670100957,2.736826324208865,0.09285285397064924,0.08266965524255787,0.1623099595344302,0.0073250743769013305,0.0068222072201826744,0.04496839513238601,0.002092530212994201,0.0009897030618466474,4.650137484629724e-05,0.0003877694671079457,2.62323754053145,0.2777898721924783,0.22573978361180916,0.017041232538707374,0.035832315999703185,0.002156959399776226,0.003873862276096901,0.00012239895018995028,0.001355492607149067,0.00040305884087149524,3.94286202599764e-05,0.00010490827985029649,1.4658783080712112e-06,2.488087480331802e-05,1.931410955613444e-07,2.2007726890649337e-05,5.46519037802895e-07,0.0057757721398573325,0.001507883574116034,0.0008683382028699116,7.430865047775015e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07595812688947867,0.0037609778618143963,0.0346562648536235,0.009365754142588001,0.00014268578827136835,0.003917428569014003,0.0012392689596150142,0.0005728835359128936,0.00022351013687638144,8.555746031424505e-06,0.00011214828881667138,0.09205632001213448,0.02237964918305524,0.011487319366678905,0.01147990611841232,0.0016299710356484365,8.88491883523912e-05,9.713076763007145e-05,3.8011566956264176e-06,8.276897642156555e-06,3.383575721160881e-05,7.3584752671163045e-06,1.0625152188303844e-05,5.58559486218968e-07,1.4022317544881702e-06,5.512817535802128e-09,2.6943586000083286e-06,1.4788914604046965e-07,0.0003843827479446116,2.9245749992412584e-05,8.220777381451327e-05,2.547990562917768e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0010169973809755,2.0147469574942143,2.735544628908919,0.08459492776340904,0.08356079348960288,0.19579869236326783,0.014298366826493242,0.004864901666406851,0.0008399401697303244,0.0016338492582719244,0.18900075648243134,0.04007745922257955,0.0291407525576393,0.0013028210900281056,0.0035367088903675015,0.0005852866053666084,0.0004239469612019042,2.4464239895771733e-05,9.484760556832672e-05,6.84631523067275e-05,1.6921853173021417e-05,3.262264245720847e-05,2.851788964974844e-07,6.531911939527957e-06,9.593076744085494e-08,9.476148321141409e-06,3.119662315143046e-07,0.0012642785120558775,0.0010824626345147526,0.0002218558277172905,3.729937605212452e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024365714507470937,0.08486114173799875,0.0323182219790934,0.006283617609145642,0.01291185672773254,0.0005981888896915422,0.00016398628806424398,0.00023762123695014736,6.2627298481166e-05,0.029623502212325237,0.006184257169259522,0.00327512002219299,9.88758544011592e-05,0.0006367447268826876,4.197446085463241e-05,8.999093143990944e-05,7.467378686953907e-06,3.784279431084947e-05,6.916927032252218e-06,1.1122507966865314e-06,3.547691443950285e-06,1.623034129316636e-08,7.608961229976785e-07,4.550058774199783e-09,9.312816822149017e-07,2.0683653678688074e-08,0.00021955508149895664,0.0002523392043773942,3.396017463652701e-05,4.902292405128961e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08127503039569484,0.0038815819770008364,0.03264164936181735,0.01158693438009617,0.0062463245472856865,0.0071552511136754315,2.6042488445954248e-05,0.0006439341890358552,0.013809950742122545,0.010941249567402833,0.002021818978663825,0.0005533059259150708,0.00015997365457898205,1.190726168198708e-05,3.4060071463448693e-05,1.93352572819272e-06,8.035502978787079e-06,1.0735520360682926e-05,2.6497046223816767e-07,9.9593422886457e-07,9.244591669954616e-08,5.834047902553152e-07,1.4518093394144671e-09,1.7648032413219994e-07,6.746616598718447e-09,4.350562430377458e-05,7.240496339921965e-05,7.519520372700761e-06,1.6755495602094328e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993901350430595,1.9936746620349093,2.784109020125046,0.1157721251386599,0.005224231285509973,0.011675695080517023,0.026517618268351084,0.01737284198780975,0.003550359814782633,0.013917008327391511,0.0021674090791019562,0.0012463292752806776,0.0005553618224652945,0.00010294776611918799,4.9354687061242686e-05,3.863405730886171e-06,4.0862045204315134e-05,7.587448526719109e-06,1.0127529221970466e-05,6.542483597105075e-07,2.662687046850465e-06,2.041710109867978e-07,2.618601648685104e-06,3.3528177578734386e-07,0.0025409253590855385,0.012412071394100818,0.0011207480811550596,0.00014961787609457655
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02595656867197782,0.08768886842437928,0.012769138206825903,0.000565834923079267,0.005607496791285582,0.0006743283974310899,0.010016572777075572,0.00048700015293523524,0.015172840342336236,0.0012486234476669633,0.0015108231073746037,0.0007926661449353389,0.00010461988235299646,0.0001580244040404466,1.8301744781901164e-06,4.895414872541082e-05,8.213563643333366e-06,6.724580253081314e-06,2.681431647832966e-07,1.9677711728949276e-06,3.6865554786658095e-07,1.5494390546155756e-06,3.8146176417619415e-07,0.006207542948829303,0.038844318419319346,0.002484595335646378,0.00012002960496992898
