 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,C20,H21,C22,H23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,H34
N1,0.0,1.962772095241597,1.9758945507893508,2.971651973802615,0.08514165382162941,0.20160769563308717,0.0184154550506489,0.0073916893376566595,0.033395992033225824,0.0009248699508885849,0.0008007646374345034,0.007188512238835168,0.00041250390522670766,0.00014056206482282452,7.1256050790946546e-06,8.405422476731594e-05,0.2313750056287057,0.05259869183881652,0.03372727559026889,0.006362508059169977,0.0003905979341952692,0.0011311068712414052,5.275362043755116e-06,0.0001866155428317251,0.0005484293621984826,5.967988956334658e-05,1.3176338425346934e-05,0.004150588597671742,0.0002006086528091311,0.0009098616324578757,0.001121065824858991,0.00023363437380316543,8.500523185762943e-05,4.722974620841036e-06
H2,0.0,0.0,0.027189799830793726,0.1044978675077286,0.00679458166202096,0.03220646112923897,0.0010486210322695477,0.0006465625879645831,0.004672191843099305,8.366372988777293e-05,2.3606659814490172e-05,0.001900253025667653,6.2438894559258e-05,3.47254687356191e-05,5.77947171009896e-07,1.4447824461027992e-05,0.008060511169324713,0.002256781167745525,0.00047184231073982286,0.00013215644000330595,5.316278557376819e-06,1.7554129631891513e-05,3.0682073814958244e-07,7.903234472639298e-06,2.1863759379736614e-05,3.2490496959525217e-07,7.221038185178941e-07,0.00010118933083314019,3.133378460695724e-06,2.7532676840635872e-05,4.138721175450666e-05,3.9105024127739085e-05,5.027409556990214e-06,7.728524944461412e-07
H3,0.0,0.0,0.0,0.10639735533341421,0.035615974073030854,0.00947988171001024,0.00022677215499644632,0.005133783724849517,0.0009655766268418242,4.948072294208572e-05,0.00038991269126387174,0.00019414254568816958,4.281751311185911e-05,1.7168793357669188e-05,1.5660325582977919e-06,1.1292769941384506e-05,0.0190312638879091,0.048428861339712914,0.0028791918421350315,0.0003894495042534585,2.7794787155199785e-05,8.280649059733136e-05,5.393405229092707e-07,7.991401876461524e-06,0.0003942122808379134,2.0681490849217e-05,2.008082357729535e-06,0.0015141006007783897,6.407994597390498e-05,0.0002899571402208423,0.000132118516140034,9.808462745397595e-05,1.7187027311571512e-05,4.9760673981325e-07
C4,0.0,0.0,0.0,0.0,2.015693619485371,2.695005444447674,0.09106207243088171,0.0849088341608486,0.15377293207430753,0.0071184655288965,0.006418179660060641,0.0446106107132023,0.0021035560881832033,0.000985713775090158,4.5694690374631364e-05,0.00038603373443946154,2.430807532272312,0.275510975268366,0.2031039510774201,0.03518245090456565,0.0018130669751901252,0.004860289213631658,0.00012213220730949992,0.001159698381195673,0.004895947291005259,0.00024161549701862128,0.0001427267169589186,0.030075549838907145,0.0009291574228256216,0.011157062000460849,0.006220038589388438,0.0017841220222496734,0.0010166661195809973,3.970466830738317e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07816899667676047,0.004147034781120551,0.033287160457902365,0.008238133815319015,0.00013201069098300877,0.0032005315062682005,0.0010547599500311255,0.0005390224583425862,0.0002181839847958944,6.579401004014329e-06,0.00010878462892804919,0.08952911963984111,0.021995857682627018,0.005789445077626798,0.0011381263692693544,3.710590627936661e-05,0.0010158761304213115,5.337557957840744e-06,0.0001337424724117131,0.0020679298521890654,0.00010754663018364141,1.185793322244777e-05,0.02215564480527399,0.0006230961908446631,0.017441178021765813,0.00014397813579369867,1.4267919142163521e-05,2.8717801539568377e-05,2.7838778806632547e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8223488529916183,2.054656482074373,2.6786076216901793,0.08672248794904647,0.08421215104128277,0.19319407896919102,0.014389002035291434,0.004862840592200657,0.000819132061504968,0.001611297472225326,0.1907383683908738,0.04310218666503143,0.025248181881592002,0.0032294617679307636,0.0005405115426705409,0.0005325195163235902,2.4175130659775945e-05,0.0001043768044632909,0.0005293831502673901,2.7088764025462453e-05,4.0030659478107466e-05,0.0033163777813273454,0.0008443156279356323,0.0014395477217969965,0.001146102386668485,0.001122801365550985,0.0001916146293099441,2.6720093495136155e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024448996200381323,0.08651421680342641,0.03242690250803082,0.006197637837905834,0.01285844040922779,0.0006091782761644682,0.00015760112112972458,0.00023483630161891256,6.483790075839657e-05,0.029199769447261215,0.0061470266087089165,0.003306489333034568,0.0006889950661723709,3.577661483467054e-05,9.639851291654011e-05,7.28897722779287e-06,2.1589728916637796e-05,2.6689033121529704e-05,5.450051403510514e-07,1.7389768198761146e-06,0.000230171263899015,3.950249434092612e-05,7.03792343785814e-05,0.00024908445100213505,0.00027445889047728045,4.028875199768578e-05,5.07252978110273e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08182489271542392,0.003958613477552664,0.032527254875380995,0.01158059923881083,0.006336790185229035,0.007176722074351272,2.3581756153578937e-05,0.0006485920028647119,0.013622001691760977,0.012636341716362964,0.0018725168752447008,0.00017022953817669162,1.1603781991942341e-05,3.251196908138354e-05,1.909194240035106e-06,9.04802939905025e-07,0.00015848205056534503,2.5313608151833478e-06,3.228598702387231e-06,0.0009651906564080992,0.00016616063519281354,0.000532106186105441,4.531634723758948e-05,8.988161846457121e-05,6.935091163340346e-06,1.660170992012766e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8619351005842082,2.0854749034285645,2.743682543586922,0.11560430767854306,0.004998958437204548,0.011639524869815676,0.026544745460780783,0.017484322984711337,0.0035966144122772936,0.007632821571805712,0.0007345437481335038,0.00028476679127098503,0.00012968185357360718,3.371570151433634e-05,2.08087243007693e-05,0.0007724929774035327,3.0982081687946916e-05,0.0002875021547728007,0.0060157292932563056,0.0064239851559020344,0.0001230388707561536,0.002594370075371444,0.012531959161666245,0.0011164231288600807,0.00013763047596360156
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641577028282958,0.08719455986112234,0.012423819080695342,0.0005638456848167106,0.005537381205736214,0.0006535914746277349,0.010149702468587929,0.0003621297125588896,0.008093919216150214,0.001015233493004919,0.0004796069691197502,0.000113208865757497,0.00011412836309099283,6.25962037226202e-06,0.00032153588953565126,1.035448194519617e-05,0.00015597112597176555,0.002826931691935819,0.0026141735294249457,2.0358288107091838e-05,0.006247538737994329,0.038570695717383585,0.002389453105542838,0.0001035827942252876
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08885230220065976,0.024904162203420066,0.00017890528638675463,0.0006143417115824779,0.001275515120239934,0.0006233738114596044,0.0003604357278041981,0.0002779743638534615,3.668965413994307e-05,1.0555523246358334e-05,2.6263631184963998e-05,2.385116651293373e-06,7.010145164798587e-06,0.0002991925365385395,4.794044134115438e-06,9.648505996184831e-05,0.0019855755537350195,0.002861453582790441,7.148174566329324e-05,8.044872755186283e-05,0.00022059721932488063,1.8713190381491884e-05,3.428710370512178e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7934605347440384,0.09792145811798281,0.09172357729830027,0.08982432856181544,0.004377420672613638,0.0008096643066891202,0.0016333653404247694,0.00021778259948798673,4.7711819873064165e-05,3.636932906860707e-05,5.327448841963012e-06,9.402291191951129e-06,0.00024794673775162257,1.4948530631442303e-05,6.217033940525418e-05,0.0018760677784698532,0.0020656267216782043,2.8343680450015896e-05,0.0006397513309228942,0.0019142410304015534,0.0001375499831159227,3.402908708549646e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9379269288782195,2.0406893362969294,2.055293810210223,0.0002944586625894252,0.00011630178839194816,0.0001414241914789588,0.0001473204291899538,3.956901302382132e-05,1.6274032375071523e-05,3.205543029571878e-06,7.677667642758124e-07,2.5226765163255394e-05,6.94423961000723e-07,3.362269327733536e-06,0.00013256617304123475,0.0001656825946706464,6.410017747815466e-06,0.0010580348122912475,0.004863454247427151,0.00020133888844099668,1.8033101476522262e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025099405914758677,0.024576370433023298,5.575148368142102e-05,2.1777961795810263e-05,2.371978866566593e-05,3.851193033144185e-06,6.946967356924461e-07,5.8187218088257e-07,3.367544310073356e-08,9.740163009475111e-08,2.428225846839993e-06,1.5280067411360676e-07,1.0605571509891831e-07,1.1529085005568263e-05,7.845252445681794e-06,2.2803817201211274e-06,1.5637522383871172e-05,0.00012840385683865474,1.3709776323089784e-06,5.487156022887518e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026613418658001375,8.552338348954969e-05,6.107709496694369e-05,0.0001607782701782412,0.0005135462498173649,7.910704886548992e-05,2.212690853242716e-05,3.984508372578688e-06,1.412024555058622e-07,5.0478342731308246e-06,5.116061272403272e-07,1.105065083661927e-06,3.8438457208744836e-05,2.410881293535283e-05,7.82069561111598e-07,0.002203724463255119,0.01503866788251329,0.00033460054373379844,8.340256107031152e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.255020436387923e-05,9.048876240425052e-06,7.153362763689941e-06,3.280185129073132e-06,9.975400412365332e-07,1.7692311858885645e-06,6.932041007878809e-08,2.7054793916292397e-07,3.489710054593864e-06,1.09760192934516e-07,1.150773513369785e-06,2.2348375337655213e-05,2.4558021010978592e-05,3.0500827152835086e-07,5.1230323738327144e-05,0.0001594041520129874,1.04243849038399e-05,3.6153812787986794e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.002674243973589,3.5036521505654874,0.2762793342283559,0.02277133688421329,0.028653946354533694,0.0006210352898470273,0.0025540524141116627,0.030197279250004788,0.003525596603770609,0.0001499332023613409,0.23841204445928493,0.023082854217584714,0.01333534338370268,0.05035537599557591,0.01296389326503955,0.006537109784720357,0.00047276320746125755
