,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20C,21H,22C,23H,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34H
1N,0.0,1.020619668325395,1.0216429249304022,1.4669018392351054,2.0813663115036523,2.4481363173269246,2.585553041947162,2.694689167022791,3.839077102096859,4.194672778618226,4.163261932522529,5.27980473588204,5.6384287548454735,5.134558938216967,5.755072505057049,6.673226003950359,2.485446109459534,2.857118499549739,3.6406905120695843,4.850392542972119,4.94801704823959,5.989668309638595,6.49118764704727,6.814162616193895,5.585174110503018,6.425735177575785,5.64214577785586,4.278945282966244,4.679632479008301,3.8835506345722974,5.379896545766527,5.49042231524558,6.239833504779166,6.745494383246346
2H,0.0,0.0,1.6220568588998752,2.0463540607856663,2.342300302838409,3.3428069690790334,3.5164792353195615,3.642772953516547,4.605426703279445,4.8435984480649354,4.812814526977819,6.17218578531041,6.541223351861664,6.069248582255487,6.559923759086758,7.597902985399116,2.7338333278131155,3.130463831468753,3.6881298675718437,4.843849092198195,4.780058911429259,5.910067854302512,6.556848216157793,6.639233533032998,5.3844564319825405,6.24855949136814,5.247374356532907,4.235493447571866,4.833028742482116,3.6951861095492293,5.61344151563662,5.9149641729489995,6.40113767071523,7.021601926655422
3H,0.0,0.0,0.0,2.0184415678908167,2.908969073268256,2.707596097326419,2.982938546906995,2.525156077143213,4.14604956575879,4.39585815523378,4.693032869216667,5.427380426712535,5.4563100165734655,4.803611677268252,5.555445604979515,6.468467204647231,2.558230405607155,2.4566094658781767,3.8716064988637,4.864663002786115,4.853082998203524,6.17940668794222,6.681342888684577,6.942016702730359,6.012816764530794,6.934721243252365,6.072602253257336,4.795604185974573,5.224116771859231,4.574795406256063,5.192170069905448,5.338101344578673,5.889364859538008,6.327205957984693
4C,0.0,0.0,0.0,0.0,1.0957141224363058,1.5475326421741984,2.148477843302293,2.1473438417790662,2.586274885517056,2.81962460732669,2.8897702786309645,4.249998998316413,4.7294107790878455,4.471844070515064,4.712353241453455,5.80199612150492,1.5397904094254682,2.4026703018900886,2.5192806368767173,3.857386050322329,4.239604660766797,4.869187521995536,5.227352653490338,5.80430237527277,4.495838575969531,5.272461557765882,4.783814629224918,3.074565016924683,3.3089303685596065,2.891268345577067,4.3513763820394935,4.320851437531711,5.412285790483617,5.902313501383246
5H,0.0,0.0,0.0,0.0,0.0,2.1674816307825635,2.5076967195662645,3.052277035709194,2.798828311803946,3.09040255076388,2.667442119332337,4.5483396022541935,5.35537325502608,5.260196934615756,5.330370671388957,6.400623891435774,2.1918164924037953,3.2876980403259273,2.649243049261123,4.109045962893506,4.567229154762669,4.8118270411557384,5.171756849125545,5.7737742801119705,4.112781881366743,4.744625974563563,4.38546296364679,2.6377860251310463,2.8257324607407432,2.1645995890602125,4.841268966379609,4.8168208543318585,5.993156430299262,6.551978384342336
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947447010263565,1.096991515463612,1.5331434393560077,2.1870456909134397,2.1741151929462315,2.836651394965488,3.4165775324948124,3.185058478933524,3.65438862030121,4.4368823690934915,2.506649181152161,3.075222172724117,3.425164624171796,4.612451288791855,5.185608185490498,5.601106574550378,5.680524561880532,6.610505458389213,5.418933523565514,6.073044108258958,5.934129364387677,3.9525178011999915,3.77410131827684,3.9856505070941766,4.646764992036199,4.2153380033418095,5.755323293144479,6.011580331626635
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765143733947616,2.171120258354923,3.0882824897829715,2.487872594255264,3.06389874771554,3.937279103639217,3.6533329282533553,4.4087350571818895,4.834350945964665,3.4418171787830705,4.007091394930252,4.370765690608867,5.6402698569699865,6.179155594746802,6.573510195984866,6.660735041713731,7.594729348412403,6.233118858133947,6.820613971819742,6.699200906313467,4.715481351484057,4.494436226102111,4.549434502578684,5.739946958048467,5.2890452418291805,6.842055954659449,7.089583428602997
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1673680142637584,2.566934938347249,3.0769604585744585,3.002365892819366,2.9821555627264122,2.4530140658256663,3.2543383954168648,3.9948900430372016,2.6740393912295364,2.774522457012473,3.779472333821705,4.731726476355109,5.203263354732696,5.915001252926837,5.994176699490821,6.857089231081523,5.980792908980781,6.728197683875934,6.475369528811308,4.620475830321766,4.526830183007299,4.777745407022672,4.498101769772494,4.056813775223441,5.437141479015289,5.5795681628340095
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952761765761099,1.0969659218188785,1.8373844937617068,2.8100162970878215,3.100871550119421,2.9077594402511817,3.7672411629708975,3.078710462648807,3.7943697389312834,3.455832992500267,4.499237144875387,5.331921881500086,5.176063744235337,4.9757613017555276,6.244179428388966,5.066149842393676,5.519705276733608,5.820517391600424,3.6850931925924604,3.1123935778945135,3.9831606425579897,4.371289746823555,3.651880996745838,5.616023717679156,5.782651268638336
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7713975873579395,2.405023574832989,2.8382696490176573,3.2392223473974524,2.51136951118825,3.8220801008601915,2.7257723663164133,3.3889798363520987,2.8150724422972817,3.6201967726912283,4.534314097582491,4.25973636073889,3.9854546997412195,5.306862622776388,4.380157343837588,4.867814906330519,5.210835281769082,3.1776395578370225,2.6215410358221254,3.755512718897354,3.3715663708215224,2.608540809369639,4.644581652366079,4.8133388406895214
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.369676259382651,3.739811133816654,4.130093960530766,3.840495753877568,4.588670027340521,3.571244259895144,4.510349723276006,3.7028586850744034,4.8660624323229635,5.7413896782812825,5.278929894465097,5.0661301569132515,6.371646840477642,4.8882482113511125,5.1693407830296625,5.653774779018223,3.4891778395526662,2.753034758203045,3.634780179301796,4.9874403685494615,4.337212968874149,6.3005302415732185,6.552781337308878
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8307461660640463,2.457015380855599,2.440385375111712,2.388874486593661,4.729394422572887,5.177434344328138,5.153286820994512,5.981292060814992,6.845218901635379,6.624438742366209,6.213327199816004,7.662483592715188,6.6953425401087765,7.045902992993581,7.537779695766532,5.417216158407558,4.702133143810048,5.7813528400052245,5.478680634984159,4.482652227960654,6.600858300270991,6.508526836350057
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940373238047927,1.0942852469816688,1.0937449703573208,4.7657819727908475,4.783995019646163,5.299336063997932,5.773909617248202,6.528465830442165,6.63854011664308,6.224706865698736,7.558155567298645,7.092014566224994,7.599863059390256,7.908788425116901,5.975883944454112,5.445653466733176,6.523603773779967,4.870725607046179,3.8269132672288975,5.724645979097522,5.416805229147567
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7879933532002508,1.7777493135093327,4.5602686310517635,4.382920195246501,5.343825831270607,5.858156414679213,6.465943806624257,6.927573377805939,6.6691638319179285,7.819834531634527,7.372835612507376,8.002943463070864,8.07900819605982,6.198774962488284,5.832238468187184,6.655480306111381,4.992266856749155,4.121339477531944,5.73689458810826,5.456209967524412
