 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,O30,C31,O32,O33,H34
N1,0.0,1.9011757111376586,1.9679138188824552,2.976727091931426,0.08347888455032493,0.1804025112410306,0.008600442700666289,0.04812691864513084,0.0008174610743298949,0.05758540916442767,0.03190779967048632,0.0006394549750438072,0.0009022247719281395,0.0035847165077376175,0.004896598854125175,0.0011501631323622696,0.00032379032403961894,0.00020858414518065693,0.21953960213763188,0.06375384585392713,0.03653734600856018,0.002653047834096811,0.006129884408927477,0.00046757686123610753,0.001520051268072184,1.2353873611425925e-05,6.529418735889969e-05,0.000360578477627882,0.00019676586747410796,0.00014510132857030456,0.00039644804811758694,0.00012258301984896525,4.350590298671242e-05,1.1156486454444448e-05
H2,0.0,0.0,0.02716273630600763,0.10430595658410358,0.00835384910625292,0.03064213966511431,0.00098887708077533,0.0019328016681668947,7.361339825218138e-05,0.0004608269063584025,0.003889557801066257,8.963302141373752e-05,3.777493097878448e-05,0.0009876819289209582,0.00014713262857446452,9.462013253802581e-05,2.2944380451583868e-05,1.0455377198903548e-05,0.007491566405052774,0.0020747531321229085,0.0007350689422570555,6.036902409900513e-05,0.00017716040670601174,1.734503290928835e-05,4.79112050336683e-05,7.005704991680517e-07,2.652353167986732e-06,8.834654360856398e-06,6.078542128418185e-06,4.526327144316333e-06,1.962597742277694e-05,1.6270185897448997e-06,3.159895645921118e-06,1.8004792774473088e-06
H3,0.0,0.0,0.0,0.10498642647650225,0.03425758373967458,0.007292508888699811,0.004842732769584357,0.0008617291352454037,7.79960901715615e-05,0.00044187472863055355,0.0006731148011210886,2.0204475884133544e-05,0.00037485707845941185,0.000110200849872788,0.00010338279540356154,5.3630218263212015e-05,3.2805445648875775e-07,1.3120429863011651e-05,0.030107299016797984,0.0815379876045117,0.005208054810157625,0.0007273192647736515,0.0005927997271126806,9.461604218952147e-05,5.9720465876655915e-05,7.14436040949451e-06,9.503640230779098e-06,1.073552205144157e-05,5.773092153438242e-06,1.4683937114789991e-05,6.335785433275731e-05,6.242584404358986e-05,3.6242019230137146e-06,2.09352228175419e-06
C4,0.0,0.0,0.0,0.0,2.119652586150151,2.6210437385043903,0.08311300008080824,0.16440634515826663,0.0059826726142999664,0.017013445323668996,0.15992614886231055,0.006508774074309942,0.008969501929675161,0.029886010776339678,0.03144246640254686,0.000596638425125029,0.0031731409114663656,0.0008435375440707382,2.6338042624899844,0.2850642583565871,0.24560319234596975,0.018236173513135667,0.03774277046894148,0.004076968047828977,0.00429414046573845,7.121627942296982e-05,0.0002580723764082915,0.001198265020881606,0.000540505584144424,0.0012788207360856507,0.002668138539867304,0.0005763787008719462,0.00042109953735586236,9.838633245728978e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07859176736577655,0.03572995205758489,0.010321009563532435,0.0038931596198648055,0.0003841950765899327,0.00638614476166488,5.226143134495764e-05,0.0035743664359524363,0.00023601209634516174,0.001078253516552774,3.8162176037248585e-05,2.65268600521118e-05,0.0003688225238291931,0.08628211840640287,0.022373013496643335,0.012589114759996356,0.010672008831309254,0.0019862810524431396,0.0003994574350987268,4.8117424398919084e-05,3.89482451579326e-06,2.515114800938356e-05,1.5589461320741904e-05,6.4938895556476695e-06,4.759507445195599e-05,0.00010808777432358418,0.0001269067032834137,1.9313384909014353e-05,5.081636093917652e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.094376390532224,2.733554652668344,0.07927483059285567,0.0867563083062326,2.806438957868266,0.08847944157030163,0.08238228160931405,0.08804019003352459,0.160426307091493,0.005855143917937067,0.0286586278815657,0.009962219598289579,0.17448091312219555,0.035751735514301164,0.031677185306950545,0.0010858643332229967,0.003900330335514457,0.0002285188145529915,0.0007928367165768169,1.582001870970018e-05,4.147750370808723e-05,0.00010693685572912837,4.722975625659487e-05,0.0003421198194663022,0.0011580320618868878,0.0003018668098804106,0.0007094991838093867,0.00016153941684926565
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07738396246668477,0.03526093733936686,0.0026929268314144217,0.08086336709933684,0.0044873662341209375,0.03489164036287118,0.0040947443397603145,0.012126256481379993,0.00010864978148705795,0.000714447288984621,0.0058205851419868004,0.00962099133663763,0.00998166558110114,0.0018044709298630224,0.0005395629505462463,0.00013138042447291554,2.191190505640428e-05,2.732404901539809e-05,2.2440143743196472e-07,2.4634758613029106e-06,4.3965462122042e-06,1.425435501967165e-06,6.3129656590055205e-06,2.3644158026137063e-05,2.872636070194723e-05,1.582968164948184e-05,1.6119136194703287e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082007681550083,1.9993418470377218,0.16518107117720632,0.030710724080390994,0.009233987772684804,0.007756468776117353,2.6590701828508054,0.08142844301387475,0.08790517865626901,0.08133342216214956,0.02855924678122429,0.008066321443837343,0.004467934634446044,0.00015585105948134892,0.0008643750856935917,6.346315276495318e-05,7.509012828915695e-05,6.981733822186698e-07,7.128745472595455e-06,1.6679804000385712e-05,4.108783735953803e-06,6.643039732641409e-05,0.00025338630820642694,5.2629682897459285e-05,0.00026921479080069255,4.117980178952596e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02397307053485953,0.012930262568008999,0.0008087910475838012,0.005829612124444328,0.00022740049119418515,0.08305361141545164,0.005153781468953511,0.0038898533677449443,0.035171531015063984,0.000761067099057211,0.0005555746247134508,6.456263950904706e-05,7.426650149078284e-06,9.741775076843595e-06,4.72593664158083e-06,7.119012586098705e-07,8.995315470272658e-08,8.81283841458469e-08,2.4398489339994e-07,1.4568912876100626e-07,9.608547071326967e-07,4.1032365813986615e-06,7.370217147695257e-06,1.3911483712991668e-05,7.134132224972944e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028595954654579092,0.0019132696512700331,0.00039199960002722634,0.0009091386493800258,0.08755909807835183,0.03305342428258218,0.005356025324586788,0.004501163857305812,0.003224861884881136,0.0004295414195176761,0.00043169762748451745,1.6752766275995867e-05,0.00011506234710934038,2.0510609564095006e-06,6.3427215322153785e-06,1.790820425284778e-08,5.214692218036276e-07,3.2790884156863598e-06,2.388984790546722e-06,1.4146270417625395e-05,1.7565551768683463e-05,1.8682457250118745e-06,2.898236497350659e-05,1.5169635793732539e-05
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9857987646548385,2.14434666369794,1.980700199048449,0.021699092763043937,0.009510185528825321,0.0021964653192112493,0.00042449715738035465,0.027697682065933205,0.00585375516519307,0.01865653492346528,0.0036579010166759574,0.0014167561382178728,6.238570743422045e-05,0.0006121895631804597,6.21997367611371e-06,3.310069239503832e-05,0.00022524755721911593,8.568023157846938e-05,0.000990001386003539,0.001806212486196418,0.0015614831343356977,0.007628235226301169,0.0005330242773489147
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024375417883121697,0.025841180920437745,0.0017808049731637965,0.0007739602191321193,4.835158054428135e-05,3.7779482811695075e-05,0.015161965093472007,0.0007624694600225634,0.008372254686280334,0.000496598889142108,0.0008358340708605194,6.194819924809636e-05,0.00027591688450745444,3.785822958901619e-06,3.758167123235623e-05,0.0002742074533348404,0.00010881699838793946,0.002001665438171152,0.003155590670576025,0.00043842404261007495,0.024516576464887252,0.000420748627105727
