,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29O,30O,31C,32O,33O,34H
1N,0.0,1.0213270501501608,1.024175363216099,1.4748091879679666,2.0963733680505867,2.48021524059334,2.654416178240885,2.943730224537772,3.464588868344786,2.4341696466901106,3.852900906570561,4.183188615064109,4.204114938438509,4.656283127073976,4.247417714043887,4.985326268976184,4.850700366500408,4.301246752709979,2.4726220590137653,2.8106442300109284,3.5797309566986355,3.8569050566359695,4.907446933298556,5.019415310601796,5.7395813453202065,5.746242662702108,5.694848112739106,7.1727298417793595,8.160825193319257,7.34604405153015,5.885570540071584,6.003472983983592,6.330064601977978,6.837147992534859
2H,0.0,0.0,1.6153853145830865,2.036765308431383,2.2989002423875626,3.3529141741156603,3.621921016498472,3.793926259364497,4.124578284195578,3.232862405011827,4.589100059393421,4.83763264719334,4.784772301487347,5.48588505108244,5.176696925661363,5.9070525579973125,5.709393002362653,5.294485778190466,2.733010150820796,3.113426507971275,3.625905418613949,3.896444408156967,4.92655035259043,5.1492292279834375,5.499169640462558,5.415685809560466,5.3331366361814085,7.002116544799754,7.900747379140646,7.334997709192322,6.016193778618033,6.0902836677861245,6.657125164978636,7.196147746271975
3H,0.0,0.0,0.0,1.9988522882476607,2.8896250724480947,2.7900432187934405,2.558823844614997,3.4929288644393774,4.20449703802937,3.0402221978253863,4.130276260586584,4.277071851028612,4.686846669664947,4.87301520825728,4.583484959874276,5.304758214647882,5.277013373124774,4.398459540729565,2.454547150453912,2.3081606280396096,3.7351850574011327,4.244548723646992,4.879425615202115,4.7735172256781135,5.734741701804771,5.609480877198959,5.867806297989128,7.1446152758740435,8.09566317744257,7.353026090089921,5.988442972593264,6.30990576203942,6.31083660607022,6.920425028190637
4C,0.0,0.0,0.0,0.0,1.0993583197088475,1.555121599878576,2.1366229953880556,2.544407847971172,2.8731071768801275,2.6175596455314123,2.5664108264404324,2.847026213245394,2.8328999994129473,3.520627128352328,3.924751305116979,4.372858810289232,4.707785521832313,4.170773885886082,1.5436916893269357,2.4024203514685727,2.4548882898909197,2.5840668988825417,3.844973803409421,4.076837973246709,4.882763803710706,5.137582462098654,4.854696515537452,6.193190773837165,7.283558036933991,6.181862763151565,4.587873823159262,4.640032829128544,5.003075967724971,5.431312994370754
5H,0.0,0.0,0.0,0.0,0.0,2.1705373684928277,3.0450567245522784,2.757314080418953,2.648010929717281,2.865897795628852,2.8421427294840944,3.245030604498895,2.66861947070793,3.831038394022817,4.253198419894805,4.6389976683285665,4.898770688850651,4.738560178609316,2.183376031976318,3.27518570654405,2.545239249952275,2.2713463151411193,4.000638788348327,4.497905359789773,4.880617712946073,5.262582539414527,4.617458770847023,6.1731039548391,7.25524433423432,6.160631053735296,4.56114225633205,4.328773522657232,5.180305920916396,5.481409486072987
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1015311869852877,1.5430403480639805,2.1649836562752673,2.1494227329416495,1.5388850666566698,2.207934702611921,2.1873351261090686,2.1833720118628124,2.5868159072210486,2.896201223975173,3.533039999591955,2.840425747911532,2.5391413172829775,3.1408196659761356,3.3829374414881115,3.3993951881578996,4.579746452761855,4.6539548289051735,5.8778081919112015,6.249189618044828,5.971711479616765,6.990956124554115,8.160227146984655,6.714719709557499,4.975471750588202,5.0265244445313835,4.997533982977911,5.275545006159801
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1579424061740937,3.0607981158075153,2.544296615138391,2.1542489213100504,2.5085199836500496,3.077760379727658,2.5202880447969345,2.7395902371321705,3.11084582915513,3.750040429045443,2.5450610956827515,2.742521039399731,2.8863986346671813,3.817694260908388,4.086450178805609,4.846760132711546,4.66971722624543,6.183413619302087,6.425589958402552,6.442080364227471,7.281068306035309,8.41977781601537,7.030132482916433,5.382671039609838,5.659333103038401,5.225051021385283,5.614956757541831
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101532857699918,1.0950944397483238,2.552353759255128,3.5200874616191524,2.84217904213731,2.774352687866696,1.534166297487449,2.1991925326425994,2.1830099095835545,2.182355702650306,3.9072626791427387,4.531990021817388,4.70017933408613,4.523609109650318,5.996583322416516,6.164048683730531,7.2156642240006565,7.597991353423141,7.162136210830114,8.363866878729057,9.531991074277467,8.080530305696536,6.301578539600827,6.1450537059199215,6.362961024298617,6.505741427069869
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7627211688141902,2.725882757369752,3.7639330469364793,2.5682126191889045,3.0027413211111624,2.164555684768088,2.5319755624346034,2.516402260618972,3.0842534277620053,4.260016121821952,5.107519081024604,4.782896280915733,4.3756108619351375,6.106010123075723,6.452061569903067,7.248717013929787,7.7393291671558915,7.052836641722456,8.353227359967159,9.523701499560104,8.03432156511672,6.242796634549279,5.870022793119648,6.426844229612137,6.4472269892053395
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47205666534639,4.328870686382252,3.7597577593670946,3.8084023623036978,2.1610224959633473,3.0898797523507953,2.4875856427929994,2.5325769814190897,4.086495638314446,4.604701379459633,5.023307233076017,4.938354051910567,6.393887394732077,6.549138534733547,7.490220237261052,7.743595926811312,7.394294416675858,8.763292242236819,9.880141651811174,8.629339336743813,6.911012006668928,6.789522520857909,7.093967086536919,7.330944540520937
