,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29C,30H,31H,32H,33C,34H,35H,36H,37C,38O,39O,40H
1N,0.0,1.0202258819366932,1.0213582502779115,1.4647965005067585,2.0839994492297085,2.4520699398201646,2.586707429525101,2.6854452771775033,3.821600360836936,4.71979091056008,4.65032171350213,4.6058902249721125,4.437588468434207,6.016145479260739,6.798674172740558,5.923720742611056,6.6668472994507395,6.530712490705996,7.864894595647438,8.279741027353131,2.4827595260115825,2.9014778323192276,3.581859229759899,3.7263208940995716,4.784443408151968,4.763713107547258,5.375204200914503,6.34792344462558,4.83071999053707,4.849257697130669,3.9343075910223098,5.673566877432654,5.897924286762186,6.61175299108249,5.246194309800178,6.579066951698176,6.0214334848997275,7.1313646032157925,6.035932443597278,5.182102921785382
2H,0.0,0.0,1.6262186719128304,2.049364955479309,2.3464066671634094,3.348056640414853,3.50929040164588,3.6416195177359354,4.5907296211706905,5.454175185807949,5.388585220980714,5.276033143523819,5.057771929502089,6.689809573910449,7.452590867474106,6.54181859779796,7.229757618967108,7.163834438236215,8.459139192675128,8.874774252781704,2.73060412124724,3.187178515154324,3.5994075193829627,3.671097094893813,4.667904759703386,4.708585486301655,4.963666851859459,5.954640483638902,4.218345408143564,4.3201710878080775,3.233914227989022,4.941503866160748,5.431326877800652,6.016809037076931,4.7682852767746695,6.232685481104171,6.036553907440844,7.064874551325883,6.255087299391602,5.4880663789667485
3H,0.0,0.0,0.0,2.023158906475824,2.916336162737402,2.7181728621140966,2.9982383215692674,2.5240592079707707,4.1290166850753405,4.802206161796836,4.5040529534269655,5.135708602750044,5.116695772969628,6.1637762400824885,6.833262112522298,6.425879755810513,7.262886648309434,6.868037324694755,8.215723300917357,8.535417234282434,2.575961774009007,2.52912973806231,3.862920329531429,4.2456791720549765,4.890353162346744,4.636616507767046,5.562892441992254,6.435770424475324,4.938413344059016,4.726520339124631,4.174159597151947,5.816563693217674,6.320961131663613,7.035919976092413,5.812234613138524,7.011154155892483,6.143863343847692,7.2304627810967395,6.190078341337348,5.362005187253085
4C,0.0,0.0,0.0,0.0,1.0982481296675832,1.5492080841559461,2.136702767411353,2.1510166410422715,2.5676391396036014,3.4457618635644076,3.5440859102781124,3.371162001014213,3.409942391588351,4.659940504908453,5.472458164050701,4.602798760888313,5.397931574136146,5.1384703716760685,6.453756785768013,6.8608978756499415,1.5396955961849552,2.410585590765402,2.483553945332542,2.583680486248209,3.8571247626063165,4.004564483866835,4.711179542403101,5.68367840899409,4.594918323311014,4.737966290660617,3.8317166664651867,5.553913393591904,5.144232670885523,6.018817589626406,4.51408722725241,5.635464060282119,4.876495727651355,6.043495278089974,4.714903102241533,3.8197195947888174
5H,0.0,0.0,0.0,0.0,0.0,2.1654182688348986,2.4796051343307046,3.0537059671521125,2.7883473638158973,3.8342924928919615,4.188888241101783,3.129251528010387,2.9568131095793055,4.845266182498542,5.74681252978243,4.303549641284723,4.933907799517344,5.040163443998489,6.282868455516441,6.798100313013445,2.178054171125913,3.2853787897123996,2.552693750710238,2.2085913641962134,3.9902776897757373,4.411627210958396,4.658175421406338,5.701179167202413,4.654092262012497,5.039045890228827,3.816640958774141,5.516555391500899,4.753961752993914,5.601007194898803,3.9542608855173995,5.210244900871327,4.929972730084754,6.062284870176255,4.769525201518254,3.9181958099959595
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0953891904897204,1.097053360211132,1.512677530017309,2.5414662180057275,2.7459471233265877,2.538846342294485,2.738242193109811,3.8312389782050658,4.699021543966743,3.8270455176400664,4.703387408928024,4.337367226628761,5.700937834068936,6.1203521925469415,2.5271608101388963,3.0807297358132213,3.4577208853687114,3.6019492261656474,4.78805739018958,4.844996293765634,5.914919267705554,6.804218775080279,5.984291363587969,6.031260259199595,5.317485139933463,6.994796545899233,6.359123349688421,7.319729229919562,5.767318548226169,6.669832585521686,5.479482176771224,6.68706893125224,4.951831764074965,3.9777088574032518
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7653752125264974,2.1621610013118593,3.3853181590661277,3.7007800435484253,2.717984653768436,2.527473805483607,4.564317964221026,5.50201724986063,4.086992067680025,4.800946955202364,4.847638209113184,6.180089437421116,6.710050520334559,3.4504386296658422,4.027457042833465,4.359681537709115,4.34167829698886,5.752523627434409,5.859820281922023,6.766573808164646,7.713021578826388,6.731414800468369,6.829405021868457,5.947540508306858,7.684390867676834,7.087373075476499,7.999826639604069,6.376545086325557,7.43531329964996,6.482153908477268,7.689170134957486,5.942352868786765,4.965660177411821
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1543015834368937,2.680308270010099,2.468291482632224,3.402091126220753,3.731712121033109,4.063014718461804,4.7547596248576465,4.572214501747061,5.525027944217697,4.839907965968138,6.19074638427045,6.478575084692287,2.7260007483444886,2.814061579836693,3.875671688404716,4.264510146276377,5.027026537656244,4.840930107868778,6.23025746684562,7.029990060964054,6.209272572784187,6.059854024826051,5.629426912763462,7.251930451236528,6.901825708116643,7.856623775868601,6.430142962949186,7.243020923017956,5.738537104620232,6.921354403343844,5.2427388332576585,4.306743762703358
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402139762339586,2.156665256200336,1.4042795084059017,2.1572851202255485,2.4411847516080387,3.4230681809195795,2.441930568667466,3.429900118746817,2.8252486526548957,4.189151087057897,4.626540135779612,3.064082784816039,3.7298544828132054,3.4950101875062143,3.535995264317344,4.722434501310294,4.935988918746747,6.004652448769514,6.811300170251292,6.443738565910557,6.587058059285247,5.924624962883608,7.4704042995419435,6.299986101019556,7.345146321794216,5.77638063676919,6.3586365260837105,4.985279190536458,6.1654309467166,4.144070230485045,3.1938639274425156
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881034361987265,2.4018036124300894,3.3913462340754044,1.3976815374044915,2.1587007278573638,2.7875475293329215,3.8732540532548474,2.4213709377382404,3.6896985493482948,3.8454090651755353,3.333965091211018,3.6991491472392646,3.617378844592376,3.912757542808808,4.501162440287708,4.57222657730088,5.963408687373934,6.588055641487825,6.586483450698638,6.608641476389727,6.285778306595813,7.65138829767176,6.432211678680042,7.517157129097708,6.133593891933665,6.355550385732166,4.448782191753349,5.55728073837567,3.436076722697579,2.5972517418797825
