 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,C29,H30,H31,H32,C33,H34,H35,H36,C37,O38,O39,H40
N1,0.0,1.8312687503909388,2.003494420965678,2.7526003333239752,0.08707170159348587,0.1994480218706161,0.018542537135638026,0.007817403182195592,0.0331435596999719,0.006170818016809673,0.00019757812724174872,0.005210753989992753,0.00033113507567406053,0.0012645698251429194,9.172852688310584e-05,0.0009614994772739055,6.167719258698412e-05,0.0015188332200984783,0.00041677386169346187,1.2261471705521387e-05,0.2361696218264373,0.05241095186535802,0.0358752301801946,0.001946882643188541,0.006422913597982666,0.0004970483216193422,0.001630577105775674,0.0003808137771221798,0.0007003369721398228,2.2986407757219496e-05,0.0013474949736600461,3.5888365488068175e-05,8.98243434372531e-05,1.2887447984777367e-05,1.9392839450960153e-05,1.1309756328126142e-06,0.000514794132477292,0.00013209949796733067,0.0002400077465047057,0.0005479765502023337
H2,0.0,0.0,0.02728594637979498,0.10631716631966526,0.006725915533097648,0.032451538734539764,0.0009580410324487865,0.0007341720177755917,0.004604927529785141,0.0008905341856677573,5.894502234404797e-05,0.0008652655443235346,4.423970974665181e-05,0.00016637077152037438,2.8786273866598933e-05,0.00015352138827917639,2.6668705012999894e-05,0.0002540879950729824,6.35848003220918e-05,3.553312896587002e-06,0.007918924701336705,0.0015706108304434085,0.0006648194138727526,5.792722717767873e-05,0.00016750888167449407,4.131102896431926e-06,0.0002334180472541858,0.00012166935764224007,0.0010130361846919511,2.1866650013580013e-05,0.0011644737001923477,0.00011550217412747976,1.0712293189496513e-05,9.666846398914686e-07,8.667474782120266e-06,1.6785101573102423e-06,2.8037922652601743e-05,3.552023393382786e-05,1.6847700809008437e-05,1.2826115930231197e-05
H3,0.0,0.0,0.0,0.1050712056384131,0.0365026236155499,0.009221980243841021,0.00022229111362048748,0.005303986269594718,0.0008328497669884971,8.675903709953747e-05,8.383357852359552e-06,0.000493230049988802,6.043978594783006e-05,3.612120272777908e-05,1.5223183875701096e-06,0.00013753013640771528,1.457852670494475e-05,1.2524682387660135e-05,2.2050870032153114e-06,3.280885463308181e-07,0.017987363373159537,0.039013723789964816,0.0033536578575382725,0.0007763710080042063,0.00041781302280308186,7.368279668962252e-05,4.5652849848920596e-05,2.7368340318467688e-06,1.3794943391931547e-05,1.7891995793828386e-06,3.579345400717138e-05,1.6841394812061594e-07,2.419336399939187e-05,4.88362230144368e-06,5.20761056765906e-06,2.1837255004264478e-07,3.349330397017791e-05,1.2763923848746472e-05,7.306385452210407e-06,1.3109003590638935e-05
C4,0.0,0.0,0.0,0.0,2.1014089453563924,2.564349249308951,0.09216064639238963,0.0839260601888745,0.17490769914158039,0.03678878898373503,0.0005859265691896542,0.035175758037122556,0.0009189274839984662,0.00528107204520066,0.00013593627870633895,0.004593246283706942,0.00012444022755131456,0.011910047594569095,0.0030643298398161933,2.0422535566222422e-05,2.4984098739197673,0.275287383357382,0.22306062950414057,0.020639660998816645,0.03425131770455217,0.007063338267265795,0.003000832274426296,0.0008444138972067972,0.00037345671329741537,0.00010594615130199436,0.0003191744535737673,2.8970371075631718e-05,0.0003338352216814555,4.915783389747297e-05,6.79037721496023e-05,7.303023085381e-06,0.00422653464084094,0.0016145441152067563,0.0007650897084851005,0.0010266749818447218
H5,0.0,0.0,0.0,0.0,0.0,0.07769205083173092,0.00484949324767503,0.03422912321582383,0.008583621673171393,0.0007579140701676756,0.00016464295142104568,0.004195702317274397,0.0010036116144618301,0.0005810828504141385,8.358848305967115e-06,0.0004514542481492967,2.277373779269176e-05,0.00034777072156111366,7.582913369719169e-05,6.761208518168971e-06,0.09036024082229965,0.021364666990099868,0.012565811544606342,0.014404865307470871,0.0020678711912702763,0.0003730140923541292,4.839617364971183e-05,1.781825110125368e-06,3.481568756313891e-05,7.119036178115934e-06,1.7465735086874545e-05,3.911065337369735e-06,4.3378963998641495e-05,4.0248857751112865e-06,5.928151855849606e-06,3.4909623414236535e-07,0.00018251240171851535,0.0001283839824105515,1.980977061111222e-05,3.5188703397803778e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8675608636059504,2.1226557189416306,2.471385477170971,0.2388168561275677,0.014234033076258257,0.23399869726697134,0.014051360723939421,0.036148330313392485,0.002370630584822564,0.03629779515408518,0.0024770116570460576,0.020293571471700078,0.005234505308092496,0.0002715506830031078,0.18097172130259398,0.03792919942071578,0.027965216716251157,0.0015938433449155243,0.003722779491463185,0.000321031007356698,0.0005614987767959823,6.04605356283594e-05,0.0001500668367681035,1.3739758488062748e-05,0.00015471483053186574,5.229443227117159e-06,3.9287230747531154e-05,6.41142068480427e-06,1.0771199226322636e-05,2.7076181616791928e-06,0.0012221705247942305,0.0004799963958309894,0.0005456576176288003,0.0009684589350629214
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024840865696951875,0.09494353932132649,0.027467962075012564,0.000559205032881982,0.016821080851028403,0.004704022272890018,0.0030740103007187436,0.0005785182769422192,0.001730962405358194,4.890806594226582e-05,0.003368327664470705,0.0008311746424182198,6.184970679523616e-05,0.02912937625034684,0.005526717521051938,0.003152793381532404,8.561945939300486e-05,0.0006572523257435403,9.034780464300951e-05,2.6852885521178038e-05,1.0255719514296047e-05,7.797030805223315e-06,3.1364898345209724e-07,7.676314100590886e-06,8.313258532677281e-07,2.8793606449140086e-06,6.461479606922893e-07,4.715784762687747e-08,1.9799321182567553e-07,0.00014702624332962877,8.747049125412687e-05,0.0001227715495281112,0.00033463672494327135
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09662560119036168,0.01676082280605984,0.005809559389059471,0.0250625123899203,0.0006581316134330883,0.0015642763766804402,5.534507949489509e-05,0.0027757558288670214,0.0006619650564041457,0.002124401245213736,0.0005107575777659745,1.5660065643130494e-05,0.012056998586692735,0.01098237011436587,0.0016261368553467381,0.0007553627710321642,0.00019880111181880267,4.0359233095976776e-05,2.6837384766720263e-05,5.756782767818436e-06,7.877792525645688e-06,1.4431056576391654e-06,1.4036028477937279e-05,1.409234796634351e-06,9.069330727862202e-06,1.286578262149618e-06,4.601369945067546e-07,1.7919309769354186e-07,1.6270140191121385e-05,7.111361020828433e-06,1.993249195597624e-05,4.3923607976559254e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6044250898841543,0.12397977219035683,3.6888834078359896,0.12456844456553173,0.3223500681076007,0.025298113166311254,0.32847467994747526,0.026253778295758146,0.26372571454524424,0.055702818611285954,0.0013446338617544296,0.0187593971198321,0.004777205144953348,0.007856737252685403,0.0013706676583697952,0.0007676546851069499,4.5842370245186004e-05,0.00029887151337359974,3.4111968313599306e-05,6.617039821721349e-05,2.5865896462473614e-06,5.507337557064673e-05,3.535801753162815e-06,2.07381633634679e-05,3.669913493764554e-06,7.072606381886004e-06,9.300585745997125e-07,0.0005498299458616407,0.0002861909873178581,0.0036525192230871667,0.009439489429204806
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028316472800653,0.3453395023063458,0.028851360963086048,3.3891641394762475,0.12338669908960087,0.29907658922375724,0.003877331618865165,0.34394721448622745,0.04479332717633423,0.0026315603081762395,0.011912526729636552,0.003768990651264792,0.005536750422179645,0.0004297771524115479,0.0007580169886030053,9.713347752793311e-06,0.00022079357031840052,3.744638327596306e-05,6.952568061913134e-05,1.8798031988787045e-06,4.685663017323094e-05,7.0268251699534545e-06,1.5066657233206437e-05,1.8111536084219892e-06,3.803793866552496e-06,1.3171523531863016e-06,0.0016343625454380006,0.0008435293533016058,0.013945409945077841,0.051268965832385605
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02903796232347744,0.001699187612419717,0.12747465591679985,0.008509102990511996,0.0034403935593090296,0.0004192941045457754,0.026151089477761236,0.0032762504045550367,0.0002106251937672443,0.003959858221373347,0.004907877267681604,0.0007039812055853467,8.743574719360936e-06,5.058057894724577e-05,5.955740933316633e-06,1.8014502523922005e-05,3.169162674065973e-06,7.955432636874704e-06,7.894820928111557e-07,8.181520093852868e-06,1.7852769755855036e-06,2.0095897318439526e-06,1.3444238011750542e-07,1.1259093353199745e-06,1.9875652701450974e-07,9.102636463009794e-05,7.453408092927827e-05,0.0007011697835034303,0.0016069944776300193
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8991087924487613,0.2914196910592377,0.003926774777422426,3.4463546730677717,0.12712516070420443,0.3400276133928266,0.04219060153731095,0.003804937499859551,0.002817519168802407,0.0009035345634513525,0.0013137786757933256,0.0012392217879660938,0.00025827290750866927,1.9973526336980463e-05,6.614499098550608e-05,6.8039280236575905e-06,1.1445381482635963e-05,5.553171209538021e-07,6.589079915020335e-06,5.085974321694664e-07,6.457944319984699e-06,1.0085609561949482e-06,9.162146030750051e-07,1.666952010870304e-07,0.0002452434519285007,8.58986407528406e-05,0.0010641545737202773,0.0013490363579887754
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034650239560913842,0.00041741920148674616,0.12722922813684767,0.008592430267144513,0.026134190825013892,0.003069022343845873,0.0012977892284029569,0.00012562455118070304,0.00011594328431530077,1.0240428699459514e-05,6.79775780265679e-06,3.4667832622403694e-06,6.295572645420577e-07,4.100685353503053e-07,2.974768165131536e-08,2.4703392065283936e-07,4.1362151925739e-08,3.15639587578076e-07,2.5298815486962667e-08,7.825388603777128e-08,1.1416086520554813e-08,7.617575903395846e-09,7.684881619951511e-10,1.5914110873538334e-06,3.0841069453835246e-07,1.7130438708656825e-06,1.5826850870981346e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8999709415283663,0.33930179695579915,0.028254564207595534,3.69036240085002,0.314341287223002,0.03029189133802479,0.0011402464446012839,0.0006192007824483148,0.0024736637745849666,0.00010996199821788899,0.0004205776447057802,6.072269973178557e-06,0.00010271005578064984,1.2171262798399418e-05,2.2686644162245306e-05,7.092689804366614e-07,8.59208822312496e-06,1.6049228804826399e-06,7.864845915195318e-06,2.181365045261785e-07,2.134328678682351e-06,1.3782540488893602e-06,0.0022193918938168133,0.0009725094168922532,0.013664992531148376,0.036653951954074726
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02746965810099833,0.0019016465103165459,0.13052448812048256,0.01279794769575393,0.016174097398111487,3.906018947796852e-05,1.467372009800183e-05,1.07271038851664e-05,6.624922028741764e-07,5.229033474973832e-05,1.5617130824097103e-06,4.5475275334272425e-06,7.70049679132967e-07,2.0329859362622216e-06,3.794563929737649e-08,1.5853735502169286e-07,3.9449246780343117e-07,4.548466232545678e-07,1.5831249644548961e-09,1.1855180614972483e-08,1.8137038670928973e-07,0.0001975805637468575,0.00010310243743527625,0.001304270777318095,0.00045576886790055227
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026189419945632,3.521149634055662,0.2986813415231561,0.03400219982822017,0.0018408455539653257,0.0004889539846325286,0.0007988547758397968,8.58647937195256e-05,9.99224144560551e-05,1.8228149886168055e-06,4.55798117579842e-05,4.3924474929513124e-06,1.4891319797177838e-05,2.1151486384596296e-07,1.529149251000561e-05,5.00641935685664e-07,4.300790509711994e-06,2.1682827044955388e-07,2.684484563308942e-06,1.4483319898950242e-07,0.00020014977301346937,7.284335836359179e-05,0.001228815507285555,0.0026681001261859016
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13351580126563922,0.012631833689587757,0.0012773633462641598,4.638375664223204e-06,6.939173957554168e-06,1.5571963638549846e-06,1.6884177485021468e-06,4.6727543923097414e-07,9.999296501916888e-08,5.622731347187937e-08,3.1939311195827713e-09,2.6611348902250143e-08,1.4184611263345914e-09,3.977808371580238e-08,8.842357956950764e-10,1.642772473609e-08,1.585646058899215e-09,1.109247138586511e-09,2.6049140622319555e-10,9.608878659417286e-07,1.1858736259640068e-07,2.8330883402594154e-06,2.2769393288157858e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.863747501491118,0.13532659635249533,0.0012185436977595887,0.00015898819895548977,0.0005798648809952622,0.0001383978771619665,0.00012985835024101333,1.8413962248331472e-06,3.070329416410278e-05,3.465944322433856e-06,7.3481626431115554e-06,1.0547686990491911e-07,9.149472755876076e-06,3.894723770159203e-07,3.1025873639123347e-06,1.277458672177545e-07,9.171932975338137e-07,1.6494411836376344e-07,0.0005281407874009603,0.0002532866850172566,0.002501299957116135,0.002946618073971563
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6033436773111183,0.00030382781149777827,3.5299762944383806e-05,0.00011886908282181252,3.111197973648672e-05,2.5097532035292525e-05,4.978657247578511e-07,5.56952256829113e-06,6.14952575861416e-07,1.6392685326382939e-06,2.998942194576415e-08,2.501192332471369e-06,5.7912680206939626e-08,6.586143249942555e-07,2.4855473457208177e-08,1.730745851080684e-07,1.130892091083524e-08,8.880579154631196e-05,3.475245345366945e-05,0.0004511551673308731,0.0006470878976514438
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1156153529044985e-06,2.3313926836854293e-06,2.385829362960834e-07,3.437118234472791e-08,2.556627147765056e-07,1.46757972441236e-08,1.1866183824427168e-07,2.8425304332557744e-09,3.043041052475104e-08,1.1291552137748795e-09,2.655485742408814e-08,3.1873408357085964e-09,7.637738663746063e-09,1.1841227998132808e-09,2.011838251547715e-09,7.290021919459377e-10,1.882630130567442e-06,1.3072283866488732e-06,1.2240765331905656e-05,3.627492684454836e-06
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.127478083195058,3.378725439073181,0.13872548832356435,0.2603571975305634,0.02962914663194982,0.03209824089926308,0.0039345295191814955,0.0064807062327139064,0.0007279972557912018,0.00513322188278309,0.0004988679354536174,0.0033399161762849294,0.00033534373784993576,0.0009109258240360685,0.00010289126346396671,0.03237351435414154,0.008004804388600323,0.00994115048003888,0.014543073256164663
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292419870573719,0.025814183473988894,0.06731801356510225,0.06184464003187595,0.010022500556283634,0.0016136271505664546,0.00211478952339883,0.0018986618957845813,0.0004551436688873256,0.000487542775201133,0.003004270495338829,0.00044939751390138394,0.0009645352324396672,0.00012075391338883801,0.010274670516161488,0.0032898811312603304,0.004517668620653031,0.004370296913656757
