 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,C27,H28,C29,H30,H31,C32,H33,H34,C35,H36,H37,C38,O39,O40,H41
N1,0.0,1.9527397730992104,1.8036591234347856,2.86205795386365,0.07964670758398429,0.17818163247472193,0.00969443570695283,0.02989371771670224,0.013230818716536238,0.001502426712427507,0.001072113849561518,0.011656851130268084,0.0006555950293778423,0.001554985878282955,0.1809734619256918,0.43118107709544906,0.0214778808973021,0.006010818775186014,0.0001514467127451402,0.0012798493244092768,0.003364318360828275,0.007002382253219697,7.032779050097915e-05,0.19472069896737432,0.08272724098460804,0.02783806886858066,0.005838335647186069,0.00026424549685877263,0.0014492210935853206,0.0003027234042825011,5.076058340880429e-06,0.0008287321289230654,1.240407396119192e-05,6.188784074734333e-05,0.004909651229154169,0.000843658408385739,0.00034331004043330893,0.0005778795920555746,0.0002031438373614608,6.651362115622783e-05,7.200901107395907e-06
H2,0.0,0.0,0.030475581488149217,0.10222709631982418,0.01025242590612474,0.027119693079678986,0.0012771923566614607,0.001984699019768277,0.00078492654060347,0.0001632278662551112,0.00013204431137836536,0.0003077650252950592,6.977053512935427e-06,5.2553704011248925e-05,0.00242829026076552,0.004642916616175219,0.0005563006227200518,0.0001735510709925947,2.7257538492975186e-06,4.253868765613511e-05,0.00012708776603220784,0.0001414967754758134,1.3414207956863322e-05,0.005198658818537094,0.0020293091123100293,0.00028895894163161184,0.0001246651751639627,2.6113577888953188e-06,2.628952356298342e-05,5.013380554252933e-06,4.62823063429596e-07,3.827779543497112e-05,3.0977123888220603e-07,1.3942031951152956e-06,0.0001367616633116686,3.822926255825365e-05,1.7735161221388296e-05,2.7911386485168777e-05,2.2786933199903103e-05,4.2988266426569055e-06,5.940512080027105e-07
H3,0.0,0.0,0.0,0.10410249123557902,0.02737354307630202,0.006279425657930271,0.002771590571900351,9.095112167467612e-05,0.0005268875464876643,0.00012972524889698356,7.772566060948449e-05,0.00027866320638081366,1.0358918760999813e-05,2.097432093406404e-05,0.001308105651988245,0.007546373090170144,0.0003155606001001843,0.00011490718178797099,4.802452908458932e-06,1.3178819507020378e-05,0.00010671903158843143,7.528382094390551e-05,9.137765892175409e-06,0.04351751477067467,0.1252794387372096,0.00727428896741944,0.0007626665811860667,8.748526101953757e-05,0.00012381198822208894,5.123529385420156e-06,1.1557201973211306e-07,0.00041443075261726747,2.2813394382481533e-06,2.7363456034379396e-05,0.001417491214383837,0.0002558677093098538,7.139958627444543e-05,7.453745413010804e-05,5.572658003172304e-05,6.0902546693553106e-06,1.2767164190297109e-06
C4,0.0,0.0,0.0,0.0,1.732260198531678,2.7443199068255364,0.0854945290843736,0.09533605187722638,0.15777109032871248,0.01847392383137847,0.01975342168682581,0.011435383937744681,0.0005383876565718815,0.0013871928354134422,0.01108930982722997,0.024363868571496416,0.0020444086390889737,0.0006461776329446806,0.00010635871747000092,0.0001043370453648329,0.0005844420507794823,0.0013659303778523757,3.5669251102876665e-05,2.6308069784859365,0.2994629387602251,0.20973280471938477,0.03636431320061745,0.0022476066572428843,0.005551003557161066,0.0015205928686834458,3.752720501104534e-05,0.005098811813681409,0.00010233017303851177,0.0003510813254687939,0.028984075769075718,0.007303504032099228,0.00234604706860142,0.0035176023228532804,0.0014833676325218814,0.0006790826627810914,9.460924122617342e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07949353841269446,0.033576894797287204,0.002920062019706071,0.011690771245901233,0.00035747790673412716,0.007143488391395891,0.0006228461641821781,0.0003618736579691362,7.170636687092724e-06,0.00019809079346821967,0.000437692006837187,4.1600054939916475e-05,9.298707951743701e-06,6.883436599602888e-06,9.28725338189551e-07,1.7641953884539596e-05,6.14193778911698e-05,2.328452499700262e-07,0.08711807002744143,0.022862804587854946,0.006390119466469946,0.0012901838968559787,4.5753010899929336e-05,0.0006638529522852155,9.245821541625787e-05,2.6494940461585514e-06,0.0018442276541092983,0.00020791308875400816,3.7132284734120447e-05,0.016403183951975153,0.0038968323621866308,0.0035862164201967417,0.0003072485839501482,2.7034022885508158e-05,5.3067253280913995e-05,8.046057979216314e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8146992831642488,1.989657483937207,2.848784459676957,0.08867825814374874,0.07882321802223613,0.15601771703677325,0.008866507213457053,0.027451280447124304,0.014878375073440558,0.005926721764587528,0.0017813401127309836,0.0012853877397775992,0.0010689911751986525,0.0001543393012333194,0.0005018369696322827,5.522612235531188e-05,5.156671457828832e-05,0.19012095181131014,0.041391029100863674,0.026190658810126666,0.003089170031099625,0.000502620141574317,0.0005461954370479527,9.443231729988621e-05,1.7314791073808067e-05,0.0007972706051598,0.00010550589663860244,7.558999825141299e-05,0.009315421069761798,0.007701362738006923,0.0008410842949839736,0.0019839523797355596,0.004235934614683315,0.0006090234749621254,8.839321284292989e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02706109195519235,0.07822772648285825,0.0015857889076886789,0.025416450061279905,0.017774243485148666,0.004290713805524149,0.00124046742642836,0.0014560800465598378,0.0007739404226787538,0.00021262311331970984,0.0001258822093391787,5.1319447284425834e-05,1.0186225984476494e-05,3.7670125874522675e-05,6.6126486968354214e-06,4.292486472046164e-06,0.00963712621740509,0.006110004593344098,0.0012894235138096732,8.391761279002985e-05,6.433585809206832e-06,2.998429934453206e-05,8.190503954397244e-06,3.4847185961250915e-06,7.773348556239235e-05,2.3193663139631226e-05,6.7738961437857625e-06,0.000843544689019815,0.0002899383264027833,0.00019343322012965736,8.048832473916967e-05,0.0002820988720098061,2.758554985071715e-05,1.276899765478845e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09051049128549904,0.013245851876441117,0.0016386772155903007,0.019043300962858556,0.00024498064890110527,0.0006071786688708336,0.0013854283255951838,0.00016482794511629706,0.00037467460137374786,0.00023156793787704189,0.0001334643103803046,3.396428724977696e-05,0.00011123930343648336,2.6573439002364196e-05,7.024165469271537e-06,0.012883673027235254,0.002481041924689009,0.0029197993462234395,0.000446434252034944,0.00010066487597781837,0.0002135631732005372,3.1863323309400116e-05,5.213653607949453e-06,0.0005043217319686821,6.207704910954348e-05,4.035879399189035e-05,0.006106853598229711,0.009262458057638367,0.00017467214384869756,0.001551436935079753,0.00950484036756305,0.0007094278228227946,4.445759672666583e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6886675242100868,1.7121213858521442,2.7169681481755195,0.08184049796987769,0.09005071460824976,0.17980560400544127,0.01501877132429097,0.029700751409644205,0.005864923624383955,0.003505643447885509,0.00030734732245574214,0.0047701157337923725,0.0001435884950002908,0.0008643785014285088,0.03053956562711352,0.009181379930284006,0.004779460414041994,0.0007567183271516426,0.00010142337580598682,6.977875645580722e-05,1.4793127093626346e-05,1.5175402514611136e-06,8.747246957545307e-05,4.857524216528297e-06,8.584416260726258e-06,0.0006756642120668427,0.0005605128605689069,0.00011096740610561096,0.00042413460273801884,0.00043014126501374206,0.00013465634055832842,2.185605074978003e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025676388779463988,0.1130870112696647,0.004752776283878601,0.004779441918799643,0.028850118775575972,0.0007444422729567801,0.004194842006645327,0.00026204896539039346,6.714483490766199e-05,1.5719414295567447e-05,0.0010509076568183673,3.713067544008908e-05,0.00021501244607780023,0.001981388563108588,0.0007333053861876548,0.0003633658537380846,5.9710644628507836e-05,1.7544444110839663e-06,9.528627972432702e-06,3.248708726477645e-06,6.501061622365967e-08,6.3921725830251575e-06,6.023962508816538e-07,2.3693027584315018e-07,5.083302125075129e-05,5.458531763902208e-05,1.335392894219467e-05,2.632829100845946e-05,4.430173737857146e-05,5.296693769030192e-06,1.0177730445093403e-06
