,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27C,28H,29C,30H,31H,32C,33H,34H,35C,36H,37H,38C,39O,40O,41H
1N,0.0,1.0210740186956315,1.0288113934544885,1.4833494384691592,2.104081465832119,2.5025200862187686,2.698015316549558,3.4190289588030947,3.1675501477054246,4.211857812897524,3.190067199038232,3.498174383668265,4.026257875010796,4.396270664159947,2.770128832309094,1.7289151612830618,3.7157013686734723,4.985064786824205,5.312485040097268,5.75340490955868,3.8108646198716563,3.1958385452145617,4.783943484972387,2.4558839908444487,2.699928178222957,3.663755909450251,4.86570395613837,4.930516635411543,5.982661451442219,6.944290989316741,6.165925608378205,5.799118691612599,6.200547834578468,6.528660683970573,4.35579224424059,4.276128952164711,4.367614907054158,5.419961374669994,5.305549799727447,6.489543448972978,6.985921020745437
2H,0.0,0.0,1.6286597253881667,2.0559219162816285,2.261346279170626,3.355366080435639,3.6817595595233352,4.175021219788328,3.9255619403431026,4.970777875308214,3.6990499002483097,4.301786591002953,4.9446921940765955,5.0863002679479346,3.4486950887564687,2.4012567504255995,4.2559584235511965,5.575505958374144,6.005694035056251,6.286729301204594,4.116314445549634,3.318632944194385,5.0093036105668896,2.83478566462104,3.114910649009683,3.882742106542868,5.076310444087825,5.032526100754976,6.065222844394421,7.081998547584747,6.066840737057907,5.93779267085489,6.497602997801946,6.5565143555479635,4.482548771027419,4.556509566299425,4.2517227254868954,5.875893531804454,5.926011542453896,6.904828732586986,7.505862597441533
3H,0.0,0.0,0.0,2.0039405632686105,2.8672315866016946,2.8856736296690007,2.7183197232952323,3.729552671980282,3.815363038707231,4.802391894548667,4.049252868133297,4.0156476790881905,4.30484309777689,5.009724300143913,3.2547527735293476,2.2887148973485956,4.036686808478073,5.287277343387012,5.6423820567764205,5.970918273496791,3.990930340993151,3.379973723217691,4.930429843727131,2.3540946468856765,2.102978896781775,3.685363132157905,4.649541700126113,4.55248662807699,5.9386610435338625,6.825148621583099,6.143146226900734,5.992369152869401,6.368100590234999,6.820098361440152,4.677889217046845,4.729792389219707,4.811923095802781,5.088253753574506,5.06022756278268,6.016984207499629,6.4892195796109275
4C,0.0,0.0,0.0,0.0,1.0948424917921606,1.5479935019647368,2.158147420739482,2.152334697405211,2.61724273503094,3.458966520571824,2.6845483081760873,3.5562806181087576,4.037471055471424,4.451732876340147,3.4347939296378414,2.6078890320570998,4.637778673735262,5.752659499519871,5.8421766516028,6.637706116108782,5.045540106112411,4.563313229726329,6.046917863111184,1.5440050128906646,2.3902307272296124,2.4956242343932735,3.8430740372801826,4.194008968160286,4.832529741084768,5.784888351853123,5.161580901603045,4.452396645506037,4.775235229457749,5.2062409262876885,3.0104994427071463,2.825898598356626,3.216244742746656,4.369032618590743,4.16098496868785,5.581478858631386,6.072655601509143
5H,0.0,0.0,0.0,0.0,0.0,2.17156071113179,3.0619738180888993,2.549490862237394,2.798441170797418,3.5596843373107903,2.4463189062164137,3.9304471141016553,4.609551260667898,4.634585413464047,3.8731874885706468,3.0942465446478242,5.091826730380845,6.189656569782128,6.273032477171862,7.101148192657187,5.507730414957215,4.983232711032725,6.4783593558298085,2.198594292122034,3.249422499757433,2.677344858052917,4.135080475607955,4.571594741756322,4.80952440671921,5.830949517311615,5.0243937141587285,4.203941751163165,4.642758443610586,4.763652729152875,2.66838456041408,2.4292273559029924,2.580101017327667,4.8816748191743,4.722679406843238,6.1371304409399325,6.695576725236056
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.098322564521951,1.0953008048953041,1.5478660291046829,2.167442474243408,2.188425572277466,2.61402035414049,2.867678426791915,3.534144938382349,3.0883491293379652,2.6961923529903262,4.367036901795025,5.21129111881593,5.049474884314242,6.158206421093525,5.139493511797285,4.952553407700045,6.135207536799475,2.496591056846634,3.175767496708586,3.2491963638966324,4.446945435014152,5.002325283856812,5.435257529049249,6.2416722760311965,6.013606124056562,4.84928992435042,4.825245523453114,5.661717263736641,3.592776572588592,3.0019769266477603,4.104753800130223,4.482006615800837,3.859327823664516,5.7369605758401025,5.998222897286253
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7400737055648188,2.1948878271870056,2.7391230633625896,3.0591998027271705,2.692055902255212,2.5590862763644195,3.7383371003515116,3.0636415247172,2.756366531478681,4.185325812991319,4.97378678677047,4.814657149144504,5.8497931128468075,4.926131345655605,4.8254183356640326,5.9002433265351995,2.7205552261587163,2.969451460606187,3.6628575922614144,4.627315629159891,5.0610865001155725,5.821174250726823,6.535078088863838,6.452124474665113,5.4560349118951805,5.359816213600112,6.373475818539581,4.326146693574645,3.864569307558296,4.930516746836009,4.406504130006321,3.736714698093761,5.530658742429466,5.681473718276884
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168611031877142,2.296632239220688,2.7407717946370997,3.4437014041022724,3.575931371839677,4.244794765183076,4.135120192451788,3.7865399906560864,5.415671665881944,6.173126407166735,5.90376982974237,7.132861119731984,6.230431779462461,6.043462859441258,7.222993484376422,2.612640882654587,3.4335442364883617,2.9166950971856687,3.991034487558754,4.739523627088202,4.817557557060882,5.534828559000024,5.528056698732301,4.097214014182125,3.90290985852849,4.9259404809229475,3.052920562676716,2.340288020221135,3.7806217097854433,3.8804344609615096,3.126284243531511,5.181178754829064,5.396376108147725
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095768906246475,1.097887893714567,1.534961610315993,2.167890599845033,2.154948308429344,2.47712451427607,2.545840069941806,3.7419242026954365,4.355901621484301,4.062370444229007,5.360455117631303,4.771550218090954,4.784258784609914,5.692454557743038,3.922753096499132,4.627529625785678,4.609677905001869,5.8964158662562065,6.487863919468063,6.730974004011936,7.56091257931974,7.271183686723515,5.916803021489888,5.854117426889035,6.570780282433806,4.619907597426609,3.813082937250665,4.9564657203998825,5.957749997776186,5.239335700605211,7.233421899602622,7.448204144494394
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7529052649799342,2.1153800039192956,2.446687496742815,2.403040010646289,3.3841829249845636,3.6064248860910775,4.551346177199137,4.9231291849079195,4.423789739326729,5.922063119694409,5.6957488274105055,5.803977900053542,6.572392715670207,4.583658009221788,5.340160714295206,5.05765029903707,6.256494497213021,6.976899725850542,6.967205952029063,7.707171392466226,7.612268139222131,6.007190723098077,5.765918931662141,6.621252628562435,4.887702645270415,3.933132293350603,5.341226401041259,6.150539183173939,5.280676950512481,7.428442268259137,7.545260424433392
