 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,C22,H23,C24,H25,C26,H27,C28,H29,C30,O31,H32,C33,O34,O35,H36
N1,0.0,1.8419067530120774,1.749320702364125,2.9352117841629903,0.09804156293305955,0.17902081930007985,0.02607293391053378,0.005401450425050802,0.02951416510008792,0.0062054671749686915,0.006213429656667588,0.21341787100128992,0.06764331526918235,0.03463453242954828,0.0018385042252628825,0.007589095474652335,0.00031249019077672635,0.0010922104916466086,5.694422850854863e-05,0.00023982983334469576,6.335171164707776e-05,0.00011574504452240009,0.0001352346137900584,2.0531837020262844e-05,1.3875363165105625e-06,1.5380502343190217e-05,8.640327754383392e-07,6.2239621571452686e-06,3.013074345581401e-08,1.3078791199841455e-05,2.9715039198754956e-06,2.523146513944141e-07,0.0007914481216009517,0.0001337243819859446,0.0001744081141706738,4.694986551234681e-05
H2,0.0,0.0,0.027959587494522875,0.10274388232553688,0.003169241094115094,0.03052060058729955,0.0020896512799670752,0.00012531049191966126,0.0047737524811318766,0.0013137579241369046,0.0010880047020542793,0.033313636899186316,0.09951934352662217,0.005528581710154912,0.00024322885523742066,0.0006919223418051512,4.732779766092321e-05,0.00010915427142332845,2.2610620706187134e-05,1.4190887214882153e-05,9.06318374260806e-06,2.90161122559196e-05,4.264023845501619e-05,3.6297908697635606e-06,3.9645586902281593e-07,4.4367135554335135e-06,4.33708237546071e-07,2.094290448395597e-06,6.171636313112572e-09,2.1998353084695665e-06,4.539162964389831e-07,7.285857295258324e-08,8.873627317806942e-05,4.3802681532589816e-05,8.097402353191008e-06,1.1539829174456173e-06
H3,0.0,0.0,0.0,0.09963758166014369,0.035612644122852144,0.023046941610888938,0.003955973958724046,0.004892626906771946,0.0025590606478911315,0.0008680835059829972,0.0011638503277687784,0.006187335133486349,0.0035189453550003025,0.0006655856620831901,8.984865137251496e-05,0.00021567091491181412,2.122079529853771e-05,1.455618802281844e-05,1.7363686737326134e-06,3.3949254829579445e-06,3.6871336021038204e-06,9.015827157843326e-06,1.1353414655745908e-05,1.0527636635782045e-06,6.891870674152756e-08,1.139873981981232e-06,8.819780794588894e-08,2.711204567518166e-07,7.350934971839251e-09,2.823814758690091e-07,6.207904301724909e-08,1.8257442002678204e-08,4.1052613009684435e-05,3.7473282868960567e-06,5.530860791469472e-06,2.7060099894171685e-07
C4,0.0,0.0,0.0,0.0,1.913890118026607,2.809417705024266,0.09661527593174801,0.08066334817071685,0.14933488091157612,0.03979755436316136,0.026290094369902706,2.5303503110252983,0.2765443343275912,0.22528938920068622,0.011062148047590759,0.037630045423900665,0.002346364540615875,0.003643602059054868,0.00023697629668539832,0.001298761332322318,0.00019074793419474045,0.0002500179973926875,0.00022002850179236866,5.998241602714338e-05,4.7921267924966315e-06,4.412087889635319e-05,2.0570403362896172e-06,2.4162538803829126e-05,1.0461438471054407e-07,2.434334923812065e-05,5.422892612724772e-06,5.391322575043489e-07,0.005135513128799785,0.0009131502403090797,0.0008998955118740687,0.00012161435434998591
H5,0.0,0.0,0.0,0.0,0.0,0.07640855431760407,0.0019747404113823475,0.03156036762616554,0.01380404565360771,0.0031293715570689384,0.0017439857005717707,0.10643291766211704,0.02529009873547383,0.01580813397958014,0.0004675713382358282,0.001566220458374401,0.00020544869755179107,0.00019734808710780705,3.388923389446852e-05,1.93661352727581e-05,3.138635711441573e-05,7.54659854601547e-05,1.6809794919803167e-05,7.575865922482272e-06,2.4301095802314876e-07,3.455404584873367e-05,1.0064500499673557e-07,2.2714046327032555e-05,2.9966115144830496e-08,3.388160095152415e-06,3.223593549872561e-07,1.1472550798252712e-07,0.000980419473628924,0.00011048700196891748,9.021331757785855e-05,1.0730486058818656e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.100766766728587,2.120149279009473,2.7133329926732697,0.3046521892985709,0.26872512221495903,0.16166396865051993,0.0358251727218792,0.024671703347864546,0.010561025719347916,0.0029662157171495285,0.0009031659013762905,0.0003766711301720349,0.00011013265369685943,4.716299614826447e-05,0.00020771942689420952,0.0016316590765840383,0.0041503005949554694,4.746541955566452e-05,9.56132953056077e-06,0.0001882524403359065,1.7542481413390654e-05,1.0953861442522528e-05,2.7404287106236325e-07,4.186170868523964e-05,8.595568544475518e-06,3.061541928861544e-06,0.0006474380376141065,0.0003173340762281998,0.00012028979995985789,1.4043840295241417e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025221024730262886,0.09104885882235925,0.024135709985711018,0.020751720688698683,0.025943213762845474,0.004047112295559541,0.0033491166760806212,0.0008418216909695797,0.0003650390803322523,0.00025742880423629266,2.994234072950519e-05,1.1889042328405708e-06,4.889643338890082e-06,8.649432919560773e-06,0.0001255123168619754,0.0001868719253943496,3.842929794273253e-06,1.2356804159896484e-06,1.2789531957269062e-05,1.5147507981261299e-06,9.887067564662289e-07,1.836185448134131e-08,3.172646580784644e-06,7.137887687580502e-07,2.7260419366292865e-07,0.0001758742171202865,3.253975295336442e-05,2.846211429086143e-05,3.061574472384976e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08110067924665532,0.028409306767266385,0.011679815387101167,0.0140793998834996,0.001918129660506418,0.005138004986497746,0.0015146527605065518,0.0004263527962704572,0.0001880768160846813,6.853771280890264e-05,1.7135408906243654e-05,1.3841492876531802e-05,1.0387912456222281e-05,6.558002017698072e-05,6.082957322584015e-05,2.996036951197212e-06,5.694234979092272e-07,9.388208557004063e-06,5.60844634067692e-07,3.374113091592079e-06,6.20071194390448e-09,1.681926405705525e-06,2.394679488038065e-07,7.178203187407917e-08,0.00027214255273055876,0.0006853058341080853,9.900569752185895e-05,1.0889214088871668e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276907257931821,4.349801226809985,0.006485267239695031,0.002191650521320032,0.023535130381724667,0.05280382499747871,0.0036839202887362643,0.00041046494592000826,0.0008405778320748625,0.0008246040294526136,4.107966950250841e-05,0.0008781697570567348,0.007827316759794672,0.012270554831375735,0.00021406334233056712,4.148960369376731e-05,0.000977436414733135,9.022521204737899e-05,5.588336895206991e-05,1.1956053809214495e-06,0.00024282984485382575,4.7971302965715834e-05,1.5161399010366061e-05,0.00026419884040243535,4.162007834095094e-05,0.00011567053881039735,4.271704414171573e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719152002845953,0.004041532740032397,0.0015105037381564629,0.008058792724256102,0.009989526027718965,0.001027836067726745,0.00013130488401780216,0.0005187049739614341,0.0006436365670019484,2.730371735326642e-05,0.0003330503928604747,0.002937713633509635,0.002909635940240185,8.509331868235964e-05,1.8376315918500197e-05,0.00037924505112901796,5.31281623973312e-05,3.90634034383025e-05,2.433532274581651e-07,0.00010343100786482096,2.1218218905615788e-05,6.276292317974885e-06,0.0001485966611431827,2.8492030232515897e-05,5.302211567374815e-05,2.814683840268728e-05
