,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22C,23H,24C,25H,26C,27H,28C,29H,30C,31O,32H,33C,34O,35O,36H
1N,0.0,1.0239961150480843,1.0229157414161054,1.4750020214227366,2.084095709673705,2.474947536937008,2.49027254523335,2.9014389449010887,3.8684444334731243,4.551672500597083,4.538313104320839,2.4827331520500246,2.741996965051116,3.6934696036092416,3.960348529488538,4.895290702700474,5.048670713328242,6.142408742048583,6.204616529448596,7.015509031894612,6.550024436218588,6.321367221994702,5.759607454355566,7.543559005818777,7.975787959973039,7.13317692822733,7.268676911252313,8.243309860922734,9.117750490657102,8.05655845559021,9.005756584960276,9.622040790601707,5.34404624124668,5.252418343185101,6.3848464828305564,6.807595345354659
2H,0.0,0.0,1.6099905781481105,2.0068431903478863,2.491242877046232,3.304678592382624,3.4828573056916756,3.6216013503431843,4.631979894044548,5.418265393306399,5.109526543509357,2.4070304571455186,2.1937481236048795,3.7453098467322326,4.261160758636634,4.735954174013709,4.689598451271432,6.109771372088789,6.339651713117367,6.8981377494531735,6.516526007946276,6.4524766369652715,6.046804136645636,7.367668370213156,7.702895701231861,7.243357572129927,7.486324010719473,8.076029366664992,8.870495881224276,8.018263541100543,8.972381643625566,9.503392695062795,5.1381658217039625,5.1843497498256115,6.011193228138721,6.444155656844123
3H,0.0,0.0,0.0,2.0242629962510765,2.9061281062687927,2.5360829220265044,2.4775922428235155,2.5940321852446844,4.083999690798502,4.784622418362746,4.777224070868425,2.8195752849385602,3.0274101313026374,3.9475031531926597,4.1982988368212455,5.093201026712862,5.374161249234525,6.373166658346138,6.33592789379925,7.184424262583095,6.9865529470433865,6.848357412913161,6.223548985661918,8.04123500324353,8.403387994430949,7.785342195141052,7.959906878875227,8.860358884552532,9.751391676620406,8.7436464586387,9.766274687840749,10.384784810258074,5.265786711176566,4.9541494815277645,6.339280277269877,6.624900420742885
4C,0.0,0.0,0.0,0.0,1.1017261937996312,1.549387774521653,2.1397763168685073,2.169878527300175,2.6578620329694207,3.5539675806251276,3.130213836104302,1.5520946844248724,2.435625189750125,2.4561231538358195,2.5517749456959145,3.8088013226166146,4.11056710368812,4.868709846924737,4.871315532755287,5.822902651973171,5.210001036609742,4.905053615563365,4.2956269732269385,6.297307402383756,6.814505946913264,5.778818781059597,5.936763510827381,7.0077154924045235,7.945669766591057,6.7783147364903895,7.784074601462264,8.440965815669783,4.515615434555278,4.538758850853418,5.665459403021416,6.203770307771617
5H,0.0,0.0,0.0,0.0,0.0,2.161883957490643,2.606453755574287,3.0474145186480603,2.7379432305501763,3.4500165794338753,3.1831684909909246,2.1332246877956598,2.965300315243509,2.8326322705786215,2.8244085049639693,4.142106672803229,4.297126945533275,5.027355260096466,5.112206981331902,6.040731591723096,5.039168729227818,4.5283338903266515,3.9849507837889266,6.045971456983756,6.68483802445359,5.176012466582751,5.220063582072301,6.553738781124291,7.4813237728548385,6.166987129691632,7.04678803777812,7.729789924488465,5.132839539413819,5.344896263736065,6.208407727049776,6.8610379253887315
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0939264144869179,1.101222962609221,1.5656702840316454,2.3996598739572064,2.4216436104498653,2.6236021731079946,3.6879842119050115,2.9506428301025256,2.5206806132059896,4.351809728579719,4.9688684982776,5.115347807945432,4.776628911100144,6.0958720752759055,5.570202476636033,5.107303901807083,4.238236026391675,6.840923418579633,7.420250129071589,6.066255550299839,6.101003944189092,7.592902700437949,8.614756973745553,7.253284616805698,8.275816500895942,9.025574919488841,4.917294259602941,4.656127593325146,6.22669965746632,6.667151136120911
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763511967996537,2.1561403729887885,2.45221327645646,3.292312409998221,3.4961906680092847,4.418634695173022,4.009569297251449,3.602336257354373,5.416213543847789,5.97892097879981,6.205853389235648,5.8513176554427515,7.189746468746406,6.605646933631607,6.046400190981596,5.149954365133003,7.861692089742995,8.470420316783745,6.896063811018849,6.806521488847142,8.541613456032833,9.561031389936023,8.110491853548313,9.046398241808273,9.826479330024451,5.929014052114662,5.5907441267946885,7.227099111310956,7.62378645720371
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1852065586286127,3.089775937303097,2.725151378116874,2.7414359378748228,3.7019573027516954,2.9376420746489043,2.592592985566208,4.176358478709593,4.9269093747112525,4.98081142407398,4.547966058026783,5.85192284102609,5.719009244852697,5.468884922405769,4.61428761018488,7.015585907948391,7.47357926521863,6.588436029824019,6.744471102364454,7.92822155272553,8.941275591882103,7.740615118512017,8.864180969101383,9.576103134264292,4.411202527794389,3.917409035935666,5.75057546713409,6.056786203375337
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2386038025741883,1.2858718037436052,3.4496377479132168,4.66930774408002,3.212120286233811,2.3364963354818657,4.518870807289985,5.229408209849396,4.804131214982919,4.297379668550979,5.84656130284499,5.012046155622813,4.262144627329431,3.2424535844733358,6.34476396044772,7.073797603155237,5.130688840179914,5.020070672248892,6.968055740153752,8.040744846740255,6.444920871199909,7.405881975863212,8.233358787389886,5.3359671434390075,5.200930022081444,6.64630980046663,7.179352165436653
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.258098973292197,4.58285260979799,5.773952076849069,4.428767543346195,3.541022798943385,5.729832044188077,6.410307255473521,5.9091088258370865,5.351641387500207,6.956869608295144,5.963085455458447,5.018520999856769,3.976706123972716,7.267680895477897,8.07811720051687,5.667438699027447,5.325351486580468,7.740248878883405,8.815329817087818,7.035236145631403,7.840028190267762,8.729946187660413,6.569364965921822,6.397370916066516,7.880566102018565,8.408483022959707
