 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,C30,H31,C32,N33,H34,C35,C36,H37,C38,H39,C40,H41,C42,H43,C44,O45,O46,H47
N1,0.0,1.8270683648702932,1.733656964809057,2.9853636880892935,0.09025650265016794,0.19378752577444583,0.03801578450491372,0.003298654280837532,0.028430091698890422,0.003768567774348662,0.0003275687763065749,0.005941858644109149,0.0002274665509055529,0.00074584049844377,3.42812221342248e-05,0.0012128574668451853,0.00011579696179586652,0.0013346493503699902,7.012190355037973e-06,0.23405826156508114,0.0520685757792646,0.034376525192050617,0.0021852938375590547,0.0073794552223145765,0.0003509626078729289,0.0015308337725714743,0.00031205373480547305,4.15828717814648e-05,8.879624690255605e-05,6.265639923239141e-05,3.773608702961617e-06,1.3181609882603751e-05,1.8421225852147116e-05,3.994749963820432e-06,6.544907938818567e-06,3.84631243546818e-06,1.2253746456414305e-06,1.2792464993416353e-06,1.1375038155847506e-07,1.3846398794897796e-06,1.489171830293401e-08,1.4587254782844061e-06,1.1476716244018803e-08,0.00041680227243827417,7.523913510572647e-05,0.00010973308010089888,2.7649430442311385e-05
H2,0.0,0.0,0.02672630005982901,0.10973208782743693,0.00704816812571285,0.034026686482543034,0.002541150029917283,0.00011535104002202701,0.004090358410906547,0.0005532168387257785,3.2774448517347565e-05,0.0010320904899464578,4.503371457320604e-05,7.866220149144176e-05,1.0199332739269096e-05,0.0002313798254560684,4.1974897136976e-05,0.0002138782010696616,9.556543207889234e-07,0.0091967312130955,0.009730164196218305,0.001033134247554579,3.1072283703137416e-05,0.00021937832204277363,1.1228988670008988e-05,1.1338536947125277e-05,1.0041783522485304e-06,7.495227147824579e-07,4.8914602458483e-06,3.3896327314986152e-06,8.339037957938444e-07,8.825412378676845e-07,8.482290405620319e-07,6.4792902709776e-07,6.678787948244391e-07,1.7389975293102822e-07,2.8762330295251104e-08,1.7260167328725373e-07,1.9998722677883052e-08,3.6055344265761846e-08,4.8612536218684e-10,9.954977087112127e-08,1.3068934823223799e-09,3.738086224946979e-05,1.527016435698414e-05,1.1140939780718284e-05,1.8412026752123722e-06
H3,0.0,0.0,0.0,0.10682837689934033,0.03727065403347907,0.007393649086337439,0.0009951392734770526,0.0016334938821385148,0.0010168202834188733,0.0003687834911431098,3.2541446049361156e-05,0.00019381879022217774,9.86200114150293e-06,0.00011490742701214529,9.738090305910774e-06,5.2472854122131984e-05,7.117527261124579e-06,2.1005622605207996e-05,2.450505562912042e-07,0.017801619152729597,0.04303732970439178,0.0029502535863032975,0.00036497147567615684,0.000467268215278982,4.745569722963694e-05,7.68643723196849e-05,8.473497316252576e-06,1.7354878205644297e-06,2.7495613754480175e-05,1.362148677352959e-05,6.232843010600675e-07,5.0109956657440335e-06,3.4837576393664804e-06,1.449755493432292e-07,1.8650883739645963e-06,8.091952443667338e-07,9.198810935195922e-08,2.8905168447668217e-07,2.935811593829385e-08,4.3326015741751434e-07,3.1174351988738636e-10,4.934980915027865e-07,6.714313549593953e-10,2.0125546468241495e-05,6.325258604999995e-06,2.7943907238148213e-06,8.767238406370836e-07
C4,0.0,0.0,0.0,0.0,1.8669008067823152,2.5439012318414815,0.09124867572883777,0.07808890159282678,0.17257859195975347,0.035210721546836535,0.0017118988358935106,0.03455256839018386,0.000618378637063266,0.004686345433566663,0.00012465256195826058,0.0046879975435030335,0.0002119841306673642,0.012786912237901599,4.798168932018676e-05,2.723736740352156,0.28130769352453855,0.2137362321243735,0.011412835199701044,0.03463578199362918,0.004556495232481472,0.004201737192235405,0.0013024479984615756,9.67630702344291e-05,0.0004317258444462013,0.00018264010209631532,1.1939432643215397e-05,3.173388180921499e-05,5.42114050459952e-05,3.42607817801488e-05,2.4462782071604794e-05,1.4211360411658935e-05,6.296492904178663e-06,3.856042028516082e-06,4.1177839293915497e-07,3.899459176587294e-06,8.911259374855263e-08,4.629090875535313e-06,4.454709046086691e-08,0.0032424521012342222,0.0007323395325244814,0.0007622232467407591,0.0001426054697524215
H5,0.0,0.0,0.0,0.0,0.0,0.07580978240761993,0.0016650247864578027,0.028150959831702682,0.01836953072946068,0.008508138371028151,0.001954344244878836,0.0016714310824701428,0.00015697012170345914,0.0008908047601340341,7.55898348785422e-05,0.0007852094382939656,3.497265837237862e-05,0.0007387839347243741,1.0262272982730636e-05,0.09600082594045456,0.027053422818046347,0.010211238031439418,0.0023662770986683235,0.0014637387666363022,6.76584736725161e-05,7.412950252883022e-05,1.1775617736464739e-06,1.1595635192707121e-05,1.6333168193050085e-05,2.55075238748681e-05,2.5056354923558288e-05,2.026871001703512e-06,2.868351611118314e-06,2.316981156713638e-06,1.929526905586343e-06,8.463911960188142e-07,1.3653563479820718e-07,5.393523553332003e-07,4.409280385253567e-08,1.8326684303460183e-07,2.205041349512271e-08,5.213814291415986e-07,1.1524182053079812e-08,0.0005679438707879569,5.3956793757081734e-05,9.723990381849124e-05,2.551937999806242e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9974617864510114,2.0148604162242876,2.726232754307037,0.23619416226000506,0.01413326404703441,0.2327405294532472,0.013926999840219167,0.037556138776708756,0.002669792227556922,0.035052270764939636,0.0025575559039183737,0.0213610967741127,0.000521408403917123,0.18253851998772844,0.039586390678108305,0.024707188026193483,0.002182683824687559,0.002678942085703781,0.0005048004260383987,0.0004296400197262712,5.793887397909092e-05,2.019246562645627e-05,9.722560499789146e-05,7.885665690586519e-05,8.0997759639434e-06,2.287149057053628e-05,2.940033135309661e-05,4.476679738973921e-05,1.84019771603261e-05,5.8836602750966804e-06,5.081426603936734e-07,1.158678344352626e-05,7.104832424609242e-07,4.81427141559021e-06,4.7106338829649985e-09,6.313999413670723e-06,2.082541716852404e-08,0.001380926426004625,0.0015764718377774337,0.00035877704103029484,7.369989953687206e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026355530582263142,0.10068119539035547,0.0187573864552929,0.003954435893521513,0.029168439944717073,0.00044281644236821016,0.0021401865854006052,4.7109611963191966e-05,0.002989207109758363,0.00048151122638984134,0.005969495453470142,1.7086644455099886e-05,0.025413500781503506,0.0036577241109611025,0.0047783341900253795,0.00036905647896201543,0.0005414589069290265,0.0001466124233753252,4.722149546931842e-05,1.939067459932886e-07,4.912021875247419e-06,2.816454291876269e-05,2.0203243391359038e-05,2.2998140125629618e-07,8.268148107060114e-06,6.977911165217954e-06,1.3748666384483244e-05,3.857178893174051e-06,2.5549694646631593e-06,9.889970042920027e-08,2.131893541368335e-06,1.2824316497628274e-08,2.3327992233479478e-06,4.168003719939861e-10,3.3214684709292897e-06,4.826913757582929e-09,0.000330007859553616,6.882866465240944e-05,9.20767134108269e-05,2.329380382315449e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09819007311107919,0.024017416055372554,0.0008175547747533152,0.016555180422838656,0.0062957794625495556,0.002901534010757101,0.0007596019101865359,0.0014726002995830711,6.821018617131358e-05,0.0013054469716716754,3.426295650044153e-05,0.018919137991566748,0.0037087807285219876,0.0014581499935857334,6.78625840919711e-05,0.00018892377660129078,3.6409546600335574e-05,5.322848384314849e-05,4.566811993678144e-06,2.770211721569993e-06,4.38427301063804e-06,3.409290876499327e-06,3.86230004978394e-06,4.1638592551684894e-07,1.3832594834006784e-06,2.786383284547611e-06,5.763423818194724e-07,3.156757865108162e-07,1.714245767558964e-07,5.949659661608209e-07,7.254577538695628e-08,2.6075689651960943e-07,4.682578769177326e-10,1.2051294273618396e-07,1.009279548824793e-09,0.000513448506161085,0.0027869570890391993,0.00023234968341323547,1.2552228072060245e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.665609210177638,0.12253360696309468,3.298979562982022,0.12224317537544582,0.34080003745433907,0.026440540814414826,0.3239077649881642,0.025612349980865368,0.2969389479001012,0.003960539301107957,0.00942189753699918,0.003196244969470699,0.010420532613265088,0.027487328107656528,0.0013547502921574806,0.00039188309094251306,0.0001482031443188897,2.825751097490503e-05,4.662453822801282e-06,0.0008203013845642926,0.00036856022738479544,3.705021439914802e-05,0.000122142653819185,0.00031421669497583293,0.000630586165914826,0.0001522707289924874,3.3225323148672326e-05,1.1075748127531426e-06,5.822215049622326e-05,5.384902713734263e-06,2.0724064343669024e-05,6.978017652592428e-08,4.195062272388528e-05,3.6134076841776164e-08,0.0005431506103669159,0.0023013684822222047,0.00018713840957328143,1.7525449644728575e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.702363157973569,0.32243823922364845,0.02735890078740244,3.759137455517192,0.129639122742353,0.31140452011526154,0.003488779572542011,0.3256665246505782,0.02687366534594149,0.00285547089329935,0.0016807613363644253,0.0019006681155753768,0.0021020420600185163,0.0004195155899145847,0.00011513981454247535,3.1090204193992554e-05,2.6380703530559657e-06,2.482139068837874e-06,0.0001654648674280501,0.00018897394813736923,4.6196361691452914e-05,5.929796639768392e-05,0.0004503309875909661,0.0002668075130408676,0.0003175543764243477,8.813292978929188e-06,2.1365043567644904e-07,4.3745955421170546e-05,5.873225361385792e-06,8.728446549408075e-06,8.289933417504614e-08,1.148167840944736e-05,9.929010436060537e-08,0.00011933440317540844,0.00043360278437999666,3.7430456497053455e-05,7.582474720879695e-06
