,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30C,31H,32C,33N,34H,35C,36C,37H,38C,39H,40C,41H,42C,43H,44C,45O,46O,47H
1N,0.0,1.0207340619096008,1.0220296276623748,1.46267480607548,2.0778893388677377,2.468771573749779,2.426894960868413,2.9397851059440248,3.7764656786804713,4.30619790102402,3.9303442373570734,4.8804785517813185,4.984519515527266,5.666208860130373,6.284912625433036,6.116560358898151,6.993223322398899,6.451615138410053,7.5141259948128925,2.4903932664829425,2.757573306111455,3.7214524435799823,4.026991092261914,4.932008997026785,4.909401578376988,6.119689141719303,6.990903063817973,6.033470710866798,6.634512220678861,6.557309838417426,6.119142537976339,7.6893073577985875,7.5275861501143835,7.825559321427475,8.165601799484666,8.517672416589779,8.453602059141202,9.326003143520905,9.83922023507309,9.618774580707736,10.352098654111114,9.981255565673832,10.935392184089695,5.552901917371361,5.385719451302666,6.71362978659249,7.18904730675845
2H,0.0,0.0,1.6045264500949048,2.0292080680581637,2.330287271244674,3.3538527939546916,3.402776696900971,3.8359851280201585,4.534761719397206,4.967141314138951,4.5410250642953,5.60267291437079,5.705460795908365,6.269170970057181,6.823729037966277,6.786337569777836,7.6498718711361615,7.077180709089448,8.110915200012585,2.6860171931653896,2.775177622491752,3.8771098287882455,4.312755045152297,5.000352698922712,4.814780804214339,6.089355478790713,6.936107928064236,5.835637875097982,6.7461400360213,6.667327670294978,6.128028925873047,7.92443463538092,7.7532435716238215,8.073890085742061,8.458177417711912,8.789647904547735,8.67731582816782,9.696603612292822,10.234535797912269,9.969576765694795,10.716952628242645,10.376098693329858,11.37170030633867,5.8329444742340675,5.867424418854352,6.904758831665352,7.48084021534624
3H,0.0,0.0,0.0,2.0182731353656145,2.908210497240609,2.7459610060553863,2.7334652513436315,2.8278429412905304,4.211521954186411,4.965829352527291,4.703190859373966,5.158313540293194,5.060580622782366,6.333969460478418,7.038273785638192,6.48856905858994,7.2814753907389465,6.994662789491383,8.076547678860042,2.583050369189257,2.457734215213378,3.9308166850846633,4.378112239754816,4.950314579395872,4.818453762678222,6.297899335653519,7.063966011983262,6.314148116223409,6.931405148557976,7.0396963170625995,6.719844280480819,7.913152047504171,8.018815880545356,8.403352410482992,8.512891619390677,8.594931740461819,8.42653393554926,9.639984726387627,10.224429890007496,9.695326750113,10.342961333346251,10.168276386295659,11.1091029212697,5.365154898902703,5.151242996027974,6.439936419075488,6.833987229294388
4C,0.0,0.0,0.0,0.0,1.0975706100392162,1.560782143928855,2.1280813122766795,2.1871191972346775,2.5984606462282405,3.3072671303183214,3.2478363887554935,3.5772699369123124,3.718979402237648,4.583494158199918,5.329383014576062,4.783638928683943,5.629236720889962,5.200535407444594,6.258302574527197,1.5459126590207188,2.4219160205851398,2.4817084412189936,2.609164503361247,3.8315633150218185,4.0749672569913855,4.931924741313206,5.86845098841206,4.954220349021417,5.274574590522673,5.172548403492215,4.820384775258714,6.283485691951616,6.095757301325041,6.418619087053109,6.711662094653347,7.16062985443384,7.185484405549753,7.864981154342016,8.379745189479637,8.232788065670652,9.007955457291656,8.543280748315047,9.499536835835809,4.471815677886201,4.29178644811043,5.731884762036918,6.229602579313701
5H,0.0,0.0,0.0,0.0,0.0,2.169018931448663,2.636545314103561,3.0454999960616247,2.6487043081676003,2.930244884420887,2.7646829890102764,3.708074305353381,4.096962014457096,4.097468215305141,4.7099938269767465,4.686739548284446,5.598826725798753,4.85202656335838,5.850298827270643,2.164103476605755,3.1763269593263126,2.665195296630949,2.5646863450794255,4.093130169953125,4.418194875282005,4.892024706818286,5.917628657829298,4.752919538169677,5.084156254054047,4.723052132332571,4.185490717633053,6.185247127089222,5.6445567452530625,5.85482621068815,6.4575789793095755,7.229826441300094,7.366919188894433,7.653718993160839,8.080992206892946,8.297284884649747,9.160679068883066,8.481933957220244,9.45052629239181,4.970571376244535,4.9039850980100335,6.23233582702737,6.81609741357784
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0957483797120153,1.096688418882625,1.5166855504116281,2.528667091211036,2.716529107727695,2.551878311674162,2.7591370049807606,3.8195460391662484,4.681036052115987,3.836239389107783,4.703385930936678,4.335776911192804,5.42337310375487,2.561942931690076,3.423185309940988,3.157716180537712,2.92990647609677,4.41674913949246,4.9035607946348865,5.5285440936655155,6.440324679564687,5.803787994359631,5.562915314144986,5.439857451078677,5.2901788064345245,6.271453226808549,6.064788406171888,6.30940530167433,6.537971675708273,7.05898995144345,7.195563806964769,7.494773613088313,7.9326981383678286,7.936175510575737,8.6788727368322,8.129102039324291,8.984464228752008,4.607328710397629,4.02675140730802,5.935981177482587,6.226349954820973
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764529893593589,2.1441024876007475,2.7060529058736087,2.5426689484512153,3.340364872539489,3.655154394377853,4.0568544554564605,4.761571368739964,4.506750529025532,5.43516656184988,4.796562260206356,5.8596265723699785,3.4153789844552884,4.125634628861933,4.181205816595376,3.9736408504189504,5.466203955607439,5.874021052042096,6.589294406927038,7.511952191967372,6.80136703586335,6.6200540461951505,6.4050625344528545,6.170557820149802,7.3290461480795885,6.981574257532966,7.1264251074208875,7.5155240868201325,8.128339397218223,8.27991895588688,8.427436696985737,8.789588746625862,8.963224007496796,9.701163030780084,9.096323238998298,9.913811709516244,5.656192056338424,5.030319170016929,6.966065251348494,7.220499133983843
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156212539722769,3.409356797167785,3.7398070071849565,2.6666642322643965,2.44655633656113,4.573623516045483,5.519769947474294,4.051476565746144,4.735622940181403,4.833122737985961,5.900495502314593,2.633961799741447,3.23486088227991,3.2506936737970644,3.1829064919284966,4.2512262552431865,4.701945000227286,5.524763555067939,6.310578769266603,5.956345837682751,5.654158195341659,5.777507141957084,5.801467972945857,6.2229830731715285,6.384970593782888,6.7475082180983605,6.637963463970479,6.808180138199875,6.839806653287032,7.52423850394774,8.054261523555281,7.6570003867689,8.291833858745777,7.979152926143472,8.806537642367852,4.1071388921569225,3.3628740902371894,5.372088630076702,5.5313638287624025
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4053463582594914,2.157891509190706,1.4030035124949674,2.156606786220606,2.4372710763961383,3.418487329577657,2.4351935089764134,3.4143159975797865,2.819331334468018,3.907015213234714,3.3836449480029853,4.469697832863416,3.3782812599582996,2.701791072729586,4.593029764266887,5.34628395874253,5.365411008848099,6.325687199276519,5.709456362368388,4.990934133572844,4.636186321123494,4.5667860241351095,5.527609327364495,4.983868701395893,5.088345472785557,5.505131666912439,6.426855042467575,6.782564381394056,6.356114796267761,6.6621919541096535,7.152109326771982,7.9787654546838604,7.118144696414217,7.923023058898769,4.766565322649528,4.145646960733004,6.1138165654300405,6.3910246476494414
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885194982832709,2.4120420055090217,3.3991343481483276,1.3947195765877534,2.152929470191031,2.785536815120252,3.8724692033218107,2.4197000488057605,3.405896024046734,4.358356902857835,5.499965062681148,4.3220469989282275,3.553166905764309,5.61770724692703,6.368860041830258,6.163159156562903,7.192829411532531,6.345358460056579,5.628630952858121,4.940081459647268,4.668442256918453,6.207089087240671,5.145613467518992,4.983390565483691,5.914766394019914,7.266160074765077,7.7498708209902505,6.724303508578249,6.83016498697554,7.924328304577262,8.832234659350192,7.681507215801249,8.445104627345271,5.995653095130066,5.472105721807374,7.33553408658642,7.674347172096275
