,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0149173791278967,1.0208428003005388,1.4656897218804257,2.1421158008167516,2.4484171564649104,3.3925439211912503,2.714250581200376,2.1113347146796344,3.0776053882812033,2.7527785170281702,4.004134214153234,3.581897582306185,2.4414856330329533,2.674147896266,3.6881984311785603,3.998143400211716,4.902099057575223,4.824375320884651,5.867873288024059,6.2720284437556755,6.769202211804348,5.663028244530141,5.083118432317965,5.329325597991099,4.4131583733039665,6.184155464969946,5.509538386278373,7.106386299936986,7.558757519821465,7.2906644587432625,7.805172688050478,5.86178095129688,5.955278743076534,6.945465287792288,7.587703238775429
2H,0.0,0.0,1.6534649377979906,2.068342154767933,2.2661701168531554,3.0832122747870936,4.038606461698228,3.555118018179368,2.94129151525774,3.298181053392502,2.7652689283071252,4.298263112371467,3.6029515664240988,3.1840973520756712,3.4375749166208425,4.3500395502823155,4.593750331900468,5.628575540083371,5.63976586426447,6.437837142519637,6.751557919844558,7.401946278275312,6.089513466613252,5.575353542038955,5.517293279910891,4.5778303731894905,6.318902358179632,5.5692140881111465,7.497765986419771,8.05668972818514,7.579968053228089,8.155784023895086,6.638057623052492,6.682480770198769,7.77241196362579,8.420214053196002
3H,0.0,0.0,0.0,2.026907109091366,2.7393153498985883,3.175613984880218,3.9931815675110935,3.2147016540617237,2.5718867621548465,4.036636465066627,3.7562464303322125,4.924521753274461,4.540051754292798,2.326589138344393,2.07255247125245,3.683276793244521,4.2317431481395165,4.687209609507987,4.432063283313203,5.56380280476495,6.115394227219068,6.40046697110144,5.1923928926127925,4.468953370926645,5.006851460316148,4.235060697068702,5.969295149597561,5.084212337087503,6.551310217626022,6.940094921602016,6.66392319377078,7.3478337466133405,5.808988228459334,6.108114543981462,6.771180953439052,7.501798610408564
4C,0.0,0.0,0.0,0.0,1.1008735087425594,1.560568333692256,2.1969419051926318,2.4126414407459373,2.3716977791846547,2.5573078404663363,2.7824881713418206,3.5027156613641264,2.8525416255285396,1.5426751688768223,2.424709769331417,2.4608223863867265,2.584108707733471,3.8288270075351787,4.013067571379092,4.845153302464575,5.102483939859235,5.78690361190176,4.923565334506731,4.562142995067509,4.596876426637325,3.6003675800200945,5.317155721841125,5.0421989212568485,6.446938322276991,6.92963197903391,6.810771972984257,7.008929755284221,4.651933997117753,4.619275979696625,5.847093601347651,6.430012583833988
5H,0.0,0.0,0.0,0.0,0.0,2.1824531631249164,2.6019982205664838,3.3518954875199576,3.3657013928252457,2.705466907765814,2.973818752771899,3.740099765262113,2.5578246489275194,2.1479997440451575,3.1130916710772523,2.6909918896129934,2.6255746624497744,4.128094592121031,4.5374828951138255,4.885923856337679,4.935961595708112,5.919361005611398,4.895195901979593,4.733977956154215,4.251897157621664,3.1722671234630075,4.823026690347771,4.691814474822676,6.3996597896462335,7.0309960836276355,6.728750309864049,6.8352816395583,4.958274936104551,4.823221183395107,6.23212994975664,6.795821062183306
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0976045247533839,1.4139352697119592,1.89903242144845,1.532382801564949,2.1735073929751536,2.160951454905215,2.1903467971983317,2.5667609675976872,3.507003245322711,3.0547814844523633,2.7759006967176862,4.321258336208958,4.540727539675665,5.593321932476976,5.770504108442889,6.429830216097648,6.027346462266387,5.722865793756547,5.85343706240115,4.864439844318023,6.460654626213941,6.442730971416399,7.5577745652446735,7.939371257215041,8.062151168818025,8.053942425531625,4.657803824237196,4.315927797561036,5.847660698966565,6.22691269429931
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0158914015224116,2.779835819851082,2.154530154010681,3.0698374455208284,2.4931584657434493,2.5033696060582016,2.7154129878588633,3.7947621359460753,2.680405688765787,2.1267950959781405,3.822459274044882,4.211727216110346,5.1225222248635305,5.190643751242594,5.900065286035892,5.8144602187989465,5.658847815328408,5.740329990450044,4.80555974760649,6.223616654010608,6.485194673868198,7.317678266007729,7.66531331200733,7.948756646183499,7.709172773867363,3.864876869275631,3.342927204990896,5.082606231005213,5.358397195904238
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802350942099969,2.437954416703765,2.745118192097511,2.661925073668024,3.389450521749252,3.0194390463899707,3.57314263605745,3.693506217325412,3.644111848978597,4.681959453553335,4.593811198746843,6.109928428505109,6.487447308032131,6.801570824368686,6.553078084211769,6.060711384913479,6.63991951510416,5.7479830930832865,7.368181370482445,7.181405581660065,8.031675968750472,8.249711703910396,8.533813667274748,8.64898741155236,4.9558393835784,4.7670890799603525,5.939301094018739,6.309839173608097
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700362950435144,2.6151842445697553,3.1014629630543467,3.6741294806577063,3.099690112717929,3.4143560351109294,4.072491460930199,4.190901485309743,5.097283511321851,4.896604815685084,6.44176817167391,6.89495054221573,7.168371561924067,6.664070302331704,6.060429504176238,6.688097022687893,5.800644050071866,7.503317838099515,7.089055066927764,8.125795358330304,8.366814526343216,8.512111595877588,8.82226083117173,5.602531883722616,5.546277959404215,6.565934104740254,7.030596840740521
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965054738000408,1.094612347869313,1.098053501491663,3.914535055107139,4.852421192658689,4.375201491180688,3.925886620256557,5.72056146725635,6.03465165335196,6.886520131056028,6.916025954968724,7.782815421601093,7.263670770986976,7.0279572086861695,6.848642797639148,5.785164501612624,7.357663902013499,7.3727046981726385,8.800807820829954,9.280954524318647,9.25024336748525,9.230271128292555,5.982755318469328,5.451418956894067,7.218667199201966,7.512503176553302
