 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.875733519712567,1.8014460537896515,2.9431645757427174,0.08989102437108998,0.208405388047694,0.02404087332016558,0.09080001557743694,0.18901129861257338,0.024444028170297685,0.01411153239657681,0.0013060003119571562,0.001138780021928909,0.18546818911627877,0.07723991306699753,0.02770676490808155,0.00236822900228828,0.006299194999122126,0.000557407374177088,0.0006357974059621602,1.998727172591863e-05,0.00015992094326366946,0.00015637428424550293,0.00010820282643675405,6.659681585963195e-05,0.000131784645597266,2.10515611609452e-06,4.123420714652326e-06,2.6610532993881497e-05,2.0055861575940526e-06,2.155000398351703e-06,5.846620275917758e-06,0.0007918024533460355,0.00018391381473945034,0.0002368119272101038,6.47995501286136e-05
H2,0.0,0.0,0.03185980868051419,0.1076522472860818,0.013066286888518519,0.008391517730770626,0.00022134016407049373,0.004273914084966135,0.0013448945913272503,0.0015525917326573158,0.0016096426565916921,0.0001491909244342171,3.0820504558937145e-05,0.01762265444954947,0.0026646500469297285,0.0023412096110563274,0.00011720389770242257,0.0006139578616899399,3.989183438446453e-05,9.40659653382303e-05,1.6262221866902848e-06,2.8032708735192813e-05,1.2932288107281309e-05,3.075307226874102e-06,1.9742239705244913e-06,1.2432953748753306e-06,1.0880879819374911e-07,9.226493458136531e-08,2.5926335065484807e-06,3.7185648649185055e-07,3.189890740440404e-07,8.122662762399813e-07,5.1466337099737025e-05,7.941380531506503e-06,1.5892926298444188e-05,4.040320848552881e-06
H3,0.0,0.0,0.0,0.10106405479939073,0.009865213313401844,0.017329465942008127,0.0006443590262588117,0.001523032114866707,0.002301277571855831,0.0018513062356998455,0.0005104257906809462,4.807957598562673e-05,0.0001530237664906231,0.04690481437589822,0.11973374884987809,0.008007527747440513,0.0002460801409389646,0.0009215247935356885,7.230613707975841e-05,9.260530464105798e-05,2.1590942762994558e-05,1.8135810012420706e-05,7.064426470659857e-05,2.873070006903511e-05,8.618331618692743e-06,4.2626936791467784e-06,1.678855152675851e-07,4.20719092231181e-07,9.378646311564154e-06,4.73575760384648e-07,1.5444357064353653e-06,6.181877815647496e-06,0.00011314272499973743,6.618559726923046e-05,1.6746335915307498e-05,3.8037939720236835e-06
C4,0.0,0.0,0.0,0.0,1.7209265878646842,2.5803862176117924,0.07878069828378531,0.21448307668502378,0.030478998074640606,0.1651842813514719,0.009724800063234396,0.030433005232622712,0.006748409531288413,2.693369413469719,0.2822103448900749,0.22126591289450706,0.011872844242930891,0.0353047448955644,0.004939123797731093,0.0035401086870794213,0.0001373345772663903,0.0009777099580556836,0.0009241103738265866,0.0015091585949855713,0.000694527430901537,0.0005717674612568668,3.2458304506377544e-05,2.3364389879487746e-05,0.00015577463364108146,1.8680532263726235e-05,2.2157804930200697e-05,2.6831846365427126e-05,0.0034516288580868637,0.0005973769898952735,0.0010036259719859164,0.0002058484407587713
H5,0.0,0.0,0.0,0.0,0.0,0.08232700998723863,0.0019046950833971898,0.02646786477935248,0.00376451605010808,0.01203553016600134,0.0003016652354195237,0.0013762441796636438,0.003796911356606314,0.10636598432241362,0.02883422994655116,0.011381046340550038,0.0017237021821447929,0.001718335015298722,0.0002705892725129999,0.00029520917272141123,1.4684364152417473e-05,6.628942320174858e-06,0.00019514331750536407,0.00010112706536635763,0.00048099225361331044,0.0006199639128008361,4.270152404473038e-05,3.854728209873315e-05,4.370166427292155e-05,1.2644516629300995e-05,3.3132278949299376e-06,7.935101465461614e-06,0.00023763687830657965,3.737295687278319e-05,6.698610801481042e-05,2.2327367503072182e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9419668641501038,2.9173985421050204,0.11412775517487694,2.9064924390602234,0.08641686051345232,0.09565494114141204,0.09349243347266678,0.16980439993907256,0.035710211402960254,0.035708855261536665,0.016836872536740377,0.0035609470816028166,0.0002979835427432409,0.0012815927034181551,2.6782407593017865e-05,0.00014555268754312678,0.00012896525489056176,8.741821789071125e-05,0.00020643192703401203,0.0001207503045921321,7.781657583416646e-06,1.2822412096102909e-05,3.5650788830859925e-05,2.8279717820822725e-06,7.052724960265877e-06,4.438425349695407e-06,0.001017533444158475,0.00140955184713272,0.00028323276829279875,4.612980280205292e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09598156707066974,0.03578824326736285,0.08589274239819833,0.03357092261232242,0.005091829307506401,0.0038331369604702736,0.01132201238299757,0.0019840447688809215,0.014979774235864274,0.020272795827032786,0.0012143856689692534,4.748104808438569e-05,0.0005484713696304322,6.3631773894456956e-06,5.293373816206426e-05,2.2578074450718688e-05,7.782747903917198e-06,2.7822414824019148e-05,1.859120282499127e-05,1.948087757108752e-06,2.5886725734114435e-06,1.1714260109263464e-05,7.584470120836073e-07,2.144597111453095e-06,1.2281170498340543e-06,0.0008857710600655988,0.0033843969578640776,0.00037533322853144924,1.963816331240764e-05
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142563490703835,0.21957743993485584,0.007263912132076555,0.0111547243435286,0.03352573197542741,0.02797671234910673,0.004430633371608525,0.004489640966434116,0.0022226868462384974,0.0005619030422878701,4.259925542748899e-05,0.00011860078701161902,3.617458717464217e-06,1.6440929301864138e-05,2.8192854529068834e-05,1.762140284167213e-05,0.00011875994930188316,0.00040479534167148223,1.5450337635947164e-06,1.1326357585161873e-06,6.026052391430725e-06,8.088666814121126e-07,8.483427109684527e-07,6.127761189578251e-07,0.00010381088956107343,0.00012928614698906604,2.50854672718126e-05,3.491372752240096e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010093053551523012,0.004843225401810702,0.00016987583617522617,0.00047291230116508487,0.0022662423868171633,0.0007884657659810168,0.0006633069547020698,0.0008801340456516815,0.00015513522387133882,7.439600041792005e-06,1.3776800352638396e-05,8.535492501682285e-07,3.99731399913783e-06,3.1769991218899563e-06,1.3123931223990581e-06,3.112552366402177e-06,7.293213736714321e-06,1.602266024303134e-07,1.5823738253040176e-07,7.880840298124525e-07,7.136879220936976e-08,4.319679725028891e-08,2.2777693153841483e-07,1.3255899906972068e-05,4.377981697578637e-05,5.013432050282596e-06,6.328501869212744e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.986709910403401,2.0110669256691383,1.9294017701063164,0.030120534491572648,0.007830648933889905,0.005125347172401318,0.0022166919353939774,0.0005939380517372972,0.00010228849944871055,0.00016172225895932923,3.81542580751848e-06,1.1991110582032505e-05,2.1423004972098703e-05,2.65625048649909e-05,1.8622195539302888e-05,1.610370921611981e-05,1.3265161888931232e-06,3.4239262693969152e-06,4.921765507648335e-06,2.7647859734969416e-07,7.250796394409065e-07,7.38043621772988e-07,0.00022254778396937902,0.00010473922702085303,5.84535116495144e-05,1.309067884869286e-05
