 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,H17,C18,O19,O20,H21
N1,0.0,1.955603667073989,1.7663523847013858,2.923230584909666,0.09436505502072456,0.2188801994718555,0.02856860776581227,0.007859123463797912,0.08757148903686406,0.19102070261507098,0.18465402607624257,0.07704496401117863,0.0261226307739285,0.0021793517510986238,0.005951086748096995,0.0002853535285853859,0.00016261932124761458,0.0009626599881543407,0.00012925850961507945,0.00031294346715747545,8.852618014565383e-05
H2,0.0,0.0,0.03133472200428167,0.10585709638161622,0.011868207642894646,0.0062048194758485,7.569814943941822e-05,0.0009535623689040928,0.0029206625543420905,0.0009450416201435274,0.023193443570004302,0.003395660886824081,0.0031501716402728697,0.00011431425993757571,0.0009016490856417203,2.6497180960483036e-05,1.2015545017840523e-05,0.00015804820318143786,4.223871030717419e-06,4.892287495661396e-05,1.6928627434520394e-05
H3,0.0,0.0,0.0,0.10280147903453962,0.006420723751400903,0.02332113150015913,0.001497330901115257,0.00026998128299760005,0.0016314533604766535,0.0014121025439273183,0.045369385168208765,0.11928492807953794,0.007491689492888587,0.00016659891861836584,0.0007201582384820382,1.510938683457752e-05,2.7637859022489053e-05,0.0001329994557156544,7.608722280327829e-05,2.1052888344641474e-05,6.880595667890788e-06
C4,0.0,0.0,0.0,0.0,1.8792132532840393,2.720271732211201,0.08386032336893234,0.09416623813555502,0.21836269422027654,0.031072371290940093,2.498522002750719,0.28121508922776417,0.21382213074667844,0.009375974028874023,0.03684894759401125,0.0021810305113598716,0.0013469397244352255,0.004567424753420535,0.0004048373254145615,0.0013320021113697317,0.0002764208564721704
H5,0.0,0.0,0.0,0.0,0.0,0.08869119260615332,0.0023618827087108496,0.005793707592683495,0.028555456867497275,0.004615583209413909,0.1061278684570024,0.028092941551669637,0.012661000738931394,0.0008473324057662879,0.0013197857658906464,0.0004781812736629476,0.0003156452869219617,7.39489373058344e-05,1.2046710901936208e-05,2.7034174902795804e-05,6.655713917780304e-07
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.043554944687539,1.9189273070877073,2.9352217346260994,0.11782308183913626,0.16152863028223444,0.03674599769521418,0.033694525333066105,0.020027135573087884,0.003919466651276016,0.00034338230796060465,0.0011683014947452275,0.00037719784233913867,0.00029960106851452395,0.00010369394404671772,8.976803172466852e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024094678752047072,0.09659660161927985,0.03613468474379333,0.008670839840797084,0.0014405219223354582,0.011273784098677186,0.020371718976232023,0.0011416838962368114,8.730411388269133e-06,0.00041520043773957127,0.00012030453970224286,9.887731714552928e-05,2.8153483687454184e-05,4.3910299485361293e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12113825831984393,0.007216304254706207,0.029669062264759294,0.0048665751283158976,0.004352130906890572,0.0017202096540771539,0.0003958082982018496,4.655487165083905e-05,0.0002775777808201596,8.102415931343643e-05,1.7845396652171885e-05,1.6213942495291178e-05,6.87244702923806e-07
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7247733382136612,0.027428313806952972,0.004293764564598596,0.004374853750487281,0.0019894837385134867,0.0006124778645204415,0.00011214235418366414,6.726543980650757e-05,4.48339862574032e-05,3.735818450862488e-05,1.3824458915873139e-05,1.4802404501024213e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021398334503549554,0.0004992015673669359,0.0004402449287914667,0.0006785846179588884,0.00011443082614659428,1.1424166133977565e-05,2.56435384882181e-06,1.0358606412408378e-05,8.727349665949014e-06,2.938154911702462e-06,7.136683628505835e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.045054924382333,3.513695224521085,0.13893564032893557,0.27904576478397025,0.02386127541501515,0.020862951609360803,0.03013424260584499,0.0065313572971551215,0.0058714421059775646,0.0012251569020832465
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503243225820684,0.02669126302862468,0.08043664744370652,0.020235159357612775,0.017580673577526906,0.008383007559196326,0.0040920627662100195,0.0010951456141560928,0.0002284326013959337
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047895076691668,2.791290844320653,0.10221685075405229,0.10483918379324497,0.19159191478956536,0.056593681279891464,0.028340712755066083,0.005275354526640186
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09658337162172748,0.011306725580251031,0.013941595336159907,0.03435002661251796,0.07891533852329757,0.00546708552014652,0.00017202739346600104
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8595587470823358,2.0728141457362357,2.772386815217786,0.2865424199290669,0.22758388238548002,0.05426233936487779
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023639899357023708,0.11881680512576454,0.034834457710696376,0.011438929867501613,0.00039308711795582596
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171935640770112,0.034625234557632,0.011531025154981167,0.0004614467747754425
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2569450163105085,3.422629137650242,0.17366975208175217
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5170985120286916,0.0648932073630677
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737948759298757
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
