,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17H,18C,19O,20O,21H
1N,0.0,1.0157173111333784,1.0202182001404327,1.4653303032976694,2.1532733742871795,2.4247027016159692,3.397869841704366,2.7293340147289546,2.735154538778181,2.1347590980341367,2.429059561992167,2.667936138810312,3.6736601358059633,4.032559569017215,4.861499081352296,5.012208043764838,5.142668928639883,6.070281611605196,6.241501368509972,7.20021094963039,7.935967223778643
2H,0.0,0.0,1.6573402567570723,2.064864147029689,2.2980586935265555,2.9642219987398217,3.942372107663951,2.909568967105664,3.476072444055298,2.8812814018521657,3.233121234193947,3.486143559194861,4.422341885453205,4.6937201716090575,5.661432472686018,5.916211336413371,5.8577201201246645,6.828206940258667,6.925735324500034,7.988195797719388,8.701415599840299
3H,0.0,0.0,0.0,2.0302989083823,2.681580873451416,3.21982924432755,4.087412380367325,3.6933487254758686,3.367397156564817,2.7174645751329702,2.340139062042212,2.089948305527216,3.6941287909981737,4.282538957543631,4.658823653735767,4.715802945241651,4.781065957997289,6.016560762585512,6.380045777412521,7.023613963444819,7.8385313334242905
4C,0.0,0.0,0.0,0.0,1.103583592855822,1.5455154050362072,2.209083093190165,2.159056209391621,2.4177219978832905,2.3722249152429367,1.543519617818731,2.426734906957355,2.4668195413462035,2.641525380269056,3.8254402462558987,4.191509190693845,4.229350698472049,4.8483093238490715,4.88030972410176,6.070184024583047,6.7240442080647025
5H,0.0,0.0,0.0,0.0,0.0,2.1717111340470034,2.571220028341603,2.429808515409106,3.3565286559794987,3.383312963119989,2.1414070982340214,3.0460451300989684,2.767707471399521,2.778172901336434,4.132913038423074,4.732867943182557,4.387940139350068,5.0131319343454015,4.927933320908343,6.2604330944513,6.854204543645644
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0966173476911616,1.1047551211238276,1.4063798720926508,1.8892460870474006,2.577547172723522,3.5818076823057305,3.0007018858425907,2.746880041588571,4.363622441996507,4.6330256028765575,5.063378825906485,5.067272129046847,4.830566714989091,6.351211135799209,6.864151756443314
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7686662132023758,2.0309733743444576,2.7915946102386955,2.816906916203816,3.9698679969126993,2.708054829452565,2.1235814186000255,4.001473764494222,4.380096278715467,4.813271071894965,4.399204107859793,3.9688227714729125,5.711939358708531,6.108080674000822
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0876761263265027,2.389468919965486,3.5041587287239597,4.472384310659644,3.972771481107525,3.6209280299865902,5.380334147414158,5.716890311679305,6.024435949887839,6.018227135998179,5.660131732237371,7.332638115608775,7.7962331720475735
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800399401429263,3.0289896053111547,3.7262285915247273,3.547460777782787,3.4872956258523664,4.672144438728222,4.608664521312878,5.465459661523542,5.452950915449922,5.365383086239013,6.616592035435293,7.170995587239487
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0677303017887754,3.5069367992460965,3.9144372638839777,4.053362513019806,5.022153134120365,4.899761533984863,5.681005658183131,6.005410730024718,6.054002739231493,7.1294604042237815,7.7703203256106415
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2291766944264173,1.3569818436993324,2.0821387588701152,2.438616361493988,2.7466685536121713,2.791490482433215,3.697121301968059,4.053691050348277,4.783930898050189,5.545988660808793
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260883422178757,3.176032031371776,2.7572237925987326,2.7585201893286944,2.801334265745306,4.232049043344107,4.859736924309136,5.07502499009037,5.952724552668975
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011981404035554,1.4443096754132387,2.1117147414411486,2.1105481183308608,2.4076386286232627,2.700849774589602,3.6041380868783195,4.28156302295435
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096817581395524,2.8196365469683164,2.8630415613562885,2.439352020055866,2.2438534241003243,3.7729813318741967,4.251191397022479
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983122211720968,1.097740718773313,1.5138967499638614,2.4207894282532636,2.3663469233662697,3.2021391679186486
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547464195830929,2.144214350421546,3.1198246174067554,2.6308042564593217,3.515270858061906
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144464145394839,3.130691741214465,2.61663582966948,3.5091954947324
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2128298575638132,1.3466064336790131,1.8765595619348645
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257247319906401,2.3003879541961654
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764617059887442
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
