 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,O18,H19,C20,H21,H22,H23,C24,O25,O26,H27
N1,0.0,2.005292125843166,1.6897011597301375,2.9815649375872613,0.0874969741216498,0.19766187062153068,0.007622014749807615,0.031178983617639267,0.013957039044852904,0.21691533245177205,0.048106480998485274,0.03392003940583749,0.002506929145649983,0.006847084853306165,0.0004545933585063944,0.0007626925727418632,6.915685316910558e-05,0.0002914124547660907,1.1068557124405132e-05,6.245153029858785e-05,1.866516564419385e-05,6.209734619622154e-06,4.038895108027241e-06,0.0009139650170819635,9.562596875999085e-05,0.00031669470391784,8.896828635163168e-05
H2,0.0,0.0,0.027141235705505196,0.105862505161615,0.0367329240188905,0.008885592571048817,0.004501341677863646,0.00026763489989467537,0.00016376171559273622,0.01932126905846454,0.04886488040693737,0.0034424200494496127,0.0007758060806906109,0.0004198200888937409,4.758819033479078e-05,5.180117392622474e-05,2.5654729469026805e-05,7.003022005735993e-06,2.5345013370259295e-06,8.314795986175127e-06,1.2651972134403167e-06,3.829877672778537e-06,6.725004608743035e-07,6.880100055028926e-05,3.65936483595064e-05,8.51144076485788e-06,2.062069083041962e-06
H3,0.0,0.0,0.0,0.10587063007434205,0.007321738551928192,0.03379341799672686,0.0007950385233013169,0.0028642354608559017,0.0007661069956113042,0.007735712769870173,0.0033828548417464965,0.0004994202064655395,3.236716447685417e-05,0.00017881108735084972,1.1919869085996737e-05,1.026152276661918e-05,3.917008629006347e-06,3.0652160950550567e-06,4.7627206622991025e-07,2.5357204997966676e-06,1.5244568429828576e-06,8.371740523038795e-08,1.212578064180292e-06,2.0169785014845232e-05,3.530124631723197e-06,6.614712857566651e-06,1.7766576863031958e-06
C4,0.0,0.0,0.0,0.0,2.0711569715587768,2.622224204546758,0.0832088760635421,0.0863858107912574,0.09329329526763308,2.316738898175978,0.2706357309468024,0.2213685040064548,0.014611169238912036,0.035898906924754115,0.0036154028943796712,0.0035038678488884256,0.0011542224848009042,0.000995001004635357,4.036764740911192e-05,0.0002990411635221957,5.186424648417898e-05,1.4312135736993525e-05,3.482999059012393e-05,0.004183609732882815,0.0004381653070379965,0.0012617708047131526,0.00025130058766886787
H5,0.0,0.0,0.0,0.0,0.0,0.08134574331154487,0.03508665144137835,0.00427915906265941,0.004992815579183851,0.09668181757337813,0.024279599670007035,0.011856256864744119,0.007084650785114999,0.001691602147998461,0.0003566859749790652,0.00015240810032257635,9.18305289869803e-05,4.304646999264694e-05,5.292230160769407e-06,1.9431955662785327e-05,1.3788480613730059e-05,2.3258737782416716e-06,9.666585645273784e-07,7.94187756223419e-05,8.051246372675624e-05,3.245429179066228e-05,8.272294164557437e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1393664933691854,1.9577985935396438,1.6846726227147508,0.20075357421691023,0.03960518025425125,0.028838159296781393,0.0019306878289279128,0.003360250121429431,0.0003306876186830454,0.001090675016233278,0.00022335184452859647,0.00015085621609498,6.727338227929813e-06,0.000102671219164574,3.054702197746728e-05,5.309554514054682e-06,7.802247617982871e-06,0.0005351449165699185,8.173114743342813e-05,0.00017997618681653976,4.4593015769089916e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023694883264546274,0.02467537818386467,0.011052579375466998,0.005023728969486996,0.0010961193864367225,2.930715137550166e-05,0.00010707134312459843,1.0998360125524798e-05,3.470532216609534e-05,7.856133173556046e-06,6.364303673844773e-06,1.3470960884554017e-06,3.836807135781939e-06,1.0419418261520264e-06,1.2771083397478122e-06,1.685573878251745e-07,1.0783295452343467e-05,3.48315398257526e-06,2.239701017425766e-06,4.1627805202892887e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025414028081535145,0.007654212910181313,0.0015496892242153892,0.0044536144950790835,0.0013282890380310608,0.0002909924153193799,2.405053422749326e-05,0.00021982511472917743,6.314734908752229e-06,5.522776857824763e-05,4.518573974987561e-07,1.394878265270627e-05,4.713264714739651e-06,1.0527552869454837e-06,3.621889996807681e-07,4.659879908541775e-05,7.272670559532735e-05,1.188276417041223e-05,1.8163424226891323e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03108925526906048,0.006229553358827911,0.004036769855893074,0.000294479065689357,0.0006945331883294603,2.8294779243598356e-05,0.00011093031952791321,3.1838068885736703e-06,9.69712148191082e-06,8.566442557533804e-07,1.4994523500178047e-05,3.4940564808128016e-06,9.181333615604359e-07,1.173502478080124e-06,0.00015009339025939816,6.6964876427322295e-06,4.7184486126727876e-05,1.1632257129301493e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791556483192796,3.461230087928869,0.13358181485487808,0.26318347998933456,0.024668561028884595,0.03232943604233621,0.008365903103374706,0.005016123694062194,0.00048803117335460833,0.0034801614240526635,0.0012312744410580834,0.0003535719841849527,0.00013330455290372356,0.028546224492816574,0.006467663471373841,0.005585149371480483,0.0011291766290609795
