,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18O,19H,20C,21H,22H,23H,24C,25O,26O,27H
1N,0.0,1.0219205932488922,1.0204020063074057,1.4618201644313815,2.0820842030033853,2.45059916551493,2.7293099501680897,3.41357219426633,2.661728432789453,2.494976314125189,2.8325455379418867,3.6693931036171366,3.9594087497217125,4.925737981813475,5.085939627188296,5.463952191534445,4.841400467413613,6.659109663317756,7.26429119141443,5.973908027645846,5.316523068292168,6.793381900360818,6.531881276243703,6.050259574567522,6.146070085595478,7.242897304142158,7.929740973731193
2H,0.0,0.0,1.6169209708469179,2.0144438239691147,2.906793153835853,2.7353970833286487,2.5967981972189813,3.7240839124710146,3.104748094519,2.56575835428455,2.4506952979262935,3.902848061073385,4.392347771195299,4.970178025471973,4.921359809881371,5.475030172675057,4.751334364643697,6.52516058973425,7.191747513603538,6.2077268243208215,5.703035156465272,7.070459075557078,6.720301588730823,6.218779349128778,6.475843843299475,7.308001303219523,8.064113852447024
3H,0.0,0.0,0.0,2.038396153934575,2.3248656466419577,3.3376780538626862,3.684820239922043,4.193543271676586,3.570711867416776,2.7417614837836264,3.026190475512482,3.7866730507576167,4.120081972391026,4.981681625834057,5.267135377738257,5.2381218250060435,4.536027419265194,6.469351565159607,7.131247802910965,5.581498152864344,4.877117803977679,6.477548788080127,6.007371253540579,6.167699968515337,6.31849267510316,7.330647738984598,8.04399567060173
4C,0.0,0.0,0.0,0.0,1.0984632932844915,1.5385016839563932,2.174308352926213,2.194494420451026,2.1641375311958466,1.542659716642566,2.4241681033486637,2.4686336828929165,2.607084747796533,3.833764448232612,4.083504384952127,4.666675671061237,4.302211982084317,5.898251853843655,6.354689925248385,5.182025222183365,4.5454610731453124,5.845680449383776,5.930887078386364,4.770414457121886,4.758645546434751,6.023026006338618,6.635629063276349
5H,0.0,0.0,0.0,0.0,0.0,2.159031850806675,3.0708315318068915,2.51147655319754,2.494723778620226,2.1679837078834994,3.2498597713661157,2.574664318125685,2.356370362313975,4.022848169014585,4.528840934994411,4.7886438733030845,4.558929747355585,6.128263416343057,6.507222366355726,4.980639699923054,4.173848259099775,5.565019924736492,5.749495033901718,4.74520270296374,4.526801940413859,6.0680580354963585,6.5820834841392015
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.09646018899286,1.0961748621749827,1.0937935934066654,2.5096381058682864,3.2324721915846037,3.2491273283342017,3.207364808602943,4.477723898543034,4.512351413519818,5.638606402116966,5.410380593004437,6.73704109052426,7.075982926228547,6.298746259443726,5.74811131322201,6.812265578691159,7.156359709769897,5.157919421270975,4.999989510431477,6.381189949796265,6.892134606563948
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7746057873767924,1.7762789342732268,2.746309827913754,3.059754412691735,3.680079516762698,3.875378829362445,4.697692490111357,4.4744150251449595,5.849404044172396,5.533890523684844,6.796066775198966,7.184979355915575,6.731362537625163,6.315091595866868,7.29040829309902,7.548250563177521,5.501978978102513,5.5266086708769615,6.601543384841301,7.180976686235064
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783957529452998,2.7692073880191845,3.6349310133905828,3.052803644827804,2.7948457934723923,4.1644164186245165,4.240350092015765,5.5105660951784206,5.495937187620476,6.559626112655846,6.751699594602195,6.135965077444929,5.639447630294573,6.483075168606265,7.0929181072085346,4.543835651954489,4.234778402232986,5.759074119370123,6.157364094521324
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4625249238252027,4.185369299806039,4.194456899353689,4.016265075613486,5.497113347027982,5.593675419034069,6.614043003094101,6.35849724446792,7.767860808360947,8.10945368128979,7.151596543371017,6.494818254486291,7.664738051760327,7.988986624670461,6.110064219265816,5.820930985693889,7.370698710731223,7.827380621760987
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2278533502124338,1.3673637846062017,2.071179022850652,2.4614732633692205,2.6300701520089516,3.2618259237331837,2.9077218558316758,4.405143417789696,4.896821584979474,4.057249792955861,3.682913815103167,4.752761447291161,4.814859859354068,3.657319177487867,3.9873811201500438,4.779154266327088,5.5139908921449825
