,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37H,38C,39O,40O,41H
1N,0.0,1.0202137992930482,1.0215924235418323,1.4615822869167723,2.0776660396427773,2.465537600047078,2.4589977411599397,2.898496051721242,3.7818465903240353,4.323609240795627,4.956907079548488,5.362650452933838,5.571464122565411,6.41671212663927,5.932874864644689,6.9058107023017445,2.4910117369881255,2.7489733543310493,3.7349863737030167,4.015570183849577,4.949824990983919,4.864836798265592,6.048086112349699,6.358567335964651,6.957807407598966,5.983067002874916,6.566468278675066,7.010533952183136,5.799205332814562,5.668330625703082,6.949210354156632,7.634160087649243,6.225007485983651,6.431153057464163,6.789836206198588,7.52462816122551,8.006664567761511,5.7723919411975055,5.837141219004681,6.830615247267217,7.423577372658671
2H,0.0,0.0,1.6035657514107198,2.0258916363488213,2.3274764469030953,3.3476829858100823,3.418600522978315,3.808160872945237,4.533385933850254,4.948542987486371,5.692146391361185,6.107197710621971,6.17445649056395,6.953244489320943,6.599115241390559,7.561236198078333,2.681756265960047,2.6993265984513326,3.9392849785918758,4.370650850170821,5.0438297144445325,4.82234980031371,6.0040250640208885,6.42186781592058,6.902964537932143,5.7023108533766536,6.122674785876599,6.607832224055383,5.483657789433213,5.51006035700597,6.333797048292167,6.950125933417028,5.715534068574549,5.9218257396587735,6.139613284372373,6.766151328850085,7.200277465421082,6.06907711278091,6.318090229796555,7.038772407614852,7.728436363627611
3H,0.0,0.0,0.0,2.022370480780314,2.911231678199584,2.7565603163226533,2.814938817714965,2.7905398067617235,4.207578900363809,4.985933479700743,5.231632515291142,5.448090098277731,6.183980959243542,7.105995174760191,6.360058539709628,7.295258209476233,2.5923360698108455,2.506050668761271,3.9174192471257796,4.319842052128749,4.958510470252318,4.737335137259259,6.226297503159404,6.631918041979418,7.033291726745742,6.295481513595094,6.779362177004384,7.072944841855626,6.325172810730712,6.271448098232209,7.253168796490409,7.86038131057373,6.828601057125703,7.155913861458047,7.276540877004896,8.063474488997274,8.458349592409368,5.6206081293764845,5.6944788196278315,6.572319450561772,7.113591703716949
4C,0.0,0.0,0.0,0.0,1.0971273087726487,1.5565313303115975,2.1270627253997874,2.1903425056887,2.5824291294188284,3.2346827448174325,3.6729226621791353,4.11571655601731,4.370508014217509,5.267948038916898,4.62420401918165,5.570969896687807,1.5477168007434818,2.4262272931469364,2.4799035848817526,2.5901299098572736,3.8409212470972545,4.02453436211478,4.877623682340953,5.045161466259657,5.838466749428567,4.983285121434044,5.8011258796780645,6.283455318370167,4.792996480927181,4.50873541135648,6.369928604404674,7.190489668365467,5.46131985580244,5.714917110748774,6.218102068860572,7.1309944555349505,7.699225833774968,4.644629551375933,4.643781088003843,5.82527013627757,6.408359838236439
5H,0.0,0.0,0.0,0.0,0.0,2.1536327580149064,2.5786038682956565,3.051389968131294,2.650018376858349,2.824869166589508,3.813389727238364,4.463742388950388,3.9544363704884233,4.705061789392704,4.468750987688003,5.422529245186214,2.161697686930885,3.1277004438790885,2.724433316658454,2.6585056588634406,4.127000563482989,4.4287996560064995,4.846750338811523,4.895640594686531,5.893702948376185,4.73786100575143,5.641369244933822,6.291764579586475,4.250676540080058,3.8645235225912513,6.072164297731707,6.962273213983699,4.798145790071659,4.889418351196555,5.697468647596366,6.535559778936375,7.199437382636549,5.103892475277784,5.139929508055249,6.316405672001352,6.952569917184826
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0953273238974865,1.0975552515490807,1.5020277232173973,2.5131092283752965,2.601878537561106,3.0710923039917835,3.5829335485868117,4.585045509767563,3.673633344199364,4.624202773044568,2.5738929789602176,3.512776403304153,3.066038379442915,2.7558299039184107,4.386516456125988,4.7930973211807855,5.5038513320392735,5.447335064447472,6.4159576253947534,5.943940732361409,6.925741059057458,7.341191237368498,5.7862675000638815,5.283803341444974,7.654522630075568,8.523591528394737,6.633364463981436,6.843354984345423,7.524634413996988,8.504368493391961,9.117064821690764,4.729881222971808,4.325826803945071,6.0015801519126395,6.374879927071812
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7663991615782753,2.1231534665269023,2.7290658345206054,3.323411896534844,3.8846997556974396,3.908115438748065,4.8060510197743165,4.226991769918108,5.196392537862794,3.446854277400851,4.253347552313786,4.10472600787569,3.8028922433523005,5.450068768044236,5.792113439745804,6.549470091635745,6.48549735763477,7.4837319683748476,6.885161435082487,7.832328101673935,8.289443991682578,6.612042285476883,6.092386024397311,8.453762607915177,9.304256328297244,7.328982544847848,7.424583021956977,8.225088528015762,9.09817356938353,9.725840022414932,5.810389148097718,5.371393407031379,7.065626926272031,7.417488782888067
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1413253640810135,3.400011224244479,2.7561590657682116,2.8307209466597434,4.280805741701506,5.338167281316619,4.046228266415781,4.886367926511875,2.696708662972276,3.4106164273926334,3.188707236817396,3.01583933846423,4.28031582844036,4.610177467421331,5.5903567750753105,5.613194491266489,6.375943796766669,6.2262592770792,7.136333164295033,7.395373186229017,6.303818146916367,5.882858294840639,7.987639605754616,8.800212910456217,7.247797203277785,7.585689969047071,8.039159507198166,9.090374463275605,9.631394944723045,4.334355412699932,3.842638557421971,5.520381103533001,5.7876358237074115
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.385738020186087,1.3783046663903853,2.248586109266277,2.152704853743877,3.207789371072961,2.1965845750632425,3.177004929728487,3.3264387981379517,4.471572369416562,3.1960891549897954,2.439001172675354,4.45341061208694,5.155931822362741,5.280187684921685,4.926754294159627,6.208184105997729,5.842053401779266,7.029032138466273,7.515555703058899,5.555096272562156,4.820486351292831,7.825019885021632,8.794465240674358,6.522271443578825,6.6526612250275425,7.603221294626189,8.63466060166362,9.339390743401463,4.670265741552494,4.0816251288869845,6.017145188622481,6.320463483198588
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2630074730240453,3.323785451144606,1.3138070265351358,2.1367491934653327,2.218995496130765,3.1872920756547085,4.192451696609464,5.38093787171565,4.023380497774983,3.206614606137954,5.321132709995112,6.065786977888083,5.8544699634631625,5.370571842944553,6.8555872310709285,6.189255595603227,7.432892905698741,8.07646534014565,5.593222943503938,4.722036297027578,8.067170549907729,9.085195106729463,6.39789714589197,6.3043813093592656,7.61038371788956,8.517780977679191,9.313995134433092,5.730187672133688,5.2155283579826,7.081257250890231,7.438394138028632
