 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,H37,C38,O39,O40,H41
N1,0.0,2.02634608420335,1.9333124499165768,3.0355826085877213,0.09088286390367373,0.19248399769886218,0.03296921013100562,0.003214582913934283,0.028988402058143722,0.0029225915639684574,0.0066519614408723365,5.3947895039541116e-05,0.0008220167047959664,1.9073004499103874e-05,0.002002333965513872,0.0001556860932617754,0.22606189946120886,0.049169006617461083,0.03342761862252701,0.0020175755502196413,0.007400197153876201,0.0004883421055149606,0.0010931682875566368,3.18704869487485e-05,0.0002496711324848633,6.926323878768403e-05,1.742210392165211e-05,1.2704137528629644e-06,3.498374947834282e-05,5.301515966893433e-06,3.925649174063572e-06,5.683583892412969e-08,6.917332426789602e-06,1.6724405038637258e-07,9.13167650658242e-06,2.2800857390897766e-06,9.182246074601608e-09,0.0006204751269163755,9.307347869362548e-05,0.00018575147627880595,5.2114981908046865e-05
H2,0.0,0.0,0.026430863291847517,0.10983718323125347,0.007306340660628852,0.03351255114047058,0.002091582807345116,0.0001738341438459745,0.004044300751265384,0.00033996238374922605,0.0012736066458889361,9.900407953011836e-06,0.00012800910393395704,5.42622074473087e-06,0.0002963262166901792,4.3563241576061174e-05,0.009462801547627797,0.014123534211130995,0.0014004396005239395,2.4683355705823473e-05,0.00026316663405445695,1.769635772563838e-05,1.1640450599426089e-05,5.5938955842993465e-06,2.2901574370237654e-07,3.3423528598142127e-06,9.235517350880684e-07,2.462071369002672e-08,3.3738241369540845e-06,1.0731358814908276e-06,1.1228349364733603e-06,2.912110774744292e-09,2.5129211628227566e-06,1.9047297739049895e-08,2.930553881785869e-07,3.2060469279393544e-08,4.154576238590835e-09,4.656649328882434e-05,5.099432032196205e-06,8.931208909879196e-06,1.7412876509581565e-06
H3,0.0,0.0,0.0,0.10633676514693446,0.03700201319908336,0.007372864382973243,0.000662790231616972,0.0020666638219832834,0.0009659034533289201,0.0003651680486960185,0.00014304714913560002,5.832704138786227e-06,0.00012178007680196945,1.1446049869467956e-05,4.665598123176906e-05,7.519298349745185e-06,0.016445753547853492,0.03379667726645996,0.002623363544399737,0.00022960768609325832,0.0004491959779386878,4.72506653763638e-05,7.867547733275693e-05,8.610039969214611e-06,1.0867046333240538e-05,6.265135470862049e-06,2.0565831306829097e-06,1.374426716882482e-07,5.2756178121615704e-06,2.8493243360294684e-06,6.281439028921199e-07,2.333548443367306e-08,1.4308742818380793e-06,2.6837192024231626e-08,7.541072236660895e-07,1.7299468091369619e-07,1.3698671086359582e-09,2.239208848731078e-05,1.4169531070473695e-05,3.201743249747757e-06,5.606485948828066e-07
C4,0.0,0.0,0.0,0.0,1.958007302905755,2.765278365742446,0.0923715547888535,0.07731109506506173,0.1753373341674453,0.024745411157372194,0.04451314467839909,0.0002462483802185833,0.006877139673925642,0.00012005812917448289,0.01107846387734665,0.00038786657729250607,2.655147458818405,0.27727837941049904,0.21012111383919282,0.011523489282092902,0.03437148733624182,0.006638696927819487,0.0036139209660551452,0.00016821542397793543,0.0011330144925238983,0.00026436157931750137,4.6746440208605966e-05,4.058140022245027e-06,0.000169687925155676,2.709628977282108e-05,2.244405140881811e-05,1.2301993868035765e-07,4.2176901450641235e-05,9.139750209996578e-07,1.7586375497591344e-05,4.404334036214874e-06,6.533372687300698e-08,0.0032684616408286404,0.0004676180836824251,0.0008822823620396603,0.0001969742943189745
H5,0.0,0.0,0.0,0.0,0.0,0.07825500890471826,0.0023203372230355956,0.02996277013367088,0.016194875493221295,0.013408744522590998,0.0019956419305064976,6.053069558142887e-05,0.001281531560018756,6.122283010201457e-05,0.0011981397927534054,4.7838137436251316e-05,0.10265997504260693,0.02770458013022281,0.009928468905680443,0.0012171588617977402,0.0013539141488286832,7.280905282169847e-05,0.00024045710544140508,1.38970873606592e-05,1.2939534431488653e-05,9.430997578330214e-05,1.5921655696971015e-05,1.1547377543053017e-06,0.00032715407304295674,8.99704113610511e-05,4.345407665706791e-05,1.0782582426926979e-07,0.00010267862341706291,4.065428469424148e-07,8.464170647703995e-06,5.240278508900076e-07,1.1616101280864655e-07,0.0004853775370161628,4.784328013796024e-05,7.930510108766775e-05,2.3351631136314666e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7549334181614347,1.8231829997055857,2.66866570173998,0.19369835786013095,0.24646995244635642,0.0041447143281079235,0.04778287086110877,0.002336035477262577,0.04573672684162351,0.0024672616792006385,0.1786226555164678,0.03878126987405969,0.02474123095878082,0.005441027514930252,0.00263401028796309,0.0004808333183492497,0.0006604640593308869,9.951703612509633e-06,6.638318157858869e-05,6.814407553029644e-05,5.591922933062543e-06,4.974238398958164e-07,5.196715399946594e-05,1.302109498180215e-05,8.3790659364813e-06,2.1553342888225302e-08,1.2272033998783627e-05,2.0396797784094645e-07,2.336849080852854e-06,2.766094633621652e-07,2.0890235541415336e-08,0.0008851679104729115,0.0004397250088767207,0.00018554718491314848,4.978898764640416e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025558844782699763,0.11206841237856202,0.01493359076751355,0.03907110184724005,0.00015869746034113952,0.004090515680490681,9.272233068702285e-05,0.007112274965028309,0.00043410872012028534,0.027216350815427948,0.00371849612552988,0.004635700593882297,0.0010336319330961352,0.0004766547351777728,0.00014634222847376144,0.00010450082758817203,1.2287313146952528e-06,1.0490987130129525e-06,9.722931911371191e-06,1.1801189687687952e-06,9.61064123838895e-08,9.115275159787828e-06,1.0394075251607404e-06,1.7489696875205851e-06,4.747235937685446e-09,3.1350494288373554e-06,4.9336719154524644e-08,2.739382403138535e-07,2.133867782472265e-08,2.51210696688986e-09,0.00023651809295754944,4.2036997637828755e-05,5.537269051125726e-05,1.5799991411880043e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10386041739321183,0.023004387653978053,0.011144861447533128,0.0016013665031200386,0.0035941469909059887,0.0009001833047486141,0.0014474197403477884,0.00012998999396129918,0.015216551547417412,0.0023310993239240574,0.0016876819854479974,9.993787527529108e-05,0.0001770337825017787,4.723615408352977e-05,5.888926048025489e-05,2.2173224494270727e-06,3.660160738494511e-06,8.734187729286802e-06,8.85245365900289e-07,1.1767630758718894e-07,1.0548925293729638e-05,6.6871423383130235e-06,1.736271523111732e-06,1.2075775490671958e-08,2.4039458763613908e-06,4.9686155190187264e-08,3.287024463727306e-07,3.424068317769979e-08,5.056632446098774e-09,0.00016756368303760816,0.0004374186715460082,5.6286949150052834e-05,6.2028080083376125e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.500928296299115,4.116560882040777,0.1184146961000474,0.5466679471862207,0.03695711577783767,0.501518263132036,0.029311392340842124,0.010817714848649462,0.0033815477519727327,0.022909302087949737,0.06331574889346558,0.002765511020065725,0.0006809800971558921,0.00015566970817815218,3.8735493013142275e-05,2.5991950307613365e-05,2.226805797519993e-05,1.1110283362453233e-05,1.8242889763264714e-06,2.4331471840943752e-05,1.3764933334936558e-05,6.7712764379584955e-06,2.3353432698769439e-07,5.642347028045336e-06,1.1070174243954511e-07,1.970894510067156e-06,3.8460528807571226e-07,6.546102893079109e-08,0.0007904867826677431,0.0031151657432133273,0.0002873494352185757,3.497356857717904e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41618509085184807,0.025231732589861777,4.3179593966298455,0.11198490855151877,0.5351193196318728,0.031127028604016838,0.002358462027579139,0.0011032643533090622,0.002652129188862082,0.003212122800319017,0.0005475743828100982,0.00012026170866219488,3.440884109975895e-05,2.5360179022548834e-05,3.6842437753925594e-06,6.188471666973561e-06,1.7835812387706484e-06,3.770748291387349e-07,2.3478046708144684e-05,7.231487570713568e-05,1.3241118980433786e-06,4.8152129394907206e-08,3.5234418904184217e-06,2.438609465471586e-07,5.278960584220727e-07,7.19067985571753e-08,1.6417474602015147e-08,0.00014254226951304627,0.00041909340799570205,3.8372246250598097e-05,1.1197157191000784e-05
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.900797456932987,0.6094725163201092,0.02943903431300887,3.3085788514498318,0.10827276173255762,0.0047319512917400885,0.0021666087967631142,0.025200830593334916,0.06329842025995736,0.0024971510149750242,0.0005048468414283747,0.00022068797933394446,5.7787719903279466e-05,2.1079025130932294e-05,2.9181768740921266e-05,9.768744029553522e-06,9.80106033887651e-07,2.0502298867686175e-05,8.171262673828394e-06,4.8938350465793645e-06,9.160295588728218e-08,3.6301232059221533e-06,2.58194196911532e-07,1.8893047122603424e-06,4.073586749170355e-07,8.646480864626938e-09,0.003554411184298334,0.019505306854174703,0.0012352856931804601,9.550109322165046e-05
