,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20S,21H,22C,23O,24O,25H
1N,0.0,1.0213490692217897,1.0187090130424559,1.4681357456408184,2.0839791897215885,2.536476841740377,3.4606242574326496,2.7483678558401308,3.0200653315674857,3.4452491557150404,2.4582081012337444,3.5645104671588403,2.6973320864049413,2.278112371280887,4.119925568088165,4.5727780011762365,4.781176427378931,5.843636054971249,4.65076408088475,4.867605089445982,5.425142786771265,5.025772062545065,4.9854677159608976,6.267882926290457,6.877165124673796
2H,0.0,0.0,1.6342363411836587,2.028878218860651,2.914249195850633,2.622237342191612,3.664029524145833,2.8375772547463884,2.6008600120270495,3.0829872008229624,2.7869131456265785,3.7354631168501635,3.057626332943229,2.7717650639604767,4.379972924245837,4.653952556191749,4.928329474085389,5.976158642233378,4.576211082205691,5.203735320747065,5.942409767988395,5.504256927917961,5.655686214742195,6.648132929597595,7.352665160364983
3H,0.0,0.0,0.0,2.050934920404533,2.312766347127237,2.8399187744411503,3.761684421117139,2.65216427930116,3.5029434052686894,4.111692017378711,3.3386472544521064,4.402491555382298,3.631507726477246,3.108063933600551,5.060124103347006,5.563496813275722,5.687319240732058,6.760282318530799,5.5781062643116295,5.55635860271866,6.068236049475167,5.848881433552276,5.65503845965365,7.1347640169518645,7.679828068157568
4C,0.0,0.0,0.0,0.0,1.1002029254339087,1.5371258105023848,2.1728832708182293,2.163392587275436,2.437986754364854,2.6667742145363884,1.53990288720736,2.430408031820532,2.443442065874687,2.5266376980223053,3.800927260096213,4.091796278143935,4.8847709048631,5.838730289500959,4.937760258787372,5.310560221406444,5.603482882915883,4.462306210254228,4.377164017672587,5.649558334203768,6.183623577084686
5H,0.0,0.0,0.0,0.0,0.0,2.1609649143519616,2.437910142413638,2.536196227646142,3.371049640276677,3.595759717885374,2.129086119193091,2.9423181184942777,2.876257560118359,2.8507057765973647,4.157831118185053,4.602347247814181,5.292905417554064,6.213704691968692,5.537461703962019,5.497606419688856,5.561173884063959,4.467051288268823,4.087216057402286,5.713947632198478,6.091604400973544
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0979784524649008,1.0961587461789735,1.4210195861993875,1.918382406141976,2.5041732524961584,2.7659465680170947,3.7074601687904467,3.9661629252055683,4.923913855541989,4.924884425839726,6.089808866686455,6.9835882332436094,6.019315041614285,6.735354584987527,7.065981748681614,5.604696356150556,5.60142035100222,6.64543635271047,7.183318536849949
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778150849117829,2.0894452621255515,2.2313134458720216,2.7774881533724356,2.6454605819256303,4.106480319042559,4.528680724078072,5.156147984379308,5.070488791456283,6.489245357413982,7.287395224140206,6.54510748524894,7.245328873478711,7.406783896999774,5.595550594356412,5.533412162099047,6.538188373525867,6.977945294107956
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.029528978385291,2.8046278760696226,3.4581997917902956,3.8475113794426408,4.543630852384472,4.610497181638463,5.85403107427861,5.943759232978266,6.933820824631211,7.883001774166329,6.8292706049473555,7.38606080683182,7.747332845869804,6.523747515716321,6.4085007074761835,7.631132423480862,8.13949729964771
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973378336042043,2.8946171265985643,2.947311716543535,3.978123074908797,4.334803682255081,5.042379023119588,4.813792587805886,6.066497861103522,6.917348420936103,5.772096110438398,6.944048867651217,7.471306367818696,6.000051455735322,6.26535608968871,6.898723256077694,7.570819481536521
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5765093448427514,2.2955420403467435,3.6778927566230792,4.24187982060816,4.525332456490175,4.130454083504901,5.622650249806917,6.373914609720055,5.362484336013803,6.71669915398676,7.192377227910511,5.465463697466919,5.858804985145404,6.231398647385362,6.923058297956884
