 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,S20,H21,C22,O23,O24,H25
N1,0.0,2.034291546941982,1.8501488518219893,2.7984878223372607,0.08883878512054588,0.19837276557048958,0.03088415056831817,0.011752680527893133,0.0272141914901788,0.0006513564916642567,0.19726310388879684,0.037371720758174215,0.07272319491796908,0.09948978880948156,0.009301868197825691,0.001096560401556812,0.0010724564893999644,0.00010726608892108747,4.088249771061481e-05,0.0007636934511851545,2.2359908751656832e-05,0.0013219560816817855,0.00011779064629249825,0.000391556672142121,0.00012059400844233181
H2,0.0,0.0,0.02833980416630566,0.10118157274486361,0.03477148086434689,0.014154867437134677,0.002020845185505271,0.0006723523776726026,0.03806522400693524,0.0002770586472238268,0.007022976405322123,0.0008049108321834808,0.003106108934439633,0.0007974313979237646,0.00024136995527068716,1.5848028418252724e-05,2.54736896079244e-05,1.4277565112408297e-06,1.0307874672266237e-05,9.183875670060182e-06,1.2580289650010457e-06,0.00016197984916088703,1.777650701673128e-05,2.5958089305277987e-05,1.0242003444682624e-05
H3,0.0,0.0,0.0,0.10556927387892412,0.008389862475983945,0.006825102096508218,0.00043676913578183374,0.003539419321659576,0.0007089989141836339,8.908635640869633e-05,0.030613239938477643,0.0051419630042034425,0.005192713631394286,0.0006209266876455732,0.0005250366222353531,0.00010825527268965018,9.558785515617618e-05,2.008069970971249e-05,4.501117453203918e-06,9.92750941097853e-06,4.7636118183369547e-07,0.0002601659865019146,1.9607806012955642e-05,4.8378058390308176e-05,1.8239094651040233e-05
C4,0.0,0.0,0.0,0.0,2.0484524676227407,2.47849443854774,0.09724874823440133,0.0941376841707886,0.21399431050657294,0.008537757971319282,2.653726952179148,0.275974533767186,0.22344873972606144,0.018414036030814707,0.03599816231942915,0.003971674403677294,0.004523374461237101,0.0013659514581318977,0.00011140852339042162,0.0006175862194842813,1.127884153273584e-05,0.003154841762664784,0.0006015887365257017,0.0007856292936356812,0.0001304291943901026
H5,0.0,0.0,0.0,0.0,0.0,0.09398503214068699,0.004406965397750984,0.003045925395445348,0.02880249505559862,0.00041551337262113464,0.10380161433727086,0.025905495338913842,0.015917178340166926,0.00044831478357587606,0.0013997374230760862,0.00019096685558639415,0.00016379992549087063,1.8182316389392383e-05,2.3216395806713308e-05,3.603922338535348e-05,1.9312876642363364e-06,0.0008478667150171315,0.0003802749981174358,0.00013863594955687564,3.846580581856607e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8133585198122273,2.068712903519244,3.111457846492963,0.11247403924614785,0.18504889547760428,0.05080051257950083,0.02755432728339474,0.004784164532535939,0.005109712289872531,0.0002776793526830801,0.0013039205953318256,0.00025762264920348166,2.2221366861696623e-05,0.00017508694029456928,1.3669788603287714e-06,0.0004592340966093622,5.3227852698206624e-05,7.620566559925213e-05,1.1347014046481085e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026684584835870773,0.10168931042345863,0.011561175138048885,0.007672789544525216,0.013747805768896115,0.0012617208966758664,6.256797783366075e-05,0.00015100560254643902,2.6168613205479474e-05,1.791757055524812e-05,1.0376868877504108e-06,2.5893153199341157e-07,1.883022613358154e-05,4.062014391514879e-07,1.6188149945195462e-05,1.54622810399907e-06,3.523988691522817e-06,1.7508846210656515e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09675862451841988,0.0329620366338228,0.026816814826117197,0.0042958254550101715,0.0039059860267192104,0.00022108896696471092,0.001087724661146039,2.1301271746709816e-05,0.00020106988568469042,5.9541224481929333e-05,5.0480672006969485e-06,1.1825149962008119e-05,8.965546505201871e-08,3.471295257351237e-05,6.1323131888002536e-06,1.1282370859566626e-05,1.6820163051267656e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77906473199565,0.03420595247817987,0.03320610714126093,0.003930479072599899,0.0002951995311230027,0.0005532196620985641,4.273287846034979e-05,0.00010039781893397826,2.1282344393691588e-05,5.752380404899782e-06,2.5584431994768453e-05,1.5030789914938225e-06,0.0001974198217499501,3.281804754442369e-05,2.4549008183341603e-05,4.604030636401468e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029122369404911197,0.08094924400087411,0.006088444222412059,5.220268786154669e-05,0.000501020974174593,9.225702487580811e-05,4.0887558940272406e-05,5.651892474478615e-06,5.064634937212986e-06,2.1414529679963934e-05,2.0291352580414923e-06,0.00018812157483583114,6.644533471178438e-05,3.7738141276721926e-05,5.133086394604192e-06
