,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20C,21H,22C,23N,24H,25C,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
1N,0.0,1.0205582120465533,1.0220810412668253,1.4629194129540872,2.083219068003952,2.450406372163439,3.4130415619398935,2.6613021255528184,2.7292871564509906,2.495948261518742,2.829147916213293,3.669169813709408,3.9600876271586354,4.9262327112498765,5.061609737958839,5.486145673616213,6.452921457860313,4.948977066002966,5.931844538945507,5.471065699791364,4.606906595479314,7.285404661524686,6.591529102621399,6.810647752542468,7.608672125174061,8.423415894187544,8.48703809559723,8.937263302422181,9.357057173844385,9.622394597148565,10.520594008525835,9.849480739634563,10.880631902423682,6.047119575296298,6.142607072818718,7.215132333747782,7.906462969911925
2H,0.0,0.0,1.6155460213793515,2.0387886801088864,2.3283897008702437,3.337631298297199,4.1929250823283,3.5727732197434783,3.6831443824249748,2.7384391338334777,3.01518343572163,3.7865041489145272,4.109565411018213,4.978606550152837,5.235733795873238,5.255130126441521,6.255399725611742,4.640727515956901,5.535789043478449,4.910332104968099,3.9472910588552663,6.8936346267980415,5.9915069967523324,6.134358048453791,7.102794278773033,8.11560523375632,8.26830235361779,8.428419612086037,8.791186568693881,9.279901065994476,10.225079247905779,9.417330946062481,10.440856805426204,6.17256851197622,6.319043291121917,7.325443265613569,8.043609244944985
3H,0.0,0.0,0.0,2.0132319884822447,2.9065604940584064,2.73155979711406,3.7202977401913206,3.1006329753012274,2.5924420746515446,2.565030300771171,2.445554731936625,3.898956702507069,4.394383694883641,4.968471820390174,4.892171448220868,5.507966555993618,6.375184745020819,4.854123484719724,6.175098784847218,5.872391470169226,5.040583366200561,7.581363618043944,7.096738841519315,7.401413135134253,8.048024486690384,8.648372354474365,8.601958124598342,9.41566904686361,9.910481856371028,9.915177797944194,10.76961509388897,10.255811738185653,11.313224227726806,6.206514845024956,6.466237456773344,7.261610686036206,8.021727099660357
4C,0.0,0.0,0.0,0.0,1.0985621335543967,1.5380574961614955,2.19315215067057,2.164599673452638,2.1736388465535468,1.5427924239844095,2.423684089044763,2.4659692180582367,2.6132199762923687,3.8333159143791136,4.064732127364337,4.676745754813436,5.645269771633492,4.40068394244577,5.1358480464180944,4.858863660170051,4.206150604993496,6.402247009996508,5.9660171904801285,6.311792661360163,6.819658237945805,7.445602065723657,7.476184664372317,8.11755077917042,8.612013711099952,8.63075652402975,9.483205023635067,8.925715917322819,9.948253437566226,4.762798084467401,4.752103128932646,5.987958086798766,6.605121029436913
5H,0.0,0.0,0.0,0.0,0.0,2.158285783921943,2.509314724631172,2.4952229895950104,3.070107909317604,2.168690723553268,3.250097545546188,2.576832844507419,2.354198785422653,4.024131838299948,4.51502291058444,4.78543791074922,5.8229350364684604,4.656639015226431,4.925498514775887,4.459755385045091,3.8266068184804385,6.075556453410636,5.389290418788435,5.6311484328096615,6.298596139728076,7.188180367229416,7.3624496567020605,7.526396754896686,7.926460190401726,8.266483176827215,9.165031967089279,8.414062384886355,9.395058527825755,4.750536371507085,4.5278490629809545,6.061192119927478,6.5799569254205466
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0960343381617794,1.0939155781007033,1.096532546250575,2.509898807442831,3.234145332766463,3.242340323396351,3.2315277475614614,4.476822868751797,4.500923930024331,5.647555363243113,6.4998919051064,5.496946658441878,6.255568267331472,6.159748510034759,5.629186140483989,7.429782886533114,7.228421305162751,7.618126167235735,7.9476899014679185,8.318034263766384,8.234284621691339,9.191823395678627,9.727061818676935,9.495560677293671,10.26024800556297,9.886235102040086,10.885873418152523,5.132610502228639,4.984396548121225,6.305506962344756,6.820205414453653
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78421076789578,1.774710757710514,2.769132853944642,3.6385895926997764,3.0446235053846644,2.8268096825520015,4.1635331017755535,4.237637205236364,5.509826921040971,6.29973869826217,5.5695163137101655,6.092582060482664,6.139107786553308,5.784168493542973,7.127025872241787,7.130336857251433,7.585730363029596,7.695069290220843,7.894621677347087,7.780229700150821,8.867232396640437,9.441460541724345,9.02222452724363,9.72662821621113,9.458624000226743,10.426132981370099,4.513003875853879,4.215401933109188,5.6743039780538655,6.075168129155207
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7764015364482582,3.4632815670738495,4.1859706539055885,4.190124942680422,4.038828784506921,5.497259618840701,5.582742753384607,6.621189473892839,7.518349028397411,6.45093786495501,7.104430552260034,6.857719403372234,6.251540628054223,8.256512052526919,7.838892962294959,8.114877205265643,8.644649231444772,9.202419289092598,9.188190109044829,9.853015692487956,10.3005676395066,10.329205134212016,11.12438474286038,10.621911992747156,11.595174946701643,6.089173357264134,5.808806952145935,7.3017781716714225,7.761974351632044
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74523296723515,3.0602425823127772,3.6696771266900816,3.9000308264312937,4.694176027031735,4.458690185390273,5.8675426122421035,6.614819384873078,5.613768056988421,6.695329216686227,6.729854321265876,6.19699311165185,7.926134480272841,7.9011422601503885,8.356259576355978,8.577862189979346,8.743508953287522,8.5414993130785,9.863928781109731,10.466090978737343,9.98970042944957,10.706924896127513,10.493619008478605,11.51925754342432,5.4654843494741385,5.504631569773764,6.500697017517116,7.083674542392801
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299203597610657,1.3627236328828622,2.074200791841409,2.460484880945585,2.6072230719952456,3.2801155994188553,4.17879682178307,2.9971524996574397,4.023692635220336,4.07678879311289,3.6132466077531586,5.34530469667817,5.340345171706258,5.894145073052542,6.010610156954189,6.282860763029305,6.188957400461585,7.3576806650224835,8.000614910646107,7.559259422798908,8.357250102347608,8.025300197600995,9.085633482099464,3.648529623329451,3.979705907700294,4.743703015671241,5.482921468797952
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27405323760791,3.1778330402137906,2.801878551760308,2.548825736580951,3.3449979892339177,4.066447296726298,2.7576536887448864,4.3779959685749565,4.567421840073723,4.085855519172159,5.761275903934121,5.9239078358885875,6.522994793282934,6.555992894892362,6.623334711610633,6.4041059476312885,7.935691328948779,8.633757055805438,7.968695213588567,8.719982472684132,8.54220944798474,9.6238021699865,4.19968379343944,4.798829914844956,5.051558134891509,5.906118989875963
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0129908363292888,1.4505964157813231,2.078115532478548,2.511376702871107,3.4213756365801147,2.7009526776572903,3.101888268318576,3.3778892506863367,3.257175940169178,4.260364425980522,4.533042621302183,5.204671247513509,4.9925770259145565,5.118060015260178,5.052860767548695,6.279753133035158,6.983629288066622,6.35491551036491,7.13196785884775,6.851396575936986,7.8953302439044215,2.3959207247718677,2.6848879246606243,3.601169139471595,4.268452305209892
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1014009618991834,2.8685750451561,3.1622513565031536,4.064355195377742,3.5345616011800898,3.3793453238157984,3.5037122992921192,3.4549560288456598,4.325937808969533,4.435153235613217,5.030095199631687,4.881396701776406,5.188347770497839,5.244891050699815,6.070624586342928,6.702983397557243,6.296172753328361,7.087926582228399,6.675074227222291,7.669813527313994,2.432096583182026,2.2330083292351057,3.77105511354092,4.23769129358961
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09691885178146,1.5609482979530287,2.1652819494697875,2.1304097023676447,2.5833240998853824,3.429802109883542,3.664214558148836,3.585096525071582,4.5567808436928345,5.417444241911638,4.658503425895898,4.150430584351765,3.8606792249529214,5.894581428765722,6.761237027232579,5.472365328683597,6.131200784453111,6.2148559692603245,7.2659651825376175,1.5195546180323254,2.4274659991847654,2.3798427514388862,3.210950143261409
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1530858122728556,2.4107817067063446,2.411407840662064,3.483080966509869,4.373691479521848,4.50994230601772,4.481047149679151,5.564814908458424,6.429333341591762,5.647336260481838,4.881352885902252,4.389227028542927,6.873534211459724,7.775854638463749,6.23161023436862,6.783295655634281,7.101618615674837,8.145148809493813,2.1386875593401635,3.136146787023407,2.605469298752147,3.5073708348208203
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957861936036262,1.0949635696519573,1.5017450065655544,2.568401407697765,2.97625406891875,2.6424048228310553,3.714443968257598,4.633362470687076,3.7741694331786673,3.3430037845669522,3.167804624996412,5.05807062660331,5.946292157088579,4.7117052852315675,5.44868435651166,5.4168377167559525,6.496509554952058,2.557495303213028,3.498693579720425,2.9738372709580996,3.8273275337831922
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7597861833005493,2.1451169384540623,3.4062516341905402,3.946249377253543,2.8100800142387423,4.37282391568965,5.341307755093485,4.133907032716614,3.0585190089272216,2.5863570218264975,5.264443151437986,6.244696537909434,4.433700402684852,5.003572873916071,5.362639961347029,6.402747275644483,2.818426588379875,3.9193112421760747,2.703886282850413,3.5741250328988894
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1516237603993655,2.7868485668023304,2.836671237059963,3.461088609679982,4.083910029977318,4.888721142823821,4.414215423782678,4.279482908413204,4.128755824782151,5.754892343223476,6.560484787148798,5.622973162711571,6.384818412188759,6.2417817680337375,7.323344319848235,3.456281334313763,4.367245257119412,3.9309426628657693,4.83432337740651
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3745567230113955,2.223934367269366,1.446128508409149,2.259821104863909,3.2257734956817687,2.310631688593018,2.6283136114426986,2.965781664932984,3.6525889852871174,4.480201299043927,3.824626501553485,4.750880575816894,4.221240680518196,5.306266635709839,3.0841703268808423,3.6524423264220585,3.6068233999860397,4.2153258712680595
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0815889669190686,2.2560328004114294,1.3818180593048297,2.1293166819282368,2.252423258468714,3.6502608682292386,4.213577099022097,3.625325227567867,4.1650050371733345,4.596168091367866,5.6299033991798275,4.586978725961285,5.6150530955853,4.0448653468062075,4.3362088798060565,4.8162118310548365,5.368361538486693
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3198640992326576,2.143647951969115,2.514796925124603,3.2692184039432344,4.697339515335512,5.17780168811777,4.596705369088634,5.004415929513786,5.676953162492876,6.706343558070805,5.636617360131829,6.644509046598579,4.5397455065973675,4.8038530812486915,5.455613435367327,6.079253074451485
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255597810084537,3.231117636850281,1.4232686633782592,1.4076405537189696,2.1699361339000744,2.474326685549099,3.461279942048541,2.4122513043701406,3.399173813318591,2.805833092168132,3.8924803263682626,3.5180411173647697,3.9318760721843504,3.713724084919053,4.053550943334191
