 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,C20,H21,C22,N23,H24,C25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
N1,0.0,1.6638222478998275,1.9817461174017423,2.9553176127793406,0.0909504268533462,0.20039516420992526,0.031048806080573477,0.014147741289530558,0.007536136569772922,0.21750306565555563,0.047933955691529403,0.03486167522365949,0.0024404393102364086,0.006845519383223711,0.0004420104826011739,0.0008719886657842513,0.000207021623839454,7.95357211255121e-05,5.7997576975096776e-05,9.117203961769849e-05,0.00011467696157740903,1.2403142773564912e-05,1.348177672678974e-05,3.015739785672267e-07,6.591248973425445e-06,5.514278386922755e-06,1.0183025853649497e-06,8.91112675815986e-07,2.6710128775420117e-08,1.1859574212957913e-06,2.4786234731344337e-08,2.2978042375221275e-06,3.8977848282328864e-08,0.0008773490095679848,9.659040684766029e-05,0.0002854530715240347,7.694743414998761e-05
H2,0.0,0.0,0.02702446377419543,0.10730593473778094,0.0072551072816351425,0.034113615632420324,0.002878611992890523,0.0007716767455381301,0.0007999722147626898,0.007780232600237191,0.0036111522090410686,0.0005047126602070184,3.4851572106919804e-05,0.00018222586550897812,1.2195809498294352e-05,1.1882785005745689e-05,1.5938085196065543e-06,3.35942079066065e-06,1.7627589617319472e-05,5.0461807583945806e-05,7.295764783332714e-05,4.4461140566998125e-06,9.764685613200541e-06,2.6850659717858605e-07,4.6244223423919095e-06,1.2130799111886859e-06,8.2213600371972e-09,1.1629963544423916e-06,3.3157210310719165e-10,2.795518035947353e-07,3.7144725961724134e-08,7.337929068818028e-07,5.150110093943283e-08,2.065634818892992e-05,3.546794641096085e-06,6.4445613705554905e-06,1.7592933871934946e-06
H3,0.0,0.0,0.0,0.10356396626667308,0.03681756572876771,0.009114631507964321,0.00027927211181921763,0.00016746641808196294,0.004581613856733835,0.018982810687920626,0.050623607156462636,0.003397665931715199,0.0007786516543131228,0.0004219715629445453,4.939062075592915e-05,4.56458592726916e-05,3.1107747966441224e-06,2.664965856125079e-05,5.454259097703584e-06,3.0692828992817667e-06,2.6341504157922913e-06,2.9430277057596044e-06,8.355729281817048e-07,2.375277152744104e-08,5.797165235632562e-07,2.990153602500101e-07,5.6958733507528336e-08,1.7502812621472685e-07,3.120990177407634e-08,1.6736793329030775e-07,2.713522517794331e-09,9.452759086592266e-08,5.246254541901862e-10,6.791412289419707e-05,3.7254257629903975e-05,9.068294205105687e-06,2.1385086972358636e-06
C4,0.0,0.0,0.0,0.0,2.1049285930737303,2.5115274092542714,0.08764482730490308,0.0925028744652654,0.08475565977533073,2.4505689244055975,0.2701177911605532,0.22696026339367756,0.014548576180326123,0.03601079542291574,0.0036187912034453262,0.003485419197178763,0.0007400083469324414,0.0010578948541228872,0.00026902014935040186,0.00021096666666964303,7.440081465959203e-05,5.2598774644807555e-05,3.3792698483109396e-05,8.89572010276396e-07,2.1455945697967937e-05,1.701332207898476e-05,5.701261579726946e-06,3.4345518148959364e-06,2.174434186041907e-07,4.954258961853419e-06,1.0889876644881724e-07,6.551323914000262e-06,1.0252807158828148e-07,0.00399954323710669,0.00040468625623844845,0.0011964523142213856,0.00024070176996970893
H5,0.0,0.0,0.0,0.0,0.0,0.082176812572051,0.004303328860795652,0.004963731554317619,0.0351331263214163,0.09630995628186301,0.024209599690036332,0.011812483558686804,0.007264333183911731,0.001651870311879522,0.0003677267044459587,0.00016039747593910025,1.2727631211184587e-05,7.80244635054661e-05,4.255655708318429e-05,0.0001052061712529806,5.833949762101831e-05,1.1667302189488638e-05,7.810814764530605e-06,4.705240796987198e-07,1.1552899509492676e-05,3.5110188354448013e-06,7.110601263349281e-08,1.3113956842669694e-06,7.61720146957856e-08,8.986690673840059e-07,7.471807816905596e-08,4.172660909684822e-06,4.82973656623642e-08,8.183750729462425e-05,8.526768855099398e-05,3.726880369170349e-05,1.1226295613564474e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9474557039885847,1.8200669839632413,2.1735737902639958,0.2002713182110903,0.03878639450190474,0.030142105439876235,0.0016396750054855636,0.0034011707001078972,0.0003064556445687705,0.0011107307420127888,0.00010341653975620702,0.00016623233397528026,7.666252381272054e-05,9.817511998699846e-05,2.7481575381571588e-05,1.2024673754190696e-05,1.709049360718029e-05,3.744190648635737e-07,5.79899727340405e-06,4.429391945504069e-06,1.0110870385382498e-06,1.2441335288659872e-06,9.460051519916135e-08,1.946954839904258e-06,1.0206250067312794e-08,1.908684390317106e-06,4.475049997232361e-08,0.0005396579522132239,8.060941839664604e-05,0.0001869941708030759,5.0142426351484914e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541721198031688,0.02375612018415385,0.00773741167128672,0.0015833474789727076,0.004707182343636207,0.001091754288925273,0.00030063807319957725,1.8436827224466157e-05,0.00025223383902051033,3.5357318274753524e-05,6.9272911573659e-06,1.2741807090543844e-05,1.0882398031375473e-05,1.887564983871215e-06,1.6045834396738456e-06,1.7621660448607912e-06,2.3262068493679067e-08,8.707935847951376e-07,7.776378811996665e-07,1.24002165646786e-07,1.2052732434320035e-07,8.358655989582076e-10,2.7161347615489717e-07,1.1174108305311847e-09,4.0049305338740737e-07,1.4417419258450082e-08,5.543596959434183e-05,8.834842856075831e-05,1.4023713632016488e-05,2.2097834559975382e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024582002581049922,0.03087824900523306,0.006006873983895877,0.004262718614234329,0.00025843241115830473,0.0006885803359824028,3.096732531471247e-05,0.00011239473916424547,5.564160773463556e-06,2.4708049064514626e-06,1.0153952685110212e-05,1.0727989088854528e-05,1.5827444375116073e-06,1.9517708058636174e-06,2.513739982834551e-06,3.4942902349399674e-08,9.596511623133352e-07,6.41924581934461e-07,5.22496399479877e-08,2.0051396520948117e-07,1.4375446388825708e-08,4.443616168359199e-07,7.376865784891606e-10,4.6027610656196316e-07,1.2354502088030017e-08,0.00014987794195442383,5.299821889459544e-06,4.8372843229782525e-05,1.2938410129281763e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011301436514103091,0.005085468183867459,0.0011074585592307784,3.557287030520051e-05,0.00010787050877292259,1.0161287074206271e-05,3.0202359884157204e-05,4.02922089670632e-06,6.808028156557455e-06,4.7808842007501795e-06,6.743517753982076e-06,1.4776700723029279e-05,9.88036634952394e-07,9.040022828088468e-07,1.4128109127042876e-08,2.961994027828041e-07,1.4451892327294047e-07,3.295606654241112e-08,7.263058354745056e-08,7.608546681581174e-09,7.098098797619912e-08,1.99779903731212e-09,4.2355489116019385e-08,1.3087702033232063e-09,1.037259987013428e-05,3.167522716562843e-06,2.3436307613478036e-06,3.4531134129878183e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.667580163816787,3.556834934345433,0.13365238680612834,0.26800970343297126,0.023616568358861834,0.03211568804758422,0.002786764952156684,0.006294645781175889,0.0029172692051505633,0.0026267906947681774,0.0011080546679052006,0.00042311291488755787,0.0004040003840631856,9.57249162458762e-06,0.00024222081186237032,0.00016594861883478806,2.9474639383408885e-05,3.837729745939655e-05,1.9912228259588716e-06,4.5967941878277685e-05,4.622538078979943e-07,8.471278773813928e-05,1.3718506315374412e-06,0.028238194034430925,0.00658972242243297,0.005758309988233609,0.0012188741419464355
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5442855373586899,0.026098951171631857,0.06594319463628324,0.031877537943341805,0.020223920733516768,0.0009800783640585564,0.018645268669364223,0.0025657272715516877,0.0015624895104348752,7.33436278405053e-05,0.00044647244761804317,0.00026179101602652466,2.5668489556096574e-06,0.00014226708675066368,9.508918272299605e-05,1.8914744805198502e-05,2.862640082329504e-05,2.6504416617001425e-06,2.9720983043601823e-05,7.140314772779988e-07,4.8010774437265424e-05,2.5883743537402637e-07,0.008487503547657343,0.004021485796698768,0.0012818017418667893,0.000256725149417214
