 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,H25,H26,N27,H28,C29,N30,H31,H32,N33,H34,H35,C36,O37,O38,H39
N1,0.0,2.0155076673351813,1.8950889476892878,2.7751060988098364,0.09582660965623746,0.18744693388589895,0.01221473308935217,0.008583768492071209,0.03406736514878253,0.005748937564437784,0.007705658638106974,0.2525560013278532,0.05616868088757765,0.03487224994542505,0.00108644029153393,0.0051850546501654715,0.0007876892587332929,0.0009558710508191376,3.471981218017284e-05,0.00023927768929488114,9.001722251271438e-05,2.077079204887422e-05,9.122336270706022e-06,5.493475213513843e-05,3.2097035143063835e-06,1.8170363382252752e-05,0.00034764306264989386,0.0004601430038293497,8.194961329843764e-05,3.053608618638903e-05,2.2881797316909314e-06,6.573077688587503e-06,0.0002052585362044279,0.0002562891453971039,7.674715477246075e-06,0.0013219744377441778,0.0004297791346741797,0.00020906223878242036,1.1972770463386517e-05
H2,0.0,0.0,0.02685045789221774,0.10818764741492237,0.00601659619006556,0.03249121398315846,0.0007564668715662748,0.0006917409864679591,0.005282133755655338,0.0012558484742768439,0.0008373118018983883,0.01612783784597882,0.02853398418933495,0.002487389771552273,4.987430054814723e-05,0.00027542725602192064,1.8739590339933443e-05,3.835308634236867e-05,5.01737785940648e-06,1.9349765083553905e-06,1.3292364925421296e-05,6.51447128374727e-06,1.8520675935107533e-06,1.075745702139308e-05,6.861522792167563e-07,2.127546344876663e-06,9.3349322290881e-05,9.818287962493066e-05,1.9955262273163576e-05,8.19588988687503e-06,4.24210379490475e-07,1.9638181272263466e-06,5.28109030272228e-05,4.987836364711562e-05,2.5802087195714307e-06,6.357493441166984e-05,5.550065506076951e-05,1.2560822780560699e-05,3.679188032013059e-07
H3,0.0,0.0,0.0,0.10155726212533644,0.036453124012615135,0.010549398111289077,0.00021937891736367732,0.005761893302464793,0.00096373062884203,0.00016382765976030722,0.0007478580058839501,0.009964494299473547,0.0011137166830802459,0.002669869888253351,5.752698241945353e-05,0.0003332424877902085,0.00015394066387330874,3.1725486261624525e-05,8.57962432476711e-06,9.886750282239731e-06,3.456625919606715e-06,4.3583920805723153e-07,1.9565508124763653e-07,2.0519113501649144e-06,5.136553160589585e-07,8.246780625054129e-07,5.732003206748715e-06,6.855117889337237e-06,5.082654132348985e-06,2.251760298332961e-06,4.980094239215305e-07,2.5317463947516217e-07,3.071364031836943e-05,2.8347576022547116e-05,1.1007950646568787e-06,0.00013790347900666244,0.0001523541509965698,3.515869790193804e-05,1.8262863976659105e-06
C4,0.0,0.0,0.0,0.0,1.9164033073307545,2.7971281977284734,0.10183708821768023,0.08152619629779667,0.18449048921952368,0.03309764074947594,0.045872802468023874,2.560005735317109,0.2814610886804139,0.20603379510165795,0.0079161545291343,0.03536781780211215,0.00190748533178553,0.004135939331829125,0.00017375052114498857,0.0016113800261063904,0.00034281066419791784,9.458611468704525e-05,2.853450034123739e-05,0.00014601672660438658,1.5124967505553144e-05,3.254521625728479e-05,0.0010879683356927183,0.000947511966633563,0.00022317170645480555,7.591418492110258e-05,3.640057940290653e-06,1.7574442427115144e-05,0.0003983904243450159,0.0005201712616306198,1.6588137625839217e-05,0.007460197904871263,0.0017269939330020606,0.0010862330334933806,3.738454537727254e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08556165566929519,0.006796868339393303,0.035035179167333785,0.009300179182699653,0.0015686702846221534,0.014547326324428456,0.10833105081332861,0.017497811559478937,0.022444060117271625,0.0005378217825264819,0.0026536535591488164,0.00042889784266719744,0.0004104568875756831,3.235307073401472e-05,7.021925238581694e-05,2.6387935791349904e-05,6.010140604750802e-06,2.285064689910854e-06,6.369850235943275e-06,3.6854966016797164e-06,2.5192017125696964e-06,1.688264439037024e-05,7.5603499687382225e-06,1.8753976931629168e-05,8.049652866604085e-06,1.8445545395540108e-06,8.296601108348511e-07,9.02588162517981e-05,2.5217776700170447e-05,6.164412807763142e-06,0.0005037409596724274,0.00010479644721628212,2.1575383647887136e-05,2.426502525576524e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8211009057445595,1.9053536876032284,2.52374250899215,0.25895335021644234,0.2729655903043505,0.14863172557991594,0.03389170647405851,0.019092277996534693,0.012988229338328217,0.0029029225796965985,0.0004388224882709846,0.0003589620359161494,2.629355645433762e-05,6.24117861778295e-05,0.00034089431354544786,0.00021740918576651502,1.907389802280335e-05,0.0006320703363109637,2.26860056411482e-05,9.819212839135005e-05,0.006171333530092832,0.012920206969655679,0.001677054808054551,0.0006394248710201167,7.591488000846525e-05,0.0001125880857731909,0.007703762101552339,0.01591821661090731,0.0002129677685950293,0.0008596245017785942,0.00016075144974363187,0.0001772947659259283,3.944641957154271e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025861224806653205,0.09807962702900364,0.02521116433848969,0.014091435756544368,0.028404809770240957,0.004121686824418824,0.002058462636795322,0.0006226715959214424,0.0001943898533127708,5.868808034836803e-05,3.9659849955908655e-05,2.471931968894836e-06,1.0897968594658636e-05,3.358405063014214e-05,6.808572972305527e-06,6.613830583646063e-06,1.2683635042698427e-05,3.085932034352368e-07,6.186298060484319e-07,9.547085529248989e-05,9.615040134547392e-05,7.277191190291354e-05,2.5263355251659014e-05,4.235559909027131e-06,3.305883922166686e-07,0.00025924026643775466,0.00024430794711616244,1.2770321283772645e-05,0.000196116139011826,2.1913050886390728e-05,3.978488443689976e-05,1.2048513127194127e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0907899734483737,0.016268694948044615,0.023051470244957906,0.005547760524367007,0.0006266884949768237,0.004395492993002348,0.005476361390944096,0.000484177076054193,0.00018343734653214483,5.6161915438890375e-05,1.1013422405614648e-05,1.1826789049873554e-05,3.118662470025235e-05,2.6872496142749114e-05,8.96003240269394e-07,3.27567576841048e-05,2.5039182103281377e-06,5.9946465036375685e-06,0.00030018202588655285,0.0002796949975092389,0.00012445893042922762,4.874054661385685e-05,1.5878848854455896e-05,5.490896037185777e-06,0.0006534852779471745,0.00030823945059488267,3.516543871362465e-05,4.238216671503814e-05,9.41153695199759e-06,1.6627217596876243e-05,5.287470530301874e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.368866887212144,4.507617742381122,0.01742331263583144,0.0041154230861590035,0.030440770143077528,0.04343395159437058,0.002259636297537504,0.00028493610792801327,0.0003589531955683345,3.232446649970022e-05,0.0001101760483905867,0.0035575588366644484,0.003908903680999165,0.00022205029073663063,0.0030690457672589155,0.00021045718932555246,0.00042225181864696815,0.02576282615200773,0.05253260215193256,0.006597827896879543,0.0020219252937248022,0.0002679845253636959,0.000311376548612019,0.02388396934136272,0.05001830809529606,0.0009820920239135278,0.0009355232758002374,0.0001640946127668963,0.0001448672526746242,3.936447532759679e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5491679865442735,0.00968947222032207,0.0027587380127933603,0.0771645654147796,0.18700977044337053,0.005830828908343244,0.00015279504159249058,0.001747121132677748,0.0001071676216054529,0.00038216592218609513,0.018542534785001896,0.03485498377088625,0.0007707182797236367,0.013506925687035584,0.0005733031829016078,0.001962190398387964,0.16741678439966023,0.4131122842142301,0.018465130634501947,0.004743252106289397,0.00025549105231537084,0.0008407298212663727,0.006208703266306015,0.00796601178593348,0.000298771008977905,0.0017785957304772837,0.00021704439476986914,0.00040900925962865375,0.00012415086800943165
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031844652021888464,0.0009225451475496499,0.005941758210077405,0.00947302129053229,0.00046269562231487926,9.173310234089627e-05,0.00013778070281743326,9.685352346022746e-06,3.171633981169375e-05,0.0015437002292327112,0.0016710401103915418,0.00013413255465322127,0.0005474852855708173,3.97157641656154e-05,0.00013426296604146515,0.005955780692599444,0.006751977666083708,0.01611545130587122,0.005245498357472497,0.0011701455699015817,0.0005397176701071871,0.16431210760634926,0.40158950294594764,0.003494117297054622,0.00011045112359489573,1.5198798318225015e-05,2.8081781089983604e-05,8.836489871932862e-06
