,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23H,24C,25H,26H,27N,28H,29C,30N,31H,32H,33N,34H,35H,36C,37O,38O,39H
1N,0.0,1.0206811026602718,1.0215662525424947,1.4714104965626698,2.0768318283993703,2.4674697350515324,2.666210616858889,2.724138674879755,3.8197044020725457,4.61316130104269,4.364290684679052,2.4787917229491314,2.9806362392960577,3.469303002152146,3.7367579335382297,4.727627450741032,5.168102646609313,5.885472752323677,5.827661194265261,6.759516194673726,6.479628542701996,5.994501986813587,7.430018289236968,7.025757886908846,8.010267033660261,7.313629816418347,6.3122416599741005,5.610673876212165,6.8669868177217515,8.066481189610496,8.418768541760759,8.42660219932903,6.52658787604867,5.675257223709337,7.261988331203789,4.912588809879842,4.701686437314557,5.931134627683908,6.261452529165345
2H,0.0,0.0,1.6265391115186238,2.0294223335482875,2.3483149825986045,3.3444463786983767,3.5845585033274032,3.661734859825108,4.54533700619528,5.331261091480264,4.960875982300188,2.580118148365732,2.6273756238675623,3.7487183272590237,4.24798146471722,4.799851694696613,5.154479034365417,6.103987777455233,6.097044793264822,6.862580351196222,6.872142472382501,6.529554028830102,7.837154347663714,7.364422432281497,8.401641070443421,7.506606451471809,6.707314954593993,6.130996116900549,7.193978568400167,8.300248427223242,8.61481774293917,8.586516198265402,6.889336292437835,6.125502303425966,7.5804996233657675,4.732946361439774,4.512942191901902,5.5984530127599434,5.827505420952545
3H,0.0,0.0,0.0,2.045580097212688,2.9266310376178453,2.717913599306173,3.0657293420978573,2.5512532675720516,4.113827118264689,4.669878706544491,4.891010129112203,2.6938201364028895,3.2976417211704026,3.3589420390882787,3.59317220927991,4.5872543652552915,5.224995009560842,5.584394221075384,5.3457212702739305,6.472726232826956,6.257114279757039,5.748610607983722,7.119259668295747,7.015462526050014,7.981814948419448,7.34196527393966,6.473380352418216,5.743521647370532,7.199854387076856,8.40193444249805,8.66316865479524,8.859440536439747,7.007632159640923,6.174923434584624,7.822187719846195,4.658032905157786,4.24111820759317,5.804176074381764,6.0699565017140396
4C,0.0,0.0,0.0,0.0,1.0954920447108907,1.5415998742796948,2.134318266360462,2.1881923531481307,2.5239874851455113,3.3687644250787385,3.022570881687343,1.5457423309190712,2.405267177117279,2.5153762156343493,2.672598143872349,3.84073513896805,4.123273652298441,4.9963667816945065,5.151740262801823,5.900168489597981,5.385175586225709,4.912905042887295,6.403463510472577,5.738123491853527,6.707254245882502,6.057551964205235,4.906866722300781,4.223785060691665,5.406573579046799,6.623912880024345,7.0175990236141,6.995131473139341,5.0637327212589796,4.2312307644073535,5.825249423655258,4.4277753684270404,4.55925328305983,5.400557864779804,5.939004360218889
5H,0.0,0.0,0.0,0.0,0.0,2.140307424383192,2.401927925911979,3.062767539704086,2.7513395196504913,3.8116986080233857,2.762420638129467,2.104568999841437,2.5899323869588553,3.2317409819402076,3.425865370584229,4.398493276980846,4.420610260898866,5.6536417421293335,5.967506570749602,6.486588321357024,5.963165580067165,5.555675593805271,7.029304108417989,6.052949705201654,7.010651176031277,6.297697540627853,5.049481120073082,4.462414847128734,5.278200609891742,6.446987486144774,6.950681733271796,6.669307785250545,4.729932106973187,3.9096283773554887,5.349813748904127,5.019144338249029,5.304241483709933,5.796212034124704,6.36422944587177
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.094080456692192,1.0961949688161805,1.5319147731187868,2.396209388976857,2.3896239700560367,2.6331951504582904,3.7509411415779605,2.937855459905672,2.512606559948175,4.362202033053607,4.7307426216748025,5.134703096930356,5.215656966070501,6.166644949598575,5.130637966217031,4.39261451001269,6.0744307946559735,5.529818218734181,6.343229492349053,6.111229359761151,4.608830641903061,3.692642223470469,5.199502900235991,6.535248981719654,6.990187273131754,7.022575403297659,4.794226969864071,3.8311595825974942,5.598523951905748,5.260756657839595,5.388709225196087,6.349877394640638,6.975278134969284
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7758073839310022,2.1700055875206763,3.193862621228956,2.6562382001615035,3.524798361375886,4.518250937886569,4.007523318583116,3.6031058229305315,5.43242084764524,5.7518186650633565,6.227382490325877,6.288157398394281,7.2597377010222734,6.168224965707889,5.3814631078495445,7.094942006745539,6.4975232734997705,7.2599037287960755,7.102273217427496,5.468011371648268,4.532510416292396,5.911648331002233,7.258328721087363,7.808060418208231,7.671633569792577,5.300952394518552,4.26431330149735,5.987170340783684,6.274058947973523,6.345569327434341,7.342877031984884,7.935763009054873
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164620980333061,2.4968275941729754,3.277560826849576,2.976662707927204,4.158728677815087,2.9301648436894987,2.3769251383402876,4.3407022744258486,4.934993967720851,4.884492047936028,4.74754322044257,5.95936280154624,4.913156429399603,4.084857051216087,5.741750476910627,5.597326845499966,6.369954720278337,6.25023658960117,4.902697444004014,3.943527930811837,5.713378502902963,7.0371968679833845,7.381706607929618,7.636410607386409,5.499885013116561,4.59249987722779,6.376051972158485,5.162163858474153,5.113275460621567,6.382356980661887,6.953382871928854
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2797754784654936,1.2570715470197171,3.05473490494398,4.144733842607706,3.0025273843094187,2.3480735839861273,4.183049286765162,4.318932668021848,4.763538712298223,5.08727357454499,5.756829714053272,4.378021074470906,3.652008336798261,5.338424217458303,4.451741039837155,5.159343312391929,5.122947977346331,3.335321673359523,2.388855819025956,3.827886351613767,5.191653566975894,5.717498956340898,5.712599682703202,3.4006752333928114,2.44864847125853,4.240544020212045,5.4208137291163965,5.8389214810751735,6.365766710061315,7.144725613193974
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2558191283904696,3.452510526299984,4.582586469289251,2.853063451843738,1.9353030926950474,3.8038639043244795,4.047212955999311,3.977790740140884,4.2766147641687855,4.987053723529024,3.3262717361395127,2.48415273839198,4.195444367948922,3.543843461403647,4.153976382008733,4.379346641725606,2.6571363906805665,1.6015540663103625,3.496970153785002,4.815741720649505,5.187885153388531,5.52441303641496,3.4763136104411543,2.773786596320561,4.42397867474984,5.179287793753043,5.631059380371187,6.1510477731849305,6.969366350308161
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60182653817867,4.46299002666088,3.815697897287552,3.3519816065131964,4.844446545239405,4.707779188648413,5.555959583104649,6.047992999188268,6.4484333737122785,5.1157252215142615,4.531078507114452,6.107181226169661,4.823511141813717,5.482825339046841,5.387579129149557,3.4768575212651127,2.7505533887649642,3.5078141004828924,4.819474068488967,5.521369101172447,5.151353755258656,2.684846757987942,1.6282447094119228,3.3377461552090457,6.0900979998094416,6.645041029484028,6.853535685058014,7.667462744638774
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2320745729794675,1.3681001140603526,2.0597104775555106,2.4169924584426443,2.698218109501063,3.7598047184437786,4.034674883747598,4.541407305438464,4.426469728450264,4.234040531635272,5.44968447911126,4.806073066732655,5.863814067125002,4.930028095920701,4.253640880682037,3.8212284684245077,4.870489963875549,5.931151799116353,6.140206207552972,6.345998832263324,4.876817087431212,4.299891055389995,5.7069450822408205,2.947290608911858,3.2859929331809465,3.8689872081774555,4.462018018818127
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265674275734059,3.1533647659648087,2.705134405283492,2.7292389820181318,4.228619364387432,4.588780872776917,4.772657902774382,5.119158151850473,5.14265923229114,6.121155602543311,5.3668510463987165,6.460678162232749,5.242124564964718,4.908302869776443,4.69196953288835,5.3591740067619735,6.235187650548941,6.389448583841417,6.514523340067758,5.396328860114775,4.965497758875266,6.121085819801859,2.7461450905734273,3.167267596967223,3.3253553055058775,3.8091173831699487
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0201784381578052,1.4510744749747186,2.1012278086449823,2.4891792315813284,2.7481257538376958,3.3977507656837527,3.1350593173138948,2.9656347496446522,4.1196654622286895,3.7639192725933857,4.797308115216469,3.9974122549044218,3.4991574328838513,3.0812256759309093,4.421350071842272,5.4583502177440035,5.51733795481863,6.059114233383205,4.738418273948705,4.274271546548917,5.681260156912186,2.445179460558713,2.8857809570147293,3.5425346815859022,4.246898854688869
