,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32C,33H,34C,35H,36C,37H,38C,39H,40C,41H,42C,43O,44O,45H
1N,0.0,1.0182071511904722,1.0192236191053738,1.4626247253912412,2.0765065344890417,2.4508570224124626,2.6144754467492506,2.652871587042881,3.8566787339967687,4.051174461125677,4.352129611247667,4.986367017149854,5.919551701143462,5.092851546559555,5.442918741424762,5.629242440639627,6.453056763888552,4.832707367962631,3.9410048769072406,5.584783802159502,4.854849277427012,2.4795973195479823,3.0832189156104435,3.366041018098939,3.520535635104421,4.673607089605539,4.73209270886265,5.597542517223482,6.562985608002013,5.387162168952935,5.969264979700657,5.6684198191985855,5.132311622763979,7.005553896300944,7.509970150460128,6.467259025093939,6.581196818346527,7.666082318671081,8.57244947706896,7.425909402012313,8.184805051595708,5.56333248893384,5.466448609009113,6.795966184911461,7.398132266808456
2H,0.0,0.0,1.6402667981439658,2.066595343922829,2.343022877011531,3.351439735048815,3.523743033772302,3.62584565012184,4.633313251206199,4.652444698355203,5.085178139201019,5.849389487221521,6.748279173771013,6.045708905149225,6.231133181366381,6.289475084501135,7.271169772813768,5.603554264648359,4.6327847989704365,6.274600592663961,5.715348073537766,2.766088722399709,3.4932753222772703,3.2942274925991373,3.335150337082905,4.543993427632172,4.596542336855979,5.223705827600809,6.215616067399014,4.845722187527511,5.594500740641817,5.162130780481353,4.478330321423965,6.756659998089194,7.336030311895756,6.010590001735415,6.057574666039845,7.424674089281902,8.398525124778992,7.097414445256758,7.876542904210975,5.659646961915263,5.757984232349118,6.823926774849272,7.525770329908059
3H,0.0,0.0,0.0,2.0526988445926064,2.9325994649774207,2.737609128105791,3.029307465985053,2.511767169641231,4.18193648039667,4.422361748992078,4.844563962388903,5.056415373638647,6.079627566094591,5.065625629227007,5.3088032874931645,5.582634383752475,6.255414370699049,4.442608910965344,3.5669719638612443,5.105528271057661,4.364215654130986,2.6336172082547757,2.8030599843961266,3.695415565655561,4.091060713484818,4.8222413382635985,4.658679928702928,5.877740141680795,6.7507001549648615,5.642385920729165,6.4708751346629265,6.327289300904685,5.777171685840719,7.517269364220104,7.91123723484733,7.2461782030967745,7.433378603945552,8.305013921628882,9.197068507442017,8.184081310378128,8.999301718059186,5.675287228984212,5.610188003214762,6.838734766709556,7.429661056765374
4C,0.0,0.0,0.0,0.0,1.0974983882418883,1.5367652859412877,2.1348172153978036,2.140099206770372,2.5908673166425364,2.6171334476577384,3.151476004396092,3.8613803257682946,4.71231905887377,4.212454250600824,4.347892740193065,4.3988821455368186,5.412105442729907,4.043912625009659,3.178800683852236,4.8527508403239015,4.287152404028174,1.5365582718623303,2.4335943553659565,2.464036301234788,2.5987668736972753,3.8429163341607184,4.140952289624646,4.899663416392107,5.852093283150537,4.969558905380975,5.127342156380726,4.99945229450706,4.73138821016586,5.970024125030971,6.419384906694485,5.731835159095371,6.007995856930733,6.59525991179401,7.4192097384559395,6.488388553215326,7.2465345321332935,4.462804550353021,4.189666621962395,5.771559411985589,6.2771188736459935
5H,0.0,0.0,0.0,0.0,0.0,2.159478706986202,2.473118105820189,3.047544650312689,2.827933526900068,2.7045994658674832,3.05636021471879,4.306042094591675,4.974113052490163,4.757827319866277,4.962077196050466,4.88466755880135,6.032444803635306,4.913977965961078,4.093712658512548,5.731252917028586,5.227095547426717,2.1637576022579936,3.3005323111119385,2.5405841015884625,2.229748911985307,3.9843848141323086,4.515845209105848,4.77415855962362,5.79896251489802,4.868777313155532,4.684674665781213,4.342222453941855,4.131186023824682,5.490561770231549,6.086870166230545,4.883622854992652,5.071871187731618,5.92812295445454,6.7693274139451,5.655579735889346,6.337780937791594,4.6329287290338605,4.373107289230748,5.94526822492993,6.46153423793947
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0938671787644543,1.098932842368326,1.550188551327014,2.1953440529729686,2.1643474744267635,2.6128320091389052,3.506415635782247,2.7598862957905537,3.4280004477691985,3.7887555365555863,4.395054269629082,3.345461344088574,2.8259808214951585,4.319481463057435,3.390253578253103,2.5150339490991813,2.9253506531821944,3.61552101476878,3.815953787096476,4.841183181633774,5.123960452040949,6.074959620268363,6.9417042257270465,6.305382564425196,6.254028971371596,6.241838251908445,6.121942932250675,6.870082995650518,7.207788750888183,6.831291129294202,7.130415464587929,7.409920641634128,8.09326193516793,7.3906446651330535,8.0583936027873,5.041689985346548,4.420118692942679,6.355553096862154,6.658877636244261
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7420281573180199,2.1926160135897614,3.0104901880121244,2.3206111274193026,3.1990511167992963,3.958666478837843,3.077859400619205,4.275867457160827,4.738231543293747,5.1454751230550855,4.257524132189614,3.834614860673094,5.257602862837575,4.1170230801993855,3.4460483507377906,3.937043247074613,4.471201185988717,4.507983246419096,5.7898371282914365,6.099441206468659,6.919116540989733,7.844963559583367,7.07730166128437,6.978056184172183,6.780198361121938,6.600647167471786,7.615524713955629,8.04820371917956,7.234710193479187,7.385485099730185,8.023536450740641,8.715292583250706,7.843524656493709,8.415151557056967,6.067270450117271,5.439556509620671,7.395539960025337,7.705235861743595
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2037686628129447,2.858488512895759,3.0003711070877883,2.661027920840688,3.7112462943531868,2.554387877453899,3.1676257721038965,3.7316312787415664,4.04163989819006,2.6925263261348924,2.253650919590356,3.646393859815083,2.5125328067630117,2.7518133715136472,2.6850039620856507,4.038938961502055,4.464704017353669,5.108631579249647,5.170400819641215,6.470547179410624,7.257510777373404,6.658801181756332,6.872787588611595,6.978663495157106,6.799928596105575,7.528373231830037,7.761007799978589,7.7005539216621415,8.04386092253235,8.20192680060945,8.882063037325144,8.280545055512253,9.00753008106286,5.278989107424039,4.692000895256885,6.518616324970802,6.802011031923226
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979679268502742,1.0951278819525285,1.5426888892462634,2.1648179758634165,2.190383121446663,2.604310558408938,2.813985144070792,3.536007054009748,3.2109141876417673,2.98906926565381,4.155753249705694,3.5096239126764557,3.046126488844909,3.4284228613679133,3.8404718537694866,3.9741698936661587,4.850648831091288,5.326844555975643,6.08655961668573,6.854312636055521,6.569301401586385,6.083465106616601,6.250214967417448,6.399156553213109,6.385568151380722,6.616405438512657,6.687118810943811,7.117481212641721,6.814103176110777,7.327096236073474,6.955245692846585,7.555785723552348,4.6075964096413,3.6972041056686433,5.879486038404247,5.987003955472203
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7473180996859596,2.15265112287813,2.5934147660601554,3.066594789710579,2.699025804947094,2.462484325144057,3.701239865181594,3.3452233296551603,2.9758696841589445,4.139289530765267,3.9207633265554227,2.615499281677236,3.122059791508156,3.0953814830584685,3.215997118008047,3.9662300687308276,4.568928790349365,5.1495984189113955,5.876655019422711,5.735774633464515,5.103913143347153,5.400048734220081,5.661744723054672,5.329572049099277,5.524471145508785,5.872763597750011,6.421376475193525,5.8079023561008585,6.313838782462893,6.062586442908203,6.722911890642515,3.6215557076653697,2.7110688316823395,4.892561683468613,5.014056431384496
