 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,C32,H33,C34,H35,C36,H37,C38,H39,C40,H41,C42,O43,O44,H45
N1,0.0,1.7895910874358893,1.979403669197782,2.934247069816468,0.09472203993725359,0.2059487150850341,0.015292489834198397,0.009123712971178755,0.034918653422334994,0.002195617116130033,0.0010503448126090165,0.004901794181295979,0.0008692341899046996,0.00021242775464180852,0.00043651435174407727,2.48898476009618e-05,5.186908511767285e-05,0.0010250727055137049,0.0006388446990454044,1.5407978808168465e-05,4.858754327119463e-05,0.2699499405279286,0.04948842821820869,0.046331664216092305,0.00195747049268602,0.005566756555788255,0.0003955519551875897,0.0011613987213454358,0.0002696329567974942,2.7423731897679993e-05,9.578176599656096e-05,7.823506548870762e-05,8.093459000768632e-06,4.1043817680094796e-05,1.0554387011030286e-06,1.2283133830684467e-05,4.066577350414491e-07,7.019978147962402e-06,1.0904038005854488e-07,3.0334959640387904e-05,1.1850073533548056e-07,0.0019375499384248207,0.00045429728932404323,0.00019329177572288692,2.2587334373547208e-05
H2,0.0,0.0,0.02749835564651426,0.10955290482918911,0.006869098911966631,0.031932534872703866,0.0007282153094330113,0.0007520420420206175,0.004541755554037352,0.00011042567421370997,0.0002009233964681556,0.0008568275789401225,0.00016360093168010792,5.726796192506711e-05,5.279166987137707e-05,4.899280907633141e-07,7.450487714111276e-06,1.8780934867956844e-05,1.0300779079708278e-05,1.9136605742264834e-06,8.144074967741943e-07,0.006998475481209243,0.00037828594367650403,0.003286484757185071,3.3843223329999006e-05,0.00025608553209244267,2.801582272682346e-05,2.362923946142015e-05,4.144693952490286e-06,6.421908745890548e-06,7.629512403517502e-06,1.6508168822593206e-05,1.1487453553282734e-05,3.1493568662943616e-06,3.5905395279201e-07,1.7127319138499075e-06,1.7761877146860172e-07,1.4807305064312715e-06,8.533813256050848e-08,3.1119669359203073e-06,9.511260157246682e-08,0.00017962638834889688,4.590784064917308e-05,2.3464639773318474e-05,9.72210366034787e-06
H3,0.0,0.0,0.0,0.10260910378742871,0.03620957605729758,0.009183776750238404,0.0001712878376078919,0.005631455783017492,0.001080167977825064,0.00029463841117727263,0.00021502572622233984,9.706451578650466e-05,6.4281298419732735e-06,1.3801394342483064e-05,1.2951547607387148e-05,8.050479940457933e-07,1.2731704890356355e-07,6.862964898712853e-05,5.308692613570365e-05,4.21512344428443e-06,1.9352587446563874e-05,0.013574285106980222,0.015404132231036427,0.0015123611497170897,0.0004588115795436387,0.00017066157829492834,1.4832739314796228e-05,1.817307654095046e-05,3.0996713649145136e-06,2.568098003141728e-07,9.93213687849881e-06,5.606290770177047e-06,1.406347609034242e-06,1.5588548681888525e-06,5.3456873372326186e-08,9.138537057085117e-07,1.4292386607550611e-08,7.358595852657857e-07,1.5950609277837202e-08,9.68933149270157e-07,2.829079415178626e-09,3.379497069555537e-05,8.910340910239789e-05,1.1090284157466712e-05,1.3551843123238427e-06
C4,0.0,0.0,0.0,0.0,2.038009668890132,2.6651000276945873,0.09749876515540312,0.08756578914000368,0.16424979825768443,0.02187276289277773,0.004829886377407222,0.023538612868344827,0.0027760791806907825,0.0011360104950635108,0.001195300367152069,6.555993989498798e-05,0.00017135237228216305,0.0020187394419867444,0.0018131834564734106,0.00014187553784195117,0.00047614587463751246,2.679139960227748,0.2548829097829996,0.24197914978866653,0.01924090127244449,0.03630481473162109,0.0028823024731051694,0.003682465616516778,0.001210995499452805,6.556364450394092e-05,0.00041620269491593476,0.0002195003267715656,1.957326992552133e-05,5.845906134413492e-05,6.598746179031778e-06,4.76666388881386e-05,1.2044226587182294e-06,3.0069189208059566e-05,3.059430424556808e-07,3.20723231459763e-05,1.719795139631941e-07,0.0037496994479991608,0.0011164424183038868,0.0007788528401414252,0.0001588593884710443
H5,0.0,0.0,0.0,0.0,0.0,0.08106841689508604,0.005183413015847016,0.03522793934033919,0.00673357770521088,0.0010257923439609407,0.0004952699219773482,0.0009035260210713547,5.9148096639205505e-05,0.00023197400417407366,6.954938482683914e-05,8.726825917682035e-06,9.942216191438646e-06,0.00044699525833713505,0.00023097808155525534,6.728811900402754e-05,0.00024078682355010983,0.0997389722386346,0.02057180764132327,0.01209661533223727,0.012939864637409482,0.001816223157992125,0.00031113210761501975,9.890320699135202e-05,1.5659183101979224e-05,3.761794195478174e-06,6.121283056215177e-05,0.00011629872988239143,7.007045490725616e-06,1.963480241073956e-05,1.2466392209642407e-06,5.000971234547791e-05,6.1867400247273e-07,1.8481913247603288e-05,4.963808630797928e-08,4.510781151045862e-06,3.0266578132653876e-09,9.524358640367048e-05,4.119717042827542e-05,3.499983119270578e-05,5.980125577842443e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.024796213190469,2.083824743519124,2.73633314578753,0.07812502632046425,0.08685707121483621,0.16327457667002,0.025292446913091737,0.013983414939628958,0.010009017112951851,0.0005945926217201247,0.001205455827846924,0.011500301959736794,0.009647016986655599,0.0016212575013354602,0.0046836501003987285,0.18160781747928534,0.03721311872267742,0.03186723069050325,0.0016461492948159906,0.005068868120480241,0.0003013036372488953,0.0005000988984749516,0.0001086326939258031,2.0201397311292446e-05,4.4167990922217015e-05,3.4399363520815074e-05,4.798345653478364e-06,9.563555314756611e-06,9.221992018915159e-07,7.250256313387493e-06,8.578261034841717e-08,4.000336469717203e-06,2.8361364590168137e-08,5.832139371747536e-06,1.1148661527293768e-07,0.0010998215199942152,0.0008254980621328761,0.0002901793034288114,9.038622123846984e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02533397540137039,0.08329922919336508,0.018268570403667805,0.01407243083441112,0.004549717773153161,0.0001358544676901552,0.0006071141295311833,0.0004862082051650951,0.00017270687315473765,0.00010066335874170385,0.000831804869641517,0.00043045311732892166,0.00024221046193018125,0.0002590452723769676,0.030053320990458765,0.00493318277381416,0.0036889456615897265,0.00010546424907031948,0.0009241381503766188,3.578921963587334e-05,0.00013388946045311823,4.276896898236515e-05,3.092641136070995e-06,5.838703008853585e-06,4.561565469796136e-06,6.62468539358585e-07,1.933153675914845e-06,2.1095102975543512e-07,1.083392065726052e-06,4.058038571841394e-09,5.508989688873811e-07,1.2381617953138857e-09,2.1942157711896115e-06,4.001303732792394e-09,9.505006404242344e-05,0.00016458808767871869,2.3469439209278242e-05,4.499122713497172e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07209178847817466,0.003846431302126918,0.01811413889419522,0.019828823620753333,0.001444480993220143,0.003844947923001607,0.0010360165350447037,0.00016365386112893177,0.00017173054003483124,0.009585722203633962,0.009248177710577732,0.000754837914447748,0.005329561333177191,0.010864452141321701,0.012197757954384825,0.0011992264102826944,0.0008474887327278857,0.00016602565154832938,1.2000612108709063e-05,4.101391892907813e-05,4.863413996858412e-06,4.971360858530005e-07,1.292046367940003e-05,1.0142932081347311e-05,2.782809458423685e-07,1.9727927942359003e-06,5.311096984428332e-08,1.2912933617936773e-06,2.384187913762048e-08,8.089087315532595e-07,1.4186099628332727e-08,1.2599287684267324e-06,1.4630363587286865e-10,1.5059528184702131e-05,1.8359508866971908e-05,2.3816587748637374e-06,2.2434722901643056e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0675828973249035,1.761906576503001,2.495613171774406,0.08973658059213752,0.07460635450207809,0.16695800708484082,0.010433921424130466,0.02809025002522325,0.010109811910809022,0.0010577915633906976,0.0008442527878143036,0.0012157021105633214,0.025690044139786095,0.0064641525584969856,0.005944143583068023,0.00028639550775899636,0.0006342257177791855,0.00011051471443901395,8.360666771098368e-05,9.141817590485601e-06,9.016907519421302e-06,1.1064467306254322e-05,2.9387773722855393e-06,1.546633486615434e-06,2.5224443408466968e-06,1.1459038833372404e-06,5.291007890428912e-07,4.442997791898051e-08,4.839767438202802e-07,2.8072269175893894e-08,4.672719674803094e-07,5.141347569903587e-08,0.0019018123978297163,0.00943695813193568,0.0008122761055750494,0.00010111377030563862
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027000539305927385,0.08425026422647597,0.0014366197287172255,0.029874428384953244,0.01579812829416305,0.005321731108386407,0.00104941594615382,0.0006916411365633923,0.00017806242203932676,4.042762623091001e-05,0.0003609835805296058,0.017541006739142606,0.0014660029256017282,0.004495901370123123,0.00028056442184465347,0.0006053826899945491,0.00024697077708490944,7.351337907546274e-05,4.426954900216273e-06,8.872502721857245e-06,9.408766359797482e-06,1.7221918493515176e-06,8.114559575389535e-07,2.8295450265058975e-06,9.05170180365289e-07,5.583602509240393e-07,3.004990412058817e-08,8.979614722903762e-07,5.1033326675664625e-08,1.7463404322626275e-07,4.776350714941202e-08,0.004107567173660787,0.028069345149953406,0.0017615118680684994,7.5405459400546e-05
