,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41O,42H
1N,0.0,1.0199533948894117,1.0217347925127132,1.4690866781476648,2.0869899564212657,2.4756087631307158,2.6395690255573188,2.9583636841653393,3.4915484957332783,2.4565748573511272,3.842442417720147,4.1583694527771975,4.1968650315587475,4.649322583602497,4.250649659030475,4.863333808275649,4.29100376213403,4.984907707338451,2.467152784653968,2.877795362615812,3.552495330754488,3.823184782744221,4.8024686103278444,5.064453530235114,5.172734437257569,4.423322721173891,5.491219257945362,6.451207913105674,7.683437132254408,7.841117719678423,6.643040433296764,5.900829714774466,8.86924253698075,9.812041986660242,7.9822260693394025,8.345722143148569,9.003999687955934,10.02782274075197,5.942335549906553,6.042622841328798,7.109950987737774,7.807233867341263
2H,0.0,0.0,1.6265452650436198,2.0494871928337455,2.319337483483634,3.36093142188425,3.6124095096607824,3.815757938369579,4.167219835296679,3.252215079967363,4.5969776378694505,4.836066991210726,4.7982982097823825,5.493346081981467,5.18482363109783,5.724902869642678,5.282204429238745,5.917871054351103,2.730975682653646,3.1878358953204082,3.573194934453512,3.8029510059167513,4.755167427913437,5.185716144084575,4.863474472367293,4.069724867337047,5.02686407352297,6.185295216908255,7.332507345779446,7.40791743659583,6.516532041539839,5.884407911049843,8.554502645755612,9.449419633290432,7.864428490327396,8.31320195291496,8.791632574163255,9.829168884515836,5.882543798987593,5.954249119466932,7.070772801603086,7.754446088151718
3H,0.0,0.0,0.0,2.0205127415247444,2.9092109305732334,2.7733426701368904,2.522858766569259,3.4753880466550764,4.204572048158318,3.02760298292019,4.1145435043275596,4.2503030364880265,4.677633765923409,4.85371437243779,4.542098008472373,5.24353093541425,4.340353761241461,5.260463885166545,2.5239888530816996,2.4606310842680434,3.789926413638758,4.290725679520962,4.844083417562026,4.924006207676355,5.117674251092693,4.265726113930454,5.6009082614152,6.233753789588588,7.538188644892339,7.83115439851411,6.221431310253402,5.380261194904009,8.625042083307491,9.61577341437548,7.498779237715991,7.753139860183128,8.611513080771841,9.593554711287588,6.142582377928864,6.432636845319891,7.194332494113739,7.975699186771598
4C,0.0,0.0,0.0,0.0,1.0995391737253852,1.5542415226102326,2.137955928754884,2.5407579263424944,2.872085377470744,2.6123780980027203,2.561249779226667,2.8462898960108944,2.8182832145208554,3.5159872545777837,3.919340220691104,4.699630909881057,4.167757646997302,4.368086214000606,1.537696130132839,2.416905972758366,2.471058610569228,2.635183154465422,3.8369961454715384,4.097884334144669,4.594572898106247,4.109865579488809,4.945315537419289,5.915212154178498,7.12001654079683,7.244543216600431,6.192881777464016,5.5144450026853775,8.334739939135051,9.260810134660083,7.554707403781009,7.980767557776221,8.527434696162182,9.56772787890278,4.801941271823046,4.836465869197598,5.991838651087579,6.628412656382102
5H,0.0,0.0,0.0,0.0,0.0,2.169138149395639,3.044151889838852,2.7320203117732205,2.627059378877667,2.8245408005060892,2.8559409092402337,3.2850984890989414,2.6762614604401587,3.833122518125708,4.232129973067955,4.865469940608761,4.718844549932108,4.631823915454869,2.1717004219237204,3.2855528766442776,2.539531141225456,2.2768429807619306,3.9906789116063934,4.483142687616282,4.766590297180517,4.426624491229224,4.888356362174956,6.199661243188565,7.272463857409912,7.233318662306416,6.696495431249006,6.155904221922763,8.56759176994825,9.417584585669383,8.081368465359319,8.618836444917768,8.926254573766546,9.993065280603268,4.679784129127006,4.447741790088745,5.970201764542116,6.480984591802097
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.100874938270858,1.5426261220115742,2.1648917007094175,2.149830087817104,1.537153180248293,2.1970437567223886,2.1881897759769946,2.1823724157510695,2.584255632102374,3.527641976184037,2.8457562347991128,2.8905270934965706,2.5423690104739776,3.123685310449843,3.459164675467415,3.5745500103776617,4.699215448342728,4.688212571552425,5.730670268839205,5.335841217376416,6.208583447616942,6.91747747704194,8.161624671897522,8.367123721622564,7.01354206662722,6.2367265984769364,9.295210132858807,10.251187794261003,8.301048072453238,8.598570336168049,9.359759358011631,10.354612407449796,5.525603623024157,5.548333623716045,6.608059406406727,7.202908008992225
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159858250247892,3.0614884773571545,2.5514020665188033,2.150168606882554,2.478851936705515,3.0755165797196917,2.5258982070006084,2.734938105615214,3.74825344536057,2.5504025508945567,3.095088636758318,2.773242357542826,2.8959548739198406,3.921868547218304,4.278099111318219,4.986114404827745,4.772419035863993,5.919108304178862,5.417777685834546,6.545349081768589,6.956947723472623,8.279078307293165,8.617648659319908,6.8362978953257825,5.944996582731473,9.314572076578976,10.322507931314764,8.054849103524695,8.220844982888433,9.218607450805846,10.167071881520336,5.99317051028217,6.211566040639982,6.958165691738991,7.644867261622883
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10124626978429,1.094758833285712,2.552701548694625,3.5135557975018,2.8554571162603875,2.7687559632212597,1.5338337810859726,2.1779934081262495,2.18267232111002,2.200722839229315,3.904178218132178,4.543804502763294,4.739851786699714,4.639394811387313,6.084291656436588,6.180272615053455,7.063744392607552,6.628338156800421,7.414143550273106,8.335617106665115,9.549021895847641,9.673051081192042,8.49605620078119,7.721501125440344,10.732293655546556,11.666604775607112,9.803200655716708,10.106202947538268,10.849413144913953,11.857384621392763,6.798687697611716,6.626162048892168,7.952285034926564,8.466740915719372
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615892791695515,2.723427865983654,3.7662439257978706,2.581790566354794,2.984962432170916,2.165966823566872,2.507389608439705,3.0852681414955434,2.5405819930776734,4.240311422103298,5.0996626211873135,4.796868027411791,4.4631465408823665,6.179951085000731,6.414640926475846,7.217651764965871,6.898164222302437,7.4333057081889145,8.56326783363377,9.683993765871467,9.69245415423808,8.882666782064026,8.20609324591322,10.924753334754266,11.801517543075976,10.217297073865597,10.613700828252624,11.168176463804329,12.200142883937586,6.679284519411868,6.3135342346433125,7.883154937688062,8.28752826106436
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4711638280236814,4.320658443918686,3.7662185539121618,3.805348444409201,2.1595418749582707,2.4862472805941045,2.5253002718025455,3.0900699283089477,4.090608558448563,4.659283099317491,5.037970829714801,4.9892246016630635,6.419780573107736,6.587172054824929,7.192091399597341,6.622497238125783,7.494545092937977,8.497467445076781,9.723423683398654,9.838086756520362,8.665133490759368,7.874201569865349,10.924503467322062,11.863810159527828,9.990746271827655,10.294129692471712,11.047859832329156,12.06500925712486,7.264429788024649,7.116681861459326,8.46314756079662,9.02441627599557
