 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,H38,C39,O40,O41,H42
N1,0.0,1.7691179217347806,1.7128458176422652,2.648116583307859,0.08553315516271409,0.18534727373004095,0.009800455861763813,0.04460231110001174,0.0009087833979820603,0.051426912532606894,0.03305996551661808,0.0006647575433741393,0.0009528881568335867,0.003691887891371426,0.004661767819107113,0.0003071948895966292,0.00021070167015835306,0.0010875591832348874,0.24210845261452474,0.05534193796106302,0.03844591446652812,0.0020746620036207197,0.006245734815253312,0.0005788710714529355,0.0012377147659984322,0.00010553203218877094,2.3638985192864226e-05,0.0002569423017674405,7.857202438019129e-05,3.1286304021937994e-06,8.00792076454393e-05,2.8757089295838867e-05,1.553703433415654e-05,2.2382180692170905e-06,1.153270660940453e-05,8.644245176325782e-07,2.894449905833929e-05,2.6897887439591983e-07,0.000824888615138103,9.175118373645069e-05,0.0002474735516194218,4.998832997149538e-05
H2,0.0,0.0,0.027322969090433302,0.1051437069237362,0.00754504413222179,0.031150813230798713,0.001006125159486837,0.0017746141306129726,6.355853782058496e-05,0.00038257764262272786,0.004142984395727245,9.183679287105839e-05,4.141091594589419e-05,0.0010106074693128075,0.00013832808676694786,2.0217681010015198e-05,9.928591844454715e-06,8.512438558927471e-05,0.007732410102003873,0.0015064968019496972,0.0008080379674608729,5.030945175432677e-05,0.00017527049690524432,3.578096168777023e-05,7.000839919435453e-05,4.502395923688951e-05,1.7463758459346224e-06,6.329815825267815e-06,5.591787890613098e-06,5.5929385789355024e-08,4.441403214983097e-06,6.567851662531154e-07,5.482086873342951e-07,1.8667189571885956e-08,8.427950382028371e-07,5.873882713558487e-09,3.2551209311337814e-06,3.0531044359349835e-09,1.5989791054216163e-05,2.1095535789328324e-06,6.085716045989287e-06,1.5725246429454387e-06
H3,0.0,0.0,0.0,0.10213740688708028,0.03526329505147374,0.00822380880091722,0.005431481716101416,0.000750572498403157,8.440841830625878e-05,0.00037682737539879163,0.0006632529451988667,2.5532913595194273e-05,0.0004358804171220587,8.155579686608405e-05,9.351540842872375e-05,1.3043199142970252e-07,1.4198049343994157e-05,4.5433851693088556e-05,0.022104354549949412,0.047328046093675025,0.003730788280046027,0.0007248432523367931,0.0004467878814266024,5.340517638630082e-05,4.093959266615599e-05,7.916368113480843e-06,2.4356227570354605e-06,7.352604283417108e-06,2.4547872636837553e-06,3.723473152028589e-08,1.2706504055048917e-05,1.61632209862983e-05,5.562833046424132e-07,1.5986334078732511e-07,1.973112962017076e-06,6.586325684843075e-08,4.351624458553971e-07,1.4694093186662371e-07,6.97912150188218e-05,4.03493122036469e-05,7.932910934038695e-06,2.573760306434636e-06
C4,0.0,0.0,0.0,0.0,1.8930298877078557,2.3981346034479256,0.08467920486207836,0.16617823477240012,0.006007121030663143,0.01722831467642938,0.16442187576245756,0.006665318833253497,0.00965708654174402,0.02983477696034109,0.03168934294945017,0.003287358781904004,0.0008002629829622077,0.0006023128054062354,2.711025679577938,0.2706526821644277,0.23507777119824358,0.016647951492464785,0.03547830159355492,0.0032835549422702837,0.0035292334254184154,0.0009323042253344127,0.00010854577231844686,0.0006960941198196902,0.00017974722639338414,7.339643011583519e-06,0.00031018446047051396,0.0005918690947306349,3.6230750126514666e-05,5.448295910648326e-06,4.46744750348671e-05,2.6496720459956435e-06,4.222717102891904e-05,1.78659548955018e-06,0.004352067180863478,0.0004281221637469079,0.001248017018134026,0.00025768904726930497
H5,0.0,0.0,0.0,0.0,0.0,0.07764694510114456,0.035214123908203776,0.011464956826386707,0.004133652106126595,0.00043814085702131855,0.006211779311342092,4.9662287109342174e-05,0.003563100625692872,0.00019957024121231015,0.0011956079557466914,2.145606294057245e-05,0.0003721519713402177,5.114237171799374e-05,0.09289819590348802,0.021302813483326632,0.012501328220648311,0.011221958608882199,0.001861404976445824,0.0002894409610265658,0.00015147596343845215,6.007035436628172e-05,8.3806715698298e-06,3.4944212881971026e-05,1.1068361952526473e-05,2.7781187084130465e-07,4.061540390853935e-05,7.052399294282807e-05,2.7951284198302062e-06,3.292148442746168e-07,4.74732885047402e-06,3.454591017693076e-07,4.126559907335903e-06,2.762592297145261e-07,9.516712764634505e-05,0.00015241484087591406,3.172614686075548e-05,1.1504368832904177e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9474334676878848,2.803063323024429,0.07972219372604616,0.08785402737745263,2.478122190976664,0.08535738270298188,0.08097623111424102,0.09024518751227495,0.1616548420630491,0.028750554529690664,0.00958101002195666,0.006094057291453181,0.17908194323961785,0.033760145585419926,0.029952701653435304,0.0012268359173301935,0.004168224300916706,0.00043157180219988156,0.0010072860808025275,0.0003047123831441123,3.4826731841741676e-05,6.960762386193364e-05,2.4890769539154256e-05,1.176663298130265e-06,2.332041512073668e-05,1.9236047580362126e-05,5.374694237447741e-06,7.126425314307738e-07,4.847854401135443e-06,2.3680155702976435e-07,5.39346798861251e-06,1.5713727430366475e-07,0.0006179870154333633,7.062475449165495e-05,0.00022887201130708523,7.660354447414086e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07667298643220821,0.03477729040627087,0.002578801487174376,0.08083160155271174,0.004975642538327829,0.034924302952216824,0.0038874866317819556,0.01237097532145115,0.0007524803710392547,0.005578942854013169,0.0001161701400258508,0.008437225511883417,0.008377742019782142,0.001564414894614563,0.000700626961322337,0.00015248025728031855,3.25080906391495e-05,3.48224048749568e-05,7.487429491526143e-06,2.1968403964844896e-06,3.59254454762592e-06,1.5657867393770175e-06,3.012357829845769e-08,4.173784917904655e-06,4.893429700558727e-06,2.84622935664558e-07,1.0051151244638845e-08,6.502637943661682e-07,6.029682908526013e-08,7.693763408589405e-07,3.161614725577522e-08,1.6593648258345084e-05,1.0496544972871114e-05,2.6478366687010535e-06,9.895706720719488e-08
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9847141312878511,1.8152303839665023,0.16209494930758964,0.03139144785100334,0.008433863984438572,0.008077536597628221,2.5264368112094644,0.0910846657132891,0.08255065926321126,0.0821787113287964,0.0288145989355372,0.0070191839176443616,0.004314270794974234,0.0001295271844227175,0.0008744535743815396,8.993820378422335e-05,9.478138832155758e-05,2.281418786354017e-05,4.333953686819214e-06,6.473967209985609e-06,1.9275037282384666e-06,9.806809964096885e-08,4.471241918047042e-06,9.080288375651335e-06,3.4150539471311525e-07,1.8503496512778383e-08,6.061626998399294e-07,4.666201225411726e-08,7.177971111660408e-07,1.0549788598268606e-08,0.00017558459111294278,1.1489953113813511e-05,6.023880853467389e-05,1.660990910778981e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024184327483637302,0.01279313870662313,0.0008606667995809669,0.005392280393446081,0.0002414962717605107,0.08211767563160488,0.0040817777794588395,0.03464411500530362,0.004903330138273709,0.0007369461302657587,0.0005013969844250843,4.66962381562297e-05,1.1061820630597907e-05,9.449617265344656e-06,3.052779022683083e-06,3.2670236955745224e-06,3.656426966092141e-06,7.40985457436949e-08,4.954754022623575e-07,1.182405162669653e-07,7.359437059761831e-09,5.75907887823135e-07,1.1011714686759433e-06,2.3735528431600983e-08,9.335059392157063e-10,6.821802078782468e-08,5.234213062976778e-09,7.444750815821521e-08,3.7153813359225296e-09,1.5613854797980053e-06,5.654711425773229e-07,2.410911583705655e-07,2.0352939777978918e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02871579450817341,0.0019870109220703203,0.0003510175157983575,0.001052089363509534,0.08594119328939032,0.0052124883770900965,0.004680599229368587,0.03287421865696527,0.0032166941115550074,0.0004033898586385254,0.0004076242482995429,1.2545347530146245e-05,9.8609994598986e-05,2.2409685491719955e-06,3.707416551312903e-06,4.154583057580652e-07,4.098609318603508e-08,5.973397534386748e-07,2.509360754743284e-07,6.5226286594111116e-09,3.4450906194472e-07,4.6321272639815447e-07,3.052539776504659e-08,5.550997439485172e-10,3.867979403437971e-08,2.755181638391946e-09,1.227144230675492e-07,4.17819556730592e-10,1.4109520662053399e-05,6.233333244010097e-07,4.407174613474396e-06,1.2620754794578914e-06
