 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,O29,H30,C31,O32,O33,H34
N1,0.0,1.9475397579127143,1.9554141796734892,3.004211525670546,0.09855585159697466,0.1876299948379926,0.03001213793907953,0.005277885383142333,0.029550437151264,0.00482935618281366,0.0008026885411510642,0.005713380822519473,0.00019560029120968547,0.0007669224842422051,3.207853466269395e-05,0.001268877531245327,0.00014006263193189206,0.0010677967371685582,9.043857044255255e-06,0.2273264819958471,0.05869149338932599,0.03577517116737153,0.0017878341222191674,0.0074971650861385825,0.0003800480556797048,0.0005146713534661396,0.00014276840880489416,2.425432917763093e-05,0.0001445228936858417,1.2733221755545365e-05,0.0015057168333597049,0.00020166196663042035,0.0003941738134988909,0.00011515963150832143
H2,0.0,0.0,0.027542342068147763,0.11018177126823714,0.004035176970033083,0.034215650634207506,0.002045722418284379,0.0001915927834621467,0.004729337097597819,0.00040430875637453845,4.732375807736666e-05,0.0011825812658495805,5.4593110159428804e-05,5.765268580881777e-05,1.0310774884114693e-05,0.00024497640131782017,5.2205904595314934e-05,0.0001301856271779256,7.08542050142924e-07,0.022761009641777297,0.06502511958736445,0.003997170341484058,0.0001252764541450624,0.0005413378415000114,4.7877140316510136e-05,2.867090181135623e-05,1.626214168370943e-05,1.216734085263127e-06,7.217805890746831e-06,1.2291701481093043e-06,8.149202485829843e-05,4.991093149087078e-05,1.1669025497207386e-05,3.247175738740893e-06
H3,0.0,0.0,0.0,0.10365946860618269,0.03671603881221541,0.015439419513290975,0.0015382233897944797,0.004339150438068984,0.0012991951438232618,0.0009394346928621733,0.00018898374113751615,0.00018710402055743813,2.2005697800420165e-05,0.00019138061231893655,2.4417447633151568e-05,6.625332969856235e-05,7.208170344608078e-06,2.790836518296036e-05,2.6121225031872086e-06,0.007655387383793233,0.005167676845063585,0.0007269622223032846,5.5653077638995185e-05,0.00016461674620582567,1.3460197696657517e-05,5.273836121144626e-05,3.56614543006728e-06,2.305177718042728e-06,1.5144544393330683e-05,2.798148928118138e-07,6.747259733597133e-06,1.981112373927729e-06,1.9918475079316877e-06,1.4959187599750123e-07
C4,0.0,0.0,0.0,0.0,1.9836452157899376,2.693730539730485,0.09680346206693513,0.07958588457301752,0.1644691055327875,0.03617991208500648,0.00505396311442885,0.0329290151368625,0.000847769684505284,0.00449759807374403,0.00011323090840487104,0.005168325778985655,0.00036177242336288273,0.010249938781643236,8.05089033999451e-05,2.6233862524266907,0.2846365928695441,0.21278841342593685,0.008321430253558804,0.03495335380899209,0.00442465566607142,0.003166964740273781,0.0005508393267192879,9.276801600455187e-05,0.0010326520763925956,5.214182758428443e-05,0.004480184853523361,0.0004925474380697709,0.0011891822304461314,0.00023999907119909292
H5,0.0,0.0,0.0,0.0,0.0,0.07975892018788544,0.0029042715157765464,0.031762335147607734,0.012595358095472076,0.012295864179119431,0.008570055997835446,0.0012461771886764783,0.0002721127487690378,0.0013005400311054682,4.4718259854636955e-05,0.0006653563806191531,4.596372480758504e-05,0.0006370024878703529,4.2838682358770086e-05,0.10660539311608686,0.026172907144504043,0.014824050861246718,0.00020336446380841977,0.0013113660228479818,0.00018364742570198267,0.0008091930391187496,5.646401144088209e-05,7.794725356058407e-06,0.00018918747823715165,2.1481244105725494e-06,0.00013602205656737532,1.3434376928689318e-05,2.280126229248225e-05,6.212706986197247e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7758362732040052,1.979115413271845,2.767324095945998,0.2276471624832107,0.01257966073223371,0.2423701529405911,0.01542930258300046,0.03574222091520089,0.0026555885850786387,0.03411316221629124,0.0026136105142330335,0.020762358038133436,0.0005221384191542722,0.15668122409572457,0.0369651204877766,0.022272746592330306,0.00655165626311216,0.0026622489867831195,0.0003386694151269465,0.0009110942413651096,3.403769665422107e-05,9.23356367932282e-06,0.0002814747970229098,4.6522105953128445e-06,0.00030538348868067167,0.00019914316985401165,8.119744026460762e-05,1.4405930195526828e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024889849049523072,0.09797174346960769,0.01933334855195712,0.001444427255273606,0.030705379074707606,0.0002753769353653901,0.002070633701527713,3.366484762690192e-05,0.0028639811680754024,0.0002959797607864356,0.008987030981081778,7.487289590546453e-06,0.02775042011877238,0.004046963402858594,0.003133634545158359,0.0009493490709773234,0.00030672960123778736,0.00011446170814921608,0.00014768480411275764,2.813473180873771e-06,5.436578176531981e-07,3.599700426770713e-05,5.69752417467484e-07,9.564996668531833e-05,9.97313178451309e-05,1.8409874778413382e-05,5.119153809296506e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09781509414041234,0.022727599099224616,0.0009380466514232744,0.019346130457662092,0.0091223858422258,0.0028080118486828454,0.0008727243208448421,0.001594874424268422,7.075481693918917e-05,0.0006699871839741522,5.203865130720686e-05,0.011188915787149645,0.0015524138778076901,0.004137847854239318,0.0003351363389687556,0.0002522610478912224,2.867469109912868e-05,0.0001683875488078801,2.518376744253814e-06,8.99050374814081e-07,4.637324710188295e-05,6.042389735227971e-07,4.314786540371429e-05,1.397425963023391e-05,9.6106040253785e-06,2.723307947372078e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6938898288828677,0.1266309799283094,3.706643496130036,0.12565048897071263,0.32995245871263956,0.026508048417970498,0.3265731444871365,0.02606032791488988,0.29950058986110867,0.004032279756082335,0.007933315324248458,0.0024030423000591244,0.02043212567326469,0.05512527054385363,0.002634571494512239,0.0005812555566808708,0.00012707695437397248,4.289795022760501e-06,2.231357708715187e-05,7.059628623287684e-05,1.702548536786086e-05,0.0007205987634658628,0.0022840416565231697,0.00025730768181622676,1.9180554482023382e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9863368273443553,0.32472050318653184,0.02898101011978005,3.8500962238463377,0.1304384900210629,0.3179534148473627,0.003556971864238312,0.3313823434606822,0.02703673562705733,0.0023824823087222335,0.0011328037735163221,0.00497738568216316,0.004493139266293911,0.0008318206538711348,0.0002056751325103523,5.5525277939449946e-05,2.88898688904915e-06,6.181092450097125e-06,2.3305114539878824e-05,6.722316722052035e-06,0.000134511281630334,0.00028671063819704634,2.995494022410561e-05,8.651548692562017e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02822324367289908,0.0016214525644828726,0.12908001720688556,0.008429845029956029,0.0038510469484014376,0.0005096351283591094,0.027047817934459095,0.0012092682579070146,0.0004884519848828983,0.0002790080554821994,0.00013207684396898678,9.179922732438506e-05,2.1964249484529574e-05,3.0087189342165033e-06,1.0573448771200589e-05,8.54550347817451e-07,7.512335820081262e-08,4.102085376156417e-06,6.659414797383079e-08,3.4385659311020333e-06,4.9257755398990355e-06,5.615576086359653e-07,3.319586494576754e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0157076374476968,0.30724445760776414,0.0035265140221980573,3.775826323616967,0.13085256055902783,0.3324285201192908,0.027432837450761083,0.0031459859393961065,0.0011266453766646117,0.01979259351996121,0.05737818945235751,0.0021507162189248474,0.0003648390115450484,0.00027651986521697036,2.9692527963032234e-06,2.236388330567607e-05,5.90619856013358e-05,1.6154196459283732e-05,0.001497433335478665,0.007325191436120829,0.0004885828112262403,3.508040206845475e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038393303264290246,0.0005107723613166915,0.12673432864852652,0.008250341916622883,0.026594626744118166,0.0011961795202528602,0.00022514502818049564,0.000123505530186363,0.0018287730824821935,0.0032257615576611887,0.00020200469160092105,1.4708117894723927e-05,0.00010499206092773328,7.034687927731653e-07,2.573511034720255e-06,1.5832085776490423e-05,6.32704465264311e-07,0.0008215869992778124,0.0037109858520322225,0.0002999667894258984,7.436644890557176e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0244027408615195,0.33474374884643165,0.027696175706907633,3.7711333612318145,0.1273013280230475,0.0007486774783369565,0.00043344527638375374,0.0023558889355243806,0.003654610147201809,0.0002703080744599351,4.8385546154272596e-05,4.1493439256426456e-05,9.701775052217698e-07,1.4712821710949342e-05,1.1250116101035879e-05,2.4035610572958888e-06,0.00018590503292181815,0.0004550975811544594,6.103671591439763e-05,1.2079448903468126e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02730550048935343,0.0013685228836037844,0.12667395835656814,0.007971039530789481,5.282816915697097e-06,1.1740302854335027e-06,3.7583000078722506e-06,1.8104738186197622e-05,1.3891606003291201e-06,1.679660277531525e-08,1.2542881933086392e-07,1.462540311081284e-09,1.221124756867198e-09,7.297830195707178e-08,2.1239421332808206e-09,4.0499522180326153e-07,5.296144017785664e-07,3.208683962974135e-08,4.619902016500532e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9914572187946644,3.8600021674411225,0.12885504503805456,0.0007812757483798005,0.00037443834577469137,0.004318712283035722,0.005571575554082053,0.000448645099145939,9.428330401639595e-05,7.370738105308416e-05,1.561372468428246e-06,7.962937672800763e-06,2.01198766503069e-05,2.5182249473454377e-06,0.0005236129709651483,0.002151666932241836,0.00015215422838224524,2.3874131441115054e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1303374015859371,0.008070152787672535,6.225522482417034e-06,3.740564301968341e-06,1.1991136492639498e-05,6.399545433710685e-05,3.456258749201524e-06,5.743090780718774e-07,3.0811349460702075e-07,1.8928433487275242e-08,2.6456294266452574e-08,9.526763256051396e-08,1.8170038140752354e-08,3.4450030099053564e-05,0.0002546582149293153,9.688271708108154e-06,5.079512261918495e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014547613384316,0.0007843842435700799,0.0003223775880475399,0.0027772916154558958,0.003292878680407063,0.0004667088464130331,8.678932081429558e-05,2.9733302929699224e-05,3.977929197152008e-07,1.7853750152951875e-05,9.751672322116933e-06,5.86367477128924e-06,9.811438472145939e-05,0.00027284017205488065,2.8338919419848563e-05,5.482565396786043e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6112589890093787e-05,2.550851215255001e-06,9.657046871947017e-06,4.6419118597818e-06,1.4061925639463624e-06,1.216332867759462e-07,1.090647704815595e-06,7.744047736402138e-08,1.7622134640404852e-08,2.561140515222604e-07,2.6810211828376396e-09,1.2391366195352305e-06,2.6451036920782656e-06,2.1536685901324404e-07,2.6034157052379214e-08
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727696739550788,3.62459628032553,0.1351921152279315,0.27515455937954153,0.023249653725513353,0.04086689626248044,0.005406708072124511,0.0008191945400648493,0.008665707039071963,0.00023283398076323625,0.03068446916100831,0.005834754378827203,0.005283503310592297,0.0013475359879452364
