,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29O,30H,31C,32O,33O,34H
1N,0.0,1.0211129257703255,1.0220138974218675,1.4648948831824304,2.0706070744794305,2.4531480701370736,2.4604869992041323,2.8341275406582906,3.815268603880117,4.365937304915941,3.9837958508033173,4.929121402934868,5.021080121506849,5.742698135312098,6.364688649258366,6.185615287298555,7.061188798924093,6.531603622011901,7.598146751370848,2.4868841967878157,2.7481957124935015,3.715369731693688,4.0504200769718,4.923312124765353,4.873046597512924,5.691607010949383,5.257073871989202,5.936521291510033,7.0067903408917385,7.061474940633128,6.00574168313411,6.283495802458814,6.952473230101459,7.689075333005038
2H,0.0,0.0,1.6113767612534624,2.0163373501553274,2.415664204474899,3.3240133671099077,3.4558901159952122,3.6666777015104506,4.588818826690698,5.0593452888833115,4.6221710435854115,5.673832626416794,5.754065176668753,6.394396086935784,6.958698211561201,6.894285724232874,7.757467917241353,7.2071548351927746,8.250975579316469,2.5062722404365374,2.3134370768210974,3.8603102629169985,4.400658068233235,4.867934213263886,4.672456169200611,5.488059108931876,4.896011237585646,5.859495251708978,6.740141779415728,6.710625348868766,6.115426458364751,6.566970606957026,6.959363152878594,7.777807586599685
3H,0.0,0.0,0.0,2.0321801148985905,2.91698507012605,2.6085824766366157,2.6218071522860114,2.5804582656579127,4.103917414047075,4.90743536601344,4.683462688372667,5.02794931109415,4.907000880883849,6.275955898245457,7.0023330937290025,6.374491842953897,7.154333619549089,6.910107829164545,7.993965751349517,2.7614617606512644,2.945579081716515,3.8972924183539814,4.258470687498592,5.026329105411316,4.849149901301791,6.018323778598656,5.689133675950716,6.356432958161262,7.262983570517685,7.229798580802108,5.971315475681847,6.267604093174597,6.812380823589143,7.515054401254377
4C,0.0,0.0,0.0,0.0,1.1002972230015002,1.54833922234053,2.1198304400330965,2.1744035067333076,2.6073590441351677,3.2083326180032716,3.050788808669454,3.6947110503506417,3.9086418230022053,4.520657142536399,5.220318383368386,4.881019924739368,5.764522256947222,5.221623296246545,6.2761696366656,1.5522542358231741,2.41672193677846,2.502784497476662,2.6720827421900584,3.8619191170538785,4.091120516748506,4.594976596354644,4.322825868734624,4.679273852187434,5.9674251857620195,6.172015938812931,4.869842818396956,5.023414494501273,5.96445266019166,6.649824430921488
5H,0.0,0.0,0.0,0.0,0.0,2.1593448502746178,2.5514559042649454,3.0593457514924434,2.7248860747023254,2.8097765940231905,2.3963949704703094,3.9660309329596175,4.438131133184041,4.064042397776155,4.581788565329025,4.937788073880523,5.912524607490353,4.981987656329929,5.979755346631705,2.1292695300605384,2.9127542471557177,2.9212146571754825,2.9823135898409125,4.228323028787053,4.599375932663692,4.608698935330347,4.223517971833205,4.524153035588627,6.017507800430569,6.336118044152336,5.313636721351849,5.416747514183654,6.47815939846215,7.168064680198497
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0972594396164055,1.0982260396372776,1.5182255444808748,2.5375581405323504,2.7337101300457536,2.547345217102356,2.7518877252125833,3.8250084512741167,4.688163929715801,3.8353839801208824,4.6995717438572795,4.338413880643158,5.425274872684321,2.630448437735687,3.6957272024302394,2.983391263518923,2.667331517605533,4.410075664549314,4.803096986990811,5.347475459729798,5.351533717520467,5.257633432674049,6.682081353237069,6.969541180724674,4.987183802349907,4.801290218242842,6.156937908181915,6.6572247526252415
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7580882533021018,2.1430331111306646,2.8084240804746776,2.7370727349626036,3.2533230319435584,3.513888810277336,4.1262487438019235,4.867579762604183,4.446015693885332,5.344210878031947,4.79904830242571,5.864041208361324,3.498326309789065,4.424052190186958,4.042058167683775,3.7499163956679746,5.473790743672408,5.806084401693383,6.367638457798434,6.281088356562694,6.263272301135425,7.7249994071797135,8.000925045440043,6.079622687304235,5.870357726231238,7.23223419588559,7.726243283102558
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1554859785395535,3.435288234707378,3.7896293410930215,2.6292932505843716,2.376908501309882,4.588958895571294,5.54544078621664,4.024532454618057,4.695103428356938,4.8282973152464645,5.895421890545761,2.8049236613216477,3.77284533595915,3.0215673960822427,2.781402894037321,4.30280151839915,4.57083986870169,5.494219854649889,5.616862329296597,5.533992861080813,6.727384724559038,6.9175925445469995,4.682316867319234,4.51605232380111,5.728891580581007,6.176786894127624
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4053864640129106,2.160028273094884,1.402210491765186,2.1572226913672035,2.435971051458752,3.416684835593833,2.4375132588333526,3.415921376364274,2.8203083163223144,3.9071747139981623,3.363500428873534,4.5757070882373165,3.160968217907348,2.4049157335411095,4.497785119478847,5.18896848206808,5.2331260760485305,5.4248909813825295,4.848484323984272,6.526227340704648,7.002224633129769,4.811789197278417,4.315091449189856,6.106176888641201,6.465513403634418
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881131340039647,2.4091531897477454,3.398198188222809,1.3941349050441045,2.151329818736871,2.7868939385053766,3.873424361877989,2.4208617553324814,3.4060596358302115,4.096705656371309,5.249922577973007,3.97431766371455,3.2451177810522567,5.2609119870107035,6.038822083714255,5.637841944167566,5.715799365658975,5.064487600423473,6.950673001896628,7.5401437894057075,5.698495911912644,5.186787836596372,7.038619745387523,7.413118023237278
