,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33C,34H,35H,36N,37H,38C,39N,40H,41H,42N,43H,44H,45C,46O,47O,48H
1N,0.0,1.018568825925947,1.0189073579021464,1.4680915035369115,2.1617311177624634,2.422434700121471,2.6189723384449253,2.5555672657487536,3.8536634428652783,4.51770584527465,4.20743871280367,4.916425732218803,4.93516872193454,5.904343692347658,6.582865046939631,6.2232385851036165,7.0736055659637795,6.632449570830712,7.985401261538464,8.519543648671032,2.4496694049095766,3.541074817133086,2.715128958751444,2.235305951642755,4.060163619951373,4.4096696156522155,5.221292405304687,5.255434619453465,6.12975282404781,5.614395079308343,5.916082392740236,4.939059336427973,6.954727525113914,7.033275596959211,7.745664845234247,7.589800755710638,8.355050271337923,7.354256619515018,6.685920868206044,6.306568014190557,6.462495976320834,8.127688489872112,8.611058360589182,8.16655186608719,4.464342806463634,4.05436342831877,5.756097775846275,6.163639062797494
2H,0.0,0.0,1.6344606713905931,2.062369863184726,2.5522683734761764,2.531962828666269,2.2881042410889525,2.687503322703625,4.019668867983866,4.8311246421318845,4.634729824607212,4.945372053836563,4.829589981480182,6.201033620130974,6.942846739941581,6.297373443291897,7.081567016311553,6.8276652311847865,8.208518049555568,8.659091505417209,3.3473307642121757,4.392552633302157,3.6655740529762606,3.1144592139041123,5.042037994065114,5.424616849893239,6.135453308601087,6.075552990920041,7.072319023333395,6.48266078006463,6.829178927075036,5.7306198800988,7.757968019722356,7.770672255297966,8.601373541036118,8.320687484673874,9.117273216616544,7.9612400189661585,7.194115503031489,6.847625299739524,6.851264649137298,8.676044861328375,9.211896820944425,8.608929395018174,5.392303831457963,4.8636100443452674,6.699965533276678,7.051912670025883
3H,0.0,0.0,0.0,2.061736355676626,2.397922272628465,3.321245685464796,3.4843609605603136,3.551095975826265,4.6623935882361005,5.120580870448546,4.6183255998886885,5.822764004191467,5.914998693890104,6.509194707591609,7.070502099462157,7.084849759085965,7.981431559451645,7.370263838210061,8.698903473257435,9.291576309119234,2.7482621164230223,3.6830842446242866,3.020331702056179,2.5896104055812263,4.1576655608735305,4.322542230958858,5.508270084793347,5.684107134263569,6.308422942336525,5.9828037597993395,6.137824753095711,5.421052473714637,7.415187489261419,7.590288390440973,8.117017811416282,8.098611154257307,8.79365962401856,7.971436829059678,7.423592303411936,7.053970758131443,7.258081894039315,8.727574471579906,9.12203513311245,8.822672803429613,4.404966971572883,3.9926703100014365,5.604611784244463,5.955958823887855
4C,0.0,0.0,0.0,0.0,1.1001651417312581,1.5476553607637074,2.136431335946058,2.1470745097732613,2.6512514590013145,3.0924334913896123,2.7480106970124183,3.9084322659909296,4.211045749741973,4.4805883373059965,5.12141376177392,5.089094661534107,6.037993150087017,5.311476561483599,6.6381708917022575,7.236945585922459,1.542957889323642,2.4289141621466386,2.4514143467503247,2.526822255726759,3.8180027439023703,4.024189785109455,4.763529420566108,4.931248209718837,5.751579225808201,4.764978589565466,4.990214608199999,3.944377125719023,6.078939250912293,6.278292502939146,6.936144514087716,6.4996608902976165,7.224812221200045,6.165379331161147,5.596989722614411,5.383961549398742,5.324390186511479,6.818977349499768,7.26687192206738,6.8280566254089665,4.699274507104528,4.649408646878791,5.9231841516353185,6.528454996605259
5H,0.0,0.0,0.0,0.0,0.0,2.173673937493379,2.471512082741066,3.0571091979568856,2.9203781263491697,2.9705050884649133,2.3663635027992114,4.277144884182938,4.738292671344313,4.325783169280335,4.811294778281786,5.321752505111417,6.332209197664542,5.334342137168858,6.620604895243916,7.266451934856327,2.1143918470457086,2.514318757288293,3.2949373250357845,3.493206487968085,4.51346718644187,4.476000965372932,5.496218066802465,5.809047122380104,6.438147114597313,5.321317244260576,5.351958198731583,4.4957825555813145,6.656060693193529,6.9872472544873485,7.491238064601042,6.917996385537599,7.546328204280129,6.537786713122078,6.112288361475561,6.053883519239576,5.772416548078331,7.0095597745706755,7.356015121038597,6.964011554023534,5.4558676135731385,5.4848331290933094,6.594156501265893,7.226569144109389
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.100893531743921,1.0977379109434084,1.5207528553512755,2.5840432946554017,2.8193119680859016,2.5104262544180305,2.6881959184412043,3.8595902443188237,4.743399655345025,3.818116808040854,4.673410113982997,4.340129858612472,5.718130585684867,6.166781508660856,2.5800708773079695,3.354666365633644,3.252165238089286,3.26730501726138,4.641152331621558,5.0526377080065075,5.199416046021359,5.118536240407874,6.278054308664318,5.016579156978919,5.4614447323022945,4.026627191425511,6.054602650387574,6.070811385774019,7.044985949434124,6.303870171753547,7.127876322247316,5.70379918744904,4.8885854501900114,4.7289158627743015,4.412384797937117,6.311043657956603,6.927267695962436,6.148349033799942,5.588075973078846,5.493383613391289,6.845870674345395,7.46129144921052
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.750600772273153,2.1379285508344656,3.193315651437771,3.4373167062923664,2.861993431305422,2.842778335161426,4.401449948636623,5.289104249950484,4.17291759390412,4.936431471998454,4.79720858606247,6.178683038619692,6.529006487940216,3.4926208127624303,4.261261992447612,4.176785850259111,4.023592620689898,5.609061491350204,6.0025619715516445,6.2589119683670695,6.141163466818491,7.330346723908614,6.1168739191185555,6.5390421780605195,5.123369890850879,7.141470734788632,7.125868617988226,8.140720954224541,7.342317230663252,8.161248263371503,6.659184023659298,5.799289571088835,5.68298450164085,5.208506102806959,7.169626411034227,7.7978617551357665,6.894415982348162,6.431823237697769,6.191763521238792,7.72654490596528,8.27591131646764
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147057398527751,3.3681049504448586,3.707527787536249,2.682831573420903,2.514435645973066,4.519878932048311,5.463572454345558,4.038795495426219,4.7374710341617305,4.783165366985964,6.120994907091183,6.494680936152043,2.8574799239611677,3.8186835199145146,3.0498473228581253,2.875730878820789,4.408043660025458,5.039623998755408,4.843981976185462,4.5494236057114446,5.920247630826687,4.868854051396015,5.501098839445342,3.9554918687990073,5.806624202297575,5.642572635648024,6.791042572246787,6.222575567348592,7.126576052611569,5.690083629376733,4.7205594457023725,4.3606909423477624,4.341809833005362,6.4739455912254655,7.175350879955101,6.373683618731409,5.200039385464648,5.001477030504257,6.483948803871475,7.036696862293784
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4040990835282845,2.161830835821083,1.4039423033297822,2.1588911627565985,2.4396217627261705,3.424764548035795,2.4493685071726365,3.431668645290927,2.8208039251819983,4.199619622083874,4.672750935592116,3.1831642065291472,3.484481100663322,4.006491786455679,4.324047398791583,5.181779312214261,5.492737893017297,5.391173089608415,5.3678139408508905,6.4669235413902575,4.781349599612913,5.188774016753718,3.6925652784179483,5.577574564474731,5.657451270108429,6.626303088911791,5.48353864163428,6.2635762131936366,4.656006504093499,3.8966802854733973,4.022599577396394,3.2465310074459333,5.0529812068730156,5.6947448192205705,4.760933752061161,6.383611550717041,6.5174378768693035,7.525355266978974,8.257535615861233
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08337903970052,2.4031045294990165,3.39366547167586,1.3955354036725174,2.1623714611277296,2.794705000346863,3.883503910236935,2.4162469945937826,3.656610645127643,4.352443280592899,3.2708829987110253,3.0525032997804034,4.350557302484063,4.913588271090397,5.312689972884761,5.358272992804003,5.4928579221448395,5.721112291937725,6.489777373065917,4.599360324093867,4.733162060008422,3.5577816097289876,5.40960580710404,5.742733839990293,6.392492330234626,5.086175644636049,5.694740351070317,4.278973722146621,3.915864700030015,4.283524839770919,3.3446314612497745,4.419227251889243,4.866480931354,4.1522260796294885,6.6802049265984795,7.0186419263332205,7.6869039713674105,8.50741738802423
