 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,C33,H34,H35,N36,H37,C38,N39,H40,H41,N42,H43,H44,C45,O46,O47,H48
N1,0.0,1.896821390028011,1.99853996637957,2.89399061609593,0.10177297037708788,0.20668424063251928,0.012476731188132195,0.018210702234491394,0.03034018934729843,0.005952847393853003,0.0030282509879836494,0.005649739664601139,0.00017830855445954974,0.0007890619227900048,4.367619010192669e-05,0.0011551060709254768,0.00015871876033224375,0.0007007189882995979,0.0001407546581329716,2.1709788020185528e-05,0.19516208887718992,0.038583041372742655,0.07156964251837042,0.11104989665767817,0.008285694002159436,0.0008914799651468241,0.0015420231178128602,5.927434222940953e-05,0.00021894281935175286,0.00025505494498559433,5.8822280155190754e-05,0.00013749689856223934,5.6015314917626235e-05,3.3106399881521753e-06,7.512927083008769e-06,6.517515914350458e-06,2.290596994303229e-07,2.308304434150976e-06,7.095982181945515e-06,1.362634734158874e-06,3.6619858267972205e-06,1.4552172606097091e-06,7.140553004436612e-08,8.564986389014706e-07,0.0014804160277439304,0.0010419365806953462,0.0002753550244093683,1.9451273435056038e-05
H2,0.0,0.0,0.029466941916430844,0.10510773142630592,0.002727728485518277,0.022435722022774107,0.010527557927076048,0.0008659923545011328,0.0017689088462622404,0.0007176116313100112,4.846632051402899e-05,0.00047314072208770597,3.3377826647473796e-05,0.00010461451265642019,2.0628756199680964e-05,7.761581762022463e-05,7.9204903746799e-06,0.0001613944268958889,3.981928788454603e-05,7.136865303181139e-07,0.03204999178188905,0.005927371468295695,0.005483332096224536,0.0008626533144500126,0.0004676242621414195,8.71138856131104e-05,0.00019815122595823187,1.4857183427974263e-06,2.38204478129056e-05,4.266803310004619e-05,2.0443806525882735e-05,3.6383118431349004e-06,1.3095777768978856e-05,1.0338530682663105e-06,8.444410872776587e-07,1.0118188982222165e-06,3.317838226379877e-08,7.443437056720015e-07,1.4673528937469982e-06,3.528353855752897e-07,5.460964411785341e-07,9.763889349256871e-07,2.9446831639745596e-09,7.237474024535118e-07,0.00013465418855362898,2.102619544386286e-05,2.8641311678345716e-05,7.747073206498811e-06
H3,0.0,0.0,0.0,0.10482292324470144,0.00701434081861807,0.03253263860903477,0.0006317254839631747,0.0014536024493125854,0.004926989869359022,0.0003359982447765919,9.950230771638147e-05,0.0011141838325344766,7.493031269456552e-05,6.143544898173925e-05,1.56146191148121e-05,0.00024389235825705846,5.345988140414981e-05,5.103213700607956e-05,1.0416543238300768e-05,7.97167468524762e-06,0.006866203259539572,0.0006492316263136955,0.0031501501396384857,0.001614230236453018,0.00022033500842288944,1.4963776121534877e-05,0.00014681814645367552,2.109327228883018e-06,1.1182780408125481e-05,2.866084075447972e-05,1.960952829449525e-06,4.060136387540325e-06,4.4390577961239686e-06,6.082596448742095e-08,1.7158976073350374e-06,6.534806578084584e-07,1.5131907060705885e-08,1.9932800998656575e-07,2.919730176520474e-07,1.031716820865114e-07,1.6890411513870163e-08,1.504323198231461e-07,1.9253497685056686e-08,7.019934256113913e-08,6.27712104754874e-05,0.00018815627911339394,2.0434111165146263e-05,2.2522616978104537e-06
C4,0.0,0.0,0.0,0.0,1.973382057912278,2.7180501659337146,0.09362457463175011,0.08384367037935792,0.14710193163742366,0.022623239823455307,0.008843691402593779,0.02812563597941048,0.001414879821242332,0.0025773664442031996,0.00015844214258042832,0.00483639843255694,0.0006897324139254479,0.0020169621964285234,0.00041962244150690886,8.625973614395654e-05,2.608042192797771,0.2795183541697058,0.21420409189218276,0.019291285260697122,0.03705404384332958,0.0038926298964121475,0.002901809904706759,0.00015736671822574877,0.0007800539293034703,0.0018345923217779336,0.00043522250624628,0.0009373420287561718,0.0003035634479940097,5.895939498179459e-06,2.286115368077546e-05,2.7060621365482262e-05,6.321778593942895e-07,9.958466239579078e-06,1.957536415597705e-05,6.451616295533036e-06,1.208881052117139e-05,4.96737158722782e-06,1.555859628910028e-07,2.514045123969133e-06,0.003968481039896277,0.0004625676797417183,0.0011999422770662127,0.00024608872874798404
H5,0.0,0.0,0.0,0.0,0.0,0.081816570922701,0.006290459602384724,0.035255520644582816,0.004000236341348051,0.00558552392261491,0.007856686621939613,0.0006071360890195221,0.00020898182501016827,0.0005530137764465648,2.4612528661149824e-05,0.00020035949337948722,1.0184140986302381e-05,0.0003552072734434031,5.451627290331551e-05,1.2128818568601929e-05,0.10956041730162669,0.017594623338752058,0.021996203983750684,0.005925601209485931,0.0031056854077562424,6.914854675876825e-05,0.00014252682134419103,1.2935939070368718e-05,8.194790594773238e-06,0.00016379851844505744,6.283426302378103e-06,0.000113071949448873,2.3293756086228967e-05,9.51765924739334e-07,2.4033913919030425e-06,2.8032157577406736e-06,1.1723221216008994e-07,1.5477124233331807e-06,2.661888250599098e-06,3.978355820333235e-07,3.7216507324799863e-06,5.880913773737007e-07,1.0729297672540383e-08,6.81612865038872e-07,0.0010669253872976903,6.0292326639621585e-05,0.0002647842053243865,8.649012427497382e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9427873571195728,2.0432703061166246,2.5943892493538616,0.22088357806027842,0.010517136470915345,0.24664524050241307,0.016327175257906834,0.0352671864040144,0.0023261548338733284,0.037086412422192475,0.0023868445525634385,0.01925768404483072,0.004740167979718005,0.00032050529982075027,0.1656158387453789,0.03711024550763234,0.02567962253295092,0.001033581225110547,0.0028784923993235845,0.0006806978401560082,0.0009938951460414236,2.973264118311114e-05,8.443348066156098e-05,0.0004283404930046919,3.5107977602866214e-05,0.0004894128740824399,7.751539369185712e-05,2.288519660442745e-06,1.2911815427618656e-05,1.5636409963756814e-05,1.2836278958650027e-06,3.389707366777128e-05,0.00019964797523991384,2.1727114565939232e-05,0.00015610495723050732,5.2291277410979053e-05,2.6945955839963176e-06,4.7609653117675066e-05,0.00033861308956184555,4.140100487512455e-05,0.00010014697878048262,1.8726576462291256e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023018677661247766,0.09653365420159565,0.029914572857291044,0.00013291054384079182,0.02251966756159729,0.0007733787339454512,0.002773359486417326,0.00014090376435205165,0.002486307617651673,2.50308751854611e-05,0.009624644577523656,0.0019737700270384684,3.089943496314973e-05,0.029179234618040173,0.004072884796543885,0.004711565230486325,8.581408063546014e-05,0.0006070288918453848,0.0002478012227029591,0.0002612290583796639,4.46342488902296e-06,3.544024055623929e-05,0.00011111251150519585,1.4941509249188911e-05,0.00024035856513227039,2.0852820640904213e-05,1.2373891979944318e-06,2.685076995856406e-06,3.981084709114846e-06,9.022108140577245e-07,1.2442727479688998e-05,7.097528878885484e-05,9.5849302894635e-06,1.4548056914476248e-05,1.7783304750107476e-05,4.37416074472452e-08,2.3498569769353495e-05,3.2310273587077276e-05,4.313217103701916e-06,8.717148528791796e-06,1.3709130808337022e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10097017846939649,0.026926760419368367,0.000825062530590337,0.019791945149926438,0.004478578601739391,0.002607421354426487,0.0005500442537165195,0.002094570557665043,2.126914340716546e-05,0.005136998655071112,0.0009431681865722519,4.7290837059010826e-05,0.007444501325132524,0.0008931531335530929,0.005509534521702664,0.001318072026052608,0.0005116750656386504,0.00021033995214758683,0.0001087951820506472,1.983044206355089e-05,4.166736686350703e-06,1.791678750229231e-05,6.644229313401695e-07,1.9515261527880412e-05,4.31416477963964e-06,7.829267667514017e-07,8.08931505336119e-07,1.2953035535279156e-06,2.2572083424599043e-07,7.44032493615876e-06,4.3514867781202504e-05,8.182035687198663e-06,1.4470731220850297e-05,1.0607917218297125e-05,5.576104948890048e-07,7.561830466240593e-06,0.00011421247201792717,3.0544597823478625e-05,3.513090746831704e-05,8.834425289094838e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.566252868711523,0.12480848633547348,3.781800406742901,0.1207098572140356,0.3241210315575627,0.02592021597410854,0.3225352894033698,0.02502082297034569,0.27170933880005665,0.047046669626606,0.00217885627346015,0.013192258099444631,0.006095771568937439,0.0014071843849844806,8.658358428281776e-05,0.0002535172784680073,4.019780784136895e-05,9.863290964594318e-05,1.1135615114454822e-06,2.5956616816258382e-05,0.0007308555139194511,2.355923375452207e-05,0.002325810106207471,0.00013589737906898047,3.2163917089156335e-05,5.6372317429720376e-05,0.00014706923893538504,1.8223573038489427e-05,0.0005908555393577264,0.0031646827074713058,0.0004485238626482646,0.0019143304538070671,0.0005590388292789766,1.5031385601882441e-05,0.0004938221953929567,2.4198414046883165e-05,9.86795320469247e-06,5.543996445367405e-06,1.0068511319127893e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0254583848934375,0.3458054772680703,0.02864544798547508,3.573575446861792,0.12601831947401232,0.29315088282122603,0.0038918299666858003,0.3506175536601402,0.041195133800107336,0.00393069974642235,0.015232219710335865,0.03975351264129297,0.0027954732753672357,0.0001559602974310348,0.0004237917843986916,0.0001628160289538494,0.00014471874224676606,7.733562512712844e-06,2.4673195996749442e-05,0.00099669434654448,2.7919925797648126e-05,0.00359518389727298,0.000169469980418252,2.422516122979612e-05,4.7513639745644376e-05,0.00023136100226286982,3.880870263017755e-05,0.0020818697590711255,0.004311911108335745,0.00011033712075125823,0.0038695974161152558,0.0014100531894998408,6.669776319279119e-05,0.0003113019937144301,6.178042111734672e-05,3.109613886984053e-05,8.3422561261981e-06,2.3543674029236072e-06
