 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,C25,H26,C27,H28,H29,C30,H31,H32,C33,H34,H35,C36,O37,O38,H39
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.966465424948723e-06,8.822390134222147e-06,2.0213709771566e-06,3.9556559183751006e-07,3.033740347824221e-08,2.9589971251020586e-08,9.303449344244541e-09,5.962808025117283e-11,4.920077500969455e-08,1.157161033660259e-09,1.0276357986782614e-08,1.4653875812786765e-07,9.595954053587263e-08,5.099914490713786e-08,2.0534799061167064e-07,1.1079140027625556e-07,3.4642588131461594e-08,8.329554601615996e-09
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.867395923489465,3.5926066036070425,0.2765194362550635,0.018816904326204753,0.030701247675165938,0.0036391360430869657,0.00021773102713562587,0.028180431593112953,0.00020729898532234614,0.003074286933270498,0.24201670905340922,0.016121563270548478,0.020234672221519867,0.04598365537606819,0.013420294635034524,0.007343896602286015,0.0009132609662696467
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5478725731848678,0.07972215218384174,0.026023110745792444,0.009519751444307847,0.000911030862638218,0.00025770161332849817,0.007528723694701797,0.00017410748543145171,0.001974463064817966,0.05600531709765773,0.006497060219825879,0.010711609863491733,0.02985451146990631,0.00643901160219261,0.003543681665584858,0.0006618363889799861
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.679234496105745,0.08830903996509132,0.20683299575675004,0.02275933944583941,0.00316707071507194,0.20489254489121642,0.003016954375940184,0.021696340772105582,2.743379430075928,0.08938511101641833,0.0942375494724319,0.18793420829328536,0.032148762552374796,0.027265393498276946,0.004751753886640286
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6494470624496478,2.6844821831410988,0.08047767455760413,0.08973691125115835,0.19994816732582463,0.004875174780052394,0.02589783355640618,0.2197551611325856,0.01795029554459915,0.009440779673490551,2.7101493169847948,0.2777307911358386,0.22520044865156968,0.055228252615292184
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07775841078669543,0.0015128028266344629,0.00981905936482863,0.022614788831772148,0.0005127752673046437,0.0005885225090538349,0.019831552663036933,0.0008155434082079971,0.00013555951919763665,0.10797404709310787,0.02629611496130424,0.012006876480875506,0.0007733517139223434
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.686589202679328,2.0817525173230775,2.6599201927817084,0.08274298537736147,0.07680703004642342,0.1937329877607781,0.021611047902109437,0.0039271812517720495,0.18435246215995219,0.041047663879366106,0.024903325926054876,0.0018011370383500536
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027191041161480856,0.07844804675239403,0.00788322619675097,0.0010439357889209244,0.026411095761597947,0.0005713802432094628,5.060917145227606e-05,0.015187681140288012,0.002371529373378367,0.006105896452126225,0.0001395579488319143
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08057844222235544,0.0310051234344646,0.007807008964876294,0.005181214772354226,0.0002801833878056659,0.0006815286143961874,0.025285330526270133,0.005647637320661536,0.0021275070431385767,0.0005540255422262774
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1635047354639294,1.9075406298830528,2.676944098228209,0.07864756995597433,0.07970006712910505,0.01519188704740515,0.008557159335481956,0.0036026633502393157,0.00022808284144248958
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026297799933015842,0.08554233830222513,0.010839762455594038,0.02496548996562309,0.005444303038895981,0.008733023411018892,0.0008598978432294846,1.597793970020689e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08428945094698181,0.0016912523172143423,0.008441997011980673,0.001974002930062335,0.0005126573298928072,0.0006333801723529264,7.295111074112626e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097471299102879,2.069142682307992,0.015688599030581785,0.004762364510577197,0.004237529492452444,0.0009043514318756163
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023686895190113688,0.0006035962477606294,0.0005983889503262674,0.0001647692858247618,3.6923972899227664e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030239033886498845,0.000534583605181771,0.0006659069890544433,9.59150795505348e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025083304513628,3.4822782204428715,0.17052972374989617
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204156246162365,0.06260627638203842
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7926702422745207
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
