,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25C,26H,27C,28H,29H,30C,31H,32H,33C,34H,35H,36C,37O,38O,39H
1N,0.0,1.0194088353523991,1.0231196819187753,1.465006280641901,2.088716759808089,2.455332056801097,2.664822453991981,3.4076928728799705,2.9599946652749236,3.47759646953563,2.482963636560784,4.271378170850294,4.288065290864985,4.946093251281976,5.19364110410981,5.594717543219936,4.990594986087554,6.528826299191096,7.247773334446124,6.541812363437016,6.981421417715462,2.487871134013598,2.7952408289884763,3.674955285638486,4.889124662679685,4.9601268048953955,5.9883521105824284,6.958930267216347,6.159638190302703,5.790453969387035,6.199958801406829,6.507975500372525,4.336328550418186,4.253694163974837,4.328273897304522,5.4714367368803165,5.4109447256518,6.511454192619309,7.021355564302013
2H,0.0,0.0,1.6251551172038134,2.046335966902393,2.28021136246029,3.3321153818905582,3.6457541757537824,4.185260066514343,3.7752358942709474,4.094473239319451,3.236723272192615,5.173080929790803,5.264497475685611,5.8449663642153435,5.986247611203745,6.286507512051351,5.717050502763232,7.382255953116083,8.043389375907676,7.444366441051917,7.860091647930101,2.848380610188081,3.195249510558186,3.8635118826303483,5.060704252734343,5.0209467588924905,6.03214005351258,7.055090173585416,6.020952285190241,5.898179648196302,6.467420121358452,6.506373145523021,4.440042208487362,4.521556670030478,4.191693673426985,5.887010948956327,5.9921770411456325,6.88411597950529,7.49945213629274
3H,0.0,0.0,0.0,2.0106878061131797,2.888426541145488,2.8093533346148662,2.617443534112724,3.735960639965491,3.5441584254437166,4.246495111470375,3.1040285441382682,4.6413025470727804,4.419704370092582,5.301591886683556,5.66815440898171,6.214833444852635,5.452473516244616,6.870260175211936,7.637358936945888,6.735549729311524,7.322947276457313,2.467472653017615,2.291440197377177,3.794442779532946,4.782074065008412,4.693772557808217,6.056992465025541,6.95426532497487,6.2519790055818065,6.085750987094348,6.462829095705047,6.90187112538829,4.749468491298056,4.780241623642206,4.863886822473294,5.237522949992877,5.252757565592616,6.1314123953853565,6.60989596288074
4C,0.0,0.0,0.0,0.0,1.0958438822427703,1.5481510575625366,2.1420161548437835,2.1845619850638767,2.5585667209754757,2.8947202326843797,2.661597397708519,3.917758942474133,4.118644954302567,4.292207227938516,5.067143158322649,5.338542415537192,5.172693318047778,6.384542567169766,7.192086749067663,6.507358663997139,6.630271156482375,1.5420445642908323,2.395232420026035,2.5020051027943486,3.845291777494705,4.192290818065346,4.838084254247839,5.792593506861331,5.162651400390041,4.462055852481957,4.785945214732303,5.216459048377343,3.0183541392532534,2.83678162201436,3.2209745458716657,4.382227763027244,4.219981150096616,5.5673760576287705,6.064617237350063
5H,0.0,0.0,0.0,0.0,0.0,2.1747649167231273,3.0538225422838945,2.5506740849866154,2.7895820031465504,2.6933896872386085,2.9367953412060386,4.270463539962314,4.712945789445439,4.581777910855026,5.246952407602526,5.296272804966475,5.381827479474083,6.659244481961321,7.393188432786574,6.93778851007224,6.876702856789742,2.194502782293867,3.26784387632643,2.653575693333249,4.110253698965073,4.560340496602426,4.782595317670315,5.801791072270896,5.00707382264603,4.165431787651803,4.593909313282837,4.729640429375101,2.630495888964287,2.3757478478871303,2.559465959062511,4.853854285496144,4.716107413342244,6.098434155966964,6.655748672116274
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.098488382888197,1.097804802189808,1.5330994371877225,2.1721208296996988,2.1386660731955742,2.547254134101556,2.7552317584074317,2.804253226680047,3.891982882566466,4.26602012720495,4.213373954114128,5.061065065178348,5.9471336881949295,5.169394593169854,5.208154942176379,2.4784816813796295,3.1085046911832914,3.2924020139132044,4.479163966999962,5.012065146615532,5.49472644966351,6.303278558433648,6.065325523304747,4.935992133276642,4.917863071930893,5.7564532611013615,3.6740224174999163,3.102682159273588,4.177460763243303,4.5190579498734635,3.947851808801838,5.7402299223365265,6.0038544278883235
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7573581946345682,2.1686969453227665,3.075272263472335,2.5559642525123922,2.705112458254696,2.456355998183699,3.016724104733613,4.129450219997033,4.737320142346867,4.384074421907278,5.090775099335622,6.029159422044282,4.9794852023839224,5.269420656913208,2.6575460602796386,2.833404665846852,3.6671591810629725,4.618569041391936,5.017269850795972,5.841458458901459,6.562021937291469,6.454884183595989,5.515744795124048,5.440113206230718,6.44022092697847,4.3753207822539055,3.9463113071355482,4.9650040714968915,4.422357868253669,3.840971145748478,5.496621235373644,5.662437841391785
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1840665971886715,2.484116057062746,3.0600463031126126,2.883407652673005,3.2190596199893484,2.7041104854683686,4.280225092654908,4.516813381555435,4.827537299591152,5.31741923379391,6.238636041452846,5.504233256782476,5.251590473885933,2.6657806927473224,3.4283108230197326,3.0459564680974007,4.114832671330002,4.845178100019323,4.9682418482230934,5.684073116818649,5.676023827490647,4.261566604598827,4.060449469384073,5.091889155136302,3.209174437541801,2.492940123365117,3.921622014766053,3.989329537926951,3.2487806730774635,5.268625888304137,5.470006980081507
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0993300740294585,1.0964881251347953,1.5392545515792475,2.1637259903530977,2.178384868596586,2.5228122129253827,2.833485390592449,2.799332565551323,3.8852890541093696,4.658443696012058,4.158871957750933,4.180483931243815,3.8726813592030025,4.509127388941468,4.658044349921256,5.939594752304414,6.483411964731734,6.832093950373076,7.673637447549811,7.352348517659794,6.077511404443426,6.0420133992933955,6.754147697013727,4.752592655417851,3.9952962114536597,5.069603644602785,6.017796095892928,5.363281546525788,7.255049996121545,7.479129716640599
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7692344065001229,2.169678018610246,3.071987175314616,2.5196949400240936,2.7630716171871246,2.6281242207659727,3.139768307163462,4.193384604602192,4.848357883836358,4.695263630774476,4.394710860031654,4.250500521891798,5.103786712140427,4.788032156615696,6.144000086689686,6.782639051858071,6.811852285689607,7.68079464226179,7.291164573889513,5.858254897989457,5.846147835587876,6.383797174986995,4.543272223321864,3.674064811307477,4.743504693162457,6.355525818321463,5.711499634745241,7.659407984284609,7.932983178354753
